acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.281,-0.020,-1.065,-14.046,2.992,-8.183,0
0.271,-0.021,-1.075,-13.847,3.389,-8.504,4046
0.273,-0.023,-1.074,-13.649,3.649,-8.534,8059
0.273,-0.015,-1.066,-13.649,4.550,-8.443,12070
0.273,-0.016,-1.075,-14.015,5.023,-8.321,16082
0.278,-0.010,-1.073,-13.878,5.695,-8.351,20092
0.279,-0.009,-1.073,-13.908,6.290,-8.153,24103
0.274,-0.010,-1.079,-13.863,6.687,-8.336,28114
0.278,0.000,-1.068,-13.481,7.237,-8.000,32125
0.279,0.003,-1.081,-13.527,7.679,-7.817,36136
0.283,-0.003,-1.083,-13.634,8.153,-7.542,40147
0.280,-0.003,-1.094,-13.481,8.366,-7.557,44158
0.288,-0.003,-1.090,-13.237,8.519,-7.725,48167
0.283,0.003,-1.095,-12.870,8.534,-7.450,52178
0.289,0.009,-1.086,-12.611,8.626,-7.069,56189
0.290,-0.001,-1.093,-12.534,8.748,-7.115,60201
0.289,-0.003,-1.090,-12.977,8.534,-7.160,64212
0.291,0.004,-1.095,-12.916,8.641,-7.435,68223
0.289,0.005,-1.098,-12.779,8.565,-7.786,72235
0.278,0.014,-1.102,-12.611,8.962,-7.634,76245
0.283,0.019,-1.100,-12.565,9.099,-7.557,80256
0.282,0.023,-1.112,-12.351,9.206,-7.710,84268
0.282,0.025,-1.111,-12.397,9.664,-7.344,88279
0.278,0.036,-1.113,-12.168,10.198,-7.359,92290
0.273,0.033,-1.123,-11.618,10.748,-6.885,96302
0.280,0.030,-1.127,-11.450,10.870,-6.092,100312
0.275,0.029,-1.138,-11.313,11.053,-5.573,104323
0.285,0.025,-1.140,-10.962,11.008,-5.023,108335
0.292,0.031,-1.139,-10.595,11.420,-4.366,112346
0.299,0.021,-1.150,-10.031,10.626,-3.847,116357
0.296,0.014,-1.155,-9.344,10.427,-3.450,120369
0.304,0.019,-1.150,-8.870,9.924,-2.290,124380
0.307,0.019,-1.156,-8.183,9.740,-1.603,128390
0.303,0.020,-1.161,-7.954,9.679,-1.023,132401
0.303,0.011,-1.163,-7.725,9.756,-0.412,136412
0.299,0.007,-1.166,-7.603,10.076,0.122,140423
0.292,0.007,-1.155,-7.649,10.427,0.305,144434
0.285,0.005,-1.160,-7.740,11.038,0.718,148444
0.281,0.012,-1.151,-7.908,12.076,1.008,152455
0.278,0.014,-1.143,-8.076,13.237,1.603,156466
0.274,0.009,-1.140,-8.672,14.275,1.924,160478
0.273,0.022,-1.137,-8.870,15.725,2.427,164489
0.280,0.025,-1.127,-9.115,16.809,2.718,168501
0.284,0.026,-1.119,-9.069,17.649,2.885,172512
0.292,0.031,-1.120,-9.008,17.969,3.206,176523
0.307,0.033,-1.115,-8.885,18.473,3.435,180534
0.316,0.030,-1.108,-8.763,18.214,3.588,184545
0.323,0.022,-1.096,-8.565,17.695,3.206,188555
0.331,0.031,-1.092,-8.168,16.656,3.359,192566
0.333,0.040,-1.081,-7.435,15.450,3.786,196577
0.340,0.034,-1.089,-6.931,14.366,3.847,200588
0.342,0.039,-1.074,-6.321,13.206,3.832,204599
0.348,0.030,-1.081,-5.298,12.031,3.771,208611
0.345,0.032,-1.081,-4.656,10.153,3.603,212622
0.350,0.026,-1.078,-4.229,8.885,3.099,216634
0.350,0.024,-1.076,-4.000,7.634,2.901,220645
0.361,0.010,-1.079,-3.588,6.351,2.305,224656
0.367,0.006,-1.076,-3.527,4.183,1.527,228668
0.370,0.006,-1.087,-3.069,3.008,0.763,232687
0.375,-0.001,-1.090,-2.763,1.847,0.092,236698
0.367,0.001,-1.083,-2.611,0.672,-0.580,240709
0.365,-0.008,-1.090,-2.534,-0.489,-1.389,244720
0.361,-0.011,-1.091,-2.656,-1.206,-1.679,248732
0.348,-0.011,-1.099,-2.824,-1.298,-2.260,252743
0.339,-0.012,-1.101,-3.038,-0.809,-2.748,256755
0.332,-0.015,-1.098,-3.435,-0.641,-3.313,260765
0.327,-0.020,-1.096,-4.031,0.198,-3.908,264776
0.313,-0.017,-1.106,-4.718,1.282,-4.656,268789
0.304,-0.012,-1.086,-5.405,2.198,-4.794,272800
0.301,-0.011,-1.086,-5.679,3.038,-4.687,276811
0.296,-0.008,-1.084,-5.756,3.924,-4.443,280822
0.301,0.007,-1.074,-5.527,4.885,-3.924,284833
0.297,0.006,-1.083,-5.389,5.389,-3.008,288844
0.303,0.008,-1.076,-5.206,5.725,-2.656,292854
0.309,0.010,-1.085,-5.191,5.786,-2.198,296866
0.304,0.007,-1.076,-5.389,5.450,-1.756,300877
0.312,0.012,-1.052,-5.389,4.168,-1.740,304888
0.314,0.011,-1.060,-5.374,3.359,-1.237,308900
0.323,0.017,-1.052,-5.069,2.321,-0.962,312912
0.318,0.012,-1.055,-4.947,1.389,-0.656,316923
0.322,0.023,-1.052,-4.763,0.885,-0.229,320934
0.311,0.028,-1.057,-4.366,0.000,0.229,324945
0.318,0.033,-1.054,-4.000,-0.626,0.336,328956
0.297,0.031,-1.063,-3.237,-0.565,0.779,332976
0.303,0.031,-1.060,-2.840,-0.595,1.038,336986
0.300,0.034,-1.065,-2.305,-0.489,0.931,340997
0.303,0.033,-1.072,-1.679,-0.092,1.176,345008
0.306,0.030,-1.073,-1.542,0.336,1.252,349019
0.299,0.029,-1.074,-1.756,1.038,1.573,353040
0.306,0.027,-1.076,-1.695,1.298,1.618,357051
