acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.16,-0.00,-1.12,1.57,3.08,4.20
0.16,0.00,-1.13,1.27,2.99,3.98
0.15,0.02,-1.12,0.84,2.67,3.76
0.15,0.01,-1.13,0.31,2.87,3.89
0.14,0.02,-1.13,0.09,3.50,3.73
0.14,0.03,-1.14,-0.20,4.09,3.97
0.14,0.03,-1.14,-0.60,4.44,4.35
0.15,0.03,-1.14,-0.72,4.38,4.69
0.14,0.02,-1.14,-1.16,4.27,5.37
0.14,0.02,-1.15,-2.32,4.17,5.44
0.15,0.02,-1.15,-3.24,4.17,5.45
0.15,0.02,-1.15,-4.17,4.03,5.37
0.15,0.02,-1.15,-5.13,3.77,5.54
0.16,0.02,-1.16,-5.60,3.69,5.34
0.17,0.03,-1.15,-5.92,3.48,5.65
0.16,0.04,-1.14,-5.28,3.19,6.03
0.16,0.03,-1.13,-4.99,3.54,5.88
0.16,0.03,-1.14,-4.98,4.21,6.17
0.16,0.02,-1.13,-4.82,5.25,5.86
0.16,0.03,-1.14,-5.13,6.31,5.54
0.16,0.02,-1.13,-5.40,7.47,5.21
0.17,0.02,-1.13,-6.14,8.35,4.58
0.17,0.01,-1.13,-6.63,8.92,4.08
0.17,0.02,-1.12,-7.33,9.77,3.56
0.18,0.01,-1.12,-7.73,9.76,2.96
0.18,0.02,-1.11,-7.89,9.66,2.50
0.19,0.02,-1.10,-7.73,9.16,2.14
0.18,0.02,-1.10,-6.96,8.34,2.11
0.19,0.03,-1.10,-6.40,7.76,1.95
0.18,0.03,-1.09,-5.25,7.11,1.95
0.19,0.04,-1.09,-4.41,6.14,1.74
0.18,0.03,-1.10,-3.33,5.33,1.63
0.19,0.02,-1.11,-2.72,4.72,1.40
0.19,0.02,-1.11,-2.29,3.94,1.01
0.20,0.01,-1.11,-1.97,3.31,0.75
0.20,0.01,-1.12,-2.11,2.67,0.29
0.19,0.02,-1.12,-2.29,2.38,-0.18
0.18,0.03,-1.12,-2.27,2.02,-0.78
0.18,0.02,-1.14,-2.49,2.12,-1.47
0.17,0.02,-1.13,-2.90,2.52,-2.37
0.17,0.02,-1.14,-3.44,2.92,-2.56
0.15,0.03,-1.15,-4.23,3.50,-2.84
0.16,0.03,-1.15,-5.01,3.31,-3.16
0.16,0.03,-1.15,-5.66,2.81,-3.39
0.16,0.04,-1.16,-6.56,2.00,-3.53
0.16,0.05,-1.15,-7.15,1.30,-4.03
0.16,0.05,-1.15,-7.19,0.60,-3.88
0.15,0.06,-1.15,-6.98,-0.60,-3.86
0.15,0.05,-1.14,-6.37,-1.60,-3.74
0.14,0.05,-1.15,-6.17,-1.65,-3.45
0.13,0.05,-1.14,-5.59,-1.50,-2.98
0.13,0.04,-1.14,-5.39,-0.70,-2.67
0.12,0.04,-1.14,-5.77,0.26,-2.69
0.12,0.04,-1.14,-6.26,1.83,-2.52
0.12,0.03,-1.12,-6.29,3.36,-2.08
0.13,0.04,-1.14,-6.90,4.37,-1.69
0.13,0.04,-1.12,-6.76,5.24,-1.54
0.14,0.04,-1.13,-6.95,5.68,-1.42
0.15,0.04,-1.12,-7.39,5.30,-1.57
0.16,0.03,-1.11,-7.80,4.49,-1.62
0.16,0.03,-1.12,-8.17,3.77,-1.68
0.16,0.04,-1.10,-8.24,2.82,-1.86
0.15,0.04,-1.10,-8.47,2.11,-1.97
0.15,0.04,-1.10,-8.18,1.59,-1.63
0.15,0.04,-1.10,-7.54,1.57,-1.85
0.15,0.04,-1.10,-6.70,1.28,-1.91
0.15,0.04,-1.10,-6.24,1.19,-1.01
0.15,0.03,-1.10,-5.59,1.10,-0.58
0.15,0.03,-1.10,-5.19,1.18,0.09
0.16,0.03,-1.10,-4.60,1.60,0.15
0.15,0.03,-1.10,-4.40,1.57,0.23
0.15,0.03,-1.11,-4.43,1.98,-0.06
0.16,0.03,-1.11,-4.38,2.09,-0.34
0.16,0.03,-1.10,-4.84,2.05,-0.64
0.16,0.03,-1.10,-4.99,1.91,-0.67
0.16,0.03,-1.10,-5.33,1.39,-0.66
0.16,0.03,-1.10,-5.57,0.92,-0.64
0.16,0.03,-1.10,-5.53,0.50,-0.63
0.16,0.03,-1.10,-5.34,0.27,-0.46
0.16,0.03,-1.10,-5.16,0.56,-0.46
0.16,0.04,-1.10,-4.79,0.66,-0.47
0.15,0.03,-1.09,-4.46,1.48,-0.63
0.16,0.04,-1.10,-4.12,2.00,-0.70
0.17,0.03,-1.08,-3.91,2.23,-0.87
0.17,0.03,-1.09,-3.54,2.27,-0.87
0.17,0.03,-1.09,-3.40,1.91,-1.13
0.17,0.03,-1.08,-2.90,1.86,-1.18
0.17,0.03,-1.08,-2.27,1.92,-1.04
0.16,0.02,-1.09,-1.86,2.38,-1.15
0.15,0.02,-1.09,-1.62,2.46,-1.04
0.16,0.02,-1.09,-1.73,2.89,-0.69
0.16,0.02,-1.09,-1.69,3.13,-0.78
0.16,0.03,-1.09,-2.06,3.36,-0.85
0.15,0.02,-1.11,-2.61,3.60,-0.87
0.16,0.02,-1.09,-2.67,3.73,-0.72
0.16,0.03,-1.10,-2.40,3.62,-0.49
0.16,0.03,-1.11,-2.31,3.97,-0.12
0.16,0.03,-1.11,-2.06,3.66,-0.38
0.16,0.02,-1.12,-1.94,3.65,-0.44
0.18,0.02,-1.12,-2.09,3.68,-0.49
0.18,0.00,-1.13,-2.46,2.81,-0.43
0.18,0.00,-1.14,-2.49,2.44,-0.64
0.18,0.01,-1.14,-3.04,1.31,-0.60
0.18,0.00,-1.13,-3.63,1.05,-0.46
0.17,0.00,-1.14,-3.65,1.19,-0.66
0.16,0.01,-1.13,-3.60,1.82,-0.70
0.16,0.02,-1.13,-3.21,2.87,-0.52
0.16,0.02,-1.13,-2.87,3.73,-0.73
0.18,0.02,-1.14,-3.04,4.44,-0.98
0.18,0.01,-1.13,-3.19,4.29,-1.57
0.19,0.01,-1.13,-3.71,3.65,-2.11
0.18,0.02,-1.14,-4.72,2.93,-2.55
0.19,0.01,-1.13,-5.34,1.82,-3.15
0.18,0.02,-1.14,-5.71,1.19,-3.28
0.17,0.03,-1.13,-6.09,0.18,-3.44
0.15,0.02,-1.13,-6.15,0.11,-3.31
0.15,0.03,-1.13,-5.94,0.26,-3.04
0.14,0.04,-1.12,-5.56,0.63,-2.66
0.13,0.05,-1.12,-4.85,0.98,-2.60
0.13,0.05,-1.13,-4.26,1.65,-2.09
0.13,0.05,-1.13,-3.82,2.32,-1.47
0.13,0.05,-1.13,-3.56,2.38,-0.81
0.13,0.05,-1.13,-3.50,2.14,0.02
0.14,0.03,-1.13,-3.53,1.54,0.31
0.15,0.03,-1.13,-3.95,1.02,0.29
0.15,0.03,-1.14,-4.17,0.41,0.37
0.14,0.02,-1.14,-4.67,-0.11,0.27
0.14,0.03,-1.14,-5.05,0.15,0.64
0.14,0.02,-1.13,-5.53,0.67,0.92
0.14,0.02,-1.13,-6.08,0.75,1.11
0.14,0.02,-1.12,-6.61,1.45,1.11
0.15,0.02,-1.13,-6.79,1.74,1.48
