acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.183,0.038,-1.125,-4.260,1.099,1.649,0
0.182,0.037,-1.125,-5.237,1.053,1.435,4051
0.179,0.046,-1.129,-6.366,1.298,1.252,8065
0.173,0.051,-1.123,-6.473,1.634,1.221,12076
0.164,0.053,-1.122,-6.550,1.893,1.084,16088
0.162,0.064,-1.124,-6.366,2.351,1.221,20099
0.153,0.067,-1.118,-6.489,2.687,1.145,24110
0.154,0.074,-1.114,-6.397,2.947,1.374,28122
0.153,0.071,-1.101,-6.565,3.038,1.099,32133
0.151,0.073,-1.102,-6.412,3.084,1.053,36145
0.152,0.075,-1.096,-6.198,2.641,1.038,40156
0.151,0.077,-1.081,-6.061,2.092,1.374,44167
0.146,0.074,-1.098,-5.450,1.679,1.664,48178
0.139,0.080,-1.103,-4.962,1.344,1.969,52189
0.147,0.085,-1.089,-4.336,1.206,2.260,56200
0.141,0.092,-1.093,-3.908,0.855,2.473,60212
0.148,0.093,-1.094,-3.313,0.595,2.397,64223
0.144,0.088,-1.096,-2.794,0.656,2.641,68235
0.135,0.086,-1.096,-2.214,0.489,2.870,72245
0.136,0.086,-1.100,-2.061,0.840,2.748,76256
0.133,0.076,-1.095,-1.954,1.252,2.992,80267
0.131,0.075,-1.098,-1.756,1.603,2.489,84278
0.143,0.073,-1.098,-1.679,1.847,2.000,88289
0.137,0.074,-1.094,-1.878,2.076,1.893,92300
0.135,0.069,-1.103,-1.863,2.168,2.366,96311
0.140,0.070,-1.111,-2.336,2.260,2.489,100322
0.148,0.061,-1.109,-2.626,1.588,3.115,104333
0.148,0.058,-1.113,-3.481,1.023,3.252,108344
0.155,0.055,-1.117,-4.137,0.702,3.481,112356
0.152,0.056,-1.124,-4.534,-0.122,3.542,116366
0.159,0.063,-1.122,-4.779,-0.718,3.389,120377
0.151,0.065,-1.130,-5.099,-1.557,3.420,124388
0.156,0.072,-1.131,-4.672,-2.519,3.328,128399
0.158,0.071,-1.120,-4.779,-3.176,3.420,132410
0.163,0.072,-1.137,-4.809,-3.588,3.282,136421
0.152,0.076,-1.129,-4.977,-3.832,3.237,140432
0.158,0.075,-1.140,-4.809,-3.939,3.344,144443
0.158,0.079,-1.139,-5.084,-4.198,2.977,148454
0.165,0.074,-1.136,-4.366,-4.412,2.321,152465
0.156,0.075,-1.136,-3.725,-3.954,1.908,156477
0.151,0.074,-1.139,-3.389,-3.740,2.076,160487
0.148,0.065,-1.137,-3.450,-2.809,2.168,164498
0.144,0.066,-1.132,-3.160,-1.557,2.427,168509
0.140,0.070,-1.134,-3.206,-0.397,2.519,172520
0.143,0.060,-1.140,-3.511,0.458,2.168,176532
0.141,0.054,-1.135,-3.847,1.389,2.000,180543
0.155,0.048,-1.128,-4.260,1.420,2.015,184554
0.158,0.048,-1.140,-5.130,2.031,1.725,188565
0.175,0.047,-1.141,-5.817,1.817,1.985,192575
0.170,0.050,-1.132,-6.916,1.679,2.244,196586
0.166,0.055,-1.132,-7.221,1.542,2.076,200597
0.177,0.056,-1.131,-7.679,1.282,2.076,204608
0.178,0.064,-1.125,-7.863,1.069,2.000,208619
0.176,0.071,-1.131,-7.588,0.702,1.603,212639
0.166,0.078,-1.129,-7.527,0.763,1.542,216651
0.162,0.080,-1.128,-7.099,0.702,1.618,220662
0.159,0.088,-1.124,-7.115,0.947,1.542,224673
0.164,0.090,-1.125,-6.763,0.718,1.786,228684
0.166,0.088,-1.119,-5.832,0.916,1.725,232702
0.166,0.089,-1.117,-5.267,0.779,1.786,236714
0.164,0.094,-1.124,-4.504,0.931,1.557,240725
0.159,0.093,-1.118,-4.031,0.809,1.481,244736
0.166,0.090,-1.116,-3.832,0.656,1.527,248747
0.164,0.085,-1.127,-3.893,0.458,1.435,252759
0.172,0.082,-1.125,-3.817,0.153,1.420,256770
0.172,0.078,-1.133,-3.252,0.153,1.328,260781
0.168,0.079,-1.121,-3.145,-0.366,1.511,264792
0.170,0.076,-1.135,-3.282,-0.122,1.679,268804
0.168,0.072,-1.126,-3.710,-0.290,1.740,272816
0.159,0.067,-1.134,-4.412,-0.153,2.153,276826
0.161,0.070,-1.130,-4.931,0.183,2.137,280837
0.161,0.060,-1.133,-5.817,0.443,2.183,284848
0.161,0.069,-1.137,-6.580,0.473,2.748,288860
0.159,0.060,-1.138,-7.725,0.412,2.840,292870
0.172,0.059,-1.133,-9.130,0.260,2.824,296882
0.168,0.055,-1.130,-10.305,-0.260,3.115,300893
0.164,0.058,-1.130,-11.359,-0.870,3.084,304904
0.166,0.070,-1.130,-12.275,-1.664,2.901,308915
0.172,0.068,-1.123,-12.427,-1.847,2.412,312926
0.170,0.078,-1.119,-12.489,-1.542,2.534,316937
0.168,0.093,-1.117,-12.260,-1.618,2.427,320948
0.165,0.094,-1.107,-12.244,-1.542,2.336,324959
