acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.192,-0.055,-1.160,-1.496,-1.985,-0.122,0
0.197,-0.051,-1.154,-1.664,-2.366,-0.137,4051
0.197,-0.055,-1.164,-1.786,-2.382,-0.153,8067
0.190,-0.055,-1.170,-1.893,-2.489,-0.122,12078
0.188,-0.051,-1.164,-1.878,-2.626,0.107,16089
0.186,-0.050,-1.167,-1.863,-2.534,0.153,20100
0.193,-0.050,-1.167,-1.710,-2.626,0.565,24111
0.192,-0.052,-1.166,-1.634,-2.382,0.809,28122
0.186,-0.054,-1.164,-1.450,-2.214,0.855,32133
0.179,-0.052,-1.167,-1.069,-1.771,1.023,36145
0.186,-0.052,-1.157,-0.992,-1.588,1.099,40155
0.178,-0.062,-1.162,-1.252,-1.328,1.099,44166
0.184,-0.063,-1.169,-1.313,-0.992,0.977,48177
0.179,-0.059,-1.158,-1.374,-0.550,1.008,52188
0.180,-0.062,-1.164,-1.542,-0.107,0.870,56199
0.180,-0.069,-1.171,-1.771,-0.061,0.809,60210
0.177,-0.067,-1.167,-2.122,0.031,0.809,64221
0.183,-0.071,-1.169,-2.427,0.275,0.702,68232
0.182,-0.066,-1.169,-2.824,0.214,0.779,72243
0.176,-0.066,-1.167,-3.267,0.427,0.626,76254
0.177,-0.065,-1.164,-3.847,0.656,0.595,80266
0.179,-0.065,-1.158,-4.000,1.023,0.519,84277
0.175,-0.069,-1.157,-4.351,1.099,0.290,88288
0.169,-0.065,-1.155,-4.427,1.298,0.107,92300
0.179,-0.065,-1.150,-4.641,1.588,0.107,96310
0.176,-0.064,-1.150,-4.687,1.939,0.260,100321
0.177,-0.055,-1.144,-4.473,2.305,0.244,104333
0.178,-0.058,-1.148,-4.687,2.290,0.168,108344
0.182,-0.053,-1.142,-4.443,2.763,0.305,112355
0.182,-0.058,-1.143,-4.260,2.794,0.397,116366
0.182,-0.052,-1.144,-4.046,2.824,0.595,120377
0.176,-0.057,-1.142,-3.817,3.023,0.550,124388
0.181,-0.062,-1.153,-3.695,2.947,0.534,128399
0.175,-0.060,-1.141,-3.649,2.931,0.763,132410
0.182,-0.059,-1.146,-3.740,2.824,0.687,136421
0.185,-0.062,-1.148,-3.573,2.885,0.779,140432
0.183,-0.062,-1.138,-3.450,2.718,1.038,144443
0.189,-0.059,-1.141,-3.237,2.443,1.069,148454
0.188,-0.061,-1.143,-3.252,2.412,0.916,152465
0.182,-0.061,-1.149,-3.130,2.427,0.916,156477
0.183,-0.060,-1.140,-3.206,2.244,0.733,160488
0.185,-0.063,-1.148,-2.992,2.015,0.595,164499
0.184,-0.061,-1.145,-3.191,1.832,0.580,168510
0.184,-0.066,-1.146,-3.359,1.786,0.611,172521
0.191,-0.059,-1.142,-3.435,1.863,0.519,176532
0.187,-0.065,-1.135,-3.542,1.832,0.489,180543
0.191,-0.064,-1.138,-3.832,1.802,0.351,184555
0.185,-0.054,-1.147,-3.939,1.893,0.412,188565
0.183,-0.062,-1.140,-4.076,1.771,0.290,192576
0.187,-0.064,-1.136,-4.061,1.939,0.275,196587
0.188,-0.062,-1.141,-4.137,1.649,0.107,200598
0.189,-0.056,-1.142,-4.244,1.603,0.076,204609
0.189,-0.061,-1.140,-4.122,1.588,0.046,208620
0.190,-0.056,-1.140,-3.924,1.664,0.137,212640
0.189,-0.060,-1.138,-3.908,1.481,0.290,216652
0.191,-0.054,-1.133,-3.618,1.496,0.351,220662
0.198,-0.051,-1.131,-3.221,1.313,0.351,224673
0.201,-0.048,-1.130,-2.763,0.977,0.458,228684
0.193,-0.047,-1.138,-2.305,0.977,0.458,232702
0.200,-0.054,-1.137,-2.000,0.733,0.763,236713
0.194,-0.061,-1.139,-1.710,0.824,0.794,240724
0.188,-0.056,-1.133,-1.603,0.412,0.733,244735
0.200,-0.061,-1.138,-1.435,0.366,0.611,248746
0.192,-0.052,-1.142,-1.344,0.397,0.397,252757
0.198,-0.058,-1.148,-1.511,0.229,0.244,256768
0.203,-0.059,-1.143,-1.527,0.076,0.290,260779
0.197,-0.059,-1.141,-1.786,0.107,0.290,264790
0.196,-0.071,-1.133,-1.969,-0.031,0.275,268797
0.197,-0.059,-1.138,-2.214,0.046,0.489,272808
0.196,-0.058,-1.139,-2.137,-0.107,0.641,276819
0.193,-0.060,-1.128,-1.969,0.092,0.763,280830
0.195,-0.059,-1.133,-1.954,0.321,0.748,284841
0.195,-0.058,-1.131,-2.015,0.595,0.550,288852
0.193,-0.058,-1.132,-1.939,0.855,0.351,292863
0.194,-0.055,-1.137,-1.756,0.779,0.015,296874
0.199,-0.055,-1.134,-1.481,1.008,-0.214,300886
0.195,-0.053,-1.135,-1.160,1.115,-0.153,304897
0.190,-0.056,-1.138,-1.206,0.947,0.122,308908
0.201,-0.062,-1.149,-1.206,0.840,0.153,312923
0.199,-0.063,-1.154,-1.252,0.809,0.214,316934
0.204,-0.071,-1.143,-1.649,0.534,0.214,320945
0.202,-0.065,-1.153,-1.756,0.534,0.168,324956
0.200,-0.063,-1.150,-2.000,0.260,0.137,328967
0.205,-0.060,-1.159,-2.305,0.092,-0.061,332986
0.200,-0.064,-1.155,-2.168,-0.122,-0.168,336997
0.201,-0.067,-1.150,-2.489,0.137,-0.153,341008
0.201,-0.061,-1.150,-2.534,0.275,-0.122,345020
0.199,-0.058,-1.146,-2.412,0.427,-0.305,349031
0.195,-0.062,-1.142,-2.366,0.611,-0.763,353052
0.209,-0.053,-1.164,-2.275,0.763,-0.855,357063
0.204,-0.057,-1.149,-2.290,0.901,-0.962,361074
0.197,-0.061,-1.150,-1.985,0.947,-0.809,365085
0.209,-0.062,-1.154,-2.031,0.840,-0.855,369096
0.206,-0.066,-1.138,-2.092,0.794,-0.931,373108
0.199,-0.057,-1.150,-2.076,0.885,-1.008,377119
0.198,-0.062,-1.152,-1.924,0.489,-1.023,381131
0.209,-0.053,-1.156,-2.137,0.504,-0.885,385142
0.202,-0.062,-1.149,-2.244,0.366,-1.038,389153
0.200,-0.062,-1.167,-2.168,0.321,-1.023,393163
0.199,-0.060,-1.152,-2.626,0.611,-1.130,397174
0.200,-0.062,-1.159,-2.855,0.611,-1.252,401185
