acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.201,0.048,-1.119,-6.504,1.542,-0.336,821973066
0.205,0.056,-1.114,-6.718,1.267,0.061,821977097
0.205,0.053,-1.109,-6.595,1.084,0.031,821981107
0.202,0.062,-1.101,-6.366,0.977,0.260,821985118
0.201,0.070,-1.102,-6.000,0.870,0.290,821989127
0.197,0.072,-1.096,-5.740,0.962,0.824,821993137
0.193,0.067,-1.102,-5.557,0.992,0.687,821997146
0.195,0.064,-1.098,-5.466,0.977,1.023,822001157
0.204,0.067,-1.102,-5.405,0.931,1.053,822005167
0.212,0.070,-1.108,-5.450,1.191,1.221,822009176
0.201,0.062,-1.102,-5.389,1.374,1.359,822013186
0.202,0.068,-1.094,-5.924,1.435,1.267,822017196
0.206,0.061,-1.094,-5.802,2.107,1.527,822021206
0.208,0.062,-1.105,-5.954,2.107,1.389,822025217
0.207,0.066,-1.106,-6.122,2.473,1.603,822029226
0.210,0.071,-1.098,-5.954,2.702,1.634,822033236
0.213,0.075,-1.096,-5.756,2.611,1.710,822037245
0.216,0.062,-1.104,-5.420,2.656,1.542,822041255
0.205,0.068,-1.104,-4.885,2.718,1.527,822045265
0.214,0.075,-1.094,-4.321,2.931,1.435,822049275
0.219,0.068,-1.093,-4.015,2.992,1.298,822053285
0.218,0.071,-1.089,-3.664,2.779,1.405,822057294
0.221,0.067,-1.094,-3.649,3.084,1.557,822061305
0.213,0.062,-1.099,-4.031,3.023,1.221,822065315
0.229,0.067,-1.094,-4.092,2.580,1.099,822069325
0.228,0.060,-1.102,-4.382,2.321,0.916,822073335
0.231,0.062,-1.092,-4.580,1.969,0.458,822077345
0.228,0.066,-1.087,-4.901,1.634,0.458,822081355
0.219,0.071,-1.097,-5.252,1.374,0.107,822085365
0.223,0.076,-1.091,-5.603,1.374,0.031,822089375
0.214,0.074,-1.084,-5.863,1.389,-0.076,822093385
0.211,0.075,-1.083,-5.786,1.740,-0.214,822097395
0.207,0.080,-1.089,-5.573,2.107,-0.198,822101405
0.209,0.085,-1.079,-5.466,2.427,-0.351,822105416
0.203,0.085,-1.076,-5.084,2.473,-0.611,822109426
0.214,0.087,-1.085,-4.534,2.427,-0.183,822113435
0.200,0.088,-1.074,-3.878,2.763,0.061,822117445
0.209,0.085,-1.091,-3.634,2.611,0.519,822121455
0.202,0.082,-1.087,-3.328,2.229,0.809,822125464
0.206,0.080,-1.091,-2.656,2.107,0.885,822129474
0.220,0.070,-1.093,-2.565,1.664,0.947,822133484
0.219,0.067,-1.107,-2.580,0.931,1.160,822137494
0.213,0.065,-1.103,-2.351,1.038,0.870,822141503
0.214,0.060,-1.100,-2.656,0.443,1.084,822145513
0.211,0.064,-1.112,-2.748,0.672,1.206,822149523
0.208,0.062,-1.111,-2.824,0.275,1.038,822153533
0.209,0.054,-1.114,-3.359,0.824,1.053,822157543
0.209,0.051,-1.114,-3.649,1.267,0.870,822161553
0.211,0.050,-1.115,-4.153,1.710,0.885,822165563
0.217,0.052,-1.113,-4.519,1.893,0.595,822169573
0.219,0.053,-1.107,-5.221,2.305,0.534,822173584
0.219,0.047,-1.116,-5.542,2.290,0.489,822177593
0.213,0.045,-1.104,-5.618,2.718,0.336,822181599
