acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.05,0.07,-1.10,-2.60,1.83,1.77
0.05,0.07,-1.09,-2.32,1.77,0.84
0.06,0.08,-1.10,-1.83,1.83,0.47
0.06,0.06,-1.11,-1.97,1.37,0.17
0.06,0.06,-1.14,-2.78,0.43,0.43
0.06,0.05,-1.14,-3.82,-0.56,0.78
0.05,0.04,-1.15,-5.77,-1.76,0.37
0.05,0.04,-1.15,-7.45,-2.29,0.56
0.05,0.05,-1.15,-9.02,-2.53,0.49
0.04,0.05,-1.14,-10.08,-1.80,1.11
0.04,0.05,-1.14,-10.60,-0.87,1.07
0.04,0.07,-1.12,-11.07,0.12,0.96
0.04,0.07,-1.12,-10.89,1.16,0.69
0.04,0.07,-1.11,-10.79,2.08,0.56
0.04,0.07,-1.11,-10.63,2.60,0.64
0.06,0.08,-1.11,-10.00,2.75,0.40
0.06,0.08,-1.11,-9.28,2.14,0.31
0.07,0.08,-1.11,-8.47,1.74,0.89
0.06,0.08,-1.11,-7.82,1.25,0.85
0.06,0.07,-1.12,-7.51,0.70,1.07
0.06,0.07,-1.12,-6.63,0.38,1.24
0.07,0.08,-1.10,-6.02,0.61,1.42
0.06,0.08,-1.12,-5.62,0.79,1.02
0.07,0.07,-1.11,-5.71,1.27,1.18
0.06,0.06,-1.11,-5.71,1.60,0.90
0.06,0.07,-1.12,-5.65,2.27,1.08
0.05,0.08,-1.11,-5.51,2.87,2.12
0.06,0.07,-1.12,-5.30,3.48,2.26
0.06,0.07,-1.12,-5.63,4.09,2.49
0.06,0.08,-1.12,-5.62,5.01,2.58
0.06,0.08,-1.12,-5.45,5.57,2.55
0.06,0.08,-1.13,-5.45,6.58,2.50
0.06,0.08,-1.12,-5.22,8.34,2.75
0.06,0.07,-1.13,-5.16,9.85,2.84
0.07,0.07,-1.13,-5.21,11.53,2.55
0.07,0.08,-1.13,-4.79,13.24,2.41
0.08,0.08,-1.12,-4.58,14.47,2.17
0.07,0.08,-1.12,-4.35,15.59,1.59
0.08,0.07,-1.12,-4.63,16.63,1.34
0.08,0.07,-1.13,-4.81,16.85,1.19
0.09,0.07,-1.12,-4.89,16.38,1.59
0.10,0.07,-1.11,-5.04,15.65,1.47
0.11,0.07,-1.12,-5.39,14.27,1.19
0.11,0.08,-1.12,-5.45,12.70,1.11
0.11,0.07,-1.12,-5.53,10.78,1.60
0.12,0.06,-1.12,-5.76,8.76,1.76
0.12,0.06,-1.13,-6.23,6.78,1.63
0.13,0.07,-1.13,-6.37,5.25,1.34
0.12,0.07,-1.13,-6.32,4.17,1.11
0.11,0.08,-1.13,-5.94,3.11,0.60
0.12,0.08,-1.12,-5.76,2.44,0.34
0.11,0.07,-1.11,-5.24,1.79,0.27
0.12,0.07,-1.12,-5.04,1.73,-0.14
0.11,0.07,-1.13,-5.42,1.57,-0.76
0.11,0.06,-1.13,-5.56,1.57,-1.76
0.10,0.07,-1.13,-5.85,2.09,-2.05
0.09,0.06,-1.14,-6.66,2.81,-2.05
0.09,0.06,-1.14,-6.81,3.48,-1.97
0.09,0.05,-1.15,-7.47,3.83,-2.00
0.10,0.06,-1.15,-8.38,3.34,-2.21
0.10,0.05,-1.15,-9.79,3.02,-1.91
0.11,0.06,-1.15,-10.47,2.41,-1.83
0.10,0.07,-1.15,-10.50,1.89,-2.00
0.10,0.08,-1.12,-9.50,1.71,-2.00
0.09,0.09,-1.12,-8.34,1.57,-2.26
0.10,0.08,-1.11,-6.90,1.73,-2.78
0.10,0.08,-1.12,-6.50,1.89,-3.16
0.09,0.07,-1.12,-6.31,2.31,-3.10
0.09,0.07,-1.13,-6.08,2.09,-3.62
0.09,0.07,-1.15,-6.40,1.48,-3.98
0.08,0.08,-1.15,-7.21,0.64,-3.88
0.08,0.07,-1.16,-7.76,-0.05,-3.08
0.07,0.08,-1.16,-8.11,-0.15,-2.05
0.05,0.08,-1.16,-8.52,0.12,-1.65
0.04,0.08,-1.15,-9.02,0.72,-1.48
0.06,0.09,-1.14,-8.73,2.06,-1.25
0.06,0.09,-1.14,-8.27,2.58,-0.67
0.07,0.09,-1.13,-7.48,3.60,-0.34
0.08,0.09,-1.13,-6.66,4.11,-0.02
0.08,0.09,-1.13,-6.37,4.95,-0.37
0.08,0.08,-1.13,-6.14,4.90,-0.49
0.09,0.07,-1.14,-6.56,4.85,-0.34
0.09,0.07,-1.13,-6.84,4.37,0.24
0.08,0.08,-1.12,-7.13,4.03,0.85
0.08,0.08,-1.12,-7.30,3.68,1.05
0.08,0.07,-1.12,-7.57,3.65,1.36
0.08,0.08,-1.11,-7.77,3.48,1.37
0.09,0.08,-1.12,-7.91,3.07,1.37
0.10,0.08,-1.11,-8.21,2.69,1.10
0.10,0.07,-1.11,-8.60,2.03,0.79
0.11,0.07,-1.10,-9.02,1.68,0.52
0.11,0.08,-1.09,-9.39,1.54,0.05
0.11,0.08,-1.09,-9.36,1.82,-0.58
0.10,0.08,-1.08,-8.63,2.27,-0.78
0.10,0.09,-1.07,-7.40,2.55,-0.81
0.11,0.09,-1.07,-6.05,2.75,-1.05
0.11,0.08,-1.06,-5.01,2.90,-1.73
0.11,0.08,-1.06,-4.27,2.58,-2.03
0.11,0.08,-1.08,-3.95,2.20,-2.47
0.11,0.06,-1.05,-3.94,1.48,-2.78
0.11,0.06,-1.06,-4.46,0.61,-2.98
0.11,0.06,-1.06,-5.07,-0.69,-3.19
0.10,0.06,-1.06,-6.12,-1.53,-3.10
0.09,0.06,-1.04,-6.84,-1.31,-2.95
0.09,0.07,-1.04,-6.99,-1.89,-2.84
0.08,0.07,-1.02,-7.27,-1.79,-2.67
0.07,0.07,-1.01,-7.33,-0.98,-3.45
0.06,0.06,-1.00,-8.37,-0.47,-4.23
0.07,0.04,-1.00,-9.88,-0.44,-4.99
0.09,0.03,-0.97,-11.83,-1.16,-5.24
0.10,0.03,-0.95,-13.98,-2.27,-5.21
0.11,0.02,-0.93,-15.83,-2.99,-5.51
0.09,0.03,-0.87,-16.75,-3.53,-6.11
0.09,0.02,-0.81,-17.30,-2.64,-6.78
0.10,0.01,-0.77,-17.62,-0.93,-8.27
0.11,-0.01,-0.72,-19.02,-0.35,-10.52
0.13,-0.04,-0.66,-20.47,-0.79,-12.49
0.14,-0.06,-0.60,-22.05,-1.37,-14.15
0.14,-0.06,-0.55,-23.45,-2.93,-15.77
0.15,-0.06,-0.51,-24.46,-5.39,-17.85
0.14,-0.06,-0.48,-25.19,-8.79,-19.98
0.15,-0.06,-0.44,-25.39,-13.73,-21.86
0.14,-0.06,-0.41,-24.76,-18.64,-23.65
0.10,-0.06,-0.38,-24.47,-22.92,-24.81
0.06,-0.07,-0.36,-24.52,-25.88,-26.15
0.01,-0.07,-0.34,-24.96,-26.17,-26.02
-0.05,-0.08,-0.33,-25.42,-23.85,-24.82
-0.11,-0.09,-0.30,-26.60,-19.34,-22.70
-0.15,-0.10,-0.28,-28.05,-12.55,-19.86
-0.14,-0.12,-0.26,-31.01,-6.03,-17.48
-0.12,-0.14,-0.24,-33.92,-0.99,-16.06
-0.08,-0.13,-0.24,-36.29,2.40,-14.24
-0.03,-0.12,-0.25,-38.60,2.53,-12.11
0.03,-0.12,-0.30,-41.89,-0.26,-10.89
0.09,-0.11,-0.34,-44.58,-5.83,-10.12
0.12,-0.10,-0.39,-46.27,-12.52,-10.32
0.11,-0.09,-0.43,-48.09,-20.09,-11.73
0.07,-0.07,-0.46,-49.36,-26.24,-13.89
0.02,-0.07,-0.50,-50.17,-30.90,-15.94
-0.05,-0.07,-0.54,-49.48,-32.99,-15.97
-0.11,-0.10,-0.57,-49.85,-31.33,-13.36
-0.15,-0.15,-0.60,-52.32,-26.96,-9.39
-0.17,-0.22,-0.63,-57.73,-20.93,-6.72
-0.19,-0.27,-0.63,-64.70,-13.24,-3.77
-0.17,-0.29,-0.65,-72.15,-6.20,0.95
-0.12,-0.28,-0.67,-79.63,-0.52,7.30
-0.05,-0.22,-0.66,-82.72,3.10,14.12
0.00,-0.11,-0.68,-79.73,6.56,20.20
0.04,0.02,-0.67,-71.10,9.11,22.50
0.08,0.19,-0.67,-57.94,10.50,20.21
0.11,0.31,-0.69,-40.85,12.12,15.97
0.11,0.35,-0.73,-22.72,13.40,12.92
0.13,0.29,-0.76,-6.69,10.14,12.47
0.14,0.19,-0.80,6.05,7.69,14.82
0.12,0.10,-0.88,13.69,5.94,17.97
0.10,-0.02,-0.97,13.34,4.75,20.69
0.10,-0.15,-1.04,7.54,3.24,21.57
0.09,-0.21,-1.07,0.44,3.01,23.18
0.09,-0.20,-1.07,-4.41,4.73,24.66
0.05,-0.15,-1.07,-6.24,9.82,24.75
0.01,-0.09,-1.06,-5.40,17.98,24.12
0.01,-0.02,-1.05,-2.26,25.92,23.45
0.06,0.03,-1.03,4.26,31.80,23.33
0.14,0.10,-1.01,13.76,35.25,23.98
0.19,0.17,-1.04,23.57,35.50,23.76
0.21,0.17,-1.03,34.98,33.68,22.50
0.23,0.11,-1.06,45.15,28.73,22.26
0.27,0.05,-1.12,53.74,21.56,21.07
0.29,-0.04,-1.20,55.95,13.28,18.20
0.30,-0.15,-1.25,54.98,5.24,11.69
0.26,-0.24,-1.33,53.30,0.35,3.89
0.19,-0.27,-1.37,50.21,-2.05,-1.95
0.12,-0.29,-1.40,46.40,-1.47,-5.97
0.04,-0.30,-1.42,44.21,3.37,-5.37
-0.00,-0.28,-1.43,44.15,10.08,-2.67
-0.03,-0.28,-1.45,44.55,16.55,2.38
-0.00,-0.26,-1.46,45.01,21.92,7.37
0.03,-0.20,-1.46,48.90,26.37,11.82
0.13,-0.07,-1.49,56.64,26.00,13.88
0.21,0.05,-1.49,66.85,21.68,14.11
0.28,0.15,-1.53,76.20,16.38,10.35
0.27,0.18,-1.61,83.97,8.76,5.16
0.23,0.17,-1.70,88.82,1.25,1.36
0.22,0.16,-1.78,91.57,-3.82,-2.18
0.21,0.16,-1.89,84.84,-7.11,-5.86
0.16,0.10,-1.98,74.46,-7.63,-7.42
0.08,0.12,-2.01,64.49,-5.47,-6.23
0.06,0.20,-1.99,55.82,-1.19,-2.46
0.01,0.22,-1.97,47.51,4.63,3.92
0.01,0.24,-1.94,39.28,9.88,9.10
0.07,0.25,-1.85,35.69,14.49,14.23
0.12,0.30,-1.78,36.20,16.00,15.65
0.16,0.36,-1.69,40.73,17.19,14.61
0.20,0.38,-1.65,46.55,15.80,11.86
0.25,0.35,-1.65,51.68,10.79,7.59
0.28,0.32,-1.66,54.63,3.79,1.05
0.30,0.31,-1.69,55.31,-3.92,-6.00
0.27,0.30,-1.68,53.98,-11.34,-11.79
0.23,0.29,-1.69,51.56,-16.60,-17.80
0.17,0.30,-1.69,49.34,-19.31,-22.50
0.12,0.32,-1.68,48.11,-19.77,-25.89
0.08,0.32,-1.68,47.47,-20.14,-27.19
0.05,0.33,-1.67,46.99,-20.40,-26.64
-0.01,0.35,-1.70,45.91,-19.89,-25.15
-0.06,0.31,-1.68,45.53,-16.56,-20.95
-0.07,0.30,-1.68,43.66,-14.52,-17.47
-0.10,0.29,-1.65,40.69,-10.52,-12.92
-0.09,0.33,-1.63,37.76,-6.17,-7.63
-0.08,0.33,-1.60,35.92,-1.65,-1.95
-0.06,0.33,-1.58,34.53,2.24,2.32
-0.01,0.34,-1.57,33.02,5.10,5.07
0.04,0.34,-1.55,31.91,6.21,4.70
0.09,0.33,-1.55,30.21,5.16,3.07
0.12,0.33,-1.56,28.50,1.63,0.56
0.14,0.32,-1.55,26.17,-2.76,-2.29
0.14,0.31,-1.55,23.63,-6.66,-6.15
0.13,0.29,-1.55,21.07,-9.22,-9.44
0.09,0.27,-1.55,18.44,-10.29,-11.68
0.06,0.26,-1.54,16.43,-9.95,-12.72
0.03,0.25,-1.51,14.35,-8.35,-11.97
0.03,0.23,-1.51,12.29,-6.76,-9.77
0.02,0.20,-1.50,9.34,-4.64,-7.50
0.04,0.19,-1.48,6.35,-3.01,-6.47
0.07,0.18,-1.45,2.93,-1.63,-6.44
0.08,0.16,-1.44,-1.15,-1.01,-7.86
0.14,0.12,-1.43,-5.40,-1.51,-11.25
0.17,0.14,-1.40,-9.36,-3.28,-15.18
0.17,0.13,-1.37,-11.86,-6.32,-18.14
0.15,0.13,-1.34,-13.40,-8.32,-20.09
0.13,0.11,-1.32,-13.89,-9.22,-21.08
0.10,0.11,-1.31,-14.23,-8.81,-21.11
0.07,0.09,-1.29,-14.24,-6.69,-20.05
0.03,0.08,-1.29,-14.67,-3.39,-17.74
0.02,0.05,-1.28,-15.80,-0.08,-15.45
0.03,0.05,-1.26,-17.27,2.08,-13.27
0.07,0.04,-1.24,-18.61,2.81,-11.66
0.07,0.05,-1.23,-19.34,2.87,-10.58
0.10,0.03,-1.22,-20.18,3.36,-10.64
0.09,0.02,-1.20,-21.79,3.63,-11.27
0.08,0.01,-1.20,-23.42,4.26,-11.53
0.13,0.01,-1.18,-24.40,3.11,-12.55
0.11,-0.01,-1.15,-25.10,1.13,-13.27
0.07,-0.01,-1.13,-25.33,0.53,-13.39
0.06,-0.03,-1.12,-24.89,0.43,-13.27
0.05,-0.04,-1.09,-24.05,0.38,-12.92
0.04,-0.05,-1.07,-22.73,0.18,-12.03
0.03,-0.05,-1.05,-20.90,0.03,-10.95
0.03,-0.05,-1.03,-17.89,-0.32,-9.92
0.03,-0.04,-1.02,-14.72,-0.73,-8.75
0.01,-0.04,-1.02,-11.48,-0.03,-7.91
-0.00,-0.04,-1.03,-8.58,0.72,-6.14
-0.01,-0.05,-1.05,-7.34,1.63,-3.80
-0.01,-0.07,-1.08,-7.13,3.11,-1.59
-0.02,-0.07,-1.08,-7.25,5.07,0.41
-0.01,-0.06,-1.08,-7.37,6.63,2.82
-0.00,-0.06,-1.09,-8.09,7.95,4.41
0.03,-0.08,-1.10,-9.25,8.53,4.41
0.05,-0.08,-1.09,-10.46,7.53,3.66
0.06,-0.07,-1.07,-10.50,5.33,2.84
0.07,-0.08,-1.08,-10.70,3.21,2.12
0.07,-0.08,-1.06,-10.44,1.91,0.75
0.06,-0.08,-1.07,-10.05,0.95,-0.61
0.06,-0.08,-1.06,-8.82,0.09,-1.62
0.07,-0.07,-1.06,-7.16,-1.22,-2.82
0.06,-0.05,-1.06,-4.73,-1.80,-3.65
0.05,-0.04,-1.06,-2.47,-2.44,-4.18
0.04,-0.05,-1.08,-0.79,-2.31,-4.29
0.03,-0.06,-1.10,-0.29,-1.56,-4.41
0.01,-0.07,-1.13,-0.95,-0.69,-3.82
0.00,-0.07,-1.14,-2.50,0.23,-2.96
-0.00,-0.07,-1.14,-4.09,1.51,-1.42
-0.01,-0.06,-1.15,-5.25,3.02,0.50
-0.00,-0.07,-1.15,-6.64,4.60,1.18
