acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.320,0.039,-1.095,-5.878,2.718,-0.458,0
0.327,0.036,-1.100,-5.649,2.748,-0.366,4051
0.324,0.044,-1.102,-5.344,2.855,-0.565,8065
0.321,0.034,-1.094,-5.740,2.733,-0.443,12076
0.324,0.030,-1.094,-6.198,2.382,-0.397,16087
0.326,0.038,-1.094,-6.412,1.802,-0.489,20099
0.323,0.032,-1.092,-6.366,1.573,-0.687,24110
0.324,0.031,-1.097,-6.244,0.931,-0.611,28120
0.328,0.039,-1.090,-6.092,0.718,-0.656,32131
0.311,0.045,-1.089,-5.954,0.489,-0.748,36142
0.310,0.042,-1.093,-5.863,0.504,-0.885,40153
0.310,0.051,-1.090,-5.802,0.550,-0.718,44164
0.313,0.051,-1.098,-5.725,0.779,-0.595,48175
0.305,0.047,-1.090,-5.634,1.023,-0.275,52186
0.305,0.046,-1.082,-5.817,1.252,-0.351,56197
0.307,0.044,-1.090,-5.435,1.313,-0.015,60208
0.305,0.046,-1.089,-5.405,1.679,0.092,64219
0.322,0.046,-1.092,-5.573,1.527,0.214,68230
0.315,0.048,-1.092,-5.695,1.527,0.489,72241
0.321,0.044,-1.096,-5.954,1.023,0.687,76252
0.321,0.045,-1.091,-6.092,0.687,0.656,80263
0.323,0.036,-1.094,-6.061,0.458,0.412,84274
0.319,0.041,-1.091,-6.076,0.137,0.489,88285
0.323,0.037,-1.087,-6.198,0.260,0.305,92296
0.319,0.047,-1.089,-6.168,0.305,0.076,96307
0.314,0.042,-1.095,-6.183,0.489,0.198,100319
0.316,0.045,-1.088,-6.275,1.038,0.031,104330
0.310,0.048,-1.080,-6.214,1.832,-0.092,108342
0.309,0.047,-1.089,-5.954,2.031,0.000,112353
0.307,0.052,-1.079,-5.603,2.565,0.015,116364
0.306,0.049,-1.085,-5.466,2.931,0.107,120375
0.311,0.050,-1.078,-5.588,3.160,0.015,124386
0.312,0.044,-1.093,-5.939,3.115,-0.092,128397
0.324,0.052,-1.086,-6.183,2.870,-0.153,132409
0.325,0.046,-1.082,-6.443,2.137,-0.214,136420
0.326,0.042,-1.090,-6.626,1.420,-0.595,140432
0.331,0.044,-1.095,-6.550,0.870,-0.763,144443
0.321,0.047,-1.087,-6.382,0.260,-0.977,148453
0.330,0.041,-1.086,-6.260,-0.489,-0.855,152465
0.316,0.045,-1.091,-6.260,-0.733,-0.809,156476
