acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.323,-0.119,-1.093,0.687,2.916,1.130,0
0.324,-0.121,-1.100,0.947,3.298,1.160,4053
0.328,-0.130,-1.094,1.145,3.588,1.191,8069
0.336,-0.129,-1.092,1.435,4.046,1.053,12080
0.337,-0.134,-1.096,1.221,4.153,0.794,16091
0.335,-0.139,-1.100,1.099,4.397,0.641,20102
0.335,-0.148,-1.100,0.656,4.153,0.504,24113
0.341,-0.148,-1.105,-0.015,4.168,0.015,28124
0.347,-0.152,-1.107,-0.855,3.832,-0.656,32135
0.339,-0.153,-1.104,-1.878,3.344,-1.282,36147
0.350,-0.144,-1.103,-2.809,2.595,-1.893,40157
0.353,-0.145,-1.108,-3.649,1.786,-2.611,44168
0.345,-0.133,-1.109,-4.122,1.053,-3.130,48179
0.344,-0.135,-1.112,-4.641,0.336,-3.771,52190
0.347,-0.125,-1.110,-4.748,-0.168,-4.214,56201
0.338,-0.119,-1.102,-4.550,-0.443,-4.519,60212
0.335,-0.117,-1.097,-4.473,-0.840,-4.687,64223
0.331,-0.115,-1.096,-4.076,-0.870,-4.870,68234
0.327,-0.112,-1.103,-4.015,-1.099,-4.962,72245
0.318,-0.121,-1.104,-3.878,-1.145,-4.794,76256
0.317,-0.112,-1.099,-3.588,-1.252,-4.595,80268
0.317,-0.114,-1.088,-3.496,-1.389,-4.275,84279
0.323,-0.110,-1.093,-3.084,-1.527,-3.924,88290
0.323,-0.116,-1.098,-2.794,-1.511,-3.511,92302
0.313,-0.109,-1.105,-2.366,-1.466,-3.191,96312
0.311,-0.105,-1.098,-1.847,-1.344,-2.687,100323
0.313,-0.110,-1.093,-1.267,-0.931,-2.153,104335
0.310,-0.107,-1.099,-0.763,-0.580,-1.802,108346
0.313,-0.105,-1.096,-0.489,-0.458,-1.679,112357
0.306,-0.115,-1.092,-0.229,-0.107,-1.359,116368
0.297,-0.113,-1.096,-0.153,0.244,-0.901,120379
0.300,-0.113,-1.103,-0.015,0.718,-0.626,124390
0.298,-0.107,-1.099,0.031,1.160,-0.382,128401
0.308,-0.120,-1.106,-0.076,1.282,-0.336,132412
0.310,-0.120,-1.109,-0.275,1.603,0.092,136423
0.316,-0.128,-1.111,-0.351,1.634,0.229,140434
0.324,-0.128,-1.110,-0.656,1.527,0.412,144445
0.332,-0.128,-1.116,-0.885,1.405,0.580,148456
0.333,-0.129,-1.115,-1.496,0.885,0.580,152467
0.331,-0.132,-1.116,-2.244,0.229,0.565,156479
0.335,-0.131,-1.115,-2.733,-0.336,0.351,160490
0.331,-0.133,-1.115,-3.237,-1.206,0.214,164501
0.328,-0.129,-1.111,-3.649,-1.664,0.015,168512
0.333,-0.131,-1.115,-4.183,-2.015,-0.305,172523
0.331,-0.124,-1.106,-4.427,-2.153,-0.580,176534
0.326,-0.121,-1.103,-4.565,-2.305,-0.534,180545
0.324,-0.121,-1.113,-4.656,-2.305,-0.397,184557
0.325,-0.113,-1.105,-4.427,-2.443,-0.550,188567
0.330,-0.111,-1.104,-4.137,-2.229,-0.382,192578
0.326,-0.107,-1.095,-3.679,-2.122,-0.214,196589
0.335,-0.113,-1.106,-3.328,-1.832,0.168,200600
0.324,-0.112,-1.100,-2.855,-1.649,0.382,204611
0.325,-0.115,-1.111,-2.229,-1.267,0.748,208622
0.323,-0.116,-1.099,-1.664,-0.977,1.115,212642
0.328,-0.122,-1.105,-1.435,-0.824,1.435,216654
0.334,-0.116,-1.107,-1.115,-0.748,1.603,220664
0.332,-0.119,-1.109,-1.099,-0.656,1.695,224675
0.336,-0.126,-1.108,-1.023,-0.366,1.832,228686
0.331,-0.123,-1.109,-1.084,-0.443,2.092,232704
0.331,-0.127,-1.101,-1.130,0.061,1.802,236715
0.331,-0.123,-1.106,-1.359,0.122,1.573,240726
0.337,-0.128,-1.102,-1.405,0.305,1.359,244737
0.337,-0.136,-1.107,-1.817,0.366,1.298,248748
0.350,-0.140,-1.095,-2.305,0.336,1.008,252759
0.349,-0.135,-1.110,-2.687,0.275,0.427,256770
0.341,-0.141,-1.122,-3.389,-0.076,-0.076,260781
0.339,-0.137,-1.099,-3.756,-0.198,-0.427,264792
0.342,-0.134,-1.102,-4.305,-0.397,-0.809,268799
0.347,-0.135,-1.113,-4.870,-0.611,-1.053,272810
0.350,-0.133,-1.109,-5.191,-0.824,-1.618,276821
0.354,-0.129,-1.110,-5.374,-1.206,-1.924,280832
0.344,-0.123,-1.105,-5.557,-1.313,-2.076,284843
0.342,-0.122,-1.110,-5.435,-1.359,-2.305,288854
0.335,-0.115,-1.104,-5.191,-1.603,-2.260,292865
0.337,-0.113,-1.100,-4.885,-1.527,-2.351,296876
0.337,-0.106,-1.098,-4.397,-1.389,-2.382,300888
0.333,-0.105,-1.107,-4.046,-1.237,-2.168,304899
0.339,-0.111,-1.107,-3.679,-1.023,-2.153,308910
0.333,-0.110,-1.099,-3.252,-0.794,-1.954,312925
0.323,-0.108,-1.100,-2.947,-0.550,-1.756,316936
0.324,-0.116,-1.112,-2.718,-0.565,-1.374,320947
0.331,-0.115,-1.109,-2.534,-0.229,-1.237,324958
0.326,-0.117,-1.102,-2.397,-0.153,-0.840,328969
0.333,-0.117,-1.109,-2.321,0.275,-0.626,332988
0.333,-0.123,-1.097,-2.489,0.489,-0.565,336999
0.335,-0.124,-1.094,-2.443,0.687,-0.534,341010
0.331,-0.125,-1.099,-2.580,0.931,-0.473,345022
0.327,-0.125,-1.100,-3.038,0.962,-0.611,349033
0.332,-0.126,-1.096,-3.573,1.221,-0.840,353054
0.327,-0.128,-1.102,-3.878,1.237,-0.885,357065
0.329,-0.132,-1.095,-4.397,1.542,-1.252,361076
0.333,-0.133,-1.099,-4.962,1.588,-1.527,365087
0.333,-0.129,-1.108,-5.435,1.695,-1.985,369098
0.343,-0.140,-1.101,-5.847,1.573,-2.473,373110
0.341,-0.129,-1.101,-6.198,1.466,-2.809,377121
0.344,-0.125,-1.102,-6.595,1.145,-3.115,381133
0.335,-0.124,-1.096,-6.519,0.992,-3.328,385144
0.337,-0.118,-1.096,-6.580,0.687,-3.618,389155
0.334,-0.119,-1.092,-6.366,0.672,-3.542,393165
0.329,-0.112,-1.088,-5.863,0.473,-3.847,397176
0.338,-0.105,-1.085,-5.542,0.214,-3.466,401187
0.328,-0.106,-1.085,-4.916,0.351,-3.267,405198
0.327,-0.108,-1.086,-4.366,0.275,-3.145,409209
0.330,-0.104,-1.088,-3.664,0.305,-2.824,413230
0.327,-0.109,-1.083,-3.420,0.198,-2.656,417241
0.327,-0.116,-1.085,-3.160,0.366,-2.305,421253
0.321,-0.119,-1.089,-3.130,0.290,-2.244,425263
0.321,-0.122,-1.081,-3.191,0.290,-2.122,429274
0.319,-0.122,-1.088,-3.344,0.198,-2.061,433295
0.326,-0.119,-1.085,-3.435,0.198,-2.183,437306
0.314,-0.124,-1.084,-3.618,0.275,-2.092,441317
0.316,-0.126,-1.081,-3.817,0.351,-2.290,445328
0.318,-0.125,-1.086,-4.214,0.473,-2.427,449339
0.316,-0.121,-1.088,-4.443,0.397,-2.824,453351
0.318,-0.123,-1.093,-4.565,0.489,-2.763,457362
0.312,-0.130,-1.087,-4.336,0.427,-2.794,461374
0.312,-0.121,-1.089,-4.351,0.519,-2.779,465385
0.308,-0.123,-1.082,-4.443,0.611,-2.672,469396
0.315,-0.127,-1.087,-4.260,0.565,-2.580,473407
0.316,-0.125,-1.082,-4.000,0.656,-2.275,477418
0.315,-0.128,-1.081,-3.756,0.870,-2.076,481429
0.316,-0.119,-1.092,-3.420,0.916,-1.786,485441
0.311,-0.122,-1.085,-2.718,0.977,-1.130,489452
0.313,-0.125,-1.090,-2.214,1.206,-0.931,493463
0.318,-0.128,-1.085,-2.153,1.405,-0.550,497474
0.323,-0.131,-1.089,-1.908,1.527,-0.229,501486
0.323,-0.133,-1.092,-1.802,1.618,-0.137,505497
0.326,-0.136,-1.094,-1.695,1.542,0.183,509508
0.323,-0.137,-1.083,-2.031,1.435,0.198,513519
0.331,-0.138,-1.085,-1.969,1.176,-0.031,517529
0.329,-0.136,-1.083,-2.366,0.870,-0.321,521540
0.331,-0.133,-1.084,-2.672,0.824,-0.611,525551
0.332,-0.135,-1.077,-3.099,0.412,-0.809,529562
0.327,-0.140,-1.079,-3.389,0.321,-1.328,533572
0.326,-0.135,-1.067,-3.771,0.244,-1.405,537583
0.324,-0.132,-1.071,-3.878,-0.092,-1.863,541594
0.324,-0.129,-1.070,-4.183,-0.290,-2.153,545605
0.316,-0.122,-1.057,-4.214,-0.382,-2.183,549617
