acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.336,0.099,-1.082,-9.221,5.069,-3.740,0
0.335,0.100,-1.071,-9.756,5.603,-3.847,4051
0.318,0.102,-1.066,-9.985,6.198,-4.122,8064
0.318,0.113,-1.057,-9.878,6.641,-4.046,12075
0.308,0.115,-1.048,-9.496,7.435,-3.832,16086
0.296,0.122,-1.039,-9.237,8.534,-3.435,20098
0.294,0.122,-1.041,-8.992,9.557,-2.824,24109
0.300,0.119,-1.050,-8.107,10.107,-1.969,28119
0.311,0.124,-1.044,-7.740,10.656,-1.206,32130
0.321,0.118,-1.040,-7.405,10.412,-0.855,36141
0.332,0.106,-1.050,-7.099,9.939,-0.855,40153
0.343,0.094,-1.043,-7.115,8.443,-0.794,44164
0.349,0.088,-1.040,-7.130,7.176,-1.038,48176
0.356,0.081,-1.031,-7.282,5.466,-1.313,52187
0.357,0.070,-1.039,-7.252,3.344,-1.542,56199
0.358,0.080,-1.039,-7.496,1.863,-1.802,60210
0.351,0.080,-1.039,-7.679,0.611,-1.771,64221
0.346,0.081,-1.041,-7.496,-0.718,-1.985,68233
0.333,0.086,-1.038,-7.313,-1.389,-1.771,72244
0.329,0.104,-1.036,-6.595,-1.725,-1.756,76255
0.329,0.107,-1.035,-5.527,-2.290,-1.634,80266
0.333,0.104,-1.050,-4.275,-2.244,-1.252,84277
0.340,0.103,-1.067,-3.023,-2.580,-0.931,88288
0.353,0.093,-1.075,-2.427,-3.282,-0.244,92299
0.365,0.072,-1.084,-1.969,-3.969,0.015,96310
0.374,0.057,-1.083,-1.969,-4.947,0.229,100322
0.377,0.038,-1.088,-2.046,-5.786,0.000,104333
0.374,0.036,-1.099,-2.443,-6.183,-0.137,108345
0.376,0.031,-1.107,-3.084,-6.916,-0.779,112356
0.376,0.030,-1.116,-4.168,-6.977,-1.160,116367
0.376,0.026,-1.110,-5.008,-6.412,-1.847,120378
0.366,0.025,-1.112,-6.565,-6.015,-2.443,124389
0.366,0.016,-1.115,-7.725,-5.420,-2.855,128400
0.361,0.029,-1.112,-8.611,-4.443,-2.702,132411
0.350,0.029,-1.104,-9.298,-3.176,-3.084,136423
0.343,0.043,-1.107,-9.466,-1.893,-3.023,140434
0.342,0.045,-1.107,-9.527,-0.489,-2.885,144445
0.338,0.060,-1.094,-9.496,0.565,-2.611,148456
0.345,0.059,-1.097,-9.435,1.328,-2.260,152467
0.348,0.055,-1.100,-9.267,2.458,-1.893,156478
0.350,0.060,-1.096,-9.145,2.550,-1.481,160489
0.354,0.058,-1.082,-9.008,2.992,-1.023,164500
0.356,0.059,-1.095,-8.931,3.160,-0.641,168511
0.357,0.056,-1.094,-8.702,3.099,-0.336,172522
0.358,0.060,-1.090,-8.565,3.405,-0.168,176533
0.363,0.068,-1.091,-8.733,3.267,-0.137,180544
0.366,0.069,-1.071,-9.053,3.420,-0.183,184555
0.366,0.071,-1.071,-9.389,3.420,-0.427,188565
0.366,0.072,-1.080,-9.771,3.649,-0.855,192576
0.356,0.072,-1.077,-9.817,3.725,-1.099,196587
0.361,0.080,-1.083,-9.832,3.817,-1.298,200598
0.362,0.086,-1.075,-9.802,3.939,-1.481,204609
0.366,0.088,-1.076,-9.664,4.397,-1.649,208621
0.366,0.091,-1.073,-9.573,4.412,-1.481,212641
0.365,0.090,-1.075,-9.511,4.244,-1.679,216652
0.363,0.091,-1.071,-9.359,4.351,-1.893,220663
0.366,0.097,-1.075,-9.435,4.214,-2.351,224674
0.374,0.092,-1.074,-9.221,4.382,-2.595,228685
0.376,0.092,-1.068,-9.359,3.847,-3.069,232703
0.372,0.093,-1.075,-9.405,3.466,-3.740,236714
0.376,0.090,-1.069,-9.649,2.916,-4.214,240725
0.376,0.092,-1.075,-9.573,2.168,-4.870,244736
0.375,0.097,-1.072,-9.359,1.405,-5.176,248747
0.373,0.099,-1.070,-9.634,0.733,-5.817,252758
0.373,0.106,-1.063,-9.679,0.168,-6.198,256769
0.367,0.106,-1.071,-9.878,-0.733,-6.534,260780
0.359,0.103,-1.061,-9.939,-1.282,-7.191,264791
0.354,0.119,-1.058,-9.588,-1.618,-7.160,268798
0.338,0.119,-1.057,-9.130,-1.939,-7.160,272809
0.338,0.134,-1.060,-8.351,-2.031,-6.962,276820
0.334,0.140,-1.072,-7.603,-1.863,-6.748,280832
0.336,0.138,-1.077,-7.069,-1.817,-6.137,284843
0.339,0.128,-1.075,-6.504,-1.954,-5.817,288855
0.330,0.131,-1.079,-5.863,-1.863,-5.359,292865
0.331,0.121,-1.079,-5.481,-1.939,-5.099,296877
0.334,0.123,-1.091,-5.405,-1.664,-4.901,300887
0.336,0.123,-1.086,-5.511,-1.359,-4.992,304898
0.335,0.121,-1.087,-5.435,-0.901,-4.977,308910
0.339,0.123,-1.094,-5.573,-0.687,-4.962,312925
0.339,0.114,-1.101,-5.420,-0.473,-4.855,316936
0.348,0.106,-1.104,-5.756,-0.382,-4.962,320948
0.354,0.111,-1.111,-6.092,-0.702,-5.084,324959
0.361,0.104,-1.113,-6.656,-1.053,-5.267,328970
0.361,0.102,-1.107,-7.496,-1.573,-5.771,332991
0.361,0.101,-1.112,-8.183,-2.015,-6.046,337002
0.355,0.095,-1.110,-8.397,-2.580,-6.443,341013
0.345,0.099,-1.108,-8.794,-2.794,-6.412,345025
0.341,0.103,-1.105,-8.809,-3.420,-6.626,349036
0.334,0.103,-1.100,-9.084,-3.420,-6.366,353057
0.326,0.100,-1.107,-9.008,-3.450,-5.969,357068
0.327,0.104,-1.094,-9.069,-3.344,-5.557,361079
0.315,0.107,-1.090,-8.855,-2.397,-4.885,365090
0.302,0.095,-1.094,-8.565,-1.527,-3.969,369101
0.300,0.101,-1.082,-8.397,-1.786,-3.069,373111
0.304,0.105,-1.084,-8.031,-0.718,-2.718,377122
0.300,0.103,-1.089,-7.466,0.702,-1.924,381133
0.297,0.099,-1.089,-7.038,2.168,-1.008,385145
0.309,0.090,-1.090,-6.733,2.962,0.000,389156
0.314,0.079,-1.094,-6.656,3.740,0.504,393166
0.326,0.072,-1.089,-6.687,4.076,0.840,397177
0.337,0.059,-1.082,-6.855,3.924,0.962,401188
0.340,0.055,-1.081,-6.901,3.634,0.809,405199
0.348,0.053,-1.081,-7.130,3.176,0.763,409210
0.352,0.049,-1.065,-7.496,2.550,0.748,413231
0.351,0.050,-1.065,-7.893,2.290,0.534,417242
0.342,0.048,-1.070,-8.183,1.618,0.550,421253
0.345,0.046,-1.065,-8.733,1.038,0.122,425264
0.343,0.050,-1.058,-9.191,0.687,-0.107,429276
0.339,0.050,-1.055,-9.115,0.550,-0.427,433297
0.340,0.057,-1.055,-9.420,0.321,-0.656,437307
0.333,0.058,-1.042,-9.557,0.260,-1.115,441318
0.323,0.060,-1.040,-9.527,0.061,-1.374,445329
0.324,0.064,-1.045,-9.099,-0.046,-1.496,449340
0.320,0.058,-1.045,-8.763,0.015,-1.450,453351
0.338,0.066,-1.058,-8.504,-0.641,-1.145,457362
0.341,0.059,-1.058,-8.351,-1.405,-0.992,461373
0.353,0.056,-1.051,-8.122,-2.763,-0.779,465385
0.348,0.050,-1.053,-7.679,-3.969,-0.702,469396
0.351,0.053,-1.051,-7.267,-5.267,-0.779,473407
0.353,0.053,-1.056,-6.763,-6.427,-0.718,477418
0.354,0.050,-1.065,-6.565,-7.145,-0.840,481429
0.351,0.048,-1.050,-6.702,-8.092,-1.313,485440
0.341,0.042,-1.064,-6.519,-8.458,-1.710,489451
0.339,0.037,-1.076,-6.489,-8.305,-1.969,493462
0.336,0.044,-1.072,-6.321,-7.924,-2.351,497473
0.333,0.038,-1.081,-6.443,-7.695,-2.550,501484
0.326,0.042,-1.074,-6.397,-7.008,-2.794,505496
0.338,0.045,-1.079,-6.443,-6.244,-3.130,509507
0.334,0.038,-1.086,-6.473,-5.542,-3.252,513517
0.328,0.037,-1.085,-6.733,-4.855,-3.252,517528
0.327,0.035,-1.086,-6.580,-4.092,-3.115,521539
0.330,0.035,-1.087,-7.099,-3.389,-3.038,525550
0.323,0.036,-1.081,-7.557,-3.115,-3.099,529561
0.328,0.029,-1.074,-7.832,-2.137,-3.008,533572
0.318,0.035,-1.080,-8.168,-1.435,-3.160,537583
0.324,0.043,-1.075,-8.275,-0.962,-3.053,541595
0.328,0.040,-1.078,-8.336,-0.473,-3.130,545606
0.329,0.049,-1.078,-8.000,-0.137,-2.748,549617
0.330,0.058,-1.075,-7.542,0.168,-2.550,553637
0.327,0.063,-1.075,-7.252,0.153,-2.061,557648
0.336,0.061,-1.070,-6.992,0.260,-1.832,561659
0.331,0.065,-1.076,-6.656,0.198,-1.466,565670
0.350,0.068,-1.073,-6.198,-0.168,-1.420,569681
0.341,0.069,-1.079,-5.908,-0.779,-1.450,573701
0.356,0.071,-1.080,-5.649,-1.115,-1.893,577712
0.361,0.074,-1.086,-5.893,-1.863,-1.954,581723
0.372,0.073,-1.080,-6.061,-3.099,-2.687,585734
0.368,0.066,-1.080,-6.122,-4.122,-3.038,589745
0.373,0.081,-1.086,-6.412,-5.405,-3.573,593755
0.374,0.077,-1.085,-6.489,-6.458,-4.107,597766
0.375,0.078,-1.082,-6.489,-7.725,-4.473,601777
0.362,0.081,-1.093,-6.595,-8.473,-4.641,605789
0.354,0.080,-1.088,-6.458,-8.656,-4.718,609800
0.339,0.087,-1.099,-6.458,-9.206,-4.824,613810
0.336,0.086,-1.091,-6.351,-8.931,-4.809,617821
0.333,0.081,-1.097,-6.351,-8.412,-4.962,621832
0.320,0.086,-1.105,-6.336,-7.802,-5.221,625843
0.317,0.084,-1.110,-6.198,-6.916,-5.069,629855
0.317,0.090,-1.112,-6.153,-5.924,-4.901,633874
0.310,0.092,-1.106,-6.092,-5.221,-4.779,637887
0.309,0.090,-1.103,-6.305,-4.366,-4.672,641898
0.304,0.087,-1.111,-6.473,-3.389,-4.290,645909
0.306,0.087,-1.119,-6.595,-2.840,-4.137,649920
0.312,0.094,-1.120,-7.023,-2.290,-4.092,653931
0.315,0.090,-1.118,-7.466,-2.351,-3.969,657942
0.333,0.088,-1.118,-8.046,-2.260,-3.939,661953
0.336,0.084,-1.118,-8.565,-2.916,-4.153,665964
0.334,0.082,-1.114,-8.931,-3.664,-4.214,669975
0.336,0.092,-1.106,-9.130,-4.382,-4.260,673986
0.339,0.097,-1.119,-9.237,-5.130,-4.458,677997
0.320,0.094,-1.117,-9.328,-5.588,-4.275,682009
0.315,0.089,-1.105,-9.267,-5.802,-4.137,686020
0.317,0.091,-1.115,-9.603,-5.664,-3.985,690031
0.312,0.093,-1.123,-9.817,-5.450,-3.740,694042
0.301,0.085,-1.113,-10.031,-5.298,-3.588,698053
0.304,0.086,-1.119,-10.061,-4.687,-3.328,702065
0.299,0.085,-1.114,-9.939,-4.412,-2.870,706075
0.302,0.085,-1.114,-9.847,-3.725,-2.504,710086
0.294,0.097,-1.112,-9.832,-3.191,-2.198,714097
0.295,0.095,-1.115,-10.015,-2.687,-1.908,718105
0.296,0.098,-1.117,-10.153,-1.954,-1.664,722117
0.297,0.094,-1.106,-10.412,-1.832,-1.573,726127
0.297,0.092,-1.105,-10.611,-1.573,-1.374,730138
0.306,0.092,-1.111,-10.794,-1.527,-1.542,734149
0.301,0.091,-1.105,-10.748,-1.603,-1.221,738156
0.306,0.102,-1.105,-10.977,-1.603,-0.824,742167
0.296,0.103,-1.095,-10.779,-1.679,-0.626,746179
0.304,0.107,-1.096,-10.534,-1.771,-0.290,750190
0.295,0.101,-1.099,-10.229,-1.542,0.198,754201
0.295,0.109,-1.091,-9.832,-1.466,0.656,758213
0.300,0.107,-1.081,-9.420,-1.084,1.084,762224
0.293,0.109,-1.093,-9.389,-0.840,1.237,766236
0.287,0.103,-1.092,-9.389,-0.290,1.511,770247
0.294,0.100,-1.090,-9.405,-0.366,1.420,774258
0.290,0.111,-1.084,-9.282,0.427,1.710,778270
0.284,0.104,-1.078,-9.344,0.580,1.511,782281
0.294,0.107,-1.083,-9.420,1.160,1.664,786292
0.302,0.104,-1.078,-9.191,0.840,1.649,790303
0.314,0.109,-1.078,-9.282,0.779,1.481,794314
0.315,0.110,-1.068,-9.038,0.092,1.389,798329
0.322,0.105,-1.071,-8.672,-0.748,1.069,802340
0.325,0.107,-1.066,-8.656,-1.985,1.038,806351
0.325,0.101,-1.062,-8.351,-3.176,0.977,810362
0.334,0.095,-1.077,-7.878,-4.412,0.748,814373
0.336,0.092,-1.071,-7.740,-5.557,0.733,818384
0.330,0.094,-1.073,-7.557,-6.458,0.687,822395
0.324,0.086,-1.073,-7.557,-7.099,0.290,826406
0.316,0.086,-1.080,-7.664,-7.344,0.107,830417
0.305,0.088,-1.069,-7.924,-7.191,-0.336,834428
0.299,0.091,-1.080,-8.031,-6.519,-0.901,838439
0.296,0.094,-1.071,-8.061,-5.679,-1.053,842450
0.283,0.092,-1.088,-7.939,-4.504,-1.282,846461
0.290,0.093,-1.077,-7.634,-3.252,-1.542,850472
0.291,0.098,-1.080,-7.405,-2.443,-1.649,854483
0.289,0.097,-1.077,-7.160,-1.634,-1.588,858494
0.289,0.098,-1.083,-6.656,-0.779,-1.328,862505
0.293,0.102,-1.081,-6.275,-0.244,-0.992,866516
0.298,0.098,-1.077,-5.969,0.061,-0.733,870527
0.309,0.099,-1.085,-5.786,0.061,-1.038,874538
0.326,0.093,-1.083,-5.756,-0.580,-1.252,878549
0.339,0.088,-1.093,-6.031,-1.664,-1.695,882561
0.341,0.083,-1.090,-6.305,-2.809,-2.382,886572
0.344,0.083,-1.093,-6.443,-4.000,-2.977,890584
0.336,0.080,-1.084,-6.855,-5.405,-3.450,894595
0.332,0.085,-1.092,-7.176,-6.458,-4.046,898606
0.328,0.091,-1.080,-7.374,-7.115,-4.183,902617
0.324,0.109,-1.085,-7.328,-7.435,-4.046,906628
0.313,0.110,-1.082,-7.389,-7.664,-3.969,910639
0.304,0.111,-1.081,-6.870,-7.313,-3.725,914650
0.299,0.115,-1.081,-6.519,-6.840,-3.618,918661
0.292,0.108,-1.078,-5.893,-6.260,-3.527,922682
0.292,0.121,-1.077,-5.573,-5.374,-3.298,926693
0.285,0.123,-1.073,-5.008,-4.626,-3.191,930704
0.287,0.120,-1.076,-4.382,-4.061,-3.267,934715
0.286,0.125,-1.074,-3.985,-3.389,-3.130,938726
0.290,0.125,-1.071,-3.389,-3.069,-2.992,942741
0.292,0.123,-1.074,-3.053,-2.763,-2.794,946752
0.294,0.126,-1.077,-2.397,-2.550,-2.641,950764
0.288,0.118,-1.069,-1.954,-2.580,-2.534,954775
0.303,0.120,-1.070,-1.542,-2.763,-2.092,958785
0.290,0.112,-1.076,-1.817,-3.206,-1.985,962797
0.288,0.107,-1.066,-2.137,-3.542,-1.771,966808
0.296,0.108,-1.069,-2.260,-3.588,-1.817,970819
0.291,0.101,-1.074,-2.397,-3.435,-1.832,974830
0.291,0.108,-1.080,-2.153,-3.573,-2.137,978841
0.288,0.112,-1.071,-2.198,-3.450,-1.985,982851
0.289,0.107,-1.083,-1.924,-3.344,-2.046,986863
0.298,0.102,-1.084,-1.832,-3.313,-2.031,990874
0.296,0.103,-1.082,-1.634,-3.176,-1.863,994885
0.295,0.099,-1.088,-1.496,-3.221,-1.817,998897
0.296,0.091,-1.090,-1.084,-3.389,-1.969,1002906
0.290,0.096,-1.092,-1.099,-2.977,-1.664,1006917
0.280,0.099,-1.083,-0.977,-2.489,-1.664,1010928
0.280,0.097,-1.089,-0.855,-2.305,-1.634,1014939
0.277,0.094,-1.085,-0.382,-1.359,-1.115,1018950
0.274,0.094,-1.093,-0.397,-0.580,-0.702,1022969
0.277,0.095,-1.085,-0.656,0.046,-0.229,1026980
0.277,0.088,-1.106,-0.840,1.008,0.122,1030991
0.286,0.090,-1.094,-0.962,1.649,0.687,1035002
0.290,0.086,-1.100,-1.481,2.015,0.962,1039013
0.304,0.088,-1.099,-2.076,1.756,0.901,1043034
0.310,0.086,-1.095,-2.885,1.618,0.519,1047045
0.317,0.083,-1.094,-3.573,0.794,0.260,1051057
0.316,0.074,-1.099,-4.321,0.076,-0.137,1055067
0.309,0.078,-1.094,-4.733,-0.794,-0.366,1059078
0.307,0.091,-1.082,-5.160,-1.985,-0.519,1063090
0.305,0.094,-1.083,-5.496,-2.534,-0.412,1067100
0.290,0.096,-1.091,-5.710,-2.855,-0.076,1071111
0.283,0.101,-1.081,-5.802,-2.611,0.153,1075122
0.275,0.095,-1.079,-6.305,-1.832,0.458,1079133
0.260,0.097,-1.084,-6.214,-0.779,1.069,1083143
0.243,0.106,-1.078,-6.061,0.351,1.710,1087155
0.235,0.106,-1.076,-5.679,1.802,2.427,1091165
0.250,0.102,-1.082,-5.359,3.191,3.099,1095176
0.247,0.097,-1.083,-5.252,4.427,3.878,1099187
0.256,0.096,-1.085,-5.237,5.267,4.198,1103208
0.267,0.093,-1.086,-5.023,5.817,4.977,1107219
0.266,0.091,-1.071,-4.977,6.351,5.756,1111230
0.267,0.092,-1.090,-4.733,6.962,6.031,1115241
0.277,0.097,-1.088,-4.336,7.282,6.519,1119252
0.281,0.097,-1.101,-4.229,7.267,6.779,1123273
0.285,0.092,-1.096,-4.504,7.069,6.748,1127285
0.301,0.091,-1.099,-4.885,6.458,6.702,1131296
0.305,0.085,-1.091,-5.634,5.450,6.672,1135307
0.303,0.087,-1.095,-6.000,4.427,6.397,1139319
0.299,0.082,-1.089,-6.855,3.481,6.214,1143336
0.299,0.077,-1.092,-7.328,2.718,5.939,1147347
0.289,0.086,-1.097,-7.588,2.641,5.969,1151358
0.277,0.079,-1.087,-7.618,2.824,6.275,1155369
0.263,0.101,-1.090,-7.481,3.298,6.397,1159380
0.253,0.104,-1.091,-7.130,4.321,6.718,1163392
0.237,0.111,-1.090,-6.992,5.863,7.344,1167403
0.229,0.112,-1.089,-6.580,6.870,7.908,1171415
0.236,0.115,-1.077,-6.458,8.534,8.321,1175425
0.234,0.109,-1.079,-5.924,10.092,9.023,1179436
0.242,0.109,-1.087,-5.603,11.130,9.389,1183447
0.245,0.110,-1.086,-5.405,11.710,9.863,1187458
0.262,0.097,-1.088,-5.282,12.000,10.427,1191469
0.282,0.088,-1.083,-5.649,11.511,10.519,1195480
0.296,0.074,-1.083,-6.351,10.061,10.687,1199491
0.312,0.072,-1.084,-7.130,8.366,11.191,1203502
0.324,0.062,-1.079,-7.954,6.336,11.420,1207514
0.332,0.057,-1.080,-8.534,4.198,11.176,1211525
0.334,0.061,-1.074,-9.252,2.275,11.008,1215536
0.324,0.067,-1.066,-9.573,0.718,10.656,1219547
0.324,0.066,-1.065,-9.725,-0.412,10.015,1223556
0.310,0.079,-1.062,-9.832,-1.160,9.908,1227567
0.305,0.081,-1.067,-9.282,-1.786,9.160,1231578
0.303,0.085,-1.069,-8.626,-0.718,9.099,1235590
0.280,0.088,-1.057,-7.527,1.740,9.725,1239601
0.305,0.083,-1.068,-6.321,2.382,10.305,1243620
0.304,0.083,-1.060,-5.954,3.939,10.229,1247631
0.303,0.075,-1.060,-5.221,6.473,9.908,1251642
0.312,0.075,-1.065,-4.809,8.718,9.924,1255654
0.308,0.068,-1.070,-4.229,11.038,9.985,1259665
0.311,0.068,-1.068,-3.893,13.008,9.756,1263686
0.314,0.072,-1.062,-3.511,15.130,9.115,1267697
0.328,0.069,-1.057,-3.374,16.443,8.351,1271709
0.343,0.078,-1.063,-3.328,17.832,7.466,1275720
0.347,0.080,-1.051,-3.328,18.061,6.672,1279731
0.365,0.081,-1.056,-3.298,17.527,5.710,1283743
0.391,0.083,-1.057,-3.237,15.527,4.351,1287753
0.412,0.082,-1.054,-2.870,13.267,2.931,1291764
0.413,0.085,-1.055,-2.336,11.298,2.275,1295775
0.429,0.080,-1.060,-1.939,7.405,1.008,1299786
0.432,0.082,-1.056,-1.588,3.725,-0.290,1303799
0.425,0.092,-1.056,-1.252,0.244,-1.634,1307810
0.423,0.087,-1.075,-0.916,-2.718,-2.763,1311820
0.411,0.094,-1.076,-0.458,-5.374,-3.710,1315831
0.397,0.101,-1.076,-0.275,-8.015,-4.794,1319842
0.377,0.093,-1.080,0.092,-9.924,-5.557,1323863
0.364,0.097,-1.082,0.397,-11.282,-6.489,1327874
0.344,0.094,-1.081,0.427,-12.275,-7.130,1331885
0.331,0.100,-1.080,0.305,-13.084,-7.618,1335896
0.315,0.095,-1.083,0.031,-13.145,-7.985,1339916
0.297,0.095,-1.092,-0.046,-13.145,-7.802,1343927
0.283,0.091,-1.092,-0.061,-12.977,-7.420,1347938
0.279,0.093,-1.092,0.092,-12.412,-6.855,1351949
0.269,0.086,-1.094,0.198,-11.481,-6.015,1355960
0.269,0.091,-1.102,0.061,-10.626,-5.389,1359971
0.264,0.086,-1.106,-0.061,-10.153,-4.519,1363982
0.262,0.078,-1.108,-0.595,-9.038,-3.969,1367994
0.262,0.070,-1.103,-0.962,-8.122,-3.527,1372004
0.255,0.073,-1.101,-1.664,-7.130,-3.038,1376015
0.250,0.064,-1.104,-2.046,-5.863,-2.672,1380026
0.255,0.070,-1.109,-2.366,-4.580,-1.985,1384037
0.268,0.072,-1.098,-2.458,-3.618,-1.695,1388048
0.269,0.076,-1.091,-2.931,-3.023,-1.649,1392059
0.275,0.071,-1.087,-3.267,-2.672,-1.481,1396070
0.271,0.072,-1.083,-3.740,-2.305,-1.176,1400081
0.280,0.070,-1.078,-4.000,-2.107,-0.702,1404092
0.278,0.071,-1.078,-4.214,-1.969,-0.504,1408104
0.282,0.075,-1.073,-3.893,-1.557,-0.183,1412115
0.278,0.074,-1.068,-3.786,-1.389,0.397,1416126
0.276,0.077,-1.054,-3.405,-1.679,0.412,1420137
0.277,0.074,-1.066,-3.053,-1.053,0.550,1424148
0.284,0.075,-1.071,-2.489,-0.947,0.763,1428159
0.289,0.075,-1.074,-1.817,-1.359,0.947,1432171
0.294,0.067,-1.071,-1.664,-1.695,0.977,1436182
0.304,0.059,-1.065,-1.542,-2.290,0.840,1440194
0.308,0.066,-1.064,-1.481,-3.649,0.412,1444205
0.313,0.063,-1.053,-1.450,-4.977,-0.168,1448218
0.311,0.060,-1.059,-1.374,-6.092,-0.656,1452229
0.302,0.067,-1.063,-1.221,-7.038,-1.130,1456241
0.293,0.080,-1.068,-1.206,-7.969,-1.649,1460252
0.288,0.079,-1.062,-1.237,-8.565,-2.168,1464263
0.290,0.078,-1.071,-1.069,-9.435,-2.351,1468275
0.273,0.083,-1.065,-0.855,-9.756,-2.641,1472286
0.274,0.083,-1.070,-0.458,-10.137,-2.641,1476298
0.260,0.084,-1.062,-0.168,-10.382,-2.137,1480308
0.252,0.081,-1.057,0.122,-10.076,-1.893,1484319
0.251,0.078,-1.071,0.885,-9.420,-1.481,1488331
0.241,0.083,-1.064,1.267,-8.977,-0.992,1492343
0.233,0.084,-1.063,1.802,-7.435,-0.122,1496353
0.223,0.088,-1.064,2.000,-5.908,0.595,1500364
0.220,0.088,-1.058,2.046,-4.183,1.649,1504375
0.208,0.083,-1.058,2.168,-2.305,2.290,1508386
0.206,0.081,-1.062,2.366,-0.595,2.870,1512398
