acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.20,0.09,-1.10,-3.28,2.78,0.23
0.20,0.09,-1.11,-2.72,2.61,0.41
0.21,0.08,-1.11,-2.75,2.73,0.64
0.20,0.08,-1.11,-2.70,2.55,0.55
0.21,0.07,-1.11,-2.79,2.49,0.35
0.21,0.08,-1.11,-3.22,2.43,0.37
0.21,0.08,-1.11,-3.30,2.23,0.09
0.21,0.08,-1.11,-3.07,2.17,0.24
0.21,0.09,-1.12,-2.61,1.89,0.49
0.21,0.08,-1.12,-2.50,1.85,-0.09
0.21,0.07,-1.12,-3.01,2.35,-0.32
0.21,0.07,-1.12,-3.98,2.61,-0.82
0.22,0.07,-1.13,-5.01,2.76,-1.18
0.22,0.07,-1.12,-5.89,3.28,-1.39
0.23,0.07,-1.13,-6.87,2.73,-1.85
0.22,0.07,-1.12,-7.65,2.87,-2.06
0.23,0.08,-1.12,-7.86,2.58,-2.08
0.22,0.10,-1.12,-7.22,2.34,-1.89
0.23,0.10,-1.12,-5.56,1.98,-1.80
0.22,0.10,-1.11,-3.98,1.86,-1.85
0.21,0.10,-1.11,-2.69,2.21,-1.89
0.21,0.09,-1.11,-1.66,2.02,-1.95
0.21,0.08,-1.11,-1.25,2.24,-2.02
0.22,0.08,-1.11,-1.44,2.32,-2.14
0.22,0.07,-1.10,-1.53,2.43,-2.37
0.21,0.07,-1.11,-2.27,2.24,-2.50
0.22,0.06,-1.11,-3.62,2.37,-2.73
0.23,0.06,-1.11,-5.02,2.02,-2.79
0.22,0.06,-1.11,-6.43,1.31,-2.84
0.23,0.06,-1.12,-7.31,0.99,-2.78
0.23,0.07,-1.11,-8.20,0.12,-3.16
0.21,0.07,-1.11,-8.70,-0.29,-3.36
0.21,0.08,-1.11,-8.85,0.38,-3.47
0.21,0.08,-1.12,-8.49,0.46,-3.04
0.20,0.09,-1.12,-7.85,0.99,-2.69
0.20,0.08,-1.11,-7.04,1.76,-2.44
0.20,0.08,-1.12,-6.24,2.56,-2.52
0.20,0.08,-1.11,-5.53,3.13,-2.67
0.20,0.08,-1.11,-4.76,3.83,-2.11
0.19,0.08,-1.11,-4.55,4.03,-1.83
0.20,0.07,-1.12,-4.70,4.35,-1.45
0.20,0.07,-1.11,-5.33,4.12,-1.04
