acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.275,0.187,-1.084,-5.725,0.916,-1.206,0
0.280,0.201,-1.086,-6.611,0.214,-1.496,4051
0.279,0.199,-1.088,-7.328,-0.061,-1.679,8064
0.279,0.202,-1.083,-7.359,-0.718,-1.542,12075
0.272,0.211,-1.085,-7.115,-1.435,-1.237,16086
0.276,0.207,-1.077,-7.191,-1.817,-1.069,20097
0.275,0.212,-1.076,-7.450,-2.275,-1.069,24108
0.268,0.224,-1.073,-7.542,-2.443,-0.672,28118
0.262,0.220,-1.068,-7.374,-2.550,-0.489,32130
0.254,0.224,-1.069,-7.099,-1.847,-0.107,36140
0.245,0.222,-1.062,-6.137,-1.053,-0.122,40151
0.242,0.220,-1.067,-5.282,0.153,0.198,44163
0.252,0.226,-1.065,-4.992,1.130,0.122,48171
0.252,0.226,-1.064,-4.855,2.443,0.412,52182
0.255,0.216,-1.067,-4.641,3.130,0.504,56193
0.252,0.220,-1.060,-4.427,3.786,0.595,60204
0.265,0.217,-1.065,-4.351,4.168,0.565,64215
0.270,0.211,-1.068,-4.137,4.183,0.626,68227
0.271,0.208,-1.075,-4.336,3.832,0.687,72238
0.277,0.197,-1.084,-4.397,3.542,0.855,76249
0.272,0.206,-1.071,-5.053,2.992,0.733,80260
0.270,0.201,-1.079,-5.496,2.397,0.611,84271
0.263,0.206,-1.075,-5.847,2.015,0.794,88283
0.272,0.205,-1.069,-6.427,1.420,0.534,92294
0.269,0.211,-1.065,-6.137,1.328,0.260,96306
0.271,0.209,-1.073,-5.725,1.023,-0.031,100317
0.267,0.212,-1.074,-5.588,0.168,-0.321,104328
0.264,0.204,-1.072,-5.893,0.397,-0.351,108340
0.280,0.212,-1.073,-6.885,-1.267,-1.221,112351
0.270,0.215,-1.066,-6.611,-0.656,-1.389,116363
0.256,0.213,-1.077,-6.656,-2.107,0.290,120373
0.274,0.212,-1.066,-5.924,-1.786,1.298,124384
0.269,0.220,-1.076,-5.145,-1.221,1.160,128395
0.251,0.233,-1.072,-4.336,-0.885,0.840,132406
0.250,0.229,-1.073,-4.137,-0.550,0.656,136417
0.241,0.216,-1.070,-4.015,0.458,1.420,140428
0.247,0.217,-1.073,-3.954,1.542,1.191,144439
0.248,0.210,-1.068,-3.573,2.000,1.038,148450
0.252,0.208,-1.077,-3.847,2.992,1.130,152461
0.249,0.202,-1.083,-3.863,3.649,1.084,156472
0.260,0.191,-1.084,-3.969,3.634,0.855,160483
0.269,0.199,-1.080,-4.305,3.099,0.519,164494
0.275,0.195,-1.083,-5.115,2.519,0.565,168505
0.277,0.188,-1.084,-6.046,1.573,0.672,172516
0.278,0.191,-1.085,-7.069,1.053,0.595,176527
0.278,0.194,-1.083,-7.405,0.718,0.794,180538
0.270,0.202,-1.081,-7.191,0.229,1.038,184549
0.267,0.208,-1.083,-7.038,0.229,1.237,188559
0.257,0.217,-1.074,-6.290,0.473,1.313,192571
0.259,0.226,-1.076,-5.847,0.794,1.450,196581
0.266,0.223,-1.075,-5.527,1.206,1.252,200592
0.261,0.223,-1.075,-5.008,1.786,1.252,204603
0.264,0.213,-1.074,-4.137,2.107,1.252,208615
0.275,0.209,-1.075,-3.649,2.244,1.405,212626
0.275,0.201,-1.072,-3.206,2.351,1.206,216637
0.291,0.197,-1.083,-3.496,2.168,1.160,220648
0.285,0.199,-1.081,-4.046,1.771,1.099,224659
0.290,0.193,-1.080,-4.931,1.573,0.687,228671
0.283,0.192,-1.083,-5.557,1.084,0.611,232690
0.288,0.195,-1.091,-5.893,0.504,0.565,236701
0.294,0.203,-1.085,-5.924,0.000,0.427,240712
0.284,0.206,-1.089,-5.893,-0.046,0.168,244723
0.285,0.205,-1.078,-6.107,-0.168,0.122,248736
0.288,0.205,-1.071,-6.305,-0.473,-0.015,252747
0.273,0.208,-1.075,-6.427,-0.290,-0.443,256758
0.267,0.206,-1.070,-6.336,0.321,-0.885,260769
0.268,0.221,-1.071,-6.000,0.458,-1.084,264780
0.259,0.212,-1.073,-5.756,1.160,-0.992,268793
0.260,0.207,-1.069,-5.527,1.649,-0.519,272804
0.258,0.207,-1.073,-5.771,2.107,-0.656,276815
0.261,0.210,-1.071,-6.076,2.443,-0.626,280826
0.265,0.211,-1.070,-6.290,2.473,-0.397,284837
0.266,0.216,-1.070,-6.366,2.168,-0.412,288848
0.265,0.227,-1.071,-6.092,2.076,-0.153,292858
0.270,0.227,-1.071,-5.435,2.107,0.168,296869
0.269,0.234,-1.066,-4.611,2.244,0.229,300880
0.270,0.246,-1.061,-4.275,1.649,0.214,304891
0.260,0.235,-1.056,-3.847,1.908,0.107,308903
0.270,0.242,-1.065,-4.092,1.466,0.229,312914
