acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.273,0.090,-1.094,-5.099,1.405,-1.206,1185476745
0.275,0.093,-1.098,-5.023,1.237,-0.992,1185480789
0.278,0.088,-1.092,-4.672,1.313,-0.977,1185484803
0.280,0.083,-1.094,-4.458,1.282,-0.733,1185488814
0.276,0.091,-1.095,-4.412,1.282,-0.565,1185492826
0.278,0.092,-1.095,-4.840,1.145,-0.718,1185496837
0.280,0.084,-1.096,-5.038,0.565,-0.565,1185500848
0.280,0.085,-1.088,-5.115,0.580,-0.718,1185504855
0.282,0.084,-1.085,-5.145,-0.061,-0.687,1185508867
0.272,0.085,-1.084,-4.931,-0.198,-0.580,1185512877
0.270,0.083,-1.090,-4.794,-0.183,-0.931,1185516888
0.260,0.087,-1.089,-4.992,0.000,-1.008,1185520899
0.261,0.082,-1.096,-5.282,0.183,-1.420,1185524906
0.253,0.088,-1.085,-5.573,0.611,-1.588,1185528917
0.266,0.091,-1.087,-5.939,1.344,-1.832,1185532928
0.260,0.085,-1.094,-6.198,2.198,-1.664,1185536939
0.251,0.081,-1.093,-6.183,2.702,-2.031,1185540950
0.254,0.089,-1.101,-6.321,2.977,-1.740,1185544962
0.251,0.092,-1.087,-6.321,3.237,-1.435,1185548973
0.253,0.089,-1.083,-6.397,3.405,-1.115,1185552984
0.255,0.088,-1.088,-6.427,3.450,-1.115,1185556995
0.255,0.092,-1.092,-6.382,3.420,-0.931,1185561006
0.265,0.093,-1.085,-6.153,2.962,-0.840,1185565018
0.262,0.098,-1.090,-5.649,2.779,-0.977,1185569029
0.266,0.090,-1.087,-5.527,2.092,-0.794,1185573041
0.269,0.091,-1.089,-5.328,1.527,-0.718,1185577051
0.272,0.088,-1.081,-5.405,1.053,-0.626,1185581062
0.271,0.085,-1.073,-5.557,0.366,-0.321,1185585073
0.266,0.093,-1.085,-5.435,0.122,-0.183,1185589084
0.267,0.090,-1.093,-5.252,-0.412,-0.107,1185593095
0.262,0.088,-1.085,-4.779,-0.595,0.076,1185597106
0.257,0.089,-1.087,-4.718,-0.718,0.412,1185601117
0.251,0.094,-1.081,-4.611,-0.962,0.443,1185605127
0.257,0.094,-1.083,-5.115,-0.565,0.763,1185609138
0.248,0.092,-1.081,-5.221,-0.336,0.855,1185613149
0.251,0.100,-1.088,-5.282,0.153,0.779,1185617160
0.251,0.098,-1.073,-5.221,0.382,0.687,1185621171
0.248,0.091,-1.077,-4.962,0.870,0.672,1185625182
0.245,0.089,-1.083,-4.565,1.053,0.824,1185629193
0.246,0.091,-1.082,-4.519,1.206,0.931,1185633203
0.256,0.091,-1.083,-4.672,0.947,1.115,1185637214
0.264,0.093,-1.087,-4.885,1.206,1.237,1185641226
0.269,0.091,-1.078,-4.779,1.267,1.206,1185645237
0.268,0.092,-1.087,-4.641,1.237,0.977,1185649248
0.274,0.090,-1.086,-4.794,0.870,0.916,1185653259
0.273,0.079,-1.090,-4.656,0.885,0.656,1185657270
0.274,0.089,-1.084,-4.977,0.885,0.718,1185661281
0.276,0.088,-1.083,-5.313,0.672,0.382,1185665293
0.277,0.092,-1.086,-5.359,0.763,0.382,1185669304
0.273,0.091,-1.078,-5.740,0.519,0.229,1185673315
0.278,0.088,-1.084,-5.618,0.702,0.198,1185677326
0.275,0.087,-1.083,-5.496,0.641,0.198,1185681337
0.275,0.091,-1.083,-5.145,0.733,0.122,1185685349
0.281,0.089,-1.089,-5.053,0.458,0.214,1185689360
0.278,0.088,-1.093,-5.038,0.305,0.183,1185693371
0.279,0.093,-1.090,-5.282,0.489,0.214,1185697382
0.274,0.091,-1.090,-4.977,0.275,0.198,1185701393
0.276,0.095,-1.089,-4.626,0.260,0.137,1185705405
0.276,0.091,-1.082,-4.092,0.275,0.153,1185709426
0.272,0.091,-1.083,-3.847,0.565,-0.046,1185713437
0.271,0.089,-1.088,-3.634,1.115,-0.229,1185717448
0.271,0.089,-1.097,-3.863,1.405,-0.366,1185721459
0.273,0.088,-1.092,-4.031,1.802,-0.733,1185725470
0.267,0.084,-1.100,-4.183,2.107,-0.641,1185729483
0.264,0.083,-1.100,-3.985,2.611,-0.809,1185733494
0.274,0.083,-1.103,-3.893,3.038,-0.916,1185737505
