acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.250,-0.045,-1.063,0.366,14.076,-14.580,1385293066
0.254,-0.042,-1.068,1.176,13.344,-15.145,1385297095
0.250,-0.049,-1.062,1.450,12.611,-15.618,1385301105
0.253,-0.052,-1.068,1.985,11.527,-16.076,1385305115
0.248,-0.054,-1.069,2.275,10.382,-16.855,1385309125
0.250,-0.052,-1.066,2.305,9.664,-17.725,1385313134
0.240,-0.055,-1.068,1.832,8.855,-18.229,1385317144
0.239,-0.059,-1.082,1.740,8.229,-18.885,1385321155
0.234,-0.054,-1.076,1.405,7.435,-19.664,1385325164
0.222,-0.054,-1.081,1.160,6.779,-20.076,1385329173
0.221,-0.065,-1.079,1.221,6.244,-20.397,1385333183
0.214,-0.060,-1.075,1.191,6.092,-20.763,1385337193
0.208,-0.062,-1.070,0.763,5.405,-21.328,1385341203
0.202,-0.050,-1.086,0.809,5.496,-21.710,1385345213
0.196,-0.050,-1.085,0.550,5.466,-21.802,1385349223
0.183,-0.046,-1.084,0.977,5.511,-22.305,1385353233
0.183,-0.048,-1.082,0.840,5.695,-22.229,1385357243
0.178,-0.049,-1.089,1.084,5.511,-22.580,1385361253
0.187,-0.049,-1.090,0.947,5.282,-22.336,1385365263
0.182,-0.058,-1.089,1.191,4.702,-22.550,1385369273
0.185,-0.062,-1.099,1.496,5.145,-22.595,1385373283
0.181,-0.063,-1.099,1.786,4.473,-22.947,1385377292
0.179,-0.061,-1.100,2.076,4.687,-22.702,1385381303
0.175,-0.059,-1.109,2.672,4.122,-22.656,1385385314
0.176,-0.063,-1.102,3.099,3.863,-22.397,1385389324
0.171,-0.073,-1.121,3.328,3.527,-22.000,1385393333
0.174,-0.077,-1.122,3.313,3.359,-21.969,1385397343
0.169,-0.079,-1.130,3.481,3.435,-21.328,1385401353
0.179,-0.081,-1.136,3.298,3.160,-21.099,1385405363
0.178,-0.085,-1.137,3.115,3.252,-20.763,1385409372
0.170,-0.092,-1.133,2.962,2.931,-20.611,1385413382
0.176,-0.086,-1.147,2.534,3.099,-20.275,1385417392
0.175,-0.091,-1.140,1.908,3.282,-20.229,1385421402
0.165,-0.096,-1.155,1.603,3.450,-19.969,1385425411
0.180,-0.097,-1.150,1.359,3.878,-20.061,1385429421
0.183,-0.099,-1.146,1.176,3.802,-19.817,1385433431
0.181,-0.097,-1.160,0.824,3.817,-19.756,1385437441
0.191,-0.103,-1.161,0.550,3.725,-19.802,1385441451
0.191,-0.101,-1.145,0.504,3.954,-20.183,1385445460
0.199,-0.109,-1.143,0.366,4.137,-20.061,1385449469
0.204,-0.102,-1.140,0.504,4.595,-20.351,1385453478
0.202,-0.115,-1.145,0.519,4.992,-20.473,1385457488
0.205,-0.101,-1.133,-0.015,5.573,-20.489,1385461498
0.216,-0.100,-1.133,-0.275,5.603,-21.038,1385465507
0.220,-0.109,-1.129,-0.458,5.771,-21.344,1385469517
0.229,-0.106,-1.126,-0.656,5.725,-22.031,1385473527
0.229,-0.101,-1.126,-0.580,5.237,-22.870,1385477537
0.236,-0.107,-1.116,-0.824,4.748,-23.679,1385481546
0.229,-0.099,-1.116,-0.916,4.000,-24.382,1385485556
0.234,-0.107,-1.104,-0.992,3.084,-25.053,1385489565
0.234,-0.102,-1.103,-0.855,2.336,-25.893,1385493574
0.235,-0.099,-1.102,-0.748,1.588,-26.626,1385497584
0.229,-0.091,-1.101,-0.397,0.824,-27.374,1385501595
0.218,-0.085,-1.109,0.275,0.229,-28.122,1385505606
0.209,-0.083,-1.105,1.115,-0.748,-28.687,1385509615
0.197,-0.087,-1.104,1.802,-1.527,-28.763,1385513624
0.195,-0.092,-1.112,2.290,-2.504,-29.176,1385517634
0.187,-0.093,-1.111,2.214,-2.855,-29.069,1385521643
0.180,-0.092,-1.123,2.366,-3.573,-29.359,1385525653
0.175,-0.095,-1.116,2.443,-4.473,-29.267,1385529663
