acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.10,0.05,-1.08,-16.23,1.80,-4.66
0.10,0.05,-1.09,-13.89,1.30,-3.21
0.10,0.04,-1.10,-11.89,0.49,-1.69
0.09,0.02,-1.11,-10.35,0.11,0.24
0.08,0.01,-1.11,-9.95,-0.82,2.27
0.07,-0.00,-1.12,-9.25,-1.04,4.12
0.08,-0.02,-1.11,-9.89,-1.95,5.42
0.08,-0.01,-1.10,-9.89,-2.35,5.73
0.09,-0.01,-1.10,-10.15,-2.95,5.45
0.10,-0.00,-1.10,-10.35,-3.34,4.53
0.08,-0.00,-1.10,-9.89,-3.44,3.62
0.09,0.01,-1.11,-8.76,-3.54,3.01
0.09,0.02,-1.12,-7.94,-2.85,2.32
0.09,0.01,-1.13,-7.36,-2.58,1.92
0.09,-0.00,-1.13,-7.36,-2.32,1.98
0.08,-0.02,-1.13,-8.17,-1.48,2.21
0.08,-0.04,-1.13,-9.21,-0.69,2.84
0.09,-0.06,-1.12,-11.10,0.34,3.08
0.09,-0.06,-1.11,-12.81,1.48,2.14
0.10,-0.07,-1.09,-14.73,1.85,1.16
0.10,-0.06,-1.09,-15.98,2.18,-0.23
0.11,-0.05,-1.08,-16.85,2.37,-1.71
0.11,-0.04,-1.08,-16.89,2.11,-2.89
0.11,-0.03,-1.07,-16.43,1.69,-3.69
0.10,-0.02,-1.08,-15.33,0.76,-3.97
0.10,-0.01,-1.06,-13.91,-0.23,-3.30
0.09,-0.02,-1.08,-12.34,-1.51,-2.41
0.08,-0.01,-1.10,-11.37,-3.07,-0.55
0.07,-0.01,-1.10,-9.92,-5.07,1.51
0.07,-0.00,-1.11,-9.15,-6.37,3.50
0.07,-0.00,-1.12,-7.39,-7.91,4.75
0.06,0.00,-1.12,-5.56,-8.63,5.30
0.06,0.02,-1.12,-2.70,-9.42,5.25
0.05,0.03,-1.12,-0.55,-9.74,5.62
0.04,0.05,-1.14,2.38,-9.50,5.37
0.04,0.05,-1.16,4.95,-9.01,4.99
0.03,0.04,-1.16,7.71,-8.09,4.98
0.03,0.04,-1.17,9.22,-6.75,5.11
0.02,0.02,-1.17,10.50,-5.30,5.07
0.02,0.00,-1.18,10.82,-3.88,4.85
0.02,-0.01,-1.18,11.45,-1.97,3.91
0.02,-0.01,-1.19,10.92,-0.55,2.67
0.03,-0.01,-1.19,10.99,1.31,1.05
0.04,-0.01,-1.20,10.46,2.89,-0.75
0.04,-0.01,-1.20,10.29,3.88,-1.88
0.04,-0.02,-1.21,8.44,4.34,-2.69
0.04,-0.04,-1.21,6.31,3.91,-2.17
0.04,-0.06,-1.21,2.93,3.48,-0.58
0.04,-0.07,-1.22,-0.40,2.92,1.21
0.04,-0.08,-1.20,-4.75,1.91,2.64
0.02,-0.08,-1.19,-8.18,0.82,2.84
0.02,-0.08,-1.16,-11.68,0.55,2.29
0.03,-0.05,-1.17,-13.66,-0.08,1.07
0.02,-0.04,-1.15,-15.74,-0.82,-0.44
0.02,-0.02,-1.13,-15.83,-1.18,-1.68
0.02,-0.01,-1.12,-15.68,-1.15,-2.53
0.02,0.00,-1.12,-14.32,-1.16,-2.64
0.01,0.01,-1.10,-13.45,-1.27,-2.49
0.01,0.01,-1.10,-10.93,-1.56,-1.98
0.01,0.00,-1.09,-9.33,-1.68,-1.47
0.01,0.01,-1.09,-6.66,-1.73,-0.41
0.00,0.00,-1.09,-5.40,-2.32,0.47
0.01,0.00,-1.10,-3.04,-2.14,1.45
0.01,0.00,-1.10,-1.57,-2.37,2.35
0.01,-0.00,-1.10,0.46,-2.20,2.64
0.01,-0.00,-1.09,1.25,-2.00,2.49
0.01,-0.01,-1.11,2.11,-1.57,2.12
0.00,-0.02,-1.12,1.80,-1.28,2.23
-0.00,-0.03,-1.13,1.86,-1.16,2.23
0.00,-0.04,-1.14,0.49,-0.92,2.82
0.01,-0.05,-1.14,-0.41,-0.82,3.74
-0.00,-0.05,-1.15,-2.50,-0.95,4.56
0.01,-0.06,-1.15,-4.05,-0.64,5.33
0.00,-0.07,-1.15,-6.24,-0.46,5.66
0.01,-0.06,-1.15,-7.74,-0.35,5.07
0.00,-0.06,-1.13,-9.69,0.11,4.29
0.01,-0.05,-1.13,-10.69,0.75,3.82
0.02,-0.05,-1.12,-11.57,1.62,3.34
0.02,-0.04,-1.11,-11.44,2.37,2.96
0.04,-0.02,-1.12,-10.87,2.70,2.67
0.04,0.01,-1.11,-9.21,2.67,2.93
0.04,0.02,-1.10,-8.49,2.18,3.68
0.04,0.01,-1.10,-6.92,1.74,4.32
0.04,-0.00,-1.11,-6.70,0.29,4.72
0.05,-0.02,-1.10,-6.05,-0.32,5.11
0.05,-0.04,-1.09,-5.51,-1.36,5.40
0.05,-0.06,-1.09,-5.33,-2.21,5.59
0.04,-0.07,-1.09,-5.39,-2.85,6.09
0.04,-0.06,-1.09,-5.44,-2.35,6.20
0.05,-0.05,-1.09,-5.76,-2.46,6.17
0.05,-0.04,-1.09,-5.83,-1.92,5.15
0.05,-0.05,-1.10,-6.27,-0.93,3.39
0.06,-0.04,-1.10,-6.84,-0.37,1.37
0.05,-0.05,-1.09,-6.58,-0.69,0.27
0.05,-0.04,-1.09,-6.44,-1.31,-0.23
0.05,-0.04,-1.10,-5.51,-1.54,0.29
0.06,-0.03,-1.11,-6.14,-1.59,1.21
0.05,-0.03,-1.11,-7.07,-1.65,2.69
0.05,-0.04,-1.12,-8.53,-2.05,2.95
0.06,-0.06,-1.12,-8.84,-2.53,2.15
0.06,-0.07,-1.11,-10.05,-2.56,0.17
0.07,-0.06,-1.10,-9.62,-2.46,-1.01
0.07,-0.04,-1.10,-9.34,-1.25,-1.98
0.06,-0.03,-1.12,-8.38,-0.75,-1.97
0.05,-0.02,-1.11,-8.34,-0.08,-2.03
0.05,-0.02,-1.12,-7.62,0.47,-1.62
0.05,-0.02,-1.12,-7.85,0.64,-1.22
0.05,-0.03,-1.13,-6.72,0.95,-1.62
0.04,-0.02,-1.11,-6.50,0.96,-1.82
0.05,-0.02,-1.11,-5.45,1.48,-2.37
0.04,-0.02,-1.11,-5.54,1.89,-2.81
0.03,-0.02,-1.12,-4.38,2.43,-3.08
0.04,-0.02,-1.11,-4.02,2.90,-3.51
