acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.194,0.060,-1.113,-6.275,-0.687,0.092,0
0.192,0.069,-1.109,-6.000,0.015,0.473,4051
0.189,0.067,-1.111,-5.649,0.595,0.702,8067
0.190,0.069,-1.121,-5.145,1.298,1.053,12079
0.196,0.069,-1.120,-4.840,2.290,1.328,16089
0.191,0.066,-1.117,-4.397,3.084,1.298,20100
0.195,0.060,-1.115,-4.397,3.252,1.374,24111
0.198,0.058,-1.111,-4.473,3.725,1.328,28122
0.202,0.061,-1.115,-4.565,4.076,0.977,32133
0.209,0.062,-1.110,-4.870,3.740,0.870,36144
0.203,0.055,-1.111,-4.992,3.435,0.504,40155
0.206,0.061,-1.114,-5.313,2.977,0.534,44166
0.208,0.052,-1.112,-5.649,2.382,0.092,48177
0.207,0.054,-1.122,-5.893,1.725,0.092,52188
0.210,0.059,-1.122,-6.473,1.282,0.153,56200
0.207,0.067,-1.114,-6.702,0.534,0.229,60210
0.201,0.059,-1.122,-6.702,0.275,0.214,64221
0.200,0.070,-1.113,-6.595,0.290,0.137,68232
0.190,0.064,-1.111,-6.336,0.427,0.122,72243
0.199,0.067,-1.108,-5.985,0.702,0.061,76254
0.188,0.068,-1.104,-5.710,1.115,0.275,80265
0.187,0.067,-1.118,-5.450,1.786,0.595,84276
0.188,0.063,-1.115,-5.145,2.076,0.641,88287
0.189,0.063,-1.109,-5.023,2.260,0.580,92298
0.208,0.061,-1.110,-5.099,1.985,0.519,96309
0.214,0.055,-1.116,-5.237,2.183,0.656,100320
0.223,0.056,-1.117,-5.481,1.221,0.748,104331
0.220,0.054,-1.120,-5.679,0.595,0.656,108344
0.219,0.055,-1.121,-6.229,-0.122,0.504,112355
0.215,0.059,-1.111,-6.748,-0.733,0.351,116366
0.210,0.056,-1.118,-6.687,-0.763,0.275,120377
0.204,0.060,-1.117,-6.626,-0.794,-0.137,124388
0.205,0.063,-1.118,-6.351,-0.443,-0.290,128399
0.198,0.058,-1.120,-6.214,0.107,-0.244,132410
0.193,0.063,-1.111,-6.244,0.748,-0.427,136421
0.194,0.057,-1.102,-6.107,1.313,-0.244,140432
0.196,0.054,-1.105,-6.015,1.679,-0.672,144443
0.196,0.054,-1.109,-6.076,2.275,-0.504,148454
0.201,0.063,-1.113,-5.954,2.611,-0.534,152465
0.203,0.059,-1.110,-6.000,2.779,-0.275,156476
0.213,0.053,-1.112,-5.954,2.779,-0.672,160487
0.213,0.061,-1.113,-6.076,2.855,-0.550,164498
0.214,0.059,-1.104,-6.168,2.565,-0.580,168511
0.213,0.059,-1.103,-6.290,2.031,-0.519,172521
0.215,0.061,-1.101,-6.351,1.618,-0.672,176532
0.213,0.058,-1.107,-6.260,1.344,-0.824,180543
0.210,0.065,-1.096,-6.198,0.947,-0.687,184554
0.209,0.062,-1.107,-5.771,0.580,-0.824,188564
0.214,0.065,-1.106,-5.832,0.366,-0.840,192575
0.214,0.052,-1.107,-5.786,-0.046,-0.840,196586
0.218,0.057,-1.102,-5.740,-0.595,-0.992,200597
0.214,0.053,-1.107,-5.802,-0.489,-1.053,204608
0.205,0.056,-1.108,-5.725,-0.931,-0.916,208620
0.208,0.053,-1.105,-5.878,-0.855,-0.763,212630
0.203,0.062,-1.111,-6.092,-1.053,-0.702,216641
0.202,0.058,-1.109,-6.076,-0.977,-0.855,220652
0.204,0.057,-1.095,-6.519,-0.748,-0.931,224663
0.201,0.056,-1.102,-6.809,-0.092,-0.977,228674
0.195,0.059,-1.103,-7.099,-0.137,-0.977,232692
0.197,0.054,-1.104,-7.221,0.366,-0.962,236703
0.203,0.061,-1.098,-7.145,0.824,-0.992,240715
0.202,0.059,-1.112,-6.947,1.038,-0.672,244726
0.201,0.065,-1.104,-6.901,1.298,-0.534,248736
0.204,0.065,-1.100,-6.427,1.511,-0.519,252748
0.203,0.068,-1.101,-5.893,1.847,-0.061,256759
0.200,0.070,-1.109,-5.191,2.198,0.183,260770
0.197,0.067,-1.115,-4.519,2.565,0.168,264781
0.207,0.069,-1.100,-4.061,2.947,0.427,268794
0.199,0.068,-1.097,-3.725,3.191,0.290,272805
0.202,0.066,-1.097,-3.206,3.649,0.290,276816
0.199,0.065,-1.109,-2.992,4.076,0.595,280827
0.209,0.062,-1.106,-2.962,4.244,0.626,284838
0.201,0.062,-1.114,-3.038,4.458,0.534,288849
0.204,0.064,-1.108,-3.176,4.702,0.794,292859
0.207,0.060,-1.116,-3.573,4.504,0.595,296870
0.211,0.049,-1.109,-4.000,4.443,0.214,300881
0.203,0.054,-1.108,-4.397,3.802,0.198,304892
0.216,0.056,-1.107,-4.733,3.344,0.122,308904
0.212,0.062,-1.108,-5.374,2.397,0.031,312920
0.211,0.060,-1.103,-5.863,2.046,-0.229,316931
0.208,0.060,-1.099,-6.412,1.435,-0.427,320942
0.205,0.067,-1.108,-6.962,0.641,-0.702,324953
0.205,0.062,-1.104,-7.160,0.458,-0.763,328964
0.203,0.067,-1.107,-7.328,0.015,-0.412,332984
0.200,0.058,-1.108,-7.252,-0.122,-0.519,336995
0.197,0.070,-1.106,-7.130,-0.366,-0.305,341006
0.195,0.065,-1.109,-6.733,0.076,0.198,345017
0.189,0.064,-1.108,-6.626,0.000,0.412,349028
0.187,0.062,-1.117,-6.214,0.366,0.519,353049
0.185,0.073,-1.105,-5.695,1.115,0.687,357060
0.192,0.073,-1.108,-5.221,1.649,0.855,361071
0.188,0.074,-1.114,-4.565,2.443,0.718,365082
0.194,0.067,-1.108,-4.214,2.947,1.053,369093
0.198,0.071,-1.105,-3.954,3.573,1.145,373105
0.193,0.069,-1.102,-3.740,4.137,1.298,377116
0.200,0.072,-1.109,-3.450,4.443,1.405,381127
0.202,0.071,-1.103,-3.359,4.626,1.527,385138
0.201,0.073,-1.108,-3.145,5.160,1.618,389149
