acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.317,0.004,-1.107,-2.458,-1.191,-1.115,0
0.327,0.001,-1.115,-2.748,-1.588,-1.237,4050
0.327,0.001,-1.118,-3.069,-1.863,-1.481,8063
0.323,0.002,-1.115,-3.282,-2.473,-1.756,12074
0.321,0.000,-1.104,-3.435,-2.641,-1.557,16085
0.317,0.003,-1.111,-3.389,-2.962,-1.527,20096
0.321,0.007,-1.102,-3.710,-2.840,-1.679,24107
0.312,0.005,-1.110,-3.282,-2.611,-1.649,28118
0.312,0.009,-1.105,-3.328,-2.351,-1.420,32129
0.311,0.009,-1.103,-3.252,-2.061,-1.466,36141
0.312,0.013,-1.099,-3.008,-1.237,-1.313,40152
0.309,0.012,-1.106,-2.916,-0.458,-1.191,44163
0.304,0.010,-1.109,-2.489,0.122,-1.206,48175
0.308,0.005,-1.101,-2.550,0.763,-0.733,52186
0.307,0.010,-1.110,-2.275,1.145,-1.267,56197
0.307,0.001,-1.102,-2.168,1.710,-1.298,60209
0.315,0.004,-1.108,-2.153,1.740,-1.634,64220
0.318,0.010,-1.112,-1.924,1.847,-2.031,68231
0.316,0.003,-1.104,-1.847,1.786,-2.000,72242
0.323,0.009,-1.105,-2.092,1.450,-2.076,76254
0.330,0.006,-1.108,-2.397,1.038,-2.229,80264
0.329,-0.004,-1.108,-2.473,0.427,-2.214,84275
0.327,0.003,-1.106,-2.748,-0.336,-2.305,88286
0.319,-0.001,-1.113,-2.977,-1.206,-2.427,92297
0.325,0.002,-1.107,-3.237,-1.573,-2.412,96308
0.325,0.011,-1.116,-3.313,-1.878,-2.153,100319
0.322,0.004,-1.109,-3.298,-2.305,-2.321,104330
0.319,0.013,-1.108,-3.252,-2.275,-2.229,108342
0.306,0.006,-1.107,-3.359,-2.168,-2.153,112353
0.305,0.015,-1.107,-3.298,-1.847,-2.290,116365
0.305,0.007,-1.102,-3.160,-1.374,-2.366,120376
0.306,0.008,-1.106,-3.069,-0.901,-2.534,124387
0.300,0.018,-1.112,-2.901,-0.275,-2.626,128398
0.291,0.015,-1.106,-2.565,0.092,-2.473,132409
0.295,0.020,-1.109,-2.275,0.611,-2.366,136421
0.300,0.013,-1.107,-2.153,1.099,-2.443,140431
0.299,0.015,-1.108,-1.939,1.603,-2.305,144442
0.304,0.016,-1.106,-1.618,1.847,-2.305,148453
0.303,0.016,-1.107,-1.420,2.198,-1.908,152464
0.302,0.010,-1.113,-1.282,2.305,-1.679,156475
0.300,0.015,-1.105,-1.573,2.244,-1.527,160486
0.308,0.011,-1.113,-1.527,2.168,-1.450,164497
0.309,0.006,-1.102,-1.878,1.771,-1.481,168507
0.312,-0.001,-1.101,-2.031,1.557,-1.221,172518
0.313,0.004,-1.101,-2.260,0.962,-1.405,176529
0.316,0.001,-1.097,-2.473,0.580,-1.466,180540
0.325,0.008,-1.102,-2.519,0.137,-1.573,184551
0.317,0.008,-1.105,-2.534,-0.656,-1.817,188561
0.313,0.006,-1.103,-2.855,-1.221,-1.969,192572
0.316,0.013,-1.104,-2.840,-1.618,-2.397,196583
0.309,0.011,-1.108,-2.702,-1.924,-2.260,200594
0.314,0.013,-1.115,-2.824,-2.229,-2.550,204605
0.306,0.007,-1.103,-2.870,-2.458,-2.641,208616
0.314,0.003,-1.110,-2.611,-2.321,-2.473,212627
0.301,0.012,-1.109,-2.718,-2.015,-2.275,216638
0.293,0.004,-1.108,-2.733,-1.588,-2.336,220649
0.290,0.012,-1.111,-2.733,-1.130,-2.198,224660
0.288,0.005,-1.107,-2.779,-0.580,-1.939,228672
0.295,0.005,-1.105,-2.809,-0.046,-1.542,232691
0.298,0.008,-1.111,-2.580,0.412,-1.695,236702
0.290,0.011,-1.109,-2.565,1.099,-1.634,240713
0.297,0.010,-1.116,-2.473,1.344,-1.450,244724
0.290,0.013,-1.110,-2.382,1.481,-1.496,248735
0.301,0.009,-1.104,-2.214,1.634,-1.298,252746
0.307,0.008,-1.104,-1.969,1.786,-1.313,256757
0.306,0.008,-1.111,-1.817,1.649,-1.160,260768
0.312,0.013,-1.119,-1.603,1.374,-1.099,264779
0.304,0.011,-1.117,-1.740,1.176,-1.038,268792
0.305,0.014,-1.112,-1.359,0.809,-0.962,272803
0.314,0.007,-1.118,-1.542,0.641,-0.870,276814
