acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.278,-0.046,-1.080,11.084,-25.435,0.061,0
0.282,-0.042,-1.078,11.679,-26.733,0.260,4046
0.286,-0.046,-1.079,12.214,-28.489,-0.168,8059
0.277,-0.034,-1.070,12.534,-30.214,-0.534,12070
0.277,-0.026,-1.072,12.824,-32.641,-0.534,16081
0.273,-0.024,-1.073,12.718,-35.145,-0.779,20092
0.270,-0.025,-1.069,12.366,-38.153,-0.840,24103
0.271,-0.031,-1.073,12.168,-40.779,-1.313,28115
0.270,-0.035,-1.072,12.000,-43.496,-1.252,32125
0.254,-0.036,-1.082,11.908,-46.489,-1.298,36136
0.250,-0.037,-1.074,12.000,-50.061,-0.901,40147
0.250,-0.034,-1.078,12.748,-53.511,-0.519,44158
0.239,-0.024,-1.084,13.908,-56.901,-0.092,48169
0.238,-0.026,-1.082,15.374,-60.015,0.687,52180
0.240,-0.017,-1.098,16.901,-63.328,1.679,56191
0.230,-0.016,-1.092,18.473,-66.962,2.718,60202
0.230,-0.015,-1.095,20.260,-70.351,3.924,64213
0.225,-0.029,-1.097,21.771,-73.237,4.901,68225
0.215,-0.028,-1.105,23.664,-76.031,5.939,72236
0.212,-0.031,-1.113,26.534,-79.664,8.244,76248
0.214,-0.046,-1.115,25.053,-81.145,8.824,80258
0.196,-0.048,-1.107,25.527,-82.427,8.076,84269
0.164,-0.040,-1.121,27.389,-83.618,7.496,88281
0.157,-0.050,-1.111,28.137,-83.557,7.695,92292
0.161,-0.047,-1.109,28.321,-83.298,7.298,96304
0.151,-0.048,-1.119,29.618,-82.885,6.504,100314
0.155,-0.060,-1.128,30.122,-82.641,5.985,104325
0.156,-0.058,-1.121,30.458,-82.656,5.282,108337
0.161,-0.070,-1.124,30.748,-83.603,5.160,112348
0.149,-0.077,-1.128,28.794,-83.176,3.298,116359
0.140,-0.071,-1.136,29.832,-83.924,2.122,120371
0.143,-0.082,-1.132,28.870,-84.611,1.221,124382
0.137,-0.098,-1.129,28.031,-85.130,0.489,128392
0.145,-0.101,-1.127,27.237,-86.321,-0.275,132403
0.146,-0.112,-1.129,25.847,-86.962,-1.267,136414
0.142,-0.118,-1.131,25.252,-88.550,-2.244,140425
0.144,-0.124,-1.126,23.786,-88.534,-3.344,144436
0.141,-0.125,-1.136,23.084,-89.344,-4.000,148446
0.142,-0.134,-1.129,22.076,-92.382,-4.885,152457
0.138,-0.126,-1.137,20.595,-93.298,-6.015,156468
0.126,-0.128,-1.140,19.435,-93.313,-7.420,160480
0.112,-0.130,-1.138,18.672,-93.847,-8.458,164491
0.107,-0.133,-1.150,17.985,-95.359,-9.618,168503
0.099,-0.133,-1.142,16.855,-97.756,-10.641,172514
0.092,-0.145,-1.151,15.695,-99.298,-12.229,176525
0.089,-0.136,-1.154,15.557,-101.191,-12.031,180536
0.087,-0.149,-1.150,13.832,-102.061,-13.084,184547
0.071,-0.155,-1.142,12.412,-102.397,-14.595,188557
0.052,-0.155,-1.138,12.382,-103.038,-15.969,192568
0.030,-0.158,-1.140,12.427,-103.695,-16.840,196579
0.016,-0.167,-1.140,10.153,-103.817,-18.168,200590
0.021,-0.164,-1.136,10.061,-104.031,-19.008,204601
0.023,-0.173,-1.135,10.076,-104.275,-19.435,208613
0.021,-0.192,-1.127,9.481,-104.718,-19.618,212624
0.022,-0.182,-1.123,8.763,-105.389,-19.481,216636
0.019,-0.196,-1.125,7.802,-106.137,-19.176,220647
0.012,-0.200,-1.110,5.878,-107.191,-19.282,224658
0.021,-0.209,-1.115,4.076,-108.122,-19.725,228670
0.011,-0.210,-1.121,2.427,-109.130,-20.198,232689
0.019,-0.221,-1.127,0.092,-111.099,-20.534,236700
0.020,-0.228,-1.113,-3.389,-111.710,-22.137,240711
0.009,-0.217,-1.110,-5.389,-112.840,-23.389,244722
-0.006,-0.210,-1.108,-8.260,-113.481,-25.954,248734
-0.019,-0.205,-1.094,-9.603,-114.244,-28.351,252745
