acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.256,0.017,-1.122,-8.122,0.443,-0.626,0
0.267,0.014,-1.127,-7.985,0.412,-0.580,4047
0.261,0.019,-1.124,-7.618,0.336,-0.901,8060
0.253,0.019,-1.114,-7.344,0.687,-0.580,12071
0.250,0.014,-1.115,-7.237,0.885,-0.580,16082
0.242,0.024,-1.105,-7.313,1.206,-0.412,20094
0.244,0.025,-1.114,-7.237,1.649,-0.366,24105
0.240,0.019,-1.117,-7.145,2.015,-0.321,28116
0.244,0.019,-1.114,-7.328,2.550,-0.031,32127
0.239,0.020,-1.111,-7.313,2.168,0.183,36138
0.242,0.024,-1.114,-7.206,2.458,-0.015,40149
0.238,0.027,-1.101,-7.084,2.519,0.458,44160
0.235,0.034,-1.103,-6.947,2.458,0.153,48172
0.235,0.036,-1.098,-6.626,2.412,0.397,52182
0.239,0.037,-1.104,-6.351,2.443,0.137,56193
0.236,0.030,-1.099,-5.985,2.351,0.198,60204
0.233,0.029,-1.105,-5.740,2.244,0.214,64215
0.235,0.026,-1.091,-5.542,2.198,0.168,68226
0.242,0.032,-1.105,-5.466,1.740,0.137,72237
0.248,0.024,-1.109,-5.679,1.359,0.076,76248
0.244,0.020,-1.112,-5.603,1.344,-0.076,80259
0.241,0.022,-1.111,-5.450,0.809,-0.260,84270
0.239,0.017,-1.116,-5.389,0.672,-0.076,88282
0.244,0.021,-1.113,-5.618,0.061,-0.107,92293
0.249,0.018,-1.119,-5.405,-0.214,0.000,96304
0.249,0.015,-1.110,-5.206,-0.397,0.076,100315
0.241,0.026,-1.112,-5.053,-0.321,0.321,104326
0.240,0.021,-1.103,-4.992,-0.183,0.336,108338
0.234,0.019,-1.111,-5.084,0.031,0.473,112349
0.230,0.018,-1.105,-5.099,0.321,0.382,116360
0.228,0.020,-1.104,-5.298,0.794,0.458,120372
0.240,0.025,-1.101,-5.252,1.466,0.382,124383
0.227,0.014,-1.106,-5.527,1.847,0.275,128393
0.234,0.025,-1.105,-5.771,2.305,0.183,132404
0.232,0.014,-1.107,-5.695,2.305,0.122,136415
0.243,0.021,-1.096,-5.634,2.656,0.214,140427
0.244,0.023,-1.096,-5.740,2.504,0.000,144438
0.242,0.024,-1.107,-5.756,2.214,0.076,148448
0.254,0.029,-1.103,-5.160,2.229,0.015,152459
0.245,0.031,-1.104,-4.931,2.031,0.183,156470
0.246,0.029,-1.098,-4.427,1.573,0.092,160481
0.252,0.023,-1.109,-4.458,0.855,0.122,164492
0.244,0.024,-1.100,-4.214,1.176,0.092,168504
0.247,0.022,-1.110,-4.015,1.099,0.305,172515
