acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.296,-0.142,-1.100,-2.260,-1.053,-1.603,0
0.297,-0.147,-1.112,-2.107,-1.160,-1.359,4049
0.301,-0.144,-1.102,-2.168,-1.359,-1.344,8062
0.299,-0.147,-1.097,-2.214,-0.687,-1.145,12074
0.295,-0.144,-1.102,-2.107,-1.008,-1.038,16084
0.293,-0.146,-1.106,-2.183,-1.099,-0.901,20095
0.298,-0.150,-1.094,-2.351,-0.687,-0.855,24107
0.296,-0.147,-1.100,-2.458,0.397,-0.855,28117
0.297,-0.149,-1.102,-2.702,1.038,-0.779,32128
0.301,-0.147,-1.112,-2.779,1.374,-0.641,36139
0.302,-0.143,-1.102,-2.580,1.145,-0.809,40151
0.308,-0.146,-1.113,-2.748,1.145,-0.718,44162
0.310,-0.143,-1.112,-2.702,1.115,-0.840,48170
0.315,-0.150,-1.105,-2.779,0.779,-0.641,52181
0.313,-0.147,-1.111,-2.916,0.214,-0.458,56193
0.320,-0.146,-1.113,-2.855,-0.183,-0.489,60204
0.315,-0.148,-1.114,-2.809,-0.656,-0.351,64215
0.316,-0.149,-1.110,-2.870,-1.038,-0.214,68227
0.313,-0.148,-1.114,-2.901,-1.298,-0.137,72238
0.316,-0.144,-1.114,-2.824,-0.962,-0.061,76250
0.311,-0.141,-1.119,-2.641,-1.298,0.061,80261
0.311,-0.150,-1.100,-2.641,-1.313,0.168,84272
0.302,-0.149,-1.118,-2.427,-1.130,-0.153,88284
0.305,-0.147,-1.115,-2.046,-1.038,-0.031,92295
0.297,-0.145,-1.101,-1.786,-0.275,-0.122,96306
0.300,-0.144,-1.117,-1.710,0.305,-0.260,100317
0.305,-0.139,-1.108,-1.832,1.466,-0.305,104328
0.306,-0.146,-1.105,-2.061,2.366,-0.427,108340
0.308,-0.147,-1.118,-2.275,2.763,-0.473,112351
0.304,-0.150,-1.102,-2.550,3.405,-0.550,116362
0.315,-0.157,-1.106,-2.748,5.191,-0.443,120373
0.310,-0.151,-1.106,-3.115,5.588,-0.519,124384
0.316,-0.153,-1.116,-3.359,4.321,-0.733,128395
0.320,-0.152,-1.108,-3.908,4.412,-0.840,132406
0.320,-0.153,-1.113,-4.076,2.321,-0.992,136417
0.320,-0.150,-1.113,-4.534,2.855,-1.008,140428
0.325,-0.153,-1.110,-4.763,1.863,-1.160,144439
0.319,-0.152,-1.117,-5.053,-0.305,-1.053,148449
0.318,-0.154,-1.103,-5.191,-0.275,-1.069,152460
0.327,-0.145,-1.096,-5.206,-0.366,-1.160,156471
0.323,-0.137,-1.117,-4.992,-0.794,-1.130,160482
0.314,-0.140,-1.105,-4.733,-1.176,-1.069,164493
0.311,-0.133,-1.104,-4.550,-1.160,-1.359,168504
0.314,-0.129,-1.107,-4.458,-1.939,-1.420,172515
0.312,-0.132,-1.105,-4.229,-1.084,-1.053,176526
0.308,-0.138,-1.108,-3.817,-1.634,-0.916,180537
0.308,-0.135,-1.101,-3.389,-1.038,-1.053,184548
0.302,-0.134,-1.102,-3.069,-0.733,-0.901,188559
0.312,-0.136,-1.103,-2.947,-0.153,-0.794,192569
0.311,-0.135,-1.098,-2.382,1.573,-0.458,196580
0.306,-0.140,-1.099,-2.565,2.275,-0.611,200591
0.312,-0.139,-1.099,-2.336,2.366,-0.626,204602
0.311,-0.145,-1.104,-2.305,2.947,-0.489,208613
0.317,-0.140,-1.104,-2.412,3.527,-0.611,212624
0.318,-0.140,-1.107,-2.519,3.878,-0.473,216635
0.313,-0.145,-1.107,-2.977,2.794,-0.794,220646
0.313,-0.147,-1.108,-3.160,2.260,-0.611,224657
0.316,-0.143,-1.104,-3.389,2.061,-0.534,228668
0.321,-0.149,-1.113,-3.557,1.847,-0.901,232688
0.329,-0.143,-1.116,-3.802,1.603,-0.977,236699
0.325,-0.137,-1.116,-3.954,1.405,-1.038,240710
0.322,-0.139,-1.110,-3.863,1.099,-1.069,244722
0.318,-0.139,-1.113,-3.817,1.191,-1.191,248733
0.312,-0.135,-1.115,-3.618,1.191,-1.191,252744
0.313,-0.134,-1.112,-3.740,1.099,-1.053,256755
0.315,-0.134,-1.113,-3.450,1.237,-1.237,260766
0.308,-0.130,-1.114,-3.252,1.115,-1.237,264777
0.300,-0.125,-1.114,-3.084,1.374,-1.191,268790
0.307,-0.130,-1.118,-2.656,2.458,-1.160,272801
0.304,-0.127,-1.118,-2.504,2.809,-1.130,276812
0.306,-0.125,-1.116,-2.244,3.649,-1.237,280823
0.304,-0.129,-1.111,-2.214,4.015,-1.282,284834
0.303,-0.130,-1.105,-1.756,4.351,-1.252,288845
0.307,-0.133,-1.106,-1.802,4.672,-1.115,292856
0.314,-0.135,-1.109,-1.939,4.672,-1.038,296867
0.318,-0.141,-1.104,-2.061,4.916,-0.931,300879
0.321,-0.139,-1.097,-2.351,5.466,-0.992,304890
0.318,-0.145,-1.110,-2.733,5.374,-0.656,308901
0.318,-0.148,-1.107,-2.947,5.359,-0.885,312914
0.319,-0.138,-1.110,-3.237,4.687,-1.130,316925
0.321,-0.141,-1.113,-3.328,2.748,-1.618,320936
0.324,-0.137,-1.114,-3.817,1.527,-2.000,324947
0.313,-0.140,-1.118,-3.985,0.473,-2.412,328958
0.314,-0.133,-1.107,-4.107,0.305,-2.366,332978
0.312,-0.131,-1.108,-4.489,0.290,-2.351,336990
0.312,-0.135,-1.118,-4.489,-0.076,-2.687,341001
0.306,-0.127,-1.121,-4.397,-1.176,-2.611,345012
0.312,-0.126,-1.106,-4.397,1.282,-2.290,349023
0.310,-0.130,-1.113,-4.397,0.611,-2.076,353044
0.307,-0.133,-1.125,-4.412,1.679,-1.756,357055
0.307,-0.131,-1.125,-4.061,1.252,-1.313,361066
0.308,-0.130,-1.119,-3.847,1.328,-1.115,365078
0.316,-0.130,-1.120,-3.466,0.947,-1.069,369089
0.312,-0.134,-1.119,-3.313,0.626,-0.779,373102
0.314,-0.127,-1.118,-3.038,0.260,-0.718,377113
0.305,-0.125,-1.118,-2.656,-1.710,-0.947,381124
0.299,-0.129,-1.110,-2.763,-1.405,-0.901,385135
0.312,-0.137,-1.104,-2.687,0.366,-0.504,389146
0.308,-0.136,-1.098,-2.519,0.916,-0.305,393158
0.314,-0.136,-1.112,-2.748,1.221,-0.382,397169
0.309,-0.128,-1.097,-2.809,1.237,-0.290,401180
0.313,-0.143,-1.112,-2.992,2.443,-0.198,405191
0.312,-0.140,-1.116,-3.252,4.076,0.366,409202
0.319,-0.147,-1.119,-3.435,3.099,0.137,413223
0.315,-0.151,-1.118,-3.924,1.420,-0.092,417234
0.311,-0.146,-1.111,-3.969,1.496,-0.107,421245
0.315,-0.150,-1.109,-4.305,1.481,-0.015,425256
0.327,-0.150,-1.120,-4.687,1.450,-0.244,429267
0.320,-0.154,-1.127,-4.962,1.450,-0.168,433288
0.318,-0.147,-1.119,-5.267,1.328,-0.168,437299
0.323,-0.153,-1.115,-5.176,1.542,-0.427,441310
0.317,-0.149,-1.116,-5.344,1.313,-0.550,445321
0.323,-0.147,-1.117,-5.389,1.603,-0.214,449332
0.316,-0.143,-1.113,-5.405,1.939,-0.473,453350
0.318,-0.143,-1.113,-5.450,1.985,-0.565,457361
0.322,-0.144,-1.110,-5.618,2.214,-0.672,461372
0.316,-0.145,-1.111,-5.191,2.870,-0.885,465384
0.316,-0.140,-1.107,-4.885,2.962,-0.779,469395
0.318,-0.138,-1.111,-4.534,3.405,-0.809,473406
0.308,-0.134,-1.104,-4.046,3.435,-0.794,477417
0.305,-0.133,-1.104,-3.679,3.298,-0.824,481428
0.313,-0.135,-1.113,-3.374,5.252,-0.550,485439
0.312,-0.140,-1.110,-2.977,6.321,-0.183,489450
0.314,-0.133,-1.107,-2.702,6.718,0.046,493461
0.326,-0.146,-1.112,-2.489,6.763,0.550,497473
0.340,-0.141,-1.101,-2.626,7.634,0.702,501484
0.358,-0.153,-1.090,-2.809,10.153,1.115,505496
0.352,-0.154,-1.107,-3.115,8.779,0.931,509507
0.355,-0.150,-1.112,-3.359,7.756,0.992,513517
0.364,-0.152,-1.112,-3.679,6.931,0.824,517528
0.364,-0.147,-1.124,-3.679,4.519,0.382,521539
0.367,-0.148,-1.106,-3.924,3.053,-0.107,525550
0.366,-0.147,-1.112,-3.649,-2.214,-0.977,529561
0.358,-0.149,-1.110,-3.527,-5.740,-1.802,533572
0.362,-0.144,-1.117,-3.115,-6.611,-2.382,537583
0.350,-0.139,-1.117,-2.626,-9.267,-2.870,541594
0.356,-0.143,-1.112,-2.290,-12.122,-3.710,545605
0.371,-0.134,-1.117,-2.275,-13.664,-4.687,549616
0.372,-0.145,-1.109,-2.168,-11.084,-4.962,553636
0.383,-0.145,-1.112,-1.664,-11.588,-5.786,557648
0.380,-0.147,-1.105,-1.893,-11.557,-6.809,561659
0.398,-0.152,-1.097,-2.092,-12.229,-7.542,565670
0.414,-0.151,-1.104,-2.046,-12.748,-8.565,569681
0.438,-0.148,-1.106,-1.985,-13.634,-9.786,573702
0.460,-0.155,-1.105,-2.321,-17.634,-11.786,577713
0.474,-0.155,-1.106,-2.641,-23.786,-13.618,581724
0.496,-0.154,-1.094,-3.069,-28.092,-14.656,585735
0.527,-0.143,-1.089,-2.718,-33.756,-16.122,589746
0.564,-0.153,-1.095,-3.176,-39.099,-17.267,593756
0.611,-0.175,-1.114,-5.450,-48.992,-16.901,597767
0.679,-0.173,-1.093,-6.809,-61.664,-16.489,601778
0.742,-0.199,-1.084,-9.115,-72.351,-15.527,605789
0.798,-0.231,-1.091,-12.244,-86.702,-13.130,609801
0.833,-0.263,-1.108,-17.206,-109.328,-10.916,613811
0.870,-0.279,-1.108,-23.298,-138.290,-9.053,617821
0.877,-0.288,-1.107,-29.145,-170.931,-7.420,621832
0.870,-0.319,-1.061,-36.382,-187.710,-2.412,625843
0.807,-0.315,-1.139,-41.634,-256.214,-2.489,629854
0.793,-0.304,-1.111,-43.573,-315.664,1.740,633874
0.697,-0.286,-1.031,-47.038,-343.344,6.870,637887
0.585,-0.250,-1.060,-47.176,-392.427,8.992,641897
0.457,-0.189,-1.057,-45.176,-447.298,11.359,645908
0.322,-0.125,-1.031,-43.160,-492.779,10.565,649920
0.173,-0.043,-1.005,-39.206,-500.275,3.527,653931
0.164,0.025,-0.926,-26.901,-500.275,36.321,657942
0.070,-0.029,-0.909,-25.496,-500.275,74.198,661953
-0.259,0.126,-0.907,-36.046,-500.275,47.053,665964
-0.335,0.367,-0.891,-67.908,-500.275,-5.954,669975
-0.380,0.411,-0.919,-112.901,-453.405,-86.198,673986
0.125,0.217,-1.528,-83.191,-422.794,-97.786,677998
0.148,-0.142,-0.537,55.130,-373.679,69.802,682009
0.082,0.231,-0.466,16.718,-234.046,47.893,686021
-0.860,0.301,-0.732,67.008,-265.695,-17.023,690032
-0.638,0.192,-0.979,42.855,-274.580,-128.092,694043
-0.181,-0.298,-0.595,56.031,-213.282,-112.244,698055
-0.544,-0.029,-0.751,59.664,-161.878,-166.198,702066
-0.446,-0.176,-0.776,102.015,-165.695,-192.626,706078
-0.120,-0.400,-0.330,129.084,-171.069,-65.618,710088
-0.601,-0.810,-0.632,155.374,-126.962,-58.931,714099
-0.221,-0.249,-0.571,147.863,-196.412,-62.656,718106
-0.154,-0.351,-0.541,152.382,-140.824,-40.168,722117
-0.540,-0.119,-0.856,66.153,-167.344,-143.084,726128
-0.143,-0.334,-0.750,75.802,-241.374,-105.985,730139
-0.271,-0.352,-0.687,74.870,-252.031,-64.000,734150
-0.374,-0.318,-0.716,77.496,-279.023,-65.985,738157
-0.293,-0.362,-0.688,79.740,-306.046,-51.634,742168
-0.482,-0.306,-0.769,81.527,-355.878,-77.756,746179
-0.448,-0.347,-0.780,85.969,-411.466,-73.634,750190
-0.569,-0.270,-0.693,72.137,-383.969,-102.718,754201
-0.586,-0.412,-0.692,76.916,-383.328,-102.779,758213
-0.626,-0.435,-0.626,81.557,-372.489,-85.450,762223
-0.713,-0.360,-0.840,73.618,-348.137,-74.046,766234
-0.882,-0.319,-0.864,58.458,-339.191,-83.008,770245
-0.982,-0.330,-0.822,46.427,-302.809,-86.519,774256
-1.223,-0.330,-0.673,26.473,-268.916,-100.061,778268
-1.161,-0.294,-0.984,23.084,-242.855,-112.840,782279
-1.229,-0.292,-0.955,23.878,-230.061,-107.893,786291
-1.189,-0.211,-1.013,15.771,-182.443,-108.153,790301
-1.236,-0.202,-1.103,30.000,-186.015,-94.321,794312
-1.232,-0.171,-1.031,48.962,-160.550,-77.832,798323
-1.287,-0.140,-1.083,51.359,-122.763,-74.015,802334
-1.234,-0.186,-1.143,55.603,-113.740,-66.992,806345
-1.196,-0.190,-1.204,60.076,-95.954,-58.870,810357
-1.187,-0.202,-1.174,51.817,-77.893,-68.992,814368
-1.116,-0.292,-1.019,61.282,-60.137,-43.084,818379
-0.989,-0.215,-1.206,56.885,-21.023,-13.634,822390
-1.033,-0.302,-1.139,57.924,-22.153,-19.191,826401
-0.937,-0.239,-1.342,55.435,-18.809,-11.511,830413
-0.915,-0.317,-1.105,53.496,-3.084,3.573,834424
-0.888,-0.348,-1.059,71.649,-11.038,15.679,838434
-0.861,-0.318,-1.113,68.824,-4.122,19.863,842445
-0.844,-0.373,-1.036,77.496,-1.618,30.107,846456
-0.638,-0.296,-1.298,38.626,34.656,13.481,850467
-0.813,-0.339,-1.262,30.214,-8.214,7.496,854478
-0.871,-0.246,-1.100,2.824,-6.153,-12.611,858489
-0.645,-0.465,-1.035,-2.992,-5.374,23.588,862501
-0.689,-0.416,-0.975,-11.802,4.977,35.191,866512
-0.760,-0.325,-1.035,-15.924,10.198,41.313,870523
-0.748,-0.289,-1.020,-27.985,-0.351,37.374,874534
-0.735,-0.270,-0.973,-36.336,0.275,33.069,878545
-0.743,-0.284,-0.969,-34.656,4.168,28.183,882556
-0.719,-0.294,-0.994,-28.534,27.191,24.351,886567
-0.707,-0.299,-0.986,-31.618,26.260,20.626,890579
-0.699,-0.312,-0.904,-30.840,35.267,21.496,894590
-0.673,-0.319,-0.898,-28.626,49.603,23.618,898602
-0.661,-0.308,-0.874,-23.573,60.702,25.802,902612
-0.637,-0.291,-0.867,-23.847,84.031,25.344,906623
-0.659,-0.300,-0.889,-25.145,94.443,24.290,910634
-0.656,-0.312,-0.903,-24.489,96.107,23.282,914645
-0.635,-0.333,-0.898,-24.641,107.771,25.817,918656
-0.663,-0.310,-0.876,-24.870,116.015,24.000,922677
-0.650,-0.311,-0.888,-24.489,118.626,20.427,926688
-0.640,-0.327,-0.884,-26.137,123.435,23.160,930699
-0.655,-0.323,-0.878,-27.603,127.725,25.740,934710
-0.671,-0.315,-0.881,-27.954,131.588,24.519,938722
-0.664,-0.323,-0.865,-28.092,142.641,23.588,942735
-0.658,-0.316,-0.861,-30.412,152.519,21.481,946746
-0.639,-0.313,-0.847,-31.863,163.084,19.313,950757
-0.615,-0.307,-0.848,-35.786,179.237,16.061,954768
-0.610,-0.301,-0.828,-38.809,195.557,12.565,958780
-0.608,-0.282,-0.850,-43.282,213.740,7.679,962791
-0.608,-0.264,-0.849,-47.969,225.389,2.779,966802
-0.616,-0.227,-0.865,-55.084,238.458,-3.985,970814
-0.659,-0.223,-0.848,-57.267,248.351,-8.519,974825
-0.638,-0.150,-0.895,-64.626,260.427,-22.427,978836
-0.598,-0.135,-0.852,-66.595,274.031,-30.427,982846
