acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.144,0.031,-1.121,-3.649,3.435,0.641,0
0.140,0.027,-1.116,-3.756,3.374,0.443,4048
0.143,0.038,-1.111,-3.786,3.115,0.397,8061
0.146,0.036,-1.114,-3.939,2.641,0.275,12072
0.148,0.032,-1.117,-3.679,2.336,-0.107,16083
0.151,0.038,-1.114,-3.847,2.046,-0.046,20094
0.149,0.033,-1.110,-3.771,1.679,-0.229,24105
0.144,0.037,-1.117,-3.969,1.420,-0.260,28116
0.143,0.038,-1.120,-4.412,1.527,-0.168,32127
0.137,0.039,-1.124,-4.565,1.084,-0.565,36139
0.139,0.036,-1.108,-4.611,1.405,-0.443,40150
0.139,0.033,-1.117,-4.427,1.359,-0.336,44161
0.137,0.049,-1.116,-4.412,1.893,-0.092,48170
0.131,0.043,-1.121,-4.473,2.198,-0.229,52182
0.140,0.046,-1.109,-4.519,2.397,0.015,56192
0.144,0.045,-1.118,-4.611,2.244,0.031,60203
0.153,0.041,-1.120,-4.611,2.183,0.137,64215
0.151,0.042,-1.125,-4.290,1.740,-0.061,68226
0.155,0.044,-1.125,-4.214,1.649,-0.244,72237
0.156,0.042,-1.128,-3.863,0.824,-0.397,76248
0.149,0.036,-1.122,-3.740,0.702,-0.473,80259
0.154,0.044,-1.122,-3.573,0.397,-0.489,84271
0.148,0.039,-1.122,-3.847,0.260,-0.580,88282
0.144,0.035,-1.117,-3.893,0.565,-0.351,92294
0.137,0.035,-1.121,-3.847,0.672,-0.687,96305
0.137,0.037,-1.111,-3.542,0.931,-0.382,100317
0.142,0.038,-1.119,-3.359,1.435,-0.122,104328
0.128,0.035,-1.111,-3.710,1.740,-0.168,108339
0.125,0.031,-1.115,-3.817,2.214,0.061,112351
0.132,0.028,-1.105,-4.580,2.702,0.015,116362
0.133,0.027,-1.105,-4.992,2.916,0.244,120374
0.136,0.025,-1.113,-5.313,3.328,0.198,124385
0.145,0.031,-1.111,-5.603,3.511,0.458,128395
0.147,0.031,-1.112,-5.618,3.542,0.366,132407
0.140,0.036,-1.117,-5.939,3.664,0.412,136418
0.147,0.034,-1.119,-6.214,3.084,0.321,140430
0.155,0.037,-1.126,-6.626,2.061,-0.137,144441
0.167,0.046,-1.135,-6.504,0.611,-0.580,148451
0.171,0.039,-1.129,-6.183,-0.397,-0.977,152462
0.173,0.044,-1.130,-5.588,-1.053,-1.252,156473
0.161,0.045,-1.126,-5.008,-1.466,-1.420,160484
0.145,0.042,-1.132,-4.763,-1.756,-1.328,164495
0.141,0.047,-1.116,-4.733,-1.817,-1.130,168506
0.130,0.034,-1.116,-4.687,-1.298,-0.947,172517
0.126,0.042,-1.114,-4.672,-0.962,-0.824,176528
0.124,0.033,-1.121,-4.733,-0.580,-0.626,180540
0.125,0.036,-1.109,-4.504,0.198,-0.443,184551
0.124,0.021,-1.121,-4.382,1.511,-0.321,188561
0.122,0.034,-1.116,-4.595,2.321,0.137,192573
0.127,0.027,-1.116,-4.702,2.641,0.198,196584
0.138,0.030,-1.107,-4.824,3.130,0.565,200596
0.137,0.032,-1.112,-4.824,3.267,0.565,204607
0.139,0.029,-1.114,-5.053,3.252,0.489,208618
0.137,0.038,-1.118,-4.916,3.282,0.550,212629
0.147,0.033,-1.113,-4.779,3.038,0.473,216640
0.143,0.035,-1.115,-4.870,3.084,0.275,220651
0.139,0.029,-1.114,-4.916,3.053,0.214,224662
0.144,0.031,-1.113,-5.206,2.855,0.351,228674
0.138,0.032,-1.112,-5.298,2.947,0.260,232692
0.150,0.040,-1.124,-5.435,2.718,0.443,236702
0.138,0.030,-1.126,-5.420,2.733,0.336,240713
0.143,0.037,-1.120,-5.221,2.855,0.550,244724
0.139,0.040,-1.125,-5.160,3.115,0.458,248736
0.146,0.046,-1.124,-5.252,2.656,0.519,252748
0.156,0.049,-1.136,-5.313,1.878,0.183,256759
0.162,0.051,-1.136,-5.145,1.038,-0.046,260770
0.167,0.053,-1.121,-4.931,0.901,-0.504,264781
0.160,0.040,-1.125,-4.489,0.168,-0.824,268793
0.141,0.038,-1.132,-4.183,0.458,-0.672,272805
0.135,0.039,-1.122,-4.260,0.672,-0.443,276816
0.125,0.037,-1.124,-4.275,0.901,-0.183,280828
0.127,0.031,-1.111,-4.214,1.237,-0.046,284839
0.137,0.034,-1.115,-4.580,1.756,-0.092,288850
0.132,0.032,-1.117,-4.885,1.985,0.244,292860
0.143,0.031,-1.121,-5.099,2.748,0.290,296871
0.142,0.029,-1.114,-5.023,2.824,0.290,300882
0.141,0.031,-1.110,-4.962,2.885,0.443,304893
0.144,0.031,-1.109,-5.099,2.794,0.351,308905
0.147,0.029,-1.118,-5.191,3.008,0.412,312915
0.141,0.026,-1.112,-5.573,2.855,0.275,316926
0.142,0.034,-1.114,-5.542,2.916,0.122,320938
0.142,0.035,-1.126,-5.466,2.824,0.351,324949
0.145,0.037,-1.112,-5.282,2.580,0.153,328960
0.145,0.035,-1.117,-5.237,2.382,-0.122,332980
0.146,0.037,-1.121,-5.588,2.076,-0.031,336991
0.151,0.039,-1.127,-5.832,1.893,-0.092,341002
0.149,0.035,-1.116,-6.031,1.817,-0.061,345013
0.141,0.034,-1.120,-5.847,1.847,-0.107,349024
0.152,0.041,-1.120,-5.954,1.954,-0.092,353045
0.156,0.033,-1.125,-5.679,1.771,-0.107,357057
0.140,0.036,-1.122,-5.588,1.511,-0.122,361067
0.147,0.040,-1.121,-5.573,1.221,-0.290,365078
0.145,0.035,-1.127,-5.511,1.282,-0.214,369089
0.151,0.035,-1.121,-5.664,1.008,-0.427,373103
0.149,0.034,-1.118,-5.832,1.038,-0.412,377114
0.148,0.034,-1.122,-5.817,1.008,-0.626,381125
0.142,0.035,-1.124,-5.511,1.130,-0.504,385136
0.135,0.032,-1.112,-5.405,1.191,-0.351,389147
0.137,0.032,-1.119,-5.344,1.313,-0.153,393159
0.147,0.033,-1.122,-5.389,1.160,-0.153,397170
0.140,0.033,-1.124,-5.420,1.130,-0.244,401181
0.148,0.043,-1.120,-5.573,1.130,-0.275,405193
0.142,0.044,-1.122,-5.466,1.221,-0.305,409204
0.140,0.045,-1.122,-5.237,1.237,-0.153,413225
0.141,0.040,-1.115,-4.916,1.573,-0.214,417236
0.140,0.046,-1.119,-4.794,1.756,-0.107,421248
0.137,0.041,-1.123,-4.840,1.893,-0.046,425259
0.131,0.026,-1.126,-4.992,1.985,-0.076,429270
0.141,0.037,-1.126,-5.267,1.832,0.137,433290
0.150,0.041,-1.115,-4.992,1.878,0.046,437302
0.147,0.039,-1.122,-4.748,1.725,-0.015,441312
0.148,0.041,-1.121,-4.672,1.802,-0.183,445323
0.151,0.044,-1.121,-4.412,1.832,-0.214,449334
0.146,0.036,-1.120,-4.504,1.557,-0.198,453346
0.140,0.034,-1.122,-4.855,1.786,-0.061,457357
0.143,0.036,-1.115,-5.023,1.603,-0.137,461368
0.150,0.034,-1.115,-4.977,1.160,-0.229,465379
0.144,0.032,-1.104,-4.992,1.023,-0.321,469390
0.146,0.030,-1.117,-5.145,0.947,-0.397,473401
0.135,0.027,-1.118,-5.450,1.160,-0.351,477412
0.136,0.033,-1.117,-5.618,1.450,-0.214,481423
0.137,0.031,-1.114,-6.015,1.420,-0.076,485434
0.142,0.035,-1.119,-6.229,1.664,-0.183,489445
0.140,0.032,-1.114,-6.198,1.496,0.000,493456
0.143,0.035,-1.115,-6.137,1.954,-0.092,497467
0.147,0.039,-1.117,-5.710,1.954,-0.015,501478
0.147,0.038,-1.118,-5.542,2.412,0.168,505489
0.151,0.043,-1.118,-5.435,2.489,-0.015,509500
0.146,0.035,-1.132,-5.359,2.214,0.092,513511
0.154,0.046,-1.124,-5.298,1.985,0.107,517522
0.147,0.038,-1.122,-5.298,1.481,-0.076,521534
0.156,0.039,-1.117,-4.824,1.328,-0.244,525544
0.154,0.036,-1.126,-4.779,1.267,-0.290,529555
0.150,0.039,-1.124,-4.733,1.313,-0.397,533565
0.147,0.042,-1.118,-4.885,1.374,-0.137,537576
0.142,0.037,-1.128,-4.947,1.573,0.000,541587
0.137,0.041,-1.109,-5.221,1.237,-0.153,545598
0.144,0.032,-1.122,-5.145,1.435,0.061,549609
0.138,0.039,-1.115,-5.053,1.481,-0.107,553629
0.140,0.040,-1.117,-4.870,1.588,-0.092,557640
0.145,0.038,-1.116,-4.870,1.618,-0.046,561651
