acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.142,-0.032,-1.135,-3.649,0.962,0.061,0
0.146,-0.031,-1.142,-3.542,-0.412,-0.061,4051
0.136,-0.029,-1.142,-3.344,-0.885,-0.183,8064
0.140,-0.031,-1.138,-3.130,-1.252,-0.427,12075
0.128,-0.026,-1.142,-3.053,-1.267,-0.504,16086
0.121,-0.029,-1.135,-3.206,-1.282,-0.824,20097
0.119,-0.033,-1.143,-3.160,-1.008,-1.252,24108
0.117,-0.032,-1.140,-3.282,-0.626,-1.298,28119
0.115,-0.036,-1.145,-3.405,-0.229,-1.252,32130
0.106,-0.032,-1.142,-3.771,-0.031,-1.130,36141
0.106,-0.031,-1.145,-3.634,0.595,-0.947,40152
0.104,-0.023,-1.152,-3.740,0.794,-1.023,44163
0.108,-0.029,-1.151,-3.847,0.595,-0.687,48171
0.107,-0.029,-1.142,-3.710,0.595,-0.626,52183
0.115,-0.040,-1.156,-3.954,0.153,-0.443,56193
0.111,-0.025,-1.151,-3.786,0.275,-0.198,60204
0.115,-0.036,-1.148,-3.679,0.321,-0.336,64215
0.111,-0.029,-1.160,-3.435,0.702,-0.244,68227
0.109,-0.031,-1.152,-3.099,0.870,-0.214,72238
0.113,-0.036,-1.156,-3.038,1.176,-0.183,76249
0.119,-0.037,-1.154,-3.053,1.023,-0.534,80260
0.128,-0.039,-1.154,-3.176,0.809,-0.351,84271
0.131,-0.038,-1.161,-3.588,0.580,-0.687,88283
0.139,-0.042,-1.163,-3.893,0.000,-0.412,92294
0.136,-0.039,-1.159,-3.969,-0.107,-0.763,96305
0.135,-0.034,-1.154,-4.534,-0.336,-0.611,100316
0.130,-0.041,-1.156,-5.023,0.321,-0.702,104327
0.119,-0.047,-1.161,-5.832,0.168,-0.626,108339
0.122,-0.041,-1.161,-6.351,0.855,-0.565,112350
0.122,-0.036,-1.160,-6.794,1.237,-0.870,116361
0.128,-0.043,-1.151,-7.038,1.008,-0.626,120372
0.133,-0.039,-1.155,-7.206,0.824,-0.840,124383
0.136,-0.032,-1.154,-7.145,0.336,-1.069,128394
0.134,-0.027,-1.146,-6.565,-0.260,-1.481,132405
0.139,-0.029,-1.144,-6.290,-0.901,-1.969,136416
0.125,-0.036,-1.155,-6.489,-0.885,-1.893,140427
0.116,-0.038,-1.145,-6.275,-0.931,-1.542,144438
0.113,-0.036,-1.142,-5.649,-0.718,-1.450,148449
0.113,-0.030,-1.127,-5.710,-0.794,-1.450,152460
0.118,-0.032,-1.122,-5.359,-0.595,-1.145,156471
0.118,-0.034,-1.134,-5.756,-0.733,-0.550,160482
0.106,-0.041,-1.138,-5.588,-0.992,-0.443,164493
0.115,-0.039,-1.140,-5.496,-0.855,-0.107,168504
0.111,-0.036,-1.136,-5.573,-1.008,-0.275,172515
0.114,-0.051,-1.147,-5.527,-0.489,-0.458,176526
0.115,-0.044,-1.128,-5.573,-0.366,-0.611,180537
0.121,-0.042,-1.133,-5.496,-0.397,-0.687,184548
0.120,-0.044,-1.123,-5.573,-0.366,-0.992,188558
0.133,-0.044,-1.134,-5.313,-0.336,-1.313,192570
0.134,-0.044,-1.115,-4.931,-0.885,-1.603,196580
0.141,-0.039,-1.117,-4.702,-1.481,-1.893,200591
0.135,-0.030,-1.115,-4.794,-1.405,-1.954,204602
