acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.282,-0.192,-1.108,-2.901,0.534,-1.527,0
0.284,-0.191,-1.114,-3.557,-0.122,-1.496,4039
0.288,-0.189,-1.103,-3.954,-0.443,-1.557,8050
0.280,-0.190,-1.107,-4.244,-0.962,-1.634,12061
0.280,-0.186,-1.109,-4.611,-0.977,-1.756,16072
0.274,-0.189,-1.105,-4.489,-0.992,-1.649,20084
0.264,-0.187,-1.108,-4.794,-1.023,-1.740,24095
0.269,-0.196,-1.103,-4.672,-0.840,-1.878,28107
0.263,-0.183,-1.111,-4.489,-0.580,-1.817,32118
0.265,-0.192,-1.112,-4.565,-0.443,-1.832,36129
0.265,-0.188,-1.107,-4.626,0.061,-1.710,40140
0.267,-0.184,-1.107,-4.305,0.382,-1.664,44151
0.269,-0.181,-1.101,-4.168,0.534,-1.649,48163
0.267,-0.183,-1.105,-3.985,0.962,-1.679,52174
0.272,-0.175,-1.098,-3.771,1.069,-1.725,56185
0.264,-0.175,-1.095,-3.313,1.298,-1.725,60196
0.270,-0.167,-1.098,-2.855,1.481,-1.618,64207
0.265,-0.173,-1.098,-2.504,1.405,-1.695,68221
0.271,-0.175,-1.099,-2.137,1.450,-1.527,72232
0.273,-0.178,-1.103,-1.450,1.710,-1.237,76243
0.275,-0.182,-1.087,-1.237,1.710,-1.359,80254
0.274,-0.184,-1.088,-0.885,1.771,-1.374,84265
0.272,-0.187,-1.085,-0.656,1.863,-1.115,88277
0.275,-0.190,-1.087,-0.550,1.939,-1.023,92288
0.275,-0.196,-1.090,-0.733,1.985,-0.870,96299
0.270,-0.199,-1.086,-0.718,1.954,-0.931,100310
0.276,-0.192,-1.096,-1.008,1.832,-1.206,104321
0.281,-0.200,-1.089,-1.618,1.771,-1.313,108334
0.269,-0.207,-1.093,-2.092,1.466,-1.435,112345
0.276,-0.205,-1.101,-2.519,1.130,-1.344,116356
0.273,-0.205,-1.098,-2.901,0.366,-1.588,120367
0.271,-0.203,-1.099,-3.618,-0.046,-1.618,124378
0.275,-0.199,-1.091,-3.740,-0.489,-1.740,128389
0.272,-0.198,-1.102,-4.290,-0.702,-1.802,132400
0.266,-0.194,-1.096,-4.626,-0.641,-1.832,136411
0.264,-0.192,-1.095,-4.489,-0.748,-1.740,140422
0.265,-0.196,-1.095,-4.565,-0.473,-1.817,144433
0.264,-0.183,-1.090,-4.550,-0.092,-1.573,148444
0.263,-0.179,-1.094,-4.107,0.489,-1.359,152455
0.261,-0.174,-1.094,-3.939,0.748,-1.237,156467
0.260,-0.169,-1.087,-3.206,1.298,-0.916,160477
0.264,-0.174,-1.086,-2.534,1.802,-0.809,164488
0.261,-0.172,-1.090,-1.924,2.214,-0.611,168499
0.257,-0.168,-1.086,-1.176,2.397,-0.366,172510
0.264,-0.166,-1.086,-0.229,2.748,-0.275,176521
0.270,-0.172,-1.086,0.092,3.176,-0.076,180532
0.265,-0.176,-1.095,0.656,3.374,0.061,184543
0.271,-0.175,-1.097,0.870,3.573,0.351,188551
0.270,-0.187,-1.094,0.702,3.618,0.336,192562
0.258,-0.189,-1.093,0.840,3.573,0.305,196573
0.267,-0.193,-1.097,0.672,3.588,0.321,200584
0.268,-0.190,-1.105,1.023,3.832,0.336,204595
0.276,-0.196,-1.105,0.656,3.695,0.504,208607
0.281,-0.193,-1.101,0.198,2.977,0.626,212617
0.285,-0.202,-1.096,-0.382,2.427,0.534,216629
0.285,-0.201,-1.103,-0.870,1.588,0.427,220639
0.282,-0.202,-1.095,-1.496,0.779,0.626,224650
0.287,-0.197,-1.107,-2.260,0.198,0.443,228661
0.291,-0.199,-1.102,-2.748,-0.366,0.031,232682
0.287,-0.198,-1.102,-2.962,-0.947,0.000,236693
0.282,-0.189,-1.105,-3.374,-1.038,-0.351,240704
0.283,-0.200,-1.106,-3.679,-1.115,-0.733,244715
0.280,-0.195,-1.112,-3.771,-1.069,-0.855,248729
0.289,-0.187,-1.112,-3.832,-0.672,-0.840,252744
0.279,-0.192,-1.109,-3.954,-0.641,-0.916,256755
0.282,-0.189,-1.110,-3.847,-0.412,-1.115,260766
0.276,-0.192,-1.116,-3.802,0.092,-1.206,264777
0.279,-0.189,-1.113,-3.985,0.458,-1.237,268788
0.273,-0.191,-1.118,-3.786,0.733,-1.069,272799
0.276,-0.191,-1.115,-3.771,1.130,-0.809,276810
0.268,-0.188,-1.109,-3.588,1.206,-0.840,280821
0.269,-0.183,-1.115,-3.359,1.435,-0.656,284832
0.275,-0.185,-1.098,-3.313,1.618,-0.519,288844
0.273,-0.175,-1.109,-2.824,2.076,-0.351,292854
0.282,-0.183,-1.109,-2.443,2.137,-0.214,296865
0.270,-0.179,-1.108,-2.153,2.137,0.076,300876
0.270,-0.179,-1.107,-1.985,2.382,0.076,304887
0.275,-0.180,-1.102,-1.603,2.626,0.092,308898
0.271,-0.181,-1.099,-1.695,2.351,0.031,312909
0.273,-0.184,-1.107,-1.786,2.244,0.153,316920
0.291,-0.192,-1.101,-2.229,1.924,0.046,320932
0.290,-0.192,-1.103,-2.687,1.328,0.092,324942
0.289,-0.193,-1.103,-3.160,0.489,0.046,328953
0.296,-0.199,-1.103,-3.695,-0.229,-0.290,332973
0.298,-0.194,-1.107,-4.137,-1.038,-0.748,336984
0.285,-0.192,-1.099,-4.580,-1.359,-0.992,340995
0.286,-0.196,-1.107,-4.916,-1.710,-1.130,345006
0.290,-0.194,-1.100,-5.023,-2.183,-1.359,349017
0.282,-0.193,-1.111,-5.389,-2.061,-1.740,353038
0.273,-0.197,-1.109,-5.389,-1.893,-1.695,357049
0.273,-0.189,-1.102,-5.191,-1.252,-1.939,361060
0.271,-0.192,-1.100,-5.313,-0.916,-1.863,365072
0.266,-0.192,-1.103,-4.885,-0.519,-1.863,369083
0.269,-0.187,-1.105,-4.656,0.275,-1.878,373094
0.272,-0.184,-1.098,-4.290,0.840,-1.817,377106
0.269,-0.185,-1.101,-3.847,1.328,-1.863,381117
0.264,-0.178,-1.096,-3.603,2.061,-1.557,385128
0.273,-0.177,-1.090,-2.992,2.321,-1.435,389139
0.272,-0.177,-1.096,-2.626,2.015,-1.313,393149
0.276,-0.187,-1.100,-2.412,2.137,-1.267,397160
0.282,-0.186,-1.086,-2.168,2.046,-0.962,401171
0.275,-0.182,-1.094,-1.985,1.832,-0.855,405182
0.273,-0.188,-1.088,-2.000,1.786,-0.580,409193
0.273,-0.193,-1.089,-1.985,1.450,-0.458,413213
0.283,-0.188,-1.094,-2.107,1.023,-0.840,417225
0.283,-0.187,-1.092,-2.183,0.885,-0.947,421235
0.282,-0.193,-1.095,-2.214,0.595,-0.885,425246
0.283,-0.194,-1.093,-2.504,0.244,-0.794,429258
0.273,-0.193,-1.101,-2.855,-0.031,-0.977,433277
0.270,-0.193,-1.103,-2.733,-0.275,-0.901,437289
0.266,-0.195,-1.091,-3.237,-0.519,-0.977,441300
0.269,-0.194,-1.084,-3.481,-0.336,-0.992,445311
0.271,-0.195,-1.104,-3.573,-0.107,-1.084,449322
0.272,-0.193,-1.099,-3.863,-0.153,-1.099,453340
0.265,-0.197,-1.100,-4.031,0.122,-1.084,457351
0.275,-0.187,-1.102,-4.000,-0.031,-0.916,461362
0.272,-0.189,-1.095,-4.046,0.015,-1.053,465373
0.272,-0.186,-1.100,-3.908,-0.198,-0.947,469384
0.273,-0.190,-1.102,-3.603,-0.198,-0.611,473395
0.275,-0.185,-1.103,-3.374,-0.366,-0.885,477406
0.278,-0.185,-1.104,-3.176,-0.076,-0.611,481417
0.287,-0.186,-1.101,-2.947,0.000,-0.840,485428
0.277,-0.189,-1.100,-2.656,0.534,-0.870,489439
0.271,-0.193,-1.099,-2.519,0.931,-0.718,493450
0.271,-0.192,-1.098,-2.321,1.237,-0.901,497461
0.273,-0.187,-1.101,-2.443,1.756,-1.267,501472
0.276,-0.191,-1.094,-2.366,2.046,-1.328,505483
0.284,-0.193,-1.095,-2.656,2.076,-1.298,509494
0.282,-0.185,-1.100,-2.565,1.664,-1.374,513504
0.281,-0.189,-1.101,-2.718,1.176,-1.527,517515
0.277,-0.192,-1.103,-2.748,0.992,-1.435,521526
0.279,-0.196,-1.091,-2.977,0.748,-1.023,525537
0.271,-0.188,-1.091,-3.099,0.702,-1.298,529548
0.270,-0.190,-1.105,-2.916,0.534,-1.023,533558
0.271,-0.187,-1.101,-2.748,0.214,-0.855,537570
0.271,-0.187,-1.098,-2.947,0.443,-0.870,541580
0.271,-0.183,-1.096,-2.901,0.107,-0.626,545591
0.278,-0.183,-1.096,-2.901,0.504,-0.366,549602
0.275,-0.186,-1.090,-2.840,0.260,-0.351,553622
0.271,-0.184,-1.094,-2.901,0.351,-0.076,557633
