acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.302,-0.051,-1.122,6.137,-8.733,-15.740,0
0.299,-0.041,-1.104,6.687,-8.565,-15.221,4052
0.284,-0.051,-1.102,7.817,-7.725,-14.672,8065
0.276,-0.043,-1.117,8.427,-6.565,-13.756,12076
0.276,-0.039,-1.120,8.702,-5.252,-12.885,16087
0.279,-0.044,-1.120,9.160,-4.076,-12.443,20098
0.273,-0.044,-1.123,9.221,-2.885,-12.061,24109
0.274,-0.052,-1.116,9.573,-1.557,-12.000,28119
0.279,-0.054,-1.113,9.847,-0.519,-11.511,32130
0.292,-0.049,-1.121,10.580,0.397,-11.038,36141
0.299,-0.054,-1.119,10.427,1.389,-10.443,40153
0.298,-0.050,-1.118,10.809,2.916,-10.122,44164
0.291,-0.062,-1.119,10.702,4.382,-10.168,48172
0.278,-0.062,-1.123,11.023,5.969,-9.954,52183
0.288,-0.063,-1.131,11.221,7.252,-9.878,56194
0.292,-0.066,-1.139,10.947,8.718,-9.832,60205
0.298,-0.069,-1.143,11.084,9.954,-10.198,64216
0.313,-0.071,-1.143,11.206,11.099,-10.443,68228
0.321,-0.076,-1.143,11.145,12.260,-10.687,72239
0.318,-0.088,-1.147,11.008,13.206,-10.580,76250
0.323,-0.096,-1.139,10.061,14.351,-10.443,80261
0.329,-0.098,-1.145,8.962,14.855,-9.786,84272
0.338,-0.108,-1.152,7.221,15.496,-9.496,88284
0.340,-0.123,-1.148,5.191,16.137,-9.023,92295
0.352,-0.127,-1.157,3.969,17.130,-8.779,96306
0.353,-0.130,-1.164,1.466,18.321,-8.611,100317
0.332,-0.131,-1.136,-0.153,19.298,-7.817,104328
0.335,-0.126,-1.154,-2.672,21.420,-7.313,108340
0.327,-0.119,-1.143,-4.122,23.573,-6.534,112351
0.325,-0.108,-1.149,-5.328,26.153,-5.878,116363
0.320,-0.111,-1.143,-6.321,29.038,-5.099,120374
0.313,-0.101,-1.149,-7.191,32.183,-4.336,124385
0.308,-0.092,-1.147,-8.092,36.153,-3.969,128396
