acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.165,0.037,-1.132,-5.069,-3.313,1.588,0
0.165,0.024,-1.127,-5.267,-3.359,1.389,1323
0.168,0.030,-1.125,-5.634,-3.679,1.511,2610
0.161,0.033,-1.126,-5.313,-3.603,1.603,3897
0.166,0.034,-1.127,-5.588,-3.450,1.802,5184
0.163,0.032,-1.132,-6.000,-3.466,1.710,6471
0.162,0.032,-1.121,-5.802,-3.405,1.527,7758
0.155,0.027,-1.124,-6.244,-3.282,1.573,9045
0.159,0.031,-1.125,-6.382,-3.313,1.817,10341
0.157,0.030,-1.131,-6.168,-3.298,1.802,11628
0.152,0.030,-1.131,-6.489,-3.099,1.603,12915
0.150,0.031,-1.125,-6.321,-3.023,1.634,14202
0.148,0.029,-1.126,-6.458,-2.824,1.511,15490
0.151,0.034,-1.129,-6.824,-2.534,1.618,16777
0.152,0.040,-1.121,-6.412,-2.534,1.618,18064
0.151,0.039,-1.117,-6.580,-2.290,1.511,19351
0.147,0.042,-1.120,-6.656,-1.924,1.557,20638
0.146,0.041,-1.122,-6.321,-1.710,1.450,21925
0.141,0.044,-1.121,-6.473,-1.496,1.511,23212
0.139,0.046,-1.124,-6.321,-1.038,1.298,24499
0.138,0.042,-1.127,-6.061,-0.748,1.206,25788
0.143,0.040,-1.117,-6.229,-0.427,1.176,27075
0.142,0.048,-1.119,-6.015,-0.168,1.221,28362
0.140,0.045,-1.128,-5.939,0.046,0.977,29649
0.141,0.040,-1.132,-5.847,0.641,0.748,30945
0.135,0.045,-1.127,-5.389,0.855,0.824,32232
0.138,0.041,-1.121,-5.664,0.962,0.992,33519
0.138,0.042,-1.121,-5.649,1.435,0.748,34806
0.147,0.040,-1.127,-5.206,1.878,0.641,36095
0.149,0.042,-1.131,-5.420,2.351,0.519,37382
0.145,0.042,-1.122,-5.084,2.595,0.427,38669
0.146,0.041,-1.120,-4.962,2.779,0.458,39964
0.144,0.044,-1.116,-5.206,3.038,0.458,41251
0.148,0.046,-1.119,-4.656,3.298,0.427,42538
0.151,0.044,-1.124,-4.702,3.435,0.412,43825
0.157,0.035,-1.121,-4.870,3.725,0.534,45112
0.154,0.031,-1.121,-4.519,3.863,0.382,46399
0.157,0.039,-1.116,-4.580,3.771,0.504,47686
0.166,0.039,-1.121,-4.565,3.863,0.473,48973
0.158,0.038,-1.125,-4.412,4.107,0.443,50270
0.159,0.035,-1.118,-4.779,4.000,0.412,51557
0.163,0.031,-1.118,-4.427,3.908,0.565,52844
0.162,0.038,-1.114,-4.351,3.924,0.656,54131
0.165,0.042,-1.118,-4.733,4.183,0.779,55419
0.167,0.039,-1.124,-4.458,3.893,0.748,56706
0.164,0.031,-1.123,-4.550,3.771,0.824,57993
0.169,0.036,-1.117,-4.748,3.695,0.901,59280
0.170,0.032,-1.119,-4.412,3.313,0.916,60577
0.169,0.029,-1.126,-4.534,3.420,0.992,61864
0.172,0.030,-1.126,-4.366,3.328,1.282,63151
0.176,0.028,-1.121,-4.092,3.176,1.450,64438
0.180,0.026,-1.118,-4.443,2.840,1.466,65724
0.179,0.024,-1.119,-4.275,2.718,1.405,67011
0.177,0.027,-1.126,-4.275,2.458,1.450,68298
0.174,0.029,-1.125,-4.580,2.214,1.679,69585
0.183,0.028,-1.128,-4.366,1.985,1.756,70881
0.184,0.025,-1.125,-4.702,1.710,1.786,72168
0.186,0.026,-1.130,-4.885,1.634,1.756,73455
0.185,0.024,-1.127,-4.611,1.191,1.954,74742
0.182,0.023,-1.120,-5.008,0.901,2.076,76025
0.187,0.027,-1.120,-5.008,0.626,1.954,77312
0.182,0.026,-1.122,-5.023,0.305,2.092,78599
0.179,0.031,-1.128,-5.359,0.153,2.107,79886
0.184,0.030,-1.124,-5.084,-0.137,2.137,81183
0.188,0.031,-1.126,-5.389,-0.611,2.229,82470
0.187,0.024,-1.120,-5.588,-0.595,2.183,83757
