acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.272,-0.239,-1.099,-4.748,1.008,-1.176,0
0.283,-0.241,-1.094,-4.412,1.374,-1.160,4051
0.282,-0.240,-1.099,-4.076,1.710,-1.130,8064
0.284,-0.238,-1.094,-3.802,1.817,-0.870,12075
0.287,-0.242,-1.097,-3.588,1.649,-0.916,16086
0.292,-0.244,-1.099,-3.603,1.466,-0.656,20097
0.295,-0.251,-1.102,-3.802,1.023,-0.443,24108
0.295,-0.250,-1.094,-3.969,0.305,-0.321,28119
0.297,-0.253,-1.099,-4.107,-0.183,-0.061,32131
0.291,-0.247,-1.096,-4.168,-0.595,-0.198,36142
0.291,-0.248,-1.101,-4.366,-1.053,-0.214,40154
0.292,-0.252,-1.088,-4.336,-1.160,-0.290,44165
0.296,-0.261,-1.104,-4.565,-1.374,-0.366,48173
0.296,-0.255,-1.103,-5.130,-1.878,-0.595,52184
0.294,-0.256,-1.112,-5.527,-2.275,-0.763,56195
0.300,-0.256,-1.103,-5.802,-2.565,-0.931,60206
0.292,-0.254,-1.099,-5.817,-2.489,-0.794,64217
0.296,-0.250,-1.097,-5.725,-2.336,-0.809,68229
0.284,-0.249,-1.099,-5.588,-2.092,-0.672,72240
0.284,-0.246,-1.110,-5.420,-1.649,-0.916,76251
0.281,-0.250,-1.101,-5.359,-1.237,-1.282,80262
0.279,-0.248,-1.103,-5.282,-0.641,-1.527,84273
0.280,-0.250,-1.093,-5.237,-0.107,-1.679,88285
0.284,-0.247,-1.087,-5.282,0.489,-1.710,92296
0.277,-0.242,-1.088,-5.099,1.237,-1.786,96308
0.274,-0.244,-1.086,-4.779,1.679,-1.954,100318
0.279,-0.241,-1.077,-4.626,2.427,-2.137,104329
0.275,-0.240,-1.086,-4.412,2.794,-2.321,108340
0.277,-0.241,-1.089,-4.336,3.267,-2.397,112351
0.288,-0.240,-1.089,-4.107,3.298,-2.412,116362
0.292,-0.243,-1.089,-4.321,2.947,-2.443,120373
0.301,-0.247,-1.092,-4.290,2.351,-2.229,124384
0.306,-0.250,-1.092,-4.305,1.679,-1.985,128394
0.301,-0.257,-1.082,-4.611,0.748,-1.496,132405
0.308,-0.248,-1.093,-4.809,-0.534,-1.420,136416
0.305,-0.249,-1.090,-4.885,-1.817,-1.252,140427
0.304,-0.245,-1.091,-5.084,-2.672,-1.069,144438
0.300,-0.243,-1.098,-5.099,-3.603,-0.947,148448
0.288,-0.247,-1.089,-5.237,-3.969,-0.870,152459
0.287,-0.248,-1.083,-5.053,-4.107,-1.115,156470
0.274,-0.251,-1.090,-4.901,-3.878,-0.962,160481
0.275,-0.243,-1.088,-4.687,-3.313,-0.977,164492
0.274,-0.244,-1.087,-4.611,-2.824,-1.084,168503
0.264,-0.237,-1.084,-4.260,-1.954,-1.084,172514
0.264,-0.233,-1.079,-3.863,-0.992,-1.099,176525
0.260,-0.241,-1.092,-3.435,0.382,-1.130,180537
0.257,-0.234,-1.080,-2.504,1.450,-1.145,184548
0.254,-0.240,-1.086,-2.015,2.748,-0.947,188558
0.255,-0.234,-1.086,-1.206,3.924,-0.870,192569
0.255,-0.243,-1.088,-0.504,5.191,-0.580,196581
0.256,-0.233,-1.095,0.275,5.939,-0.504,200592
0.259,-0.232,-1.089,1.038,6.641,-0.275,204603
0.261,-0.239,-1.095,1.679,7.511,-0.366,208615
0.262,-0.238,-1.088,2.519,7.664,-0.076,212626
0.264,-0.241,-1.101,3.191,7.878,0.366,216637
0.278,-0.249,-1.101,3.649,7.679,0.534,220648
0.298,-0.259,-1.093,3.817,7.206,0.641,224659
0.306,-0.265,-1.108,3.832,6.015,0.748,228671
0.317,-0.270,-1.105,3.282,4.611,0.809,232690
0.318,-0.270,-1.102,2.748,3.130,0.977,236701
0.327,-0.282,-1.105,2.031,1.435,0.962,240712
0.328,-0.283,-1.107,0.931,-0.687,0.672,244723
0.317,-0.279,-1.102,-0.061,-2.427,0.931,248737
0.324,-0.281,-1.106,-0.901,-4.015,1.008,252748
0.311,-0.278,-1.098,-1.893,-5.252,0.840,256760
0.306,-0.278,-1.100,-2.565,-6.107,0.885,260770
0.303,-0.265,-1.092,-3.115,-6.702,0.794,264781
0.292,-0.262,-1.104,-3.756,-6.901,0.489,268794
0.290,-0.262,-1.095,-4.244,-6.565,0.061,272805
0.272,-0.256,-1.088,-4.198,-6.565,-0.153,276816
0.258,-0.245,-1.091,-4.031,-5.496,-0.198,280827
0.260,-0.237,-1.099,-3.435,-4.290,-0.458,284838
0.259,-0.236,-1.084,-2.870,-3.008,-0.809,288849
0.258,-0.234,-1.084,-2.382,-1.679,-1.237,292859
0.254,-0.235,-1.090,-1.496,-0.214,-1.450,296871
0.254,-0.235,-1.092,-0.718,1.191,-1.588,300882
0.257,-0.238,-1.093,0.031,2.290,-1.496,304893
0.262,-0.246,-1.095,0.534,3.237,-1.344,308905
0.269,-0.241,-1.090,1.191,3.450,-1.191,312915
0.278,-0.244,-1.095,1.634,3.603,-1.023,316926
0.292,-0.249,-1.103,1.756,3.252,-0.977,320937
0.290,-0.254,-1.101,1.817,2.565,-0.718,324948
0.302,-0.255,-1.113,1.573,2.000,-0.855,328959
0.301,-0.259,-1.098,1.542,0.687,-0.870,332979
0.306,-0.268,-1.106,0.824,-0.290,-1.008,336991
0.321,-0.260,-1.110,0.458,-1.756,-1.008,341002
0.322,-0.272,-1.112,-0.534,-2.840,-1.481,345013
0.321,-0.271,-1.102,-1.649,-4.168,-1.878,349024
0.303,-0.265,-1.107,-2.397,-5.710,-1.939,353045
0.303,-0.265,-1.102,-3.023,-6.382,-1.939,357056
0.302,-0.262,-1.102,-3.389,-7.053,-2.107,361067
0.293,-0.253,-1.100,-3.954,-7.374,-2.275,365079
0.286,-0.253,-1.113,-4.107,-7.252,-2.336,369090
0.278,-0.248,-1.103,-4.214,-6.870,-2.412,373103
0.274,-0.246,-1.099,-4.351,-6.595,-2.519,377115
0.273,-0.243,-1.110,-4.046,-5.618,-2.672,381125
0.269,-0.240,-1.103,-3.771,-4.748,-2.427,385136
0.275,-0.232,-1.098,-3.374,-3.985,-2.290,389148
0.267,-0.237,-1.098,-2.794,-3.008,-2.458,393160
0.266,-0.241,-1.101,-2.153,-2.260,-2.336,397170
0.268,-0.238,-1.096,-1.405,-1.298,-2.412,401181
0.267,-0.226,-1.108,-0.840,-0.794,-2.397,405192
0.275,-0.234,-1.108,-0.336,-0.290,-2.366,409203
0.286,-0.237,-1.104,-0.244,0.107,-2.382,413224
0.289,-0.241,-1.112,-0.076,0.046,-2.473,417235
0.288,-0.251,-1.104,-0.015,-0.183,-2.550,421246
0.292,-0.249,-1.117,-0.198,-0.443,-2.504,425257
0.293,-0.249,-1.118,-0.534,-1.069,-2.916,429268
0.293,-0.251,-1.111,-0.733,-1.588,-2.992,433289
0.301,-0.253,-1.114,-1.298,-1.985,-2.870,437300
0.289,-0.257,-1.109,-1.344,-2.366,-3.420,441311
0.281,-0.252,-1.113,-1.908,-2.534,-3.420,445322
0.286,-0.250,-1.105,-2.137,-2.641,-3.542,449333
0.285,-0.254,-1.114,-2.626,-2.443,-3.344,453351
0.275,-0.255,-1.119,-3.023,-2.198,-3.298,457362
0.287,-0.257,-1.113,-3.344,-2.092,-3.191,461373
0.290,-0.255,-1.122,-3.908,-2.092,-3.160,465385
0.296,-0.265,-1.122,-4.107,-2.153,-3.008,469396
0.291,-0.262,-1.120,-4.580,-2.183,-3.023,473407
0.292,-0.258,-1.115,-4.855,-2.015,-3.176,477418
0.286,-0.252,-1.119,-5.313,-1.939,-3.496,481429
0.286,-0.249,-1.118,-5.466,-1.832,-3.634,485440
0.279,-0.247,-1.120,-5.817,-1.786,-3.832,489451
0.272,-0.238,-1.123,-5.893,-1.450,-3.832,493462
0.276,-0.236,-1.113,-5.817,-0.885,-3.649,497473
0.270,-0.235,-1.118,-5.695,-0.260,-3.298,501484
0.271,-0.230,-1.109,-5.252,0.076,-2.855,505496
0.281,-0.233,-1.110,-4.870,0.336,-2.840,509507
0.275,-0.238,-1.114,-4.427,0.702,-2.580,513517
