acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
-0.004,0.063,-1.109,-4.824,2.031,0.107,0
0.000,0.054,-1.108,-5.145,2.015,0.092,4038
-0.001,0.060,-1.110,-5.099,2.061,0.137,8049
0.003,0.061,-1.114,-5.053,2.229,0.183,12059
-0.000,0.058,-1.108,-4.901,2.489,0.061,16069
0.014,0.068,-1.110,-4.550,2.794,0.443,20079
0.009,0.070,-1.111,-4.092,2.427,0.321,24088
0.014,0.063,-1.111,-3.679,2.641,0.580,28099
0.017,0.064,-1.116,-3.542,2.351,0.702,32109
0.020,0.070,-1.109,-3.038,1.985,0.718,36119
0.034,0.070,-1.118,-2.916,2.076,0.748,40129
0.021,0.062,-1.115,-2.794,1.664,1.252,44139
0.016,0.060,-1.116,-2.824,1.069,1.847,48151
0.019,0.058,-1.115,-2.977,1.069,2.473,52160
0.014,0.061,-1.113,-3.466,0.550,3.084,56169
0.006,0.061,-1.116,-3.618,0.595,3.649,60179
0.006,0.064,-1.112,-3.802,0.763,3.695,64189
0.007,0.072,-1.104,-3.664,0.473,4.000,68199
0.010,0.075,-1.099,-3.527,0.504,4.092,72209
0.013,0.080,-1.107,-3.298,0.168,4.031,76219
0.020,0.083,-1.101,-3.038,-0.275,3.573,80230
0.022,0.088,-1.109,-2.565,-1.008,3.359,84239
0.028,0.086,-1.114,-1.817,-1.634,2.626,88250
0.026,0.092,-1.123,-1.710,-2.824,1.771,92260
0.022,0.090,-1.128,-1.282,-3.679,0.824,96271
0.022,0.096,-1.125,-0.443,-4.733,0.076,100280
0.018,0.102,-1.131,0.748,-5.893,-1.084,104290
0.016,0.108,-1.117,2.351,-6.840,-2.336,108300
0.010,0.129,-1.125,4.244,-7.527,-3.985,112310
0.005,0.124,-1.126,6.168,-8.550,-5.420,116321
-0.004,0.121,-1.137,7.237,-9.740,-5.954,120330
0.005,0.116,-1.124,9.282,-10.382,-6.901,124340
-0.007,0.111,-1.131,11.130,-10.901,-7.756,128349
-0.019,0.105,-1.131,12.916,-11.252,-8.580,132359
-0.023,0.095,-1.129,14.336,-11.435,-9.511,136370
-0.024,0.093,-1.125,15.588,-11.420,-10.443,140379
-0.034,0.081,-1.122,16.214,-11.435,-10.901,144389
-0.037,0.074,-1.117,16.702,-11.130,-11.130,148399
-0.048,0.065,-1.111,16.641,-10.672,-11.267,152408
-0.047,0.055,-1.107,16.214,-9.908,-11.359,156417
-0.045,0.057,-1.111,15.756,-9.344,-11.252,160427
-0.046,0.042,-1.105,14.931,-8.168,-10.687,164436
-0.047,0.024,-1.101,13.634,-7.588,-10.137,168446
-0.041,0.020,-1.089,12.183,-6.626,-9.206,172456
