acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.05,0.02,-1.12,-10.89,0.76,1.80
0.05,0.03,-1.10,-9.59,0.70,2.26
0.05,0.03,-1.10,-7.94,0.90,1.77
0.06,0.03,-1.08,-5.66,0.53,0.66
0.07,0.03,-1.09,-3.92,0.75,-0.27
0.06,0.02,-1.09,-2.61,0.82,-0.93
0.06,0.01,-1.11,-1.79,0.81,-0.63
0.05,-0.00,-1.13,-1.85,0.17,-0.11
0.05,-0.02,-1.13,-2.55,-0.08,0.43
0.04,-0.02,-1.15,-3.66,-0.56,0.67
0.03,-0.02,-1.15,-4.87,-0.99,1.16
0.03,-0.03,-1.16,-6.00,-1.21,1.80
0.03,-0.02,-1.16,-7.10,-1.16,2.09
0.03,-0.01,-1.15,-7.79,-0.55,2.55
0.03,-0.00,-1.15,-7.97,-0.24,2.96
0.04,-0.01,-1.14,-9.74,2.11,3.04
0.03,0.02,-1.14,-6.15,1.68,3.73
0.03,0.02,-1.13,-5.50,1.88,3.57
0.04,0.02,-1.14,-4.52,1.89,3.22
0.05,0.01,-1.14,-3.63,2.02,3.31
0.05,-0.01,-1.13,-3.83,2.38,3.47
0.04,-0.01,-1.15,-4.43,2.41,3.47
0.05,-0.01,-1.15,-5.10,1.98,3.53
0.06,-0.01,-1.14,-5.79,1.66,3.69
0.05,-0.01,-1.15,-6.21,0.93,3.71
0.06,-0.01,-1.15,-6.38,0.15,3.48
0.06,-0.00,-1.15,-7.04,-0.75,2.38
0.07,-0.01,-1.14,-7.86,-1.44,1.44
0.07,-0.01,-1.14,-8.15,-2.05,0.73
0.07,-0.01,-1.14,-8.40,-2.02,0.06
0.06,0.00,-1.14,-8.82,-1.88,-0.12
0.06,-0.00,-1.14,-9.18,-1.69,-0.47
0.05,0.00,-1.14,-9.13,-1.22,-0.52
0.05,0.00,-1.13,-9.56,-0.49,-0.76
0.04,-0.00,-1.14,-10.60,0.43,-0.63
0.04,0.00,-1.14,-11.21,0.85,-0.61
0.04,0.01,-1.14,-11.50,1.51,-0.26
0.04,0.02,-1.13,-10.87,1.80,-0.08
0.05,0.03,-1.12,-9.92,2.08,0.52
0.05,0.03,-1.10,-8.37,2.43,1.24
0.05,0.03,-1.10,-6.99,2.61,1.37
0.05,0.02,-1.11,-6.29,2.44,0.99
0.05,0.01,-1.11,-6.37,2.37,0.61
0.05,-0.00,-1.12,-6.96,2.60,0.64
0.05,-0.00,-1.12,-7.91,2.09,1.11
0.07,-0.01,-1.12,-8.81,1.28,1.47
0.06,0.01,-1.12,-9.80,0.44,1.36
0.07,0.02,-1.11,-10.34,-0.60,0.85
0.07,0.03,-1.11,-9.47,-2.03,0.23
0.06,0.04,-1.11,-8.46,-3.34,0.06
0.07,0.03,-1.10,-7.47,-4.61,0.11
0.09,0.03,-1.10,-6.55,-5.42,0.20
0.07,0.02,-1.12,-6.23,-6.76,-0.76
0.06,0.02,-1.12,-5.74,-7.68,-1.24
0.06,0.01,-1.14,-6.58,-7.98,-1.73
0.05,-0.01,-1.15,-7.50,-7.85,-1.05
0.04,-0.01,-1.15,-8.60,-7.31,-0.26
0.04,-0.00,-1.16,-9.74,-6.75,0.11
0.03,0.02,-1.14,-10.24,-5.18,0.18
0.02,0.04,-1.14,-9.82,-3.63,0.21
0.02,0.03,-1.13,-9.22,-1.48,-0.32
0.03,0.03,-1.12,-8.37,0.32,-0.58
0.03,0.03,-1.11,-7.77,2.06,-0.95
0.04,0.02,-1.12,-7.45,3.37,-0.82
0.04,0.02,-1.11,-7.48,4.18,-0.75
0.05,0.01,-1.12,-7.82,4.09,-1.16
0.06,0.01,-1.13,-8.32,3.34,-1.68
0.06,0.00,-1.12,-8.96,2.49,-1.88
0.06,0.01,-1.11,-9.24,1.11,-2.08
0.06,0.02,-1.12,-9.13,0.49,-1.85
0.05,0.04,-1.11,-8.29,-0.05,-2.21
0.05,0.04,-1.11,-7.24,-0.24,-3.02
0.05,0.03,-1.10,-6.41,-0.17,-3.85
0.03,0.02,-1.10,-6.23,0.38,-4.43
0.03,0.01,-1.10,-6.41,1.22,-4.98
0.02,0.01,-1.10,-6.78,1.74,-5.07
0.02,0.01,-1.11,-7.40,2.35,-4.82
0.03,0.01,-1.11,-7.63,2.75,-3.98
0.03,0.01,-1.11,-8.02,2.98,-2.87
0.03,0.02,-1.09,-7.74,3.04,-2.35
0.03,0.03,-1.10,-7.22,2.78,-1.82
0.04,0.03,-1.09,-6.37,2.34,-2.17
0.04,0.02,-1.10,-6.00,2.23,-2.23
0.04,0.02,-1.09,-5.19,2.12,-2.24
0.03,0.02,-1.09,-4.40,1.74,-2.15
0.02,0.02,-1.09,-4.40,1.91,-2.35
0.02,0.01,-1.10,-4.90,1.68,-2.73
0.02,0.00,-1.10,-5.98,1.50,-2.99
0.02,-0.00,-1.10,-7.25,1.16,-3.16
0.02,0.01,-1.11,-7.98,1.08,-3.13
0.02,0.01,-1.12,-7.88,0.69,-2.73
0.01,0.03,-1.10,-7.47,0.72,-2.38
0.02,0.04,-1.09,-6.84,0.99,-1.13
0.01,0.02,-1.10,-5.97,1.15,-1.39
0.01,0.03,-1.10,-5.73,1.44,-1.48
0.02,0.02,-1.11,-5.25,1.63,-1.94
0.01,0.03,-1.11,-5.39,2.37,-1.83
0.01,0.02,-1.11,-5.42,2.82,-1.04
0.01,0.03,-1.11,-5.02,2.90,-0.26
0.02,0.05,-1.11,-4.14,2.75,0.14
0.02,0.05,-1.11,-3.44,2.09,0.56
0.02,0.03,-1.11,-2.78,1.18,0.08
0.03,0.02,-1.13,-2.56,0.38,0.02
0.03,0.03,-1.13,-2.09,-0.14,0.26
0.03,0.02,-1.12,-2.67,-0.75,0.53
0.03,0.02,-1.13,-3.18,-0.95,0.47
0.03,0.01,-1.12,-4.15,-1.19,0.18
0.02,0.00,-1.13,-5.07,-0.92,-0.29
0.02,0.01,-1.13,-5.66,-0.64,-0.44
0.02,0.02,-1.12,-5.73,0.15,-0.05
0.02,0.02,-1.13,-5.50,1.05,0.26
0.02,0.03,-1.13,-4.85,2.15,0.34
0.03,0.03,-1.12,-4.35,2.82,0.23
0.03,0.02,-1.12,-4.08,3.39,-0.09
0.04,0.01,-1.12,-3.92,3.85,-0.58
0.04,0.01,-1.12,-4.11,3.71,-0.75
0.05,0.01,-1.13,-4.32,3.53,-0.58
0.06,0.01,-1.13,-4.38,2.60,-0.21
0.06,0.01,-1.13,-4.32,1.86,0.20
0.06,0.02,-1.14,-3.69,0.90,0.18
0.06,0.03,-1.13,-2.96,0.12,0.29
0.06,0.02,-1.12,-2.23,-0.43,0.02
0.05,0.02,-1.13,-1.57,-0.58,-0.41
0.05,0.02,-1.12,-1.28,-0.18,-0.95
0.05,0.01,-1.13,-1.60,-0.23,-1.25
0.04,0.01,-1.14,-2.14,-0.08,-1.66
0.04,-0.00,-1.15,-3.33,0.27,-2.09
0.05,0.00,-1.14,-4.52,0.55,-2.55
0.04,0.01,-1.16,-5.47,0.96,-2.76
0.03,0.02,-1.15,-5.94,0.55,-3.04
0.03,0.01,-1.15,-6.47,1.05,-2.72
0.03,0.02,-1.14,-6.40,1.15,-2.53
0.03,0.02,-1.13,-6.11,1.47,-2.49
0.03,0.02,-1.13,-5.71,1.54,-2.76
0.03,0.02,-1.13,-5.47,1.54,-3.33
0.03,0.01,-1.13,-5.31,1.24,-3.63
0.03,0.01,-1.13,-5.22,1.10,-3.82
0.03,0.00,-1.15,-5.94,0.81,-3.30
0.03,0.00,-1.15,-6.37,-0.05,-2.27
0.03,0.01,-1.15,-6.09,-0.76,-1.40
0.03,0.02,-1.15,-5.77,-1.15,-1.30
0.03,0.03,-1.13,-5.51,-1.47,-1.40
0.03,0.02,-1.13,-5.13,-1.45,-1.97
0.02,0.01,-1.13,-5.18,-1.01,-2.35
0.02,0.01,-1.14,-5.16,-0.56,-2.92
0.02,0.01,-1.14,-5.51,-0.05,-3.27
0.02,0.01,-1.14,-5.66,0.64,-3.45
0.02,0.01,-1.14,-5.91,1.19,-3.56
0.01,0.01,-1.15,-6.31,1.15,-3.76
0.01,0.01,-1.15,-6.66,1.18,-3.85
0.01,0.00,-1.16,-7.27,1.07,-4.09
0.00,0.00,-1.15,-7.73,0.66,-4.50
-0.01,-0.01,-1.15,-7.83,0.76,-4.92
-0.01,-0.02,-1.15,-8.49,0.21,-5.53
-0.03,-0.02,-1.15,-9.16,0.09,-5.82
-0.05,-0.02,-1.14,-10.05,0.03,-6.70
-0.04,-0.03,-1.13,-10.55,-0.44,-7.76
-0.06,-0.01,-1.13,-10.44,-1.51,-8.99
-0.08,-0.00,-1.12,-9.65,-3.05,-10.14
-0.07,-0.01,-1.12,-9.25,-4.43,-9.98
-0.11,-0.02,-1.14,-7.19,-7.42,-10.49
-0.15,-0.02,-1.16,-6.12,-10.12,-12.03
-0.19,-0.02,-1.16,-5.16,-12.82,-14.96
-0.22,-0.04,-1.19,-5.71,-13.92,-19.25
-0.25,-0.07,-1.19,-9.21,-13.89,-24.50
-0.27,-0.10,-1.20,-12.17,-13.11,-29.28
-0.31,-0.13,-1.21,-18.76,-11.89,-32.29
-0.34,-0.14,-1.19,-25.07,-10.64,-33.50
-0.38,-0.18,-1.13,-30.20,-8.31,-32.75
-0.41,-0.16,-1.11,-33.36,-5.85,-31.19
-0.43,-0.09,-1.08,-33.63,-2.98,-29.62
-0.46,0.01,-1.06,-29.42,-1.94,-29.92
-0.48,0.06,-1.05,-24.66,-2.95,-31.69
-0.50,0.07,-1.04,-19.10,-5.71,-32.96
-0.51,0.04,-1.05,-15.07,-11.44,-33.83
-0.53,0.00,-1.07,-12.92,-15.39,-34.67
-0.55,0.01,-1.09,-7.66,-20.23,-36.87
-0.57,0.02,-1.10,-4.66,-24.70,-41.08
-0.57,0.03,-1.13,-6.53,-28.02,-46.84
-0.62,0.00,-1.09,-1.92,-29.54,-52.11
-0.64,-0.03,-1.07,0.78,-29.80,-54.99
-0.68,-0.08,-1.07,1.19,-29.16,-55.57
-0.73,-0.10,-1.09,-1.79,-27.91,-49.71
-0.75,-0.13,-1.11,-6.67,-26.11,-37.74
-0.77,-0.15,-1.12,-13.05,-21.76,-24.47
-0.76,-0.17,-1.13,-20.18,-19.94,-13.59
-0.72,-0.18,-1.15,-32.93,-19.56,-7.39
-0.68,-0.20,-1.16,-43.42,-21.80,-4.00
-0.62,-0.20,-1.14,-54.89,-22.82,-2.15
-0.59,-0.17,-1.12,-58.73,-24.82,-1.76
-0.57,-0.11,-1.10,-56.53,-25.05,-3.19
-0.56,-0.06,-1.08,-53.07,-22.78,-5.28
-0.54,0.04,-1.05,-42.15,-17.92,-6.38
-0.52,0.05,-1.04,-30.95,-10.99,-6.58
-0.50,0.06,-1.03,-16.44,-3.65,-5.73
-0.47,0.07,-1.01,-1.56,2.49,-3.59
-0.45,0.02,-1.02,8.47,8.23,-1.77
-0.37,0.01,-1.01,15.33,14.52,-0.06
-0.36,-0.10,-1.08,17.95,15.19,0.66
-0.27,-0.19,-1.11,12.15,12.84,0.66
-0.21,-0.16,-1.13,4.79,7.04,2.15
-0.24,-0.29,-1.24,0.47,-4.08,13.97
-0.16,-0.31,-1.22,-9.66,-15.02,23.82
-0.06,-0.27,-1.25,-14.06,-26.23,29.42
-0.02,-0.18,-1.23,-15.50,-35.59,31.15
-0.05,-0.11,-1.22,-15.08,-42.69,30.49
-0.10,-0.05,-1.21,-8.53,-46.85,30.20
-0.15,-0.01,-1.17,-2.05,-46.24,30.92
-0.15,-0.02,-1.15,3.88,-40.99,32.11
-0.16,-0.06,-1.13,7.98,-31.37,31.88
-0.14,-0.10,-1.13,10.49,-17.62,30.35
-0.13,-0.15,-1.10,11.19,-5.73,26.35
-0.14,-0.14,-1.08,13.71,7.24,21.19
-0.12,-0.09,-1.09,17.05,20.18,16.03
-0.09,-0.04,-1.09,22.41,30.89,14.09
-0.06,-0.01,-1.10,29.44,36.12,16.44
0.02,-0.04,-1.10,32.67,35.92,19.36
0.13,-0.08,-1.13,34.00,28.84,23.85
0.21,-0.12,-1.17,30.89,15.18,30.44
0.27,-0.17,-1.22,24.44,-1.02,37.91
0.29,-0.20,-1.21,17.04,-13.92,43.56
0.20,-0.25,-1.23,12.44,-24.64,44.84
0.13,-0.22,-1.21,7.42,-27.59,39.76
0.07,-0.17,-1.18,3.56,-22.93,32.05
0.01,-0.09,-1.16,1.18,-10.37,26.75
-0.06,-0.03,-1.12,3.65,3.34,27.48
-0.09,-0.04,-1.09,3.07,15.68,32.43
-0.04,-0.03,-1.07,3.50,28.66,39.77
0.06,-0.09,-1.09,2.15,35.86,45.47
0.21,-0.07,-1.10,3.27,40.52,48.02
0.26,-0.07,-1.11,3.44,37.28,49.74
0.34,-0.02,-1.11,6.50,35.82,48.95
0.37,-0.02,-1.15,8.78,30.85,44.72
0.34,-0.02,-1.15,12.46,24.56,40.52
0.32,-0.02,-1.15,12.21,22.23,37.27
0.30,-0.01,-1.18,9.36,20.92,37.04
0.24,-0.02,-1.19,2.67,20.15,43.04
0.25,-0.07,-1.21,-6.90,18.85,51.51
0.26,-0.04,-1.18,-15.57,19.02,54.50
0.25,-0.08,-1.18,-24.00,21.11,58.72
0.25,-0.01,-1.17,-27.80,21.57,60.66
0.25,0.05,-1.12,-28.95,26.14,59.22
0.29,0.12,-1.09,-26.21,32.73,56.14
0.31,0.10,-1.06,-23.05,31.89,51.88
0.39,0.12,-1.03,-17.66,28.93,46.21
0.46,0.15,-1.03,-13.04,23.39,42.24
0.47,0.17,-1.04,-9.34,14.66,42.67
0.45,0.12,-1.03,-5.07,5.56,44.41
0.44,0.08,-1.03,-2.46,-1.21,42.72
0.39,0.10,-1.03,-1.28,-6.69,41.94
0.32,0.12,-1.02,0.32,-7.53,45.34
0.27,0.13,-1.01,2.26,-3.65,48.38
0.25,0.13,-1.03,2.69,-1.83,49.34
0.30,0.14,-1.04,2.11,-0.21,49.47
0.30,0.09,-1.05,0.78,-1.89,52.47
0.32,0.16,-1.04,2.09,4.50,50.92
0.32,0.20,-1.07,1.76,4.35,49.27
0.37,0.19,-1.09,2.21,3.36,48.17
0.40,0.13,-1.09,2.85,3.28,45.57
0.41,0.14,-1.11,2.78,4.99,40.95
0.39,0.17,-1.10,2.73,5.31,39.18
0.39,0.18,-1.13,2.00,5.24,39.45
0.38,0.16,-1.13,1.69,4.93,38.00
0.38,0.17,-1.15,1.54,4.61,36.20
0.39,0.20,-1.15,1.98,3.33,35.21
0.38,0.18,-1.14,1.47,1.65,33.40
0.39,0.14,-1.15,-0.15,-0.72,30.20
0.38,0.12,-1.16,-2.02,-2.61,26.64
0.35,0.12,-1.15,-4.60,-3.31,22.03
0.32,0.15,-1.15,-6.40,-2.44,19.68
0.29,0.17,-1.14,-8.11,0.14,18.76
0.28,0.16,-1.13,-9.71,2.43,17.57
0.28,0.17,-1.12,-10.72,3.44,15.92
0.29,0.17,-1.11,-10.89,4.32,14.40
0.28,0.18,-1.12,-9.18,4.99,12.56
0.26,0.17,-1.10,-8.02,5.60,10.29
0.24,0.17,-1.10,-7.60,5.36,9.28
0.22,0.15,-1.09,-7.40,5.15,10.02
0.24,0.16,-1.10,-6.90,5.88,10.40
0.22,0.12,-1.10,-6.52,4.23,7.89
0.22,0.13,-1.12,-7.22,3.21,5.05
0.21,0.14,-1.12,-7.31,0.78,4.72
0.15,0.13,-1.12,-6.63,0.87,5.25
0.13,0.13,-1.12,-5.73,1.91,5.40
0.14,0.14,-1.13,-5.50,2.69,5.34
0.14,0.13,-1.14,-5.68,3.15,5.59
0.15,0.10,-1.14,-6.20,3.27,4.96
0.15,0.11,-1.15,-7.13,3.18,4.67
0.16,0.12,-1.16,-8.23,2.81,5.33
0.17,0.12,-1.16,-9.42,1.34,5.27
0.15,0.12,-1.15,-9.27,1.37,4.46
