acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.262,-0.013,-1.100,-2.931,0.687,1.954,0
0.254,-0.009,-1.109,-2.687,0.168,2.275,4051
0.257,-0.012,-1.097,-2.305,0.443,2.305,8063
0.255,-0.019,-1.100,-2.153,0.473,2.137,12074
0.251,-0.022,-1.102,-2.031,0.809,1.817,16085
0.250,-0.021,-1.104,-2.107,0.855,1.817,20096
0.249,-0.023,-1.104,-2.458,1.420,1.313,24107
0.258,-0.022,-1.098,-2.733,1.664,1.176,28118
0.258,-0.033,-1.099,-3.008,1.908,0.977,32128
0.259,-0.027,-1.106,-3.420,1.710,0.916,36139
0.262,-0.031,-1.105,-3.756,1.771,0.824,40151
0.265,-0.029,-1.098,-4.031,1.542,0.977,44162
0.275,-0.027,-1.110,-4.443,1.084,1.115,48171
0.275,-0.020,-1.101,-4.733,0.641,1.237,52181
0.273,-0.025,-1.098,-4.748,0.412,1.206,56192
0.264,-0.027,-1.091,-4.885,-0.015,1.237,60203
0.263,-0.022,-1.093,-4.962,-0.061,1.328,64214
0.259,-0.014,-1.094,-5.176,-0.351,1.038,68225
0.259,-0.012,-1.101,-4.931,-0.076,0.901,72236
0.264,-0.008,-1.106,-4.595,0.260,0.626,76247
0.259,-0.013,-1.108,-4.198,0.382,0.290,80259
0.265,-0.022,-1.105,-4.046,0.198,0.458,84270
0.266,-0.022,-1.110,-3.847,0.412,0.290,88281
0.261,-0.024,-1.103,-3.420,0.534,0.336,92292
0.264,-0.026,-1.108,-3.206,0.595,0.565,96303
0.263,-0.019,-1.115,-3.130,0.779,0.489,100314
0.263,-0.028,-1.111,-2.885,0.718,0.763,104326
0.266,-0.023,-1.117,-2.962,0.565,0.901,108338
0.265,-0.032,-1.114,-2.748,0.962,0.947,112349
0.266,-0.030,-1.112,-2.656,1.008,0.702,116360
0.269,-0.029,-1.108,-2.656,1.053,0.595,120371
0.268,-0.027,-1.110,-3.069,1.145,0.458,124383
0.269,-0.030,-1.105,-3.603,0.885,0.336,128393
0.272,-0.039,-1.107,-4.260,0.748,0.397,132404
0.269,-0.030,-1.102,-5.115,0.229,0.214,136415
0.271,-0.035,-1.102,-5.679,-0.122,0.015,140427
0.271,-0.041,-1.110,-6.137,-0.305,0.107,144438
0.267,-0.033,-1.102,-6.351,-0.809,0.168,148448
0.263,-0.030,-1.104,-6.794,-1.008,0.244,152459
0.261,-0.027,-1.105,-6.931,-0.870,0.275,156470
0.257,-0.029,-1.104,-7.267,-0.519,0.076,160481
0.263,-0.022,-1.105,-7.191,-0.412,-0.137,164492
0.254,-0.022,-1.112,-6.595,-0.290,-0.382,168504
0.253,-0.013,-1.102,-6.168,0.214,-0.473,172515
0.256,-0.016,-1.105,-5.191,0.824,-0.473,176526
0.251,-0.017,-1.109,-4.550,1.069,-0.366,180537
0.253,-0.016,-1.105,-4.061,1.695,-0.229,184548
0.258,-0.020,-1.102,-3.893,2.290,-0.229,188558
0.255,-0.019,-1.091,-3.664,2.397,-0.137,192569
0.270,-0.016,-1.101,-3.527,2.748,0.229,196580
0.260,-0.025,-1.098,-3.679,2.733,0.412,200591
0.269,-0.027,-1.104,-3.756,2.443,0.519,204602
0.270,-0.030,-1.093,-3.832,2.214,0.504,208614
0.269,-0.029,-1.093,-4.137,1.969,0.336,212626
0.265,-0.032,-1.101,-4.397,1.588,0.229,216636
0.265,-0.022,-1.096,-4.794,1.618,0.092,220647
0.258,-0.025,-1.101,-5.084,1.237,-0.061,224658
0.252,-0.024,-1.097,-5.191,1.298,-0.443,228670
0.248,-0.022,-1.097,-5.344,1.740,-0.473,232690
0.242,-0.024,-1.099,-5.313,2.015,-0.534,236701
0.235,-0.020,-1.098,-5.466,2.901,-0.718,240713
0.228,-0.020,-1.108,-5.405,3.527,-0.763,244724
0.223,-0.021,-1.115,-5.435,4.321,-0.687,248737
0.222,-0.024,-1.113,-5.084,4.947,-0.641,252748
0.212,-0.016,-1.117,-4.855,5.313,-0.550,256759
0.221,-0.022,-1.115,-4.443,5.771,0.076,260770
0.205,-0.023,-1.127,-3.847,6.061,0.550,264781
0.202,-0.019,-1.119,-3.160,6.275,1.008,268794
0.197,-0.029,-1.132,-2.687,6.244,1.267,272805
0.177,-0.027,-1.135,-2.229,6.305,1.420,276816
0.169,-0.027,-1.140,-2.031,6.748,1.664,280827
0.159,-0.036,-1.140,-2.153,7.237,1.191,284838
0.154,-0.047,-1.144,-2.336,7.328,0.641,288849
0.132,-0.046,-1.142,-2.427,7.557,-0.366,292859
0.116,-0.042,-1.143,-2.733,7.588,-0.977,296870
0.101,-0.035,-1.145,-2.840,7.740,-2.000,300881
0.089,-0.028,-1.147,-2.534,8.214,-2.611,304892
0.077,-0.026,-1.147,-2.504,8.656,-2.641,308904
0.068,-0.025,-1.158,-2.458,9.405,-2.351,312915
0.052,-0.027,-1.155,-2.595,9.695,-1.496,316926
0.049,-0.025,-1.163,-3.038,9.893,-0.351,320937
0.037,-0.032,-1.166,-3.405,9.695,0.718,324948
0.023,-0.029,-1.173,-3.725,9.237,1.771,328959
0.019,-0.015,-1.166,-3.985,9.099,2.672,332979
0.007,-0.005,-1.168,-4.183,8.595,3.481,336990
-0.005,0.003,-1.178,-3.908,8.183,3.740,341001
-0.009,0.019,-1.184,-3.893,8.519,3.878,345012
-0.032,0.017,-1.190,-3.786,8.718,4.046,349023
-0.040,0.012,-1.196,-4.504,8.779,4.595,353044
-0.056,-0.003,-1.192,-5.679,8.901,5.679,357055
-0.058,-0.021,-1.198,-7.099,8.840,7.023,361067
-0.055,-0.026,-1.201,-8.137,8.733,8.733,365077
-0.053,-0.026,-1.206,-9.176,8.595,10.595,369088
-0.050,-0.025,-1.199,-10.046,7.542,12.748,373101
-0.053,-0.014,-1.180,-10.626,7.053,15.099,377112
-0.039,-0.008,-1.187,-10.947,5.588,16.458,381123
-0.036,-0.008,-1.167,-10.794,4.427,16.580,385134
-0.038,0.001,-1.161,-10.718,3.237,15.466,389145
-0.039,0.022,-1.163,-10.397,2.168,13.679,393155
-0.046,0.033,-1.158,-9.649,1.359,11.252,397166
-0.059,0.045,-1.140,-8.550,1.099,8.855,401177
-0.067,0.043,-1.141,-8.443,1.328,6.870,405188
-0.085,0.027,-1.139,-8.443,1.649,5.328,409199
-0.074,0.013,-1.140,-9.359,1.573,4.809,413219
-0.071,-0.011,-1.139,-9.832,1.069,5.023,417230
-0.062,-0.010,-1.133,-10.519,0.534,6.412,421241
-0.060,-0.015,-1.151,-11.069,-1.023,8.076,425252
-0.053,-0.016,-1.151,-11.435,-3.008,11.023,429263
-0.050,-0.013,-1.157,-11.420,-5.542,15.191,433283
-0.037,-0.025,-1.172,-11.099,-8.000,19.664,437294
-0.027,-0.030,-1.151,-10.076,-10.336,24.015,441305
-0.026,-0.037,-1.150,-8.443,-12.763,27.802,445316
-0.031,-0.024,-1.154,-6.580,-15.878,31.496,449327
-0.026,-0.029,-1.160,-5.863,-17.893,34.321,453345
-0.020,-0.037,-1.168,-5.786,-21.313,36.794,457356
0.005,-0.057,-1.168,-6.458,-24.977,37.939,461368
0.013,-0.066,-1.172,-7.359,-27.786,37.389,465378
0.033,-0.073,-1.179,-8.198,-31.298,36.656,469389
0.046,-0.068,-1.179,-8.748,-34.687,34.275,473400
0.051,-0.053,-1.186,-8.947,-37.557,30.443,477412
0.054,-0.043,-1.197,-9.527,-40.260,27.008,481423
0.039,-0.063,-1.188,-10.840,-42.336,23.863,485435
0.024,-0.068,-1.192,-12.641,-43.695,21.435,489446
0.016,-0.083,-1.188,-14.336,-43.664,19.985,493457
0.004,-0.094,-1.179,-16.153,-42.641,20.214,497468
-0.004,-0.114,-1.176,-17.939,-41.252,21.618,501480
-0.001,-0.117,-1.184,-19.481,-39.160,24.000,505490
-0.014,-0.119,-1.166,-20.595,-36.168,26.763,509501
-0.021,-0.116,-1.158,-21.634,-33.115,29.267,513511
-0.029,-0.111,-1.160,-21.649,-30.107,31.008,517523
-0.044,-0.090,-1.142,-21.084,-27.481,31.710,521534
-0.046,-0.062,-1.138,-19.359,-24.855,31.374,525545
-0.042,-0.033,-1.114,-16.183,-21.756,30.168,529556
-0.028,-0.005,-1.104,-12.229,-18.504,27.924,533566
-0.013,0.007,-1.105,-7.191,-15.115,24.046,537578
0.001,0.022,-1.101,-2.458,-12.183,20.244,541588
0.015,0.003,-1.123,0.702,-10.809,17.053,545599
0.042,-0.017,-1.126,3.267,-9.878,15.847,549610
0.079,-0.057,-1.137,5.786,-9.267,17.008,553630
0.125,-0.108,-1.155,6.641,-10.351,20.000,557642
0.169,-0.159,-1.177,6.412,-13.099,24.519,561652
0.206,-0.191,-1.185,5.359,-15.969,28.763,565664
0.219,-0.190,-1.187,4.153,-20.198,33.786,569675
0.222,-0.159,-1.187,3.160,-23.573,37.664,573694
0.191,-0.139,-1.193,1.710,-25.924,40.626,577706
0.183,-0.139,-1.197,0.107,-25.908,41.466,581717
0.167,-0.152,-1.200,-3.511,-25.221,39.878,585728
0.141,-0.159,-1.197,-7.237,-23.588,36.550,589740
0.106,-0.146,-1.188,-8.748,-19.618,31.588,593751
0.085,-0.123,-1.174,-10.550,-16.168,25.618,597762
0.079,-0.091,-1.165,-11.618,-11.649,19.420,601773
0.092,-0.059,-1.160,-11.786,-6.305,13.084,605784
0.088,-0.041,-1.160,-12.382,-0.870,7.954,609795
0.105,-0.046,-1.151,-12.382,4.656,4.015,613806
0.119,-0.046,-1.148,-11.649,9.542,0.626,617816
0.138,-0.054,-1.142,-11.420,12.901,-3.115,621827
0.161,-0.067,-1.136,-10.794,14.718,-6.519,625838
0.185,-0.071,-1.131,-11.511,13.588,-10.534,629849
0.200,-0.066,-1.117,-12.489,10.611,-12.809,633869
0.227,-0.056,-1.118,-12.641,7.008,-12.626,637880
0.251,-0.046,-1.115,-11.160,3.130,-11.160,641891
0.257,-0.034,-1.114,-9.557,-1.252,-8.290,645902
0.250,-0.022,-1.118,-8.092,-7.420,-3.985,649918
0.258,-0.024,-1.115,-6.977,-13.542,1.053,653929
0.261,-0.019,-1.099,-6.137,-18.733,5.496,657940
0.265,-0.027,-1.109,-6.260,-23.863,9.344,661952
0.247,-0.035,-1.095,-6.489,-28.534,12.855,665963
0.223,-0.030,-1.096,-6.015,-31.802,15.725,669975
0.190,-0.021,-1.081,-4.550,-33.435,18.061,673986
0.156,-0.002,-1.076,-1.985,-32.962,19.481,677997
0.130,0.014,-1.071,0.336,-31.908,19.267,682008
0.112,0.027,-1.071,1.374,-29.985,17.420,686019
0.098,0.003,-1.067,1.710,-26.962,13.740,690030
0.092,-0.025,-1.078,1.939,-22.260,8.351,694041
0.075,-0.055,-1.096,1.954,-17.023,3.038,698053
0.072,-0.050,-1.109,2.427,-11.313,-2.443,702064
0.077,-0.054,-1.122,2.931,-6.107,-6.183,706075
0.099,-0.043,-1.128,3.924,-1.023,-8.229,710086
0.133,-0.055,-1.128,6.031,3.573,-10.061,714097
0.157,-0.044,-1.105,8.794,6.565,-11.313,718108
0.177,-0.025,-1.098,12.092,7.969,-11.832,722119
0.185,-0.013,-1.100,14.794,8.779,-11.481,726130
0.191,-0.023,-1.091,17.221,8.031,-9.527,730141
0.228,-0.043,-1.089,19.481,7.496,-7.053,734152
0.260,-0.069,-1.103,21.420,5.893,-4.351,738159
0.300,-0.101,-1.110,20.565,2.382,-1.298,742171
0.314,-0.137,-1.130,18.260,-2.763,3.099,746182
0.343,-0.151,-1.128,15.344,-7.069,8.626,750194
0.375,-0.143,-1.127,13.084,-11.389,14.275,754205
0.383,-0.128,-1.113,11.420,-15.588,18.183,758216
0.362,-0.114,-1.105,10.748,-19.252,20.885,762227
0.317,-0.111,-1.089,10.275,-21.420,21.435,766238
0.279,-0.108,-1.099,10.397,-22.260,19.557,770250
0.251,-0.090,-1.107,11.481,-22.351,15.939,774261
0.234,-0.081,-1.112,13.496,-21.313,10.672,778272
0.232,-0.062,-1.129,16.260,-17.817,6.824,782283
0.226,-0.061,-1.147,20.504,-13.008,4.885,786294
0.253,-0.084,-1.164,23.466,-8.290,3.832,790305
0.325,-0.122,-1.145,25.786,-4.382,1.084,794316
0.372,-0.152,-1.137,27.160,-2.916,-2.550,798331
0.385,-0.152,-1.143,27.878,-3.160,-4.382,802343
0.377,-0.150,-1.142,28.412,-2.855,-4.336,806353
0.366,-0.141,-1.149,28.290,-1.374,-3.450,810364
0.351,-0.132,-1.169,26.901,0.366,-2.122,814375
0.328,-0.128,-1.183,24.595,2.321,0.092,818386
0.305,-0.097,-1.156,23.985,4.962,3.450,822397
