acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.315,-0.092,-1.102,-0.443,-1.023,-1.191,0
0.321,-0.088,-1.113,-0.183,-0.794,-1.328,4053
0.323,-0.090,-1.113,-0.061,-0.779,-1.176,8068
0.335,-0.088,-1.111,0.168,-0.519,-1.099,12080
0.345,-0.093,-1.123,0.076,0.000,-1.053,16091
0.341,-0.105,-1.126,-0.046,0.901,-0.931,20102
0.337,-0.108,-1.133,-0.107,0.336,-1.069,24113
0.343,-0.097,-1.128,-0.336,-0.427,-1.145,28123
0.331,-0.105,-1.125,-0.382,-1.634,-1.328,32134
0.333,-0.100,-1.133,-0.718,-2.504,-1.389,36145
0.331,-0.100,-1.131,-1.023,-2.290,-1.863,40156
0.336,-0.100,-1.129,-1.313,-1.939,-2.107,44167
0.337,-0.101,-1.125,-1.679,-2.794,-2.672,48178
0.320,-0.098,-1.127,-1.634,-3.191,-3.267,52189
0.327,-0.097,-1.115,-1.908,-1.573,-3.374,56200
0.316,-0.094,-1.126,-1.954,-0.183,-3.496,60211
0.323,-0.092,-1.114,-2.137,1.374,-3.710,64222
0.326,-0.092,-1.125,-2.321,2.076,-3.832,68233
0.324,-0.095,-1.125,-2.473,2.275,-4.076,72244
0.322,-0.099,-1.120,-2.458,2.412,-3.969,76255
0.331,-0.096,-1.125,-2.595,3.542,-4.122,80266
0.322,-0.091,-1.115,-2.611,3.664,-3.863,84277
0.330,-0.091,-1.123,-2.763,2.198,-3.924,88288
0.330,-0.086,-1.125,-2.824,1.053,-3.756,92300
0.330,-0.084,-1.115,-2.824,0.519,-3.878,96311
0.322,-0.083,-1.119,-2.626,0.183,-3.618,100323
0.328,-0.082,-1.117,-2.779,-0.397,-3.557,104334
0.324,-0.082,-1.117,-2.794,-0.427,-3.481,108345
0.324,-0.082,-1.125,-2.656,-0.641,-3.573,112357
0.312,-0.086,-1.112,-2.458,-0.718,-3.435,116367
0.321,-0.083,-1.123,-2.351,-0.580,-3.267,120378
0.315,-0.082,-1.114,-2.382,-0.748,-3.282,124389
0.312,-0.081,-1.125,-2.427,-0.580,-3.344,128400
0.309,-0.085,-1.118,-2.351,-0.153,-3.496,132411
0.305,-0.085,-1.111,-2.519,0.351,-3.420,136422
0.310,-0.084,-1.115,-2.443,1.252,-3.313,140433
0.311,-0.082,-1.112,-2.779,2.458,-3.710,144444
0.311,-0.084,-1.118,-2.931,3.206,-3.893,148455
0.318,-0.078,-1.099,-3.176,3.756,-4.000,152466
0.313,-0.082,-1.119,-3.206,3.908,-4.198,156477
0.317,-0.083,-1.120,-3.252,4.015,-4.183,160488
0.323,-0.079,-1.111,-3.573,4.397,-4.229,164499
0.324,-0.082,-1.107,-3.863,4.137,-4.321,168512
0.326,-0.087,-1.109,-3.954,2.870,-4.595,172522
0.323,-0.082,-1.120,-4.260,1.802,-4.733,176533
0.317,-0.078,-1.111,-4.626,1.405,-4.702,180545
0.322,-0.078,-1.109,-5.023,1.084,-4.626,184556
0.312,-0.079,-1.104,-5.282,0.809,-4.702,188566
0.311,-0.075,-1.101,-5.527,0.076,-4.672,192577
0.304,-0.076,-1.095,-5.618,-0.580,-4.855,196589
0.300,-0.064,-1.081,-5.542,-0.153,-4.504,200599
0.296,-0.070,-1.093,-5.267,-0.198,-4.366,204610
0.300,-0.066,-1.079,-5.038,0.061,-4.275,208621
0.299,-0.060,-1.088,-4.641,0.702,-4.137,212641
0.299,-0.061,-1.078,-4.382,1.420,-3.786,216652
0.295,-0.062,-1.082,-3.878,2.183,-3.710,220663
0.305,-0.060,-1.092,-3.405,2.855,-3.267,224674
0.297,-0.063,-1.080,-2.779,2.794,-2.870,228686
0.309,-0.056,-1.079,-2.260,2.656,-2.901,232704
0.309,-0.060,-1.079,-1.725,2.382,-2.290,236714
0.312,-0.062,-1.071,-1.328,2.229,-1.878,240725
0.311,-0.072,-1.084,-0.992,1.679,-1.557,244736
0.313,-0.075,-1.084,-0.626,1.359,-0.962,248747
0.314,-0.083,-1.082,-0.443,0.901,-0.550,252758
0.314,-0.083,-1.092,-0.290,0.580,-0.137,256769
0.318,-0.084,-1.090,-0.107,0.412,0.076,260780
0.317,-0.089,-1.096,0.260,0.336,0.168,264791
0.327,-0.087,-1.104,0.244,0.412,0.366,268798
0.321,-0.087,-1.109,0.412,0.733,0.427,272809
0.320,-0.100,-1.110,0.366,0.534,0.534,276820
0.320,-0.101,-1.114,0.198,0.458,0.061,280831
0.319,-0.099,-1.115,-0.122,0.153,-0.031,284842
0.316,-0.104,-1.109,-0.260,0.183,-0.397,288853
0.313,-0.099,-1.114,-0.473,0.580,-0.870,292864
0.318,-0.098,-1.109,-0.931,1.023,-1.008,296875
0.314,-0.097,-1.116,-1.145,1.527,-1.466,300886
0.318,-0.101,-1.128,-1.359,1.954,-1.618,304897
0.320,-0.101,-1.123,-1.664,2.473,-1.908,308908
0.322,-0.098,-1.120,-1.817,2.901,-2.076,312923
0.326,-0.101,-1.123,-1.924,3.756,-2.046,316934
0.323,-0.101,-1.129,-2.015,5.069,-2.031,320945
0.331,-0.101,-1.133,-2.168,4.626,-2.000,324956
0.334,-0.102,-1.123,-2.489,4.397,-2.000,328967
0.325,-0.099,-1.124,-2.244,2.962,-2.489,332986
0.330,-0.104,-1.131,-2.550,2.672,-2.214,336997
0.330,-0.099,-1.136,-3.038,1.176,-2.168,341008
0.325,-0.097,-1.121,-3.115,0.962,-2.412,345019
0.323,-0.095,-1.127,-3.023,0.794,-2.504,349030
0.322,-0.095,-1.130,-3.237,0.641,-2.550,353051
0.312,-0.095,-1.123,-3.405,0.382,-2.687,357062
0.313,-0.092,-1.123,-3.389,0.443,-2.824,361073
