acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.181,0.001,-1.113,-3.267,2.000,0.397,414513059
0.177,-0.003,-1.107,-2.748,2.153,0.550,414517095
0.171,-0.011,-1.107,-2.550,2.046,0.565,414521105
0.168,-0.011,-1.113,-3.160,2.397,0.198,414525115
0.178,-0.017,-1.110,-4.229,2.275,0.260,414529126
0.184,-0.018,-1.119,-5.084,2.458,-0.076,414533136
0.182,-0.020,-1.117,-5.954,2.748,-0.504,414537145
0.181,-0.027,-1.117,-6.809,2.443,-1.206,414541157
0.185,-0.020,-1.122,-7.221,2.214,-1.160,414545166
0.185,-0.014,-1.106,-7.588,1.954,-1.313,414549175
0.179,-0.002,-1.119,-7.359,1.725,-1.374,414553185
0.172,-0.005,-1.113,-6.962,1.908,-1.084,414557195
0.179,0.002,-1.117,-6.458,2.031,-0.977,414561206
0.170,0.010,-1.105,-5.557,2.595,-0.611,414565215
0.166,0.008,-1.106,-4.748,2.885,-0.397,414569224
0.167,0.013,-1.105,-3.954,3.817,0.122,414573234
0.174,0.008,-1.100,-3.115,4.504,0.366,414577244
0.170,0.005,-1.103,-2.214,4.855,0.870,414581254
0.173,-0.000,-1.102,-1.573,5.053,0.901,414585263
0.183,-0.007,-1.111,-1.206,4.565,0.840,414589273
0.190,-0.004,-1.104,-1.176,4.122,0.947,414593283
0.196,-0.012,-1.110,-1.542,3.359,0.702,414597293
0.198,-0.017,-1.115,-2.290,2.748,0.443,414601303
0.199,-0.027,-1.121,-2.885,2.427,-0.107,414605313
0.203,-0.030,-1.122,-3.802,2.305,-0.458,414609322
0.190,-0.028,-1.116,-4.901,2.794,-0.840,414613331
0.191,-0.037,-1.129,-5.786,2.702,-1.023,414617341
0.182,-0.026,-1.137,-6.580,2.962,-1.267,414621351
0.178,-0.017,-1.128,-7.053,3.557,-1.481,414625361
0.177,-0.023,-1.117,-7.130,3.908,-1.420,414629371
0.182,-0.023,-1.121,-7.130,4.382,-1.328,414633381
0.184,-0.012,-1.124,-6.702,4.427,-1.084,414637391
0.184,-0.016,-1.116,-6.229,4.885,-0.977,414641401
0.182,-0.011,-1.116,-5.725,5.389,-0.458,414645411
0.180,-0.013,-1.112,-5.221,5.649,-0.412,414649421
0.179,-0.010,-1.113,-4.687,5.924,-0.351,414653431
0.184,-0.012,-1.107,-4.290,6.168,-0.031,414657441
0.183,-0.015,-1.115,-3.771,6.168,0.015,414661450
0.180,-0.013,-1.105,-3.069,6.214,0.122,414665460
0.179,-0.016,-1.109,-2.962,6.336,0.015,414669469
0.177,-0.014,-1.102,-2.534,6.565,0.015,414673478
0.182,-0.016,-1.104,-2.275,6.672,-0.046,414677488
0.186,-0.012,-1.101,-1.939,6.244,0.015,414681498
0.193,-0.013,-1.099,-2.260,5.496,-0.031,414685507
0.192,-0.024,-1.106,-2.580,4.305,-0.260,414689517
0.196,-0.032,-1.107,-2.992,2.947,-0.504,414693527
0.197,-0.033,-1.113,-3.893,2.458,-0.748,414697537
0.202,-0.036,-1.126,-4.565,2.214,-1.038,414701546
0.190,-0.037,-1.120,-5.450,2.107,-1.695,414705556
0.185,-0.037,-1.112,-5.771,1.496,-1.893,414709565
0.185,-0.029,-1.113,-6.321,1.420,-1.786,414713574
0.186,-0.028,-1.107,-6.168,1.511,-2.015,414717584
0.179,-0.017,-1.098,-5.679,1.863,-1.511,414721595
0.168,-0.015,-1.094,-5.450,2.489,-1.466,414725606
0.167,-0.010,-1.105,-4.992,3.176,-1.298,414729615
0.166,-0.009,-1.096,-4.489,3.893,-0.840,414733624
0.163,-0.012,-1.100,-4.122,4.565,-0.489,414737634
0.164,-0.013,-1.104,-3.557,4.947,-0.473,414741643
