acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.09,0.01,-1.07,-8.08,-4.20,0.38
0.08,-0.01,-1.09,-7.71,-4.02,1.16
0.08,-0.01,-1.10,-7.89,-4.24,1.98
0.09,-0.01,-1.12,-7.83,-4.18,2.82
0.09,-0.00,-1.12,-7.79,-4.85,3.48
0.09,0.00,-1.12,-7.42,-5.40,3.79
0.10,0.00,-1.12,-7.10,-5.82,4.09
0.11,-0.01,-1.10,-6.93,-6.37,4.46
0.11,0.00,-1.11,-6.64,-7.02,4.21
0.11,0.00,-1.12,-6.34,-7.36,4.11
0.11,0.00,-1.10,-6.24,-7.50,3.91
0.11,-0.01,-1.11,-6.34,-7.54,3.95
0.10,-0.02,-1.12,-6.79,-7.66,4.43
0.10,-0.03,-1.12,-7.71,-7.56,4.64
0.10,-0.04,-1.13,-8.84,-6.85,4.76
0.09,-0.04,-1.13,-9.44,-5.89,4.61
0.09,-0.02,-1.13,-9.47,-4.63,4.63
0.10,-0.01,-1.12,-9.16,-3.48,4.14
0.10,-0.00,-1.12,-7.53,-1.62,4.40
0.09,0.00,-1.10,-5.11,-0.06,4.15
0.10,0.00,-1.11,-3.39,0.96,3.94
0.10,-0.02,-1.12,-2.44,2.26,3.25
0.10,-0.04,-1.12,-2.41,3.30,2.64
0.11,-0.04,-1.13,-3.24,3.86,1.79
0.12,-0.06,-1.14,-4.64,4.05,1.54
0.11,-0.06,-1.15,-6.17,3.92,1.54
0.11,-0.05,-1.14,-7.62,3.59,1.44
0.11,-0.04,-1.13,-8.31,3.68,1.24
0.11,-0.04,-1.13,-9.13,3.21,0.44
0.11,-0.03,-1.13,-9.68,3.36,-0.06
0.10,-0.03,-1.13,-9.79,2.89,-0.99
0.10,-0.02,-1.13,-9.89,3.25,-1.54
0.09,-0.02,-1.10,-9.74,3.39,-1.92
0.08,-0.03,-1.12,-9.83,3.69,-2.49
0.08,-0.04,-1.11,-10.02,3.97,-2.85
0.08,-0.04,-1.10,-10.44,3.86,-3.16
0.08,-0.03,-1.11,-10.76,3.73,-3.31
0.09,-0.02,-1.10,-11.18,3.48,-3.45
0.08,-0.02,-1.10,-10.93,2.84,-3.76
0.08,0.01,-1.10,-10.75,2.20,-3.18
0.08,0.01,-1.09,-9.80,1.31,-2.93
0.07,0.01,-1.09,-8.31,0.09,-2.53
0.08,0.02,-1.09,-6.67,-0.78,-2.53
0.07,0.03,-1.09,-5.22,-1.77,-2.41
0.06,0.02,-1.09,-4.20,-2.03,-1.80
0.05,0.01,-1.11,-3.50,-2.38,-1.05
0.05,0.00,-1.11,-3.31,-2.34,-0.47
0.04,0.00,-1.11,-3.30,-2.12,-0.08
0.04,0.00,-1.12,-3.83,-1.25,0.47
0.03,-0.01,-1.14,-4.69,-0.81,0.79
0.03,-0.01,-1.12,-5.53,-0.09,1.44
0.03,-0.01,-1.12,-5.88,0.85,2.23
0.03,-0.01,-1.13,-6.43,1.80,3.11
0.05,0.00,-1.13,-6.35,2.50,3.89
0.05,0.01,-1.12,-5.80,2.55,4.58
0.06,0.00,-1.12,-5.05,2.53,4.73
0.07,-0.01,-1.11,-4.69,2.50,5.01
0.08,-0.01,-1.11,-4.43,2.15,4.99
0.08,-0.02,-1.12,-4.32,2.24,4.93
