acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.254,-0.012,-1.109,-4.885,0.519,-0.809,0
0.248,-0.006,-1.108,-5.023,1.298,-1.038,4051
0.254,-0.007,-1.106,-5.450,1.786,-1.053,8063
0.258,0.001,-1.110,-5.405,2.550,-1.099,12074
0.259,-0.002,-1.107,-5.344,3.267,-0.947,16085
0.253,-0.006,-1.102,-5.878,3.405,-0.718,20096
0.267,-0.010,-1.093,-6.275,3.389,-0.427,24107
0.266,-0.003,-1.110,-6.458,3.221,-0.061,28117
0.274,-0.011,-1.109,-6.351,2.641,0.397,32128
0.285,-0.008,-1.110,-6.046,2.061,0.855,36139
0.282,0.000,-1.109,-5.786,1.450,1.008,40150
0.286,-0.003,-1.107,-5.542,0.794,1.084,44161
0.281,-0.001,-1.107,-5.603,0.366,1.359,48169
0.285,-0.004,-1.111,-5.359,-0.122,1.008,52180
0.277,-0.010,-1.112,-5.328,-0.366,0.672,56191
0.275,0.000,-1.107,-4.977,0.061,0.580,60202
0.273,-0.002,-1.103,-4.595,0.305,0.275,64213
0.269,0.002,-1.104,-4.382,0.962,0.214,68224
0.270,-0.008,-1.112,-4.305,1.466,0.305,72235
0.274,-0.007,-1.106,-4.397,1.924,0.382,76246
0.271,-0.003,-1.098,-4.641,2.550,0.611,80257
0.274,-0.006,-1.106,-4.824,2.931,0.656,84268
0.272,-0.004,-1.113,-5.008,3.221,0.702,88280
0.280,-0.008,-1.110,-5.359,3.191,0.611,92291
0.286,-0.011,-1.109,-5.985,2.931,0.611,96303
0.287,-0.013,-1.099,-6.656,2.443,0.534,100314
0.293,-0.014,-1.094,-6.992,1.954,0.290,104325
0.293,-0.011,-1.113,-7.466,1.466,0.168,108337
0.289,-0.010,-1.099,-7.924,0.870,-0.031,112347
0.295,-0.003,-1.107,-8.290,0.947,-0.397,116358
0.287,0.002,-1.108,-8.260,0.565,-0.458,120369
0.289,0.003,-1.098,-8.305,0.534,-0.687,124380
0.288,0.005,-1.097,-8.092,0.641,-0.656,128391
0.269,-0.000,-1.097,-7.817,1.069,-0.718,132401
0.269,0.002,-1.101,-7.542,1.420,-0.351,136412
0.264,0.003,-1.098,-7.389,1.969,-0.046,140423
0.265,0.001,-1.105,-6.916,2.290,0.397,144434
0.265,0.006,-1.099,-6.687,2.718,0.458,148445
0.271,0.001,-1.109,-6.198,2.992,0.718,152456
0.273,0.001,-1.098,-5.878,2.794,1.145,156467
0.279,0.001,-1.104,-5.450,3.069,1.267,160479
0.280,0.000,-1.098,-5.450,2.870,1.221,164490
0.286,0.000,-1.094,-5.725,2.198,1.038,168502
0.281,-0.005,-1.091,-6.107,1.725,0.870,172513
0.284,-0.003,-1.089,-6.351,1.221,0.305,176525
0.286,-0.001,-1.089,-6.397,1.130,-0.198,180535
0.285,-0.009,-1.090,-6.214,0.916,-0.137,184546
0.281,-0.005,-1.093,-6.076,1.267,-0.290,188557
0.277,-0.004,-1.090,-6.153,1.847,0.198,192568
0.274,-0.009,-1.095,-6.137,2.046,0.321,196580
0.265,-0.010,-1.096,-6.443,2.534,0.748,200591
0.271,-0.011,-1.093,-6.489,3.008,0.962,204602
0.273,-0.006,-1.094,-6.382,3.374,1.298,208613
0.278,0.001,-1.102,-6.198,3.389,1.420,212624
0.274,0.006,-1.099,-5.969,3.466,1.435,216635
0.281,0.007,-1.094,-5.832,3.618,1.603,220646
0.284,0.003,-1.096,-5.786,3.450,1.160,224657
0.281,0.003,-1.090,-5.359,3.344,0.840,228668
0.277,0.003,-1.095,-5.237,3.237,0.473,232688
0.278,0.004,-1.092,-4.901,3.130,0.137,236699
0.276,0.013,-1.095,-4.794,3.221,-0.137,240710
0.276,0.013,-1.097,-4.550,3.527,-0.275,244721
0.270,0.007,-1.085,-4.504,3.588,-0.397,248732
0.263,0.001,-1.087,-4.550,3.832,-0.595,252744
0.273,0.005,-1.089,-4.382,3.863,-0.611,256755
0.263,-0.001,-1.092,-4.565,3.740,-0.519,260766
