acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.190,-0.165,-1.108,-4.992,1.573,-0.656,768866746
0.184,-0.158,-1.107,-4.901,1.817,-0.504,768870790
0.191,-0.164,-1.104,-5.069,1.832,-0.473,768874804
0.189,-0.166,-1.089,-5.221,1.817,-0.366,768878815
0.197,-0.161,-1.103,-5.634,2.015,-0.443,768882826
0.197,-0.162,-1.100,-5.756,1.740,-0.275,768886837
0.197,-0.168,-1.099,-5.679,1.893,-0.412,768890848
0.198,-0.165,-1.093,-5.603,1.527,-0.321,768894855
0.193,-0.165,-1.098,-5.435,1.725,-0.260,768898867
0.198,-0.159,-1.096,-5.344,1.282,-0.168,768902878
0.196,-0.162,-1.103,-5.496,1.389,-0.214,768906889
0.200,-0.164,-1.102,-5.695,1.221,-0.153,768910901
0.192,-0.158,-1.102,-5.588,0.916,-0.229,768914909
0.207,-0.159,-1.102,-5.359,0.550,-0.122,768918920
0.198,-0.161,-1.099,-4.885,0.565,-0.260,768922931
0.206,-0.154,-1.104,-4.809,0.031,-0.290,768926942
0.199,-0.163,-1.104,-4.733,-0.015,-0.260,768930953
0.204,-0.162,-1.106,-4.641,-0.382,-0.443,768934967
0.199,-0.161,-1.105,-4.916,-0.534,-0.443,768938978
0.194,-0.162,-1.109,-4.977,-0.321,-0.580,768942990
0.189,-0.161,-1.103,-5.084,-0.382,-0.321,768947000
0.186,-0.166,-1.107,-5.008,-0.046,-0.412,768951011
0.190,-0.166,-1.103,-4.947,0.321,-0.489,768955022
0.180,-0.160,-1.104,-4.870,0.595,-0.122,768959034
0.184,-0.162,-1.107,-5.221,1.145,-0.336,768963045
0.184,-0.162,-1.097,-5.466,1.359,-0.260,768967057
0.185,-0.163,-1.099,-5.679,1.557,-0.168,768971068
0.190,-0.160,-1.091,-5.634,1.878,-0.198,768975080
0.191,-0.159,-1.093,-5.420,1.649,-0.366,768979091
0.199,-0.163,-1.090,-5.237,1.664,-0.290,768983103
0.197,-0.165,-1.100,-5.237,1.435,-0.153,768987114
0.198,-0.160,-1.097,-5.115,1.435,-0.229,768991125
0.204,-0.168,-1.097,-5.145,1.130,-0.092,768995136
0.205,-0.162,-1.105,-5.221,1.069,-0.321,768999147
0.202,-0.160,-1.098,-5.344,0.550,-0.427,769003158
0.201,-0.166,-1.106,-5.389,0.473,-0.366,769007169
0.201,-0.161,-1.112,-5.206,0.183,-0.382,769011180
0.201,-0.161,-1.101,-5.084,0.305,-0.244,769015191
0.192,-0.163,-1.096,-5.130,0.504,-0.275,769019202
0.188,-0.158,-1.102,-5.191,0.489,-0.382,769023214
0.192,-0.158,-1.095,-5.420,0.687,-0.275,769027224
0.199,-0.156,-1.107,-5.420,1.023,-0.366,769031235
0.188,-0.162,-1.100,-5.252,1.084,-0.305,769035246
0.195,-0.159,-1.090,-5.267,1.053,-0.519,769039257
0.191,-0.158,-1.098,-5.023,1.252,-0.351,769043269
0.188,-0.162,-1.096,-4.992,1.145,-0.458,769047279
0.184,-0.162,-1.100,-5.145,1.802,-0.595,769051290
0.186,-0.166,-1.101,-5.374,1.771,-0.397,769055298
0.186,-0.162,-1.105,-5.450,2.061,-0.229,769059310
0.188,-0.159,-1.096,-5.496,1.985,-0.473,769063320
0.188,-0.167,-1.104,-5.359,2.351,-0.458,769067331
0.191,-0.161,-1.103,-5.252,2.305,-0.550,769071343
0.190,-0.155,-1.098,-5.176,2.687,-0.443,769075354
0.198,-0.167,-1.101,-5.511,2.687,-0.351,769079365
0.197,-0.167,-1.094,-5.664,2.580,-0.275,769083376
0.202,-0.169,-1.094,-5.847,2.565,-0.443,769087387
0.197,-0.168,-1.094,-5.969,2.565,-0.366,769091398
0.197,-0.167,-1.110,-5.969,2.443,-0.229,769095410
0.198,-0.163,-1.106,-5.557,1.969,-0.137,769099431
0.198,-0.159,-1.100,-5.405,1.985,-0.244,769103441
0.199,-0.158,-1.104,-5.389,1.908,-0.015,769107452
0.202,-0.156,-1.099,-5.389,1.679,-0.031,769111463
0.201,-0.156,-1.105,-5.466,1.221,0.015,769115475
