acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.279,0.046,-1.090,-5.786,1.313,-0.840,0
0.277,0.042,-1.095,-6.031,1.344,-0.962,4048
0.280,0.044,-1.095,-6.244,1.038,-0.870,8060
0.279,0.047,-1.098,-6.550,1.038,-1.160,12071
0.285,0.055,-1.097,-6.550,0.840,-1.191,16082
0.270,0.042,-1.097,-6.305,0.702,-1.191,20093
0.275,0.053,-1.101,-6.458,0.855,-1.145,24104
0.275,0.045,-1.090,-6.519,0.626,-1.313,28114
0.271,0.047,-1.098,-6.626,0.336,-1.450,32126
0.276,0.048,-1.104,-6.519,0.763,-1.282,36136
0.267,0.045,-1.097,-6.244,0.855,-1.374,40147
0.281,0.045,-1.099,-6.275,0.733,-1.221,44158
0.267,0.048,-1.094,-6.260,1.160,-1.450,48167
0.270,0.046,-1.098,-6.382,1.786,-1.328,52178
0.268,0.038,-1.089,-6.489,2.076,-1.252,56190
0.273,0.039,-1.103,-6.763,2.672,-1.405,60200
0.270,0.043,-1.090,-6.931,2.916,-1.557,64211
0.271,0.047,-1.088,-7.282,2.962,-1.863,68223
0.279,0.048,-1.087,-7.237,3.282,-2.031,72234
0.276,0.049,-1.092,-7.267,3.420,-2.473,76245
0.276,0.054,-1.085,-7.282,3.374,-2.595,80256
0.275,0.050,-1.090,-7.344,3.099,-2.656,84267
0.275,0.061,-1.087,-7.115,2.840,-2.870,88279
0.272,0.051,-1.088,-7.191,2.733,-3.008,92289
0.280,0.054,-1.101,-7.145,2.580,-3.145,96300
0.275,0.046,-1.097,-7.206,2.214,-3.374,100311
0.275,0.049,-1.099,-7.176,1.664,-3.603,104322
0.278,0.047,-1.093,-7.435,1.252,-3.740,108333
0.275,0.043,-1.091,-7.679,1.115,-3.832,112345
0.269,0.039,-1.097,-7.634,0.870,-3.832,116356
0.265,0.038,-1.095,-7.863,0.992,-3.771,120367
0.260,0.043,-1.096,-8.076,0.901,-3.695,124378
0.242,0.038,-1.099,-8.275,1.344,-3.374,128389
0.245,0.039,-1.091,-8.473,1.664,-3.496,132401
0.244,0.039,-1.098,-8.733,2.504,-3.099,136412
0.237,0.047,-1.098,-8.885,3.191,-3.328,140424
0.241,0.037,-1.100,-9.435,3.802,-3.405,144435
0.251,0.042,-1.100,-9.847,3.985,-3.450,148445
0.252,0.027,-1.114,-10.198,4.565,-3.557,152456
0.258,0.021,-1.118,-10.733,4.901,-3.817,156467
0.247,0.027,-1.112,-11.252,5.176,-3.924,160478
0.264,0.019,-1.116,-11.695,5.405,-4.229,164489
0.260,0.019,-1.116,-12.427,5.908,-4.443,168500
0.264,0.019,-1.115,-13.038,6.305,-4.687,172511
0.253,0.022,-1.114,-13.573,6.473,-5.160,176522
0.259,0.016,-1.117,-13.847,7.099,-5.588,180533
0.265,0.015,-1.115,-14.412,7.420,-5.603,184544
0.269,0.016,-1.109,-14.824,7.771,-5.573,188555
0.274,0.007,-1.112,-15.313,8.046,-5.664,192566
