acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.05,0.03,-1.12,-5.44,2.89,-0.75
0.05,0.04,-1.12,-4.92,3.08,-0.38
0.05,0.04,-1.11,-4.60,3.19,0.26
0.05,0.04,-1.11,-4.41,3.77,0.78
0.04,0.03,-1.11,-4.08,3.95,0.90
0.05,0.03,-1.11,-3.88,4.20,1.01
0.06,0.03,-1.11,-4.11,3.88,0.82
0.06,0.03,-1.10,-4.02,3.68,0.82
0.08,0.03,-1.10,-4.18,3.18,0.64
0.08,0.03,-1.11,-4.23,2.35,0.06
0.08,0.04,-1.11,-4.43,1.30,-0.44
0.08,0.04,-1.11,-3.97,0.17,-1.04
0.08,0.05,-1.12,-3.73,-0.87,-1.27
0.07,0.06,-1.12,-3.21,-1.73,-1.15
0.06,0.05,-1.11,-2.78,-1.79,-1.37
0.05,0.05,-1.13,-2.60,-1.79,-1.22
0.04,0.05,-1.11,-2.24,-0.99,-0.87
0.04,0.05,-1.13,-2.11,-0.02,-0.60
0.03,0.05,-1.13,-2.24,0.96,-0.41
0.04,0.05,-1.13,-2.49,1.83,-0.12
0.04,0.05,-1.14,-2.58,2.11,0.69
0.05,0.05,-1.15,-2.75,2.67,0.89
0.05,0.05,-1.14,-3.01,3.15,1.47
0.06,0.05,-1.15,-3.24,3.42,1.07
0.06,0.05,-1.14,-3.50,3.76,0.92
0.07,0.05,-1.15,-3.83,4.31,0.47
0.06,0.05,-1.15,-3.83,4.95,-0.14
0.06,0.05,-1.15,-4.27,5.33,-0.29
0.06,0.05,-1.16,-4.15,5.68,-0.27
0.07,0.05,-1.16,-4.61,5.60,-0.14
0.08,0.05,-1.15,-5.04,5.42,-0.23
0.07,0.04,-1.16,-5.73,5.31,-0.40
0.08,0.04,-1.16,-6.26,4.89,-0.58
0.09,0.05,-1.14,-6.53,4.56,-1.04
0.08,0.05,-1.14,-6.52,4.15,-1.34
0.08,0.04,-1.13,-6.37,3.76,-1.63
0.08,0.05,-1.14,-6.18,3.13,-1.53
0.09,0.05,-1.13,-6.23,2.50,-1.66
