acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.132,0.018,-1.104,-3.588,4.260,0.779,0
0.136,0.023,-1.106,-3.359,3.603,0.580,4050
0.147,0.017,-1.102,-3.496,2.763,0.092,8064
0.142,0.014,-1.097,-3.802,2.107,-0.336,12075
0.142,0.007,-1.104,-4.015,0.885,-0.702,16086
0.148,0.007,-1.110,-4.397,0.198,-1.405,20097
0.133,0.003,-1.116,-4.992,-1.344,-1.893,24108
0.135,0.002,-1.109,-5.344,-1.298,-2.458,28118
0.133,0.013,-1.109,-5.847,-2.198,-2.672,32129
0.122,0.016,-1.116,-6.061,-2.443,-2.718,36140
0.118,0.033,-1.120,-6.290,-2.534,-2.840,40151
0.105,0.036,-1.115,-6.229,-2.305,-2.427,44162
0.093,0.038,-1.121,-6.000,-1.496,-1.954,48170
0.088,0.041,-1.117,-5.435,-0.534,-1.221,52182
0.084,0.044,-1.116,-5.115,0.305,-0.595,56192
0.084,0.042,-1.114,-4.763,1.481,0.015,60203
0.087,0.033,-1.111,-4.427,2.809,0.366,64215
0.092,0.034,-1.110,-4.137,3.649,0.718,68226
0.085,0.027,-1.116,-3.954,4.840,0.947,72237
0.096,0.023,-1.109,-4.214,5.115,0.947,76249
0.107,0.019,-1.112,-3.954,5.374,1.008,80260
0.123,0.020,-1.110,-4.046,5.191,0.794,84271
0.136,0.023,-1.113,-4.137,4.473,0.504,88283
0.134,0.014,-1.096,-4.260,3.511,0.382,92294
0.139,0.019,-1.104,-4.229,2.580,-0.321,96306
0.145,0.018,-1.101,-4.198,1.237,-1.160,100317
0.137,0.022,-1.114,-4.107,0.641,-1.603,104328
0.135,0.020,-1.102,-4.031,-0.489,-1.985,108340
0.129,0.019,-1.111,-3.878,-1.389,-2.534,112351
0.120,0.022,-1.111,-3.863,-1.435,-2.809,116363
0.109,0.019,-1.120,-3.802,-1.710,-3.099,120373
0.099,0.020,-1.119,-4.153,-1.618,-3.115,124384
0.094,0.018,-1.122,-4.366,-1.389,-2.748,128395
0.088,0.021,-1.128,-4.550,-1.160,-2.641,132406
0.082,0.021,-1.130,-4.718,-0.214,-1.847,136417
0.076,0.024,-1.132,-4.779,0.473,-1.298,140428
0.073,0.028,-1.122,-4.504,0.885,-0.580,144439
0.082,0.032,-1.120,-4.580,1.832,-0.046,148450
0.083,0.033,-1.117,-3.924,2.443,0.763,152461
0.081,0.028,-1.118,-3.573,2.718,1.069,156472
0.091,0.030,-1.118,-3.405,2.611,0.977,160483
0.101,0.032,-1.116,-3.038,2.550,1.099,164494
0.102,0.032,-1.111,-2.931,2.595,1.038,168505
0.106,0.021,-1.126,-2.809,1.878,0.916,172516
0.109,0.020,-1.129,-2.916,1.099,0.611,176527
0.116,0.014,-1.126,-3.221,0.595,0.397,180538
0.119,0.010,-1.137,-3.817,0.076,-0.046,184549
0.113,0.011,-1.128,-4.092,-0.351,-0.489,188559
0.115,0.018,-1.139,-4.275,-0.763,-0.901,192571
0.111,0.017,-1.132,-4.321,-1.053,-0.901,196581
0.102,0.022,-1.136,-4.656,-0.534,-1.053,200592
0.098,0.022,-1.139,-4.519,-0.015,-1.344,204603
0.094,0.019,-1.133,-4.458,0.015,-1.282,208615
0.092,0.026,-1.135,-4.305,0.687,-1.374,212626
0.092,0.027,-1.137,-4.427,1.328,-1.053,216637
0.098,0.029,-1.141,-4.229,1.985,-0.855,220648
