acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.210,-0.009,-1.101,-5.298,3.954,-0.565,1371216745
0.202,-0.017,-1.097,-5.099,3.893,-0.656,1371220788
0.210,-0.015,-1.111,-5.053,3.847,-0.748,1371224802
0.216,-0.013,-1.115,-5.344,3.618,-0.763,1371228813
0.219,-0.008,-1.099,-5.679,3.557,-0.748,1371232824
0.217,-0.017,-1.097,-5.908,3.206,-0.580,1371236835
0.220,-0.014,-1.112,-5.725,2.901,-0.611,1371240846
0.215,-0.013,-1.102,-5.618,2.626,-0.626,1371244857
0.215,-0.013,-1.106,-5.206,2.214,-0.626,1371248868
0.217,-0.019,-1.101,-5.298,1.832,-0.687,1371252879
0.208,-0.014,-1.093,-5.267,1.542,-0.550,1371256891
0.213,-0.011,-1.106,-5.221,1.252,-0.611,1371260902
0.213,-0.008,-1.107,-5.221,1.008,-0.565,1371264914
0.216,-0.007,-1.103,-5.038,0.992,-0.504,1371268925
0.215,-0.007,-1.093,-4.779,0.824,-0.183,1371272936
0.209,-0.013,-1.100,-4.534,0.702,0.015,1371276948
0.208,-0.001,-1.102,-4.336,0.672,0.046,1371280959
0.216,-0.006,-1.108,-4.519,0.626,0.153,1371284970
0.212,-0.007,-1.098,-4.626,0.626,0.305,1371288981
0.213,-0.005,-1.103,-4.702,0.779,0.489,1371292992
0.210,-0.011,-1.101,-4.824,0.931,0.153,1371297003
0.208,-0.008,-1.104,-4.733,0.824,0.336,1371301014
0.209,-0.009,-1.104,-4.473,0.779,0.031,1371305025
0.215,-0.011,-1.106,-4.580,0.977,0.031,1371309037
0.215,-0.020,-1.103,-4.733,1.069,-0.260,1371313048
0.217,-0.021,-1.094,-5.008,1.344,-0.458,1371317060
0.213,-0.022,-1.102,-5.115,1.328,-0.427,1371321071
0.217,-0.012,-1.110,-5.267,1.725,-0.672,1371325085
0.210,-0.018,-1.110,-5.115,1.603,-0.840,1371329096
0.214,-0.009,-1.097,-5.053,2.183,-1.038,1371333107
0.211,-0.009,-1.104,-5.069,2.305,-0.763,1371337119
0.212,-0.011,-1.100,-4.870,2.550,-0.519,1371341130
0.214,-0.010,-1.104,-4.855,2.641,-0.779,1371345140
0.217,-0.007,-1.103,-4.947,2.366,-0.687,1371349151
0.220,-0.012,-1.109,-4.962,2.565,-0.641,1371353162
0.230,-0.014,-1.099,-4.641,2.183,-0.962,1371357174
0.228,-0.016,-1.114,-4.260,2.107,-0.824,1371361185
0.223,-0.020,-1.110,-4.244,1.725,-0.916,1371365195
0.234,-0.026,-1.103,-4.382,1.282,-0.870,1371369206
0.229,-0.021,-1.104,-4.855,1.023,-1.038,1371373217
0.218,-0.025,-1.113,-5.221,0.656,-1.145,1371377228
0.218,-0.021,-1.116,-5.511,0.473,-1.267,1371381239
0.223,-0.021,-1.115,-5.450,0.336,-1.359,1371385250
0.222,-0.015,-1.115,-5.450,0.122,-1.466,1371389261
0.223,-0.017,-1.107,-5.466,0.092,-1.405,1371393272
0.217,-0.013,-1.106,-5.481,0.351,-1.374,1371397284
0.209,-0.015,-1.107,-5.756,0.290,-1.405,1371401295
0.220,-0.014,-1.118,-5.863,0.672,-1.405,1371405305
0.211,-0.011,-1.100,-5.725,1.023,-1.298,1371409316
0.215,-0.009,-1.107,-5.313,0.794,-1.328,1371413328
0.211,-0.006,-1.099,-5.099,1.115,-1.221,1371417339
0.218,-0.004,-1.098,-4.931,0.931,-1.130,1371421350
0.215,-0.010,-1.110,-5.038,1.099,-1.176,1371425362
0.216,-0.004,-1.110,-4.992,1.298,-1.191,1371429373
0.219,-0.009,-1.106,-4.870,1.374,-1.435,1371433384
0.222,-0.003,-1.105,-4.733,1.328,-1.527,1371437395
0.213,-0.007,-1.109,-4.504,1.206,-1.832,1371441406
0.223,-0.011,-1.111,-4.351,1.176,-1.679,1371445418
0.222,-0.010,-1.112,-4.290,1.130,-1.863,1371449437
0.212,-0.007,-1.103,-4.473,1.130,-2.000,1371453448
0.222,-0.008,-1.097,-4.519,0.977,-2.122,1371457459
0.216,-0.010,-1.108,-4.855,0.992,-2.076,1371461470
0.215,-0.018,-1.115,-4.794,1.008,-2.076,1371465484
0.210,-0.018,-1.111,-4.794,1.023,-2.122,1371469495
0.210,-0.016,-1.109,-4.641,0.947,-2.031,1371473507
0.222,-0.018,-1.121,-4.931,0.901,-2.137,1371477517
0.220,-0.016,-1.111,-5.130,0.702,-2.351,1371481528
0.218,-0.021,-1.113,-5.542,0.412,-2.534,1371485541
0.215,-0.023,-1.107,-5.618,0.427,-2.565,1371489552
0.218,-0.021,-1.121,-5.771,0.214,-2.809,1371493563
0.213,-0.016,-1.108,-5.496,0.321,-2.687,1371497574
0.212,-0.012,-1.104,-5.450,0.153,-2.412,1371501585
0.212,-0.015,-1.114,-4.992,-0.092,-2.595,1371505596
0.212,-0.015,-1.112,-5.023,-0.214,-2.382,1371509606
0.213,-0.024,-1.109,-5.038,-0.137,-2.351,1371513618
0.215,-0.025,-1.108,-5.084,-0.107,-2.061,1371517629
0.219,-0.026,-1.108,-4.977,-0.229,-1.695,1371521640
0.215,-0.027,-1.104,-4.931,-0.260,-1.511,1371525652
0.216,-0.029,-1.104,-4.824,-0.412,-1.282,1371529662
0.212,-0.032,-1.113,-4.809,-0.565,-1.313,1371533673
0.212,-0.025,-1.097,-4.824,-0.382,-1.237,1371537684
0.215,-0.025,-1.106,-4.962,-0.641,-1.176,1371541695
0.213,-0.023,-1.105,-5.405,-0.534,-1.420,1371545706
0.219,-0.030,-1.113,-5.573,-0.534,-1.588,1371549726
0.214,-0.029,-1.106,-5.481,-0.977,-1.710,1371553738
