acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.258,-0.021,-1.112,-4.504,4.107,-0.366,0
0.258,-0.020,-1.110,-4.855,3.695,-0.321,4048
0.263,-0.031,-1.106,-5.099,3.069,-0.656,8061
0.262,-0.020,-1.104,-5.496,2.718,-0.748,12072
0.266,-0.017,-1.105,-5.603,2.565,-0.962,16083
0.254,-0.025,-1.107,-5.756,2.168,-1.008,20094
0.254,-0.023,-1.115,-5.771,1.924,-1.115,24105
0.248,-0.020,-1.112,-5.847,1.374,-1.023,28116
0.240,-0.022,-1.102,-5.954,1.267,-0.947,32127
0.243,-0.020,-1.110,-6.153,1.389,-0.412,36139
0.241,-0.027,-1.111,-6.382,1.374,-0.382,40150
0.243,-0.030,-1.113,-6.550,1.481,-0.076,44161
0.246,-0.029,-1.107,-7.008,1.618,-0.092,48170
0.246,-0.030,-1.101,-7.374,1.466,0.122,52181
0.248,-0.031,-1.099,-7.374,1.573,0.275,56193
0.254,-0.031,-1.104,-7.466,1.603,0.534,60203
0.252,-0.026,-1.106,-7.496,1.282,0.534,64214
0.254,-0.019,-1.109,-7.420,1.344,0.611,68226
0.251,-0.021,-1.108,-7.084,1.420,0.443,72236
0.251,-0.012,-1.094,-6.885,1.389,0.870,76247
0.245,-0.010,-1.101,-6.519,1.634,0.672,80258
0.237,-0.018,-1.104,-6.275,1.832,0.611,84269
0.239,-0.009,-1.099,-6.031,2.107,0.489,88280
0.242,-0.013,-1.091,-5.939,2.626,0.489,92291
0.244,-0.010,-1.095,-5.527,2.809,0.168,96302
0.243,-0.020,-1.089,-5.344,3.405,-0.137,100313
0.247,-0.014,-1.092,-4.931,3.740,-0.290,104324
0.249,-0.020,-1.098,-4.702,4.076,0.015,108337
0.243,-0.015,-1.096,-4.489,4.336,0.092,112348
0.245,-0.022,-1.094,-4.489,4.534,0.458,116359
0.248,-0.018,-1.110,-4.382,4.275,0.290,120370
0.254,-0.023,-1.104,-4.275,4.092,0.336,124381
0.261,-0.021,-1.104,-4.366,3.527,0.168,128392
0.265,-0.020,-1.095,-4.214,3.191,-0.198,132403
0.258,-0.019,-1.111,-3.954,2.672,-0.061,136415
0.259,-0.013,-1.105,-3.924,1.908,-0.321,140426
0.260,-0.009,-1.104,-3.725,1.405,-0.611,144437
0.264,-0.016,-1.107,-3.679,0.794,-0.824,148448
0.259,-0.016,-1.110,-3.832,0.260,-1.298,152459
0.256,-0.015,-1.110,-3.740,0.000,-1.557,156470
0.248,-0.013,-1.108,-3.740,-0.137,-1.634,160481
0.237,-0.018,-1.112,-3.756,-0.015,-1.588,164492
0.238,-0.019,-1.111,-3.878,0.427,-1.176,168503
0.232,-0.023,-1.114,-4.031,0.885,-0.656,172514
0.232,-0.024,-1.098,-4.656,1.527,-0.290,176525
0.231,-0.020,-1.106,-4.931,2.244,-0.061,180537
0.228,-0.030,-1.113,-5.511,2.962,0.321,184548
0.239,-0.029,-1.101,-5.649,3.191,0.595,188558
0.237,-0.025,-1.112,-5.771,3.618,0.641,192569
0.243,-0.025,-1.103,-5.710,4.000,0.198,196580
0.249,-0.018,-1.109,-5.618,4.107,-0.183,200591
0.248,-0.023,-1.104,-5.679,4.122,-0.595,204602
0.245,-0.019,-1.117,-5.588,4.107,-0.687,208613
0.248,-0.024,-1.101,-5.908,4.076,-0.855,212624
0.251,-0.015,-1.102,-5.649,4.031,-1.008,216635
0.251,-0.025,-1.106,-5.588,4.061,-1.160,220647
0.253,-0.022,-1.094,-5.725,4.046,-1.359,224658
0.252,-0.025,-1.092,-5.603,3.740,-1.557,228669
0.260,-0.024,-1.095,-5.634,4.015,-1.527,232689
0.251,-0.020,-1.096,-5.618,3.893,-1.710,236700
0.261,-0.020,-1.089,-5.542,4.168,-1.695,240711
0.253,-0.015,-1.086,-5.618,4.382,-2.122,244722
0.246,-0.017,-1.078,-5.405,4.809,-2.534,248733
0.248,-0.014,-1.085,-5.298,5.069,-3.038,252744
0.250,-0.016,-1.080,-4.870,5.756,-3.435,256756
0.245,-0.025,-1.090,-4.412,6.092,-4.107,260767
