acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.200,0.046,-1.105,-5.176,1.740,-0.489,0
0.209,0.042,-1.106,-4.947,1.847,-0.137,4048
0.204,0.050,-1.122,-4.656,1.924,-0.015,8060
0.202,0.045,-1.109,-4.519,1.725,0.382,12071
0.207,0.046,-1.112,-4.107,1.802,0.733,16082
0.210,0.046,-1.116,-3.985,1.603,0.580,20093
0.206,0.044,-1.109,-3.649,1.450,0.672,24104
0.206,0.039,-1.114,-3.573,1.695,0.595,28115
0.202,0.043,-1.115,-3.588,1.573,0.733,32125
0.207,0.034,-1.116,-3.756,1.496,0.611,36136
0.208,0.034,-1.108,-3.878,2.076,0.595,40147
0.203,0.031,-1.113,-3.924,1.756,0.290,44158
0.212,0.037,-1.111,-4.122,1.557,0.153,48169
0.219,0.031,-1.118,-4.382,1.282,-0.092,52181
0.211,0.038,-1.118,-4.473,1.099,-0.061,56192
0.211,0.034,-1.108,-4.611,1.267,-0.427,60204
0.206,0.038,-1.115,-4.504,1.145,-0.840,64215
0.198,0.038,-1.119,-4.183,1.313,-0.840,68226
0.199,0.046,-1.113,-4.031,1.954,-1.023,72238
0.209,0.044,-1.112,-3.924,2.260,-1.115,76248
0.205,0.043,-1.112,-3.939,2.779,-1.008,80259
0.207,0.043,-1.111,-4.092,2.458,-1.038,84270
0.212,0.041,-1.124,-3.893,2.214,-0.672,88282
0.218,0.037,-1.124,-4.321,2.443,-0.718,92293
0.215,0.042,-1.124,-4.382,1.954,-0.275,96304
0.212,0.036,-1.115,-4.702,1.924,-0.550,100315
0.215,0.038,-1.118,-5.023,1.450,-0.443,104326
0.219,0.042,-1.119,-5.099,1.191,-0.137,108338
0.210,0.040,-1.109,-5.145,1.084,-0.290,112349
0.204,0.037,-1.112,-5.252,0.794,-0.366,116360
0.208,0.041,-1.111,-5.313,0.779,-0.183,120371
0.210,0.041,-1.111,-5.511,0.718,-0.366,124382
0.203,0.046,-1.111,-5.557,0.702,-0.443,128393
0.201,0.045,-1.118,-5.405,0.824,-0.427,132404
0.201,0.044,-1.115,-5.221,0.809,-0.504,136415
0.208,0.040,-1.118,-5.160,0.962,-0.153,140426
