acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.251,-0.041,-1.100,-4.122,2.229,0.840,800006747
0.254,-0.045,-1.104,-3.756,1.954,1.176,800010793
0.256,-0.046,-1.118,-3.450,2.092,1.374,800014806
0.249,-0.046,-1.116,-3.160,2.092,1.328,800018817
0.257,-0.052,-1.108,-2.870,1.618,1.359,800022828
0.257,-0.051,-1.104,-2.901,1.588,1.649,800026839
0.249,-0.050,-1.111,-2.977,1.206,1.802,800030850
0.257,-0.049,-1.108,-2.885,1.069,1.756,800034857
0.261,-0.052,-1.108,-3.282,0.824,1.679,800038867
0.257,-0.056,-1.107,-3.557,0.611,1.771,800042878
0.260,-0.056,-1.106,-3.802,0.168,2.076,800046889
0.257,-0.060,-1.115,-3.802,0.046,1.878,800050900
0.255,-0.055,-1.116,-3.771,-0.275,1.924,800054909
0.256,-0.058,-1.105,-4.244,-0.382,1.618,800058920
0.257,-0.060,-1.114,-4.672,-0.702,1.374,800062931
0.261,-0.059,-1.106,-5.038,-0.779,1.313,800066942
0.262,-0.059,-1.112,-5.145,-0.931,1.053,800070953
0.256,-0.060,-1.114,-5.267,-0.916,0.763,800074967
0.258,-0.058,-1.111,-5.008,-0.870,0.534,800078978
0.254,-0.066,-1.108,-4.870,-0.718,0.382,800082989
0.255,-0.064,-1.114,-5.038,-0.672,0.305,800087000
0.258,-0.065,-1.111,-5.298,-0.214,0.168,800091011
0.252,-0.060,-1.119,-5.389,0.183,-0.046,800095023
0.253,-0.060,-1.105,-5.710,0.397,-0.168,800099034
0.247,-0.051,-1.109,-5.527,1.023,-0.336,800103045
0.240,-0.055,-1.097,-5.267,1.420,-0.840,800107056
0.236,-0.048,-1.112,-5.145,1.985,-0.870,800111067
0.240,-0.042,-1.107,-5.267,2.489,-0.977,800115080
0.238,-0.047,-1.108,-5.435,3.237,-1.206,800119091
0.244,-0.049,-1.110,-5.450,3.756,-1.099,800123102
0.246,-0.043,-1.094,-5.542,4.473,-1.374,800127113
0.244,-0.050,-1.099,-5.374,4.763,-1.511,800131124
