acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.160,-0.035,-1.093,-9.847,3.221,17.435,0
0.172,-0.038,-1.096,-9.893,2.992,17.389,4047
0.179,-0.050,-1.101,-10.153,2.992,17.542,8060
0.200,-0.048,-1.098,-10.275,1.985,17.847,12071
0.200,-0.055,-1.102,-10.702,0.595,18.534,16082
0.207,-0.065,-1.102,-11.405,-0.962,19.176,20093
0.211,-0.063,-1.110,-12.244,-2.977,20.305,24104
0.211,-0.065,-1.102,-12.794,-4.519,21.557,28115
0.208,-0.056,-1.106,-13.023,-5.573,22.870,32127
0.199,-0.061,-1.108,-13.008,-6.504,23.740,36138
0.195,-0.051,-1.109,-12.901,-7.588,24.458,40149
0.174,-0.046,-1.115,-12.901,-8.336,25.130,44161
0.170,-0.040,-1.110,-12.702,-8.351,25.802,48169
0.155,-0.038,-1.105,-12.458,-8.168,26.244,52181
0.154,-0.030,-1.105,-11.954,-7.267,26.611,56192
0.151,-0.028,-1.097,-11.267,-6.244,26.061,60204
0.148,-0.027,-1.109,-10.336,-4.672,25.282,64215
0.138,-0.019,-1.106,-9.328,-3.115,24.168,68226
0.142,-0.017,-1.112,-8.260,-1.115,23.191,72237
0.132,-0.017,-1.109,-7.435,0.351,22.473,76248
0.133,-0.019,-1.102,-6.656,2.122,21.771,80260
0.143,-0.023,-1.102,-5.649,3.344,21.053,84271
0.148,-0.024,-1.107,-4.855,4.122,20.046,88282
0.166,-0.028,-1.103,-3.908,4.901,19.496,92293
0.174,-0.037,-1.101,-3.985,5.328,18.962,96304
0.170,-0.043,-1.105,-4.443,5.756,18.641,100315
0.181,-0.049,-1.115,-4.885,5.802,18.397,104327
0.190,-0.055,-1.107,-5.588,5.282,18.229,108338
0.185,-0.057,-1.117,-5.863,4.611,17.664,112349
0.188,-0.058,-1.115,-6.031,3.679,17.221,116360
0.191,-0.053,-1.109,-6.092,2.168,17.130,120371
0.183,-0.057,-1.128,-6.992,0.534,17.786,124382
0.183,-0.057,-1.125,-8.321,-1.328,19.008,128393
0.180,-0.059,-1.121,-9.282,-2.840,20.733,132405
0.185,-0.065,-1.122,-10.061,-3.939,22.763,136416
0.177,-0.064,-1.129,-10.962,-4.519,24.168,140428
0.175,-0.055,-1.128,-11.176,-5.359,25.328,144439
0.162,-0.046,-1.125,-11.176,-6.122,26.351,148449
0.154,-0.043,-1.120,-11.145,-6.366,26.916,152460
0.146,-0.031,-1.123,-10.977,-6.015,26.916,156471
0.129,-0.030,-1.116,-10.763,-5.481,26.687,160482
0.130,-0.023,-1.116,-10.137,-4.473,26.092,164493
0.127,-0.020,-1.125,-9.603,-2.870,25.435,168504
0.125,-0.019,-1.128,-8.794,-0.992,24.275,172516
0.137,-0.021,-1.130,-8.122,0.626,23.191,176526
0.143,-0.022,-1.116,-7.527,2.290,21.618,180537
0.142,-0.025,-1.120,-7.160,3.802,19.908,184549
0.157,-0.024,-1.119,-6.656,5.053,18.290,188559
0.154,-0.030,-1.111,-6.473,6.336,17.206,192570
0.157,-0.032,-1.112,-6.107,7.099,16.107,196581
0.168,-0.036,-1.114,-6.168,7.557,15.389,200592
0.175,-0.039,-1.117,-5.954,7.267,15.542,204603
0.184,-0.033,-1.118,-6.641,6.824,15.450,208615
0.182,-0.040,-1.115,-6.962,5.542,15.939,212627
0.184,-0.049,-1.125,-7.481,3.893,16.687,216638
0.191,-0.053,-1.120,-7.847,2.137,17.969,220650
0.195,-0.051,-1.121,-8.504,0.321,19.374,224661
0.184,-0.051,-1.124,-8.565,-1.115,20.672,228672
0.185,-0.050,-1.116,-8.916,-2.626,21.893,232692
0.173,-0.041,-1.108,-8.885,-4.061,23.069,236703
0.164,-0.045,-1.109,-8.916,-4.855,23.847,240715
0.151,-0.040,-1.123,-9.282,-5.328,24.351,244726
0.140,-0.037,-1.115,-9.649,-5.557,24.901,248737
0.140,-0.035,-1.128,-8.687,-4.534,25.267,252748
0.139,-0.034,-1.122,-9.084,-4.168,25.160,256759
0.137,-0.031,-1.110,-9.145,-4.733,24.763,260770
0.127,-0.028,-1.113,-9.099,-4.031,24.687,264781
0.133,-0.031,-1.110,-8.794,-3.634,25.145,268794
0.132,-0.024,-1.106,-8.580,-3.053,26.076,272805
0.131,-0.017,-1.103,-7.863,-2.382,27.023,276817
0.141,-0.009,-1.102,-7.145,-1.298,27.756,280827
0.137,-0.013,-1.099,-6.244,0.046,28.061,284838
0.129,-0.003,-1.115,-5.679,1.115,28.107,288849
0.140,-0.008,-1.106,-5.237,1.939,28.458,292859
