acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.208,0.147,-1.094,-4.977,0.580,-0.305,0
0.213,0.142,-1.096,-4.611,0.992,-0.229,4051
0.205,0.152,-1.104,-4.122,1.817,-0.260,8067
0.207,0.137,-1.105,-3.710,2.397,-0.382,12078
0.206,0.140,-1.110,-3.832,2.809,-0.321,16089
0.212,0.144,-1.107,-3.817,3.450,-0.626,20100
0.221,0.132,-1.104,-3.847,3.557,-0.534,24111
0.213,0.135,-1.109,-3.878,4.015,-0.580,28122
0.215,0.131,-1.110,-3.969,3.618,-0.504,32133
0.215,0.134,-1.111,-3.908,3.969,-0.366,36144
0.219,0.128,-1.114,-3.832,3.634,-0.214,40155
0.225,0.135,-1.114,-3.756,3.695,-0.351,44166
0.227,0.137,-1.106,-4.031,3.069,0.137,48177
0.222,0.130,-1.106,-4.107,2.580,0.031,52188
0.230,0.130,-1.103,-4.183,2.305,-0.015,56200
0.221,0.128,-1.110,-4.519,1.344,0.107,60210
0.219,0.130,-1.111,-4.443,1.344,0.061,64221
0.226,0.134,-1.115,-4.611,0.550,-0.153,68232
0.220,0.135,-1.112,-4.718,0.275,-0.031,72243
0.222,0.126,-1.116,-5.267,0.153,0.000,76254
0.220,0.125,-1.109,-5.191,0.015,-0.183,80265
0.213,0.135,-1.107,-5.557,-0.061,-0.198,84276
0.209,0.125,-1.105,-5.618,0.290,-0.168,88287
0.209,0.130,-1.113,-5.939,0.168,-0.153,92298
0.208,0.128,-1.103,-6.015,0.779,-0.229,96309
0.204,0.135,-1.113,-6.168,1.221,-0.305,100320
0.203,0.139,-1.106,-6.168,1.679,-0.229,104331
0.208,0.138,-1.105,-6.061,1.786,-0.198,108344
0.213,0.138,-1.108,-6.061,1.893,-0.351,112355
0.202,0.141,-1.108,-5.878,2.031,-0.412,116367
0.216,0.138,-1.102,-5.756,1.893,-0.351,120378
0.218,0.144,-1.107,-5.344,1.649,-0.550,124389
0.214,0.138,-1.111,-5.130,1.496,-0.443,128400
0.226,0.138,-1.106,-5.069,1.496,-0.382,132411
0.218,0.141,-1.109,-5.221,1.053,-0.153,136422
0.217,0.134,-1.102,-5.084,0.947,-0.107,140433
0.219,0.135,-1.108,-5.359,0.733,-0.015,144444
0.212,0.139,-1.092,-5.252,0.931,-0.107,148455
0.212,0.138,-1.099,-5.466,0.626,0.107,152466
0.216,0.142,-1.100,-5.053,1.053,0.336,156477
0.204,0.144,-1.101,-5.145,1.405,0.412,160488
0.212,0.140,-1.094,-5.038,1.466,0.611,164499
0.217,0.142,-1.108,-4.870,1.389,0.626,168511
0.221,0.139,-1.106,-4.580,1.542,0.672,172521
0.211,0.138,-1.102,-4.580,1.405,0.534,176532
0.217,0.138,-1.102,-4.458,1.374,0.687,180543
0.216,0.135,-1.101,-4.427,0.916,0.351,184554
0.216,0.132,-1.098,-4.260,1.328,0.473,188565
0.215,0.129,-1.100,-4.351,1.053,0.519,192576
0.219,0.135,-1.107,-4.611,1.145,0.443,196587
0.224,0.135,-1.092,-4.763,1.038,0.214,200598
0.216,0.126,-1.103,-4.794,0.809,0.137,204609
0.218,0.135,-1.106,-5.145,1.053,0.305,208621
0.223,0.135,-1.101,-5.084,1.130,0.229,212641
0.228,0.133,-1.099,-5.389,1.160,0.198,216652
0.227,0.131,-1.103,-5.374,0.962,0.275,220664
0.229,0.132,-1.102,-5.359,0.962,0.244,224675
0.228,0.133,-1.104,-5.435,0.656,0.473,228686
0.228,0.136,-1.101,-5.298,0.473,0.214,232704
0.218,0.138,-1.110,-5.145,0.504,-0.122,236715
0.229,0.138,-1.106,-4.672,0.626,-0.168,240726
0.219,0.144,-1.098,-4.702,0.687,-0.015,244737
0.222,0.139,-1.106,-4.504,1.313,-0.275,248748
0.220,0.137,-1.107,-4.504,1.069,-0.153,252759
0.221,0.134,-1.096,-4.901,1.115,-0.168,256771
0.219,0.123,-1.106,-5.221,1.435,-0.366,260782
0.220,0.125,-1.107,-5.267,1.252,-0.351,264793
0.224,0.134,-1.097,-5.695,1.191,-0.351,268801
0.221,0.130,-1.105,-6.122,1.084,-0.290,272812
0.223,0.136,-1.105,-5.969,1.084,-0.076,276823
0.219,0.134,-1.115,-6.061,0.748,0.076,280834
0.216,0.142,-1.104,-6.061,0.672,-0.260,284845
0.216,0.134,-1.103,-5.740,0.626,-0.137,288859
0.211,0.138,-1.109,-5.344,0.824,-0.290,292869
0.215,0.139,-1.096,-5.191,0.595,-0.473,296880
0.213,0.147,-1.094,-4.565,1.023,-0.443,300891
0.209,0.144,-1.101,-4.687,1.038,-0.550,304902
0.212,0.140,-1.100,-4.580,1.237,-0.473,308914
0.218,0.140,-1.105,-4.733,1.527,-0.580,312924
0.218,0.132,-1.096,-4.824,1.313,-0.519,316935
0.216,0.136,-1.098,-5.008,1.191,-0.763,320946
0.213,0.131,-1.106,-5.053,1.481,-1.145,324958
0.213,0.137,-1.105,-4.885,1.588,-1.191,328969
0.213,0.138,-1.108,-5.053,1.557,-1.466,332990
0.213,0.143,-1.103,-4.931,1.618,-1.802,337001
0.209,0.138,-1.107,-4.672,1.985,-1.939,341012
0.207,0.142,-1.101,-4.626,2.412,-1.985,345023
0.211,0.136,-1.100,-4.397,2.626,-1.786,349035
0.210,0.143,-1.106,-4.229,2.870,-1.450,353056
0.209,0.139,-1.094,-4.092,2.733,-0.840,357066
0.215,0.137,-1.101,-3.847,2.550,-0.595,361077
0.224,0.133,-1.112,-4.229,2.275,-0.107,365088
0.226,0.134,-1.108,-4.656,1.710,0.015,369099
0.227,0.123,-1.098,-4.809,1.527,-0.137,373109
0.226,0.133,-1.110,-5.145,1.069,-0.336,377120
0.219,0.128,-1.105,-5.527,0.794,-0.412,381131
0.219,0.138,-1.108,-5.542,0.580,-0.412,385142
0.224,0.142,-1.096,-5.420,0.504,-0.336,389153
0.215,0.144,-1.105,-5.267,0.718,-0.672,393163
0.215,0.149,-1.103,-5.160,0.931,-0.626,397174
0.220,0.140,-1.105,-5.069,1.267,-0.656,401185
0.213,0.138,-1.094,-4.794,1.328,-0.687,405196
0.211,0.140,-1.097,-4.611,1.817,-0.885,409207
0.210,0.140,-1.096,-4.626,2.382,-1.359,413228
0.218,0.140,-1.094,-4.504,2.519,-1.511,417239
0.214,0.138,-1.102,-4.595,2.565,-1.679,421250
0.220,0.139,-1.097,-4.473,2.565,-1.847,425261
0.228,0.135,-1.109,-4.443,2.031,-1.542,429272
0.225,0.138,-1.103,-4.412,1.954,-1.344,433293
0.227,0.132,-1.105,-4.137,1.221,-0.947,437304
0.226,0.138,-1.114,-4.321,0.809,-1.023,441315
0.229,0.134,-1.113,-4.305,0.214,-0.611,445326
0.226,0.127,-1.098,-4.229,0.137,-1.023,449337
0.225,0.132,-1.113,-4.366,-0.351,-0.626,453349
0.213,0.127,-1.112,-4.656,-0.595,-0.718,457360
0.209,0.130,-1.105,-4.641,-0.046,-0.427,461371
0.215,0.136,-1.115,-4.794,0.534,-0.321,465382
0.202,0.135,-1.109,-4.931,0.702,-0.351,469393
0.201,0.139,-1.103,-4.962,1.542,-0.366,473404
0.201,0.137,-1.104,-4.779,2.092,-0.229,477415
0.202,0.136,-1.113,-4.534,2.550,-0.183,481426
0.203,0.138,-1.111,-4.702,2.931,-0.290,485438
0.210,0.136,-1.106,-4.763,2.626,-0.122,489449
0.207,0.135,-1.114,-4.626,2.809,0.183,493460
0.210,0.133,-1.110,-4.718,2.427,0.122,497471
0.211,0.126,-1.103,-4.916,2.153,0.137,501482
0.216,0.131,-1.114,-4.901,1.679,0.015,505493
0.214,0.133,-1.107,-5.069,1.252,0.092,509504
0.208,0.131,-1.109,-4.931,0.977,-0.168,513515
0.211,0.128,-1.100,-4.885,0.412,0.000,517525
0.207,0.140,-1.107,-4.992,0.305,-0.153,521536
0.204,0.136,-1.104,-4.824,0.489,0.107,525547
0.204,0.140,-1.107,-4.397,0.885,0.061,529558
0.204,0.140,-1.110,-4.290,1.298,0.122,533568
0.204,0.140,-1.103,-4.489,1.573,0.382,537579
0.202,0.136,-1.096,-4.336,1.618,0.550,541590
0.203,0.134,-1.107,-4.382,1.802,0.534,545602
0.199,0.136,-1.104,-4.595,1.908,0.916,549613
0.218,0.137,-1.096,-4.870,1.664,1.053,553634
0.221,0.134,-1.101,-5.160,1.160,1.328,557645
0.214,0.133,-1.107,-5.435,0.763,1.573,561657
0.219,0.129,-1.096,-5.573,0.458,2.031,565668
0.220,0.138,-1.094,-5.313,-0.229,1.771,569679
0.219,0.147,-1.104,-5.374,-0.611,2.137,573700
0.216,0.141,-1.096,-5.237,-0.626,1.954,577711
0.215,0.144,-1.110,-4.992,-0.427,1.664,581722
0.208,0.146,-1.097,-4.687,-0.611,1.466,585733
0.206,0.145,-1.090,-4.031,-0.214,1.267,589744
0.202,0.142,-1.096,-3.817,0.443,0.718,593754
0.201,0.140,-1.104,-3.649,1.023,0.885,597765
0.203,0.135,-1.101,-3.481,1.573,0.504,601776
0.205,0.132,-1.109,-3.252,2.351,0.687,605787
0.208,0.134,-1.109,-3.267,3.053,0.534,609798
0.216,0.126,-1.108,-3.634,3.130,0.550,613808
0.219,0.139,-1.116,-4.076,3.160,0.351,617819
0.225,0.134,-1.105,-4.382,2.916,0.168,621830
0.222,0.124,-1.108,-4.870,2.473,-0.260,625842
0.228,0.128,-1.106,-5.328,1.908,-0.336,629853
0.229,0.120,-1.116,-5.374,1.374,-0.580,633873
0.236,0.131,-1.102,-5.740,0.733,-0.427,637885
0.233,0.132,-1.104,-5.679,0.046,-0.183,641897
0.235,0.133,-1.101,-5.557,-0.122,-0.076,645907
0.233,0.135,-1.097,-5.878,-0.534,0.046,649918
0.218,0.139,-1.099,-5.832,-0.901,0.015,653929
0.217,0.135,-1.098,-5.725,-0.702,-0.092,657941
0.218,0.137,-1.107,-5.771,-0.656,-0.137,661952
0.220,0.135,-1.104,-5.557,-0.397,-0.366,665963
0.212,0.144,-1.094,-5.695,-0.290,-0.061,669975
0.210,0.142,-1.094,-5.664,-0.031,-0.061,673986
0.212,0.138,-1.096,-5.344,0.366,-0.107,677997
0.213,0.141,-1.100,-5.023,0.489,-0.168,682008
0.210,0.141,-1.099,-4.870,0.809,-0.015,686019
0.217,0.142,-1.098,-4.687,1.130,-0.092,690031
0.215,0.142,-1.100,-4.458,1.389,0.183,694042
0.216,0.138,-1.106,-4.244,1.466,0.397,698053
0.220,0.146,-1.108,-4.046,1.740,0.672,702064
0.211,0.142,-1.112,-3.847,1.847,0.656,706075
0.220,0.133,-1.114,-3.603,1.847,0.748,710086
0.220,0.131,-1.109,-3.542,2.015,0.672,714097
0.222,0.134,-1.119,-3.588,2.229,0.489,718104
0.216,0.126,-1.114,-3.908,2.351,0.595,722115
0.219,0.136,-1.112,-3.985,2.321,0.000,726126
0.225,0.125,-1.114,-3.969,2.718,0.198,730137
0.230,0.123,-1.116,-4.595,2.672,0.198,734148
0.232,0.128,-1.118,-4.962,2.214,0.153,738155
0.239,0.121,-1.125,-5.267,1.710,0.031,742166
0.233,0.114,-1.114,-5.695,1.573,0.031,746177
0.239,0.124,-1.113,-6.031,1.160,-0.122,750188
0.231,0.130,-1.113,-6.198,0.931,-0.229,754199
0.230,0.125,-1.110,-6.702,0.794,-0.092,758211
0.224,0.128,-1.108,-7.053,0.931,-0.351,762222
0.218,0.125,-1.111,-7.237,0.885,-0.534,766234
0.217,0.129,-1.099,-7.267,0.916,-0.198,770245
0.221,0.131,-1.109,-7.863,1.038,-0.107,774256
0.215,0.124,-1.115,-7.679,1.176,-0.137,778267
0.214,0.138,-1.100,-7.802,1.267,-0.214,782278
0.208,0.137,-1.106,-7.893,1.511,-0.351,786289
0.211,0.149,-1.107,-7.664,1.634,-0.565,790300
0.211,0.141,-1.103,-7.420,1.649,-0.733,794311
0.214,0.142,-1.096,-7.466,1.756,-0.626,798323
0.212,0.141,-1.091,-7.206,1.939,-0.733,802334
0.211,0.139,-1.094,-6.763,1.511,-0.916,806345
0.217,0.143,-1.090,-6.412,1.481,-0.779,810356
0.215,0.139,-1.087,-6.015,1.634,-0.626,814367
0.215,0.141,-1.089,-6.015,1.130,-0.870,818378
0.218,0.133,-1.089,-6.000,1.023,-0.779,822389
0.210,0.139,-1.090,-5.878,0.794,-0.931,826401
0.206,0.137,-1.095,-5.664,0.763,-1.038,830412
0.211,0.135,-1.085,-5.542,0.718,-1.130,834423
0.215,0.137,-1.089,-5.557,0.870,-1.053,838434
0.207,0.145,-1.088,-5.221,1.298,-1.481,842445
0.210,0.146,-1.082,-5.328,1.359,-1.038,846456
0.210,0.139,-1.086,-5.221,1.618,-1.252,850467
0.205,0.147,-1.087,-4.977,1.710,-1.267,854478
0.208,0.134,-1.090,-4.641,2.427,-1.008,858489
0.213,0.135,-1.084,-4.504,2.275,-0.931,862500
0.209,0.144,-1.104,-4.504,2.321,-0.565,866511
0.217,0.131,-1.088,-4.519,1.664,-0.489,870522
0.219,0.129,-1.094,-4.748,1.603,-0.214,874533
0.211,0.129,-1.099,-4.534,1.313,-0.122,878545
0.221,0.132,-1.098,-4.565,1.267,-0.015,882557
0.220,0.132,-1.105,-4.824,1.160,-0.168,886568
0.217,0.138,-1.108,-4.794,1.450,-0.351,890579
0.212,0.132,-1.103,-4.992,1.069,-0.534,894591
0.209,0.127,-1.096,-5.206,1.008,-0.183,898602
