acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.188,-0.117,-1.103,-4.076,2.382,-1.084,303316739
0.185,-0.122,-1.107,-3.832,2.473,-0.992,303320772
0.188,-0.123,-1.103,-3.924,2.214,-1.053,303324784
0.188,-0.125,-1.109,-4.198,2.382,-1.099,303328795
0.182,-0.120,-1.113,-4.198,2.183,-0.885,303332806
0.186,-0.126,-1.099,-4.565,2.092,-0.687,303336817
0.189,-0.127,-1.104,-4.519,1.832,-0.840,303340828
0.188,-0.125,-1.111,-4.641,1.649,-0.794,303344842
0.190,-0.120,-1.102,-4.763,1.420,-0.672,303348853
0.185,-0.125,-1.116,-4.718,1.160,-0.840,303352864
0.186,-0.124,-1.115,-4.687,0.733,-0.504,303356875
0.184,-0.124,-1.104,-4.840,0.504,-0.718,303360886
0.180,-0.130,-1.109,-4.733,0.275,-0.427,303364899
0.185,-0.131,-1.115,-4.534,-0.076,-0.565,303368910
0.184,-0.125,-1.105,-4.275,0.015,-0.763,303372922
0.180,-0.133,-1.120,-4.107,0.214,-0.382,303376933
0.179,-0.125,-1.115,-3.969,0.031,-0.565,303380944
0.176,-0.130,-1.110,-4.046,0.153,-0.397,303384955
0.181,-0.132,-1.118,-4.122,0.244,-0.366,303388966
0.184,-0.125,-1.115,-4.046,0.519,-0.275,303392977
0.181,-0.121,-1.117,-3.924,0.901,-0.397,303396988
0.185,-0.132,-1.122,-3.985,0.855,-0.656,303400999
0.183,-0.131,-1.111,-3.939,1.328,-0.748,303405011
0.185,-0.131,-1.116,-3.863,1.450,-0.534,303409022
0.181,-0.128,-1.110,-3.695,1.573,-0.901,303413033
0.179,-0.129,-1.107,-3.710,1.649,-0.794,303417044
0.182,-0.130,-1.097,-3.786,1.817,-0.840,303421055
0.177,-0.125,-1.113,-3.985,1.863,-0.626,303425066
0.185,-0.128,-1.110,-4.153,1.573,-0.748,303429078
0.185,-0.127,-1.114,-3.802,1.527,-0.595,303433089
0.192,-0.135,-1.118,-4.168,1.511,-0.611,303437101
0.192,-0.134,-1.110,-4.122,1.344,-0.626,303441112
0.183,-0.135,-1.117,-4.412,1.374,-0.458,303445123
0.193,-0.143,-1.115,-4.794,0.641,-0.260,303449135
0.193,-0.136,-1.109,-5.282,0.885,-0.336,303453145
0.184,-0.143,-1.117,-5.603,0.382,-0.229,303457156
0.188,-0.136,-1.119,-5.664,0.382,-0.443,303461167
0.194,-0.136,-1.112,-5.664,-0.168,-0.534,303465178
0.195,-0.137,-1.112,-5.603,-0.244,-0.565,303469189
0.187,-0.133,-1.118,-5.847,-0.412,-0.916,303473200
0.186,-0.138,-1.120,-5.771,-0.168,-0.916,303477211
0.185,-0.131,-1.115,-5.847,-0.305,-0.870,303481222
0.180,-0.135,-1.115,-5.634,0.076,-0.931,303485233
0.178,-0.129,-1.123,-5.557,0.321,-1.084,303489244
0.173,-0.127,-1.116,-5.359,0.519,-1.237,303493255
0.174,-0.127,-1.121,-5.176,0.947,-1.191,303497266
0.173,-0.123,-1.118,-4.840,1.084,-1.130,303501277
0.167,-0.123,-1.113,-4.885,1.588,-1.252,303505283
0.169,-0.120,-1.113,-4.947,1.939,-0.947,303509294
0.165,-0.125,-1.114,-5.023,2.458,-1.130,303513305
0.173,-0.123,-1.116,-4.595,3.084,-0.916,303517316
0.172,-0.123,-1.117,-3.985,3.099,-0.718,303521327
0.166,-0.124,-1.118,-4.076,3.359,-0.672,303525338
0.176,-0.127,-1.120,-3.924,3.450,-0.443,303529350
0.174,-0.119,-1.114,-3.740,3.496,-0.275,303533361
0.174,-0.123,-1.109,-3.863,3.511,-0.229,303537372
0.176,-0.118,-1.119,-4.061,3.221,-0.107,303541384
0.170,-0.119,-1.115,-4.076,3.618,0.076,303545395
0.170,-0.125,-1.116,-4.046,3.267,0.275,303549416
0.172,-0.130,-1.115,-4.168,3.115,0.351,303553427
0.171,-0.128,-1.115,-4.351,3.160,0.351,303557438
0.175,-0.129,-1.124,-4.656,3.221,0.641,303561449
0.179,-0.130,-1.108,-4.931,2.962,0.443,303565461
0.185,-0.125,-1.115,-5.145,3.389,0.427,303569473
0.173,-0.128,-1.118,-5.618,3.053,0.397,303573484
0.180,-0.131,-1.119,-5.740,3.008,0.336,303577495
0.182,-0.125,-1.120,-5.756,2.931,0.336,303581507
0.189,-0.133,-1.113,-5.786,2.656,0.321,303585518
0.189,-0.136,-1.113,-6.076,2.595,0.336,303589529
0.192,-0.133,-1.109,-5.847,2.290,0.137,303593541
0.190,-0.129,-1.115,-6.076,1.954,0.168,303597551
0.188,-0.126,-1.117,-6.305,1.450,0.366,303601562
