acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.180,0.043,-1.114,-0.962,2.702,2.626,695473066
0.181,0.038,-1.114,-1.176,2.794,2.565,695477097
0.187,0.041,-1.115,-1.237,3.267,2.626,695481107
0.183,0.036,-1.117,-1.725,3.359,2.382,695485117
0.187,0.041,-1.114,-1.863,3.756,2.550,695489126
0.187,0.041,-1.113,-2.107,4.000,2.305,695493136
0.185,0.042,-1.111,-2.092,4.107,2.244,695497145
0.188,0.050,-1.112,-2.137,4.000,2.260,695501157
0.188,0.051,-1.108,-1.786,4.244,2.137,695505166
0.183,0.054,-1.113,-1.847,4.076,2.412,695509176
0.196,0.047,-1.108,-1.817,3.893,2.275,695513186
0.203,0.046,-1.105,-1.786,3.511,2.351,695517196
0.196,0.053,-1.104,-2.031,3.511,2.214,695521206
0.202,0.055,-1.110,-2.076,3.084,2.214,695525217
0.199,0.053,-1.096,-2.305,2.733,2.031,695529226
0.201,0.062,-1.102,-1.527,2.183,2.046,695533236
0.196,0.060,-1.104,-1.145,1.924,2.366,695537245
0.203,0.054,-1.112,-1.053,1.618,2.168,695541255
0.201,0.057,-1.112,-0.489,1.420,2.321,695545265
0.204,0.055,-1.115,-0.443,1.145,2.321,695549275
0.206,0.053,-1.106,-0.183,1.069,2.382,695553285
0.193,0.053,-1.111,-0.260,0.870,2.275,695557294
0.192,0.049,-1.101,0.046,0.840,2.321,695561305
0.190,0.057,-1.104,0.198,1.344,2.534,695565315
0.184,0.055,-1.116,0.031,2.031,2.641,695569325
0.188,0.054,-1.115,-0.046,2.183,2.519,695573335
0.197,0.052,-1.112,-0.611,2.763,2.611,695577345
0.187,0.051,-1.110,-1.130,3.237,2.550,695581355
0.190,0.048,-1.100,-1.267,3.740,2.397,695585365
0.197,0.053,-1.111,-1.573,3.893,2.275,695589375
0.203,0.054,-1.094,-1.481,4.031,1.908,695593385
0.209,0.052,-1.095,-1.802,3.786,2.198,695597395
0.207,0.056,-1.094,-1.832,3.649,1.863,695601405
0.211,0.054,-1.095,-1.893,3.099,1.710,695605416
0.212,0.063,-1.093,-1.908,2.947,1.618,695609426
0.209,0.055,-1.077,-1.908,2.504,1.313,695613435
0.210,0.065,-1.085,-1.786,2.092,1.496,695617445
0.210,0.062,-1.093,-1.908,1.588,1.389,695621455
0.205,0.066,-1.102,-1.603,1.344,1.374,695625464
0.208,0.063,-1.093,-1.191,1.389,1.435,695629474
0.210,0.055,-1.084,-1.191,0.611,1.313,695633484
0.212,0.060,-1.091,-0.977,0.534,1.450,695637494
0.206,0.059,-1.098,-1.023,0.397,1.634,695641503
0.203,0.057,-1.096,-0.809,0.351,1.664,695645513
0.199,0.059,-1.099,-0.718,0.565,1.756,695649523
0.194,0.054,-1.099,-0.794,0.672,2.244,695653533
0.199,0.052,-1.090,-0.779,0.977,2.382,695657543
0.199,0.048,-1.085,-0.992,1.573,2.550,695661553
0.203,0.046,-1.098,-1.252,1.908,2.580,695665563
0.204,0.044,-1.099,-1.908,2.305,2.809,695669573
0.207,0.046,-1.088,-2.244,2.901,2.885,695673584
0.204,0.054,-1.084,-2.412,3.130,2.763,695677593
0.203,0.053,-1.080,-2.489,3.664,2.763,695681599
0.209,0.061,-1.082,-2.565,4.122,2.916,695685608
0.205,0.053,-1.077,-2.534,4.519,2.809,695689618
0.203,0.059,-1.072,-2.351,5.038,2.901,695693628
0.202,0.059,-1.067,-2.214,5.298,2.824,695697638
0.216,0.057,-1.066,-2.198,5.389,2.840,695701648
0.220,0.062,-1.071,-1.603,5.252,2.733,695705657
0.217,0.055,-1.071,-1.344,5.099,2.763,695709668
0.225,0.056,-1.064,-0.977,4.656,2.870,695713677
0.227,0.047,-1.067,-1.267,4.489,2.885,695717687
0.227,0.052,-1.064,-1.053,4.595,2.489,695721698
0.219,0.047,-1.064,-1.115,3.878,2.305,695725718
0.222,0.041,-1.058,-0.885,4.000,2.305,695729727
0.222,0.044,-1.054,-1.069,3.832,2.061,695733737
0.224,0.043,-1.052,-1.084,3.939,1.756,695737746
0.213,0.051,-1.045,-0.809,3.771,1.679,695741757
0.214,0.057,-1.043,-0.595,4.107,1.695,695745767
0.207,0.054,-1.041,-0.305,4.458,1.710,695749777
0.203,0.053,-1.038,0.351,5.160,1.802,695753787
0.202,0.059,-1.034,0.870,5.237,1.832,695757797
