acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.07,0.02,-1.11,-4.50,9.21,3.85
0.08,0.03,-1.10,-3.31,9.66,3.60
0.09,0.04,-1.09,-2.47,9.39,3.34
0.09,0.03,-1.10,-1.59,8.76,3.24
0.10,0.02,-1.11,-0.61,7.77,3.13
0.11,0.01,-1.11,-0.44,5.83,3.07
0.12,0.01,-1.10,-0.58,4.14,3.13
0.11,0.01,-1.10,-1.04,2.02,2.38
0.11,0.00,-1.11,-1.62,0.03,1.68
0.11,0.01,-1.12,-2.05,-1.48,0.82
0.11,0.01,-1.11,-2.55,-2.87,0.18
0.09,0.01,-1.11,-2.79,-4.20,-0.38
0.08,0.01,-1.12,-3.30,-4.72,-0.66
0.07,0.00,-1.12,-3.77,-4.46,-0.75
0.06,0.01,-1.12,-3.94,-4.49,-0.66
0.05,0.00,-1.12,-4.23,-3.89,-0.55
0.05,0.01,-1.12,-4.67,-3.04,-0.09
0.05,0.01,-1.12,-4.60,-2.43,0.56
0.05,0.02,-1.12,-4.12,-1.42,1.02
0.05,0.02,-1.12,-3.57,-0.38,1.33
0.05,0.03,-1.11,-3.01,0.18,1.07
0.06,0.03,-1.11,-2.29,1.05,1.05
0.06,0.02,-1.11,-1.62,1.66,1.34
0.07,0.02,-1.10,-0.84,1.85,1.40
0.07,0.01,-1.11,-0.66,1.76,1.05
0.07,0.01,-1.12,-0.52,1.73,0.85
0.06,0.00,-1.12,-1.34,1.69,0.31
0.07,-0.00,-1.13,-2.61,1.39,-0.03
0.07,-0.01,-1.14,-4.23,1.33,-0.14
0.06,-0.01,-1.12,-5.60,1.42,-0.18
0.06,0.01,-1.12,-6.67,1.66,-0.05
0.05,0.02,-1.12,-6.85,1.62,0.17
0.05,0.02,-1.12,-6.53,1.80,-0.09
0.05,0.03,-1.12,-5.56,1.53,-0.41
0.06,0.04,-1.13,-4.89,0.92,-0.40
0.07,0.03,-1.13,-4.20,0.43,-0.05
0.07,0.02,-1.13,-3.71,0.12,0.29
0.07,0.02,-1.14,-3.36,-0.52,0.89
0.07,0.01,-1.14,-3.37,-0.84,0.99
0.07,0.01,-1.14,-3.50,-0.66,1.22
0.06,0.00,-1.13,-3.30,-0.60,0.96
0.06,0.01,-1.14,-3.36,-0.24,0.69
0.07,0.01,-1.14,-3.69,0.06,0.44
0.07,-0.00,-1.14,-4.32,0.08,0.14
0.06,-0.00,-1.15,-4.75,0.64,0.55
0.06,0.01,-1.16,-5.24,0.79,0.49
0.06,0.00,-1.16,-5.97,0.85,0.14
0.07,0.00,-1.15,-6.38,0.55,0.09
0.08,0.00,-1.16,-6.67,0.15,-0.09
0.07,0.00,-1.15,-6.85,-0.15,0.20
0.07,0.00,-1.15,-6.96,-0.46,0.17
0.06,0.01,-1.14,-7.21,-0.11,0.05
0.06,0.01,-1.14,-6.60,0.40,-0.35
0.06,0.02,-1.14,-6.43,0.90,-0.29
0.06,0.02,-1.14,-5.79,1.40,-0.41
0.06,0.02,-1.14,-5.37,1.88,-0.37
0.05,0.02,-1.13,-5.18,1.65,0.06
0.05,0.02,-1.14,-4.75,1.95,0.06
0.06,0.02,-1.14,-4.41,1.57,0.18
0.05,0.02,-1.16,-4.05,1.21,0.73
0.06,0.02,-1.16,-4.37,0.79,0.96
0.06,0.02,-1.15,-4.15,0.29,0.67
0.06,0.01,-1.15,-4.63,0.09,0.49
0.07,0.02,-1.16,-5.21,-0.15,0.14
0.06,0.01,-1.15,-5.95,-0.20,-0.38
0.06,0.01,-1.15,-6.78,-0.29,-0.58
0.06,0.02,-1.14,-7.22,0.26,-0.60
0.05,0.02,-1.14,-7.40,0.79,-0.24
0.05,0.03,-1.14,-7.37,1.16,-0.34
0.05,0.02,-1.13,-7.36,1.45,-0.41
0.07,0.02,-1.14,-7.30,1.22,-0.27
0.07,0.02,-1.13,-7.22,1.13,-0.18
0.08,0.03,-1.14,-7.04,0.43,-0.44
0.08,0.03,-1.13,-7.16,-0.53,-0.76
0.08,0.02,-1.13,-6.90,-1.04,-0.76
0.07,0.02,-1.13,-6.66,-2.11,-0.63
0.07,0.02,-1.13,-6.52,-2.40,-0.41
0.06,0.02,-1.12,-6.27,-2.31,-0.43
0.05,0.02,-1.13,-6.12,-1.80,-0.73
0.05,0.02,-1.13,-6.20,-1.08,-1.30
0.05,0.02,-1.12,-6.05,0.03,-1.37
0.05,0.02,-1.12,-6.02,1.04,-1.66
0.06,0.01,-1.13,-6.58,1.95,-2.32
0.06,0.01,-1.13,-7.16,2.24,-2.50
0.06,0.01,-1.12,-7.79,2.40,-2.49
0.06,0.01,-1.13,-8.27,2.09,-2.27
0.07,0.02,-1.13,-9.02,1.76,-1.89
0.06,0.01,-1.13,-9.40,1.01,-1.39
0.06,0.02,-1.12,-9.74,0.14,-1.48
0.07,0.01,-1.12,-9.56,-0.14,-1.60
0.06,0.02,-1.11,-9.10,-0.60,-1.59
0.06,0.03,-1.10,-8.56,-0.47,-1.69
0.06,0.03,-1.11,-8.18,-0.49,-1.92
0.05,0.02,-1.10,-7.62,0.38,-2.15
0.04,0.02,-1.11,-7.01,0.81,-2.47
0.05,0.02,-1.11,-6.73,1.30,-2.60
0.05,0.02,-1.10,-6.41,1.44,-2.43
0.05,0.02,-1.11,-6.00,1.85,-2.49
0.05,0.02,-1.11,-6.44,2.06,-2.38
0.04,0.02,-1.11,-6.44,2.03,-2.12
0.04,0.02,-1.10,-6.56,2.14,-1.88
0.05,0.01,-1.11,-6.85,2.46,-1.92
0.04,-0.00,-1.10,-7.76,2.15,-1.79
0.05,0.01,-1.10,-8.44,2.03,-1.74
0.05,0.01,-1.10,-8.72,2.17,-1.44
0.05,0.02,-1.09,-8.46,1.92,-1.19
0.06,0.03,-1.09,-7.94,1.56,-0.93
0.06,0.03,-1.09,-7.13,1.31,-1.16
0.07,0.04,-1.09,-6.18,0.58,-1.66
0.06,0.03,-1.09,-5.56,0.17,-1.82
0.06,0.03,-1.11,-4.78,0.23,-2.09
0.06,0.02,-1.11,-4.11,0.03,-2.00
0.05,0.01,-1.11,-4.29,0.84,-2.32
0.05,0.00,-1.12,-4.93,1.66,-2.27
0.05,0.00,-1.11,-5.62,2.52,-2.63
0.05,0.01,-1.11,-6.49,3.37,-3.16
0.05,0.02,-1.12,-7.04,4.03,-3.34
0.05,0.03,-1.12,-6.78,4.15,-2.96
0.06,0.03,-1.11,-6.53,4.09,-2.58
0.06,0.04,-1.11,-6.31,3.71,-2.60
0.06,0.03,-1.12,-5.95,3.16,-2.63
0.05,0.02,-1.12,-6.41,2.60,-2.79
0.05,0.01,-1.11,-6.98,2.08,-2.49
0.05,0.02,-1.12,-7.82,1.98,-2.12
0.05,0.02,-1.11,-8.43,2.53,-1.82
0.04,0.02,-1.11,-9.24,3.22,-1.98
0.04,0.02,-1.09,-9.04,4.58,-2.15
0.04,0.03,-1.08,-8.76,5.97,-2.27
0.05,0.04,-1.09,-7.74,6.66,-2.15
0.05,0.04,-1.08,-7.18,7.01,-2.15
0.07,0.05,-1.08,-6.23,7.37,-2.27
0.06,0.04,-1.09,-5.27,6.56,-2.46
0.07,0.05,-1.10,-4.61,5.27,-2.85
0.07,0.04,-1.10,-3.83,4.23,-2.81
0.06,0.03,-1.11,-3.73,3.19,-2.78
0.05,0.03,-1.10,-3.50,2.92,-2.14
0.05,0.03,-1.11,-3.71,2.93,-1.48
0.05,0.04,-1.11,-3.28,2.58,-0.96
0.05,0.04,-1.12,-2.76,2.46,-0.66
0.06,0.04,-1.13,-2.43,2.18,-0.31
0.06,0.04,-1.13,-2.55,1.73,-0.21
0.06,0.03,-1.13,-2.98,0.93,-0.38
0.06,0.03,-1.13,-3.44,0.49,-0.52
0.05,0.02,-1.14,-4.20,-0.17,-0.46
0.05,0.02,-1.14,-4.84,-0.32,-0.12
0.05,0.02,-1.14,-5.59,-0.69,0.18
0.05,0.02,-1.14,-5.48,-0.81,0.43
0.06,0.03,-1.13,-5.16,-0.85,0.95
0.05,0.04,-1.13,-4.29,-0.93,1.30
0.06,0.05,-1.13,-3.18,-0.58,1.66
0.07,0.05,-1.13,-1.82,-0.40,1.54
0.07,0.03,-1.14,-1.27,-0.06,1.27
0.07,0.02,-1.15,-1.10,0.15,0.79
0.07,0.01,-1.15,-1.48,0.21,0.61
0.07,0.00,-1.15,-2.18,0.47,1.02
0.07,0.01,-1.16,-2.98,0.85,1.11
0.07,0.01,-1.16,-3.97,1.04,1.51
0.06,0.01,-1.16,-4.90,1.65,1.57
0.07,0.00,-1.16,-6.11,2.44,1.45
0.07,0.01,-1.16,-7.19,3.04,1.07
0.07,0.02,-1.15,-7.57,3.77,0.82
0.07,0.02,-1.15,-7.89,4.40,0.53
0.07,0.03,-1.15,-7.40,5.15,0.50
0.07,0.02,-1.15,-7.19,5.24,0.53
0.08,0.03,-1.15,-6.78,5.39,0.81
0.08,0.03,-1.14,-6.82,5.24,0.75
0.09,0.02,-1.14,-7.04,4.31,0.64
0.09,0.02,-1.15,-7.16,3.95,0.64
0.09,0.03,-1.14,-7.34,3.11,0.63
0.09,0.03,-1.14,-7.37,2.40,0.40
0.09,0.03,-1.13,-7.33,1.98,-0.24
0.08,0.03,-1.13,-7.31,1.37,-0.31
0.08,0.03,-1.13,-6.85,1.34,-0.63
0.08,0.04,-1.12,-6.35,1.68,-0.75
0.08,0.04,-1.12,-5.60,1.65,-0.63
0.08,0.04,-1.12,-4.93,1.71,-1.01
0.08,0.03,-1.12,-4.81,1.59,-1.31
0.08,0.02,-1.13,-4.93,1.42,-1.36
0.08,0.02,-1.13,-5.25,1.13,-1.24
0.08,0.02,-1.14,-5.94,0.82,-1.05
0.07,0.01,-1.13,-6.67,0.56,-1.53
0.07,0.02,-1.13,-7.42,0.31,-1.25
0.07,0.02,-1.13,-8.12,0.49,-1.62
0.06,0.03,-1.14,-8.29,0.81,-1.77
0.06,0.03,-1.13,-8.76,1.05,-1.27
0.05,0.03,-1.12,-8.90,1.33,-1.25
0.06,0.03,-1.12,-8.78,1.76,-1.10
0.06,0.04,-1.12,-8.52,1.98,-0.87
0.06,0.04,-1.11,-8.27,1.95,-0.67
0.06,0.03,-1.11,-7.94,1.80,-0.63
0.06,0.04,-1.11,-7.53,1.66,-0.61
0.06,0.04,-1.11,-6.79,1.60,-0.56
0.07,0.04,-1.11,-6.73,1.57,-0.98
0.06,0.04,-1.12,-6.26,1.77,-1.37
0.06,0.04,-1.11,-5.89,1.80,-1.28
0.06,0.04,-1.12,-5.40,1.39,-1.47
0.06,0.04,-1.12,-5.05,1.04,-1.11
0.06,0.03,-1.12,-5.08,0.58,-0.82
0.06,0.03,-1.13,-5.15,0.17,-0.53
0.06,0.03,-1.13,-5.04,-1.02,-0.43
0.06,0.04,-1.12,-5.50,-1.04,-0.24
0.05,0.03,-1.13,-5.86,-0.82,-0.12
0.05,0.03,-1.12,-6.03,-0.46,0.02
0.04,0.04,-1.13,-6.06,0.53,0.34
0.05,0.03,-1.13,-6.12,1.86,0.34
0.04,0.03,-1.13,-6.00,3.53,0.03
