acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.260,0.029,-1.099,-5.405,3.878,-0.977,0
0.272,0.021,-1.101,-6.412,3.176,-1.267,4050
0.274,0.020,-1.115,-7.359,2.351,-1.573,8062
0.278,0.022,-1.113,-7.847,1.908,-1.649,12073
0.275,0.027,-1.115,-8.092,1.115,-1.817,16084
0.274,0.038,-1.113,-7.557,0.656,-1.924,20095
0.272,0.040,-1.113,-7.252,0.290,-1.878,24106
0.271,0.043,-1.093,-6.595,0.626,-1.817,28117
0.257,0.048,-1.100,-5.878,1.069,-1.786,32128
0.252,0.046,-1.102,-5.145,1.695,-1.603,36139
0.255,0.045,-1.107,-4.519,2.031,-1.389,40151
0.259,0.040,-1.113,-4.397,2.550,-1.450,44162
0.259,0.040,-1.102,-4.427,2.519,-1.267,48170
0.268,0.039,-1.105,-4.397,2.779,-1.649,52181
0.266,0.037,-1.104,-4.504,2.687,-1.649,56192
0.258,0.036,-1.105,-4.855,2.626,-1.603,60203
0.256,0.036,-1.101,-5.191,2.427,-1.756,64215
0.259,0.046,-1.103,-5.405,2.397,-1.954,68226
0.258,0.038,-1.095,-5.481,2.672,-1.969,72238
0.252,0.045,-1.104,-5.664,2.458,-2.061,76248
0.252,0.045,-1.093,-5.618,2.733,-2.000,80259
0.255,0.046,-1.107,-5.649,2.763,-1.908,84270
0.244,0.039,-1.097,-5.618,2.809,-1.786,88282
0.247,0.039,-1.096,-5.695,3.069,-1.740,92293
0.251,0.032,-1.094,-6.198,3.389,-1.573,96304
0.251,0.040,-1.093,-6.641,3.450,-1.603,100315
0.251,0.039,-1.095,-6.916,3.573,-1.634,104326
0.258,0.038,-1.098,-7.053,3.282,-1.802,108338
0.256,0.041,-1.100,-6.824,3.053,-1.878,112349
0.255,0.052,-1.112,-6.672,2.870,-1.679,116361
0.254,0.046,-1.105,-6.305,2.427,-1.725,120372
0.255,0.052,-1.096,-6.031,2.229,-1.603,124383
0.261,0.054,-1.091,-5.649,1.969,-1.267,128394
0.257,0.059,-1.098,-5.435,1.939,-0.870,132405
0.251,0.049,-1.095,-5.359,2.153,-0.534,136416
0.246,0.055,-1.092,-4.916,2.046,0.015,140427
0.246,0.054,-1.079,-4.458,2.122,0.000,144438
0.248,0.049,-1.089,-4.198,2.107,0.290,148449
0.246,0.049,-1.091,-3.985,2.382,0.595,152461
0.250,0.046,-1.086,-4.198,2.260,0.702,156471
0.251,0.045,-1.088,-4.168,2.534,0.840,160482
0.254,0.038,-1.097,-4.321,2.153,0.885,164493
0.255,0.044,-1.088,-4.534,1.878,0.916,168504
0.262,0.034,-1.088,-4.611,1.634,1.160,172515
0.268,0.033,-1.098,-4.702,1.160,0.962,176526
0.264,0.038,-1.092,-4.931,1.313,1.008,180537
0.260,0.033,-1.101,-5.282,1.160,0.794,184548
0.262,0.037,-1.096,-5.588,1.435,0.656,188558
0.258,0.031,-1.110,-5.695,1.725,0.473,192570
0.260,0.033,-1.110,-5.695,2.198,0.351,196581
0.257,0.033,-1.108,-5.298,2.687,0.550,200593
0.259,0.036,-1.113,-4.702,3.115,0.534,204604
0.266,0.023,-1.116,-4.519,3.450,0.580,208615
0.270,0.026,-1.109,-4.504,3.344,0.321,212627
0.272,0.029,-1.106,-4.901,3.588,0.321,216637
0.268,0.028,-1.114,-4.992,3.282,0.489,220648
0.279,0.024,-1.103,-5.145,3.008,0.061,224659
0.290,0.025,-1.113,-5.496,2.443,0.107,228671
0.287,0.019,-1.108,-5.740,1.710,-0.076,232691
0.283,0.027,-1.102,-5.817,0.840,-0.672,236702
0.284,0.030,-1.111,-6.031,0.397,-0.626,240713
0.276,0.028,-1.104,-6.092,-0.137,-1.176,244724
0.273,0.040,-1.104,-6.153,-0.214,-1.435,248736
0.267,0.044,-1.107,-6.000,0.076,-1.618,252747
0.261,0.043,-1.085,-5.542,0.382,-1.466,256758
0.256,0.048,-1.102,-5.069,0.733,-1.511,260769
0.256,0.053,-1.087,-4.290,1.389,-1.221,264780
0.255,0.054,-1.085,-3.756,1.573,-1.252,268793
