acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.285,-0.140,-1.113,-1.817,-0.672,-0.794,0
0.285,-0.146,-1.105,-1.649,-0.275,-0.779,4047
0.283,-0.147,-1.113,-1.557,0.031,-0.733,8060
0.284,-0.147,-1.115,-1.664,0.153,-0.779,12071
0.290,-0.156,-1.119,-1.634,0.595,-0.718,16082
0.292,-0.150,-1.112,-1.893,0.687,-0.870,20093
0.294,-0.153,-1.101,-2.076,0.947,-0.763,24104
0.298,-0.157,-1.116,-2.458,0.992,-0.992,28115
0.292,-0.156,-1.109,-2.779,1.053,-1.282,32127
0.291,-0.156,-1.102,-3.252,1.252,-1.420,36137
0.302,-0.156,-1.111,-3.756,1.084,-1.817,40148
0.291,-0.153,-1.109,-4.244,1.252,-2.122,44159
0.292,-0.154,-1.111,-4.550,1.221,-2.565,48168
0.301,-0.159,-1.113,-4.885,1.115,-2.763,52179
0.299,-0.157,-1.111,-5.130,1.282,-2.840,56190
0.294,-0.149,-1.103,-5.435,1.282,-3.206,60202
0.292,-0.153,-1.097,-5.389,1.405,-3.191,64213
0.287,-0.143,-1.108,-5.374,1.282,-3.145,68224
0.294,-0.142,-1.112,-5.099,1.145,-3.069,72236
0.292,-0.151,-1.111,-4.992,1.038,-2.947,76247
0.291,-0.145,-1.106,-4.641,0.916,-2.931,80258
0.295,-0.138,-1.109,-4.443,0.748,-2.855,84270
0.291,-0.135,-1.105,-4.092,0.656,-2.580,88281
0.286,-0.137,-1.113,-3.756,0.519,-2.489,92292
0.287,-0.136,-1.109,-3.405,0.565,-2.427,96303
0.284,-0.135,-1.101,-3.008,0.855,-2.229,100314
0.277,-0.134,-1.102,-2.565,1.130,-2.015,104325
0.279,-0.133,-1.104,-2.122,1.344,-2.107,108337
0.275,-0.138,-1.108,-1.664,1.511,-1.832,112348
0.274,-0.135,-1.102,-1.420,2.000,-1.710,116359
0.279,-0.139,-1.101,-1.160,2.092,-1.435,120370
0.279,-0.145,-1.100,-1.023,2.214,-1.313,124381
0.279,-0.144,-1.094,-0.855,2.427,-1.313,128392
0.284,-0.149,-1.085,-0.885,2.809,-1.038,132403
0.282,-0.140,-1.107,-0.977,2.885,-0.977,136414
0.283,-0.145,-1.100,-0.992,3.023,-0.931,140426
0.285,-0.152,-1.102,-1.069,3.191,-0.916,144437
0.291,-0.150,-1.104,-1.298,3.267,-1.069,148447
0.282,-0.152,-1.106,-1.618,3.359,-1.099,152458
0.290,-0.153,-1.113,-1.985,3.069,-1.405,156469
0.292,-0.153,-1.108,-2.351,3.084,-1.649,160480
0.295,-0.160,-1.107,-2.672,2.656,-1.573,164491
0.301,-0.159,-1.107,-3.237,2.336,-1.924,168501
0.298,-0.155,-1.113,-3.496,1.786,-1.954,172512
0.300,-0.162,-1.104,-4.137,1.405,-2.046,176523
0.293,-0.156,-1.110,-4.427,1.206,-2.244,180534
0.290,-0.151,-1.110,-4.763,0.992,-2.061,184545
0.296,-0.151,-1.100,-4.779,1.053,-2.198,188555
0.285,-0.151,-1.104,-4.931,1.130,-2.137,192566
0.286,-0.143,-1.100,-4.901,1.130,-2.046,196578
0.280,-0.137,-1.097,-4.565,1.099,-2.015,200589
0.286,-0.137,-1.099,-4.275,1.176,-1.847,204600
0.288,-0.134,-1.093,-4.015,1.130,-1.618,208612
0.285,-0.137,-1.098,-3.374,1.160,-1.496,212623
0.282,-0.125,-1.095,-2.794,1.237,-1.374,216634
0.292,-0.127,-1.090,-2.046,1.053,-1.328,220645
0.291,-0.135,-1.094,-1.450,1.038,-0.718,224656
0.288,-0.137,-1.097,-0.931,1.099,-0.718,228668
0.286,-0.140,-1.099,-0.473,1.298,-0.443,232687
0.282,-0.144,-1.104,-0.214,1.344,-0.473,236698
0.285,-0.150,-1.100,0.198,1.618,-0.473,240709
0.276,-0.145,-1.105,-0.122,1.695,-0.504,244720
0.293,-0.147,-1.103,-0.015,1.908,-0.489,248732
0.288,-0.149,-1.111,-0.153,2.168,-0.534,252744
0.286,-0.159,-1.102,-0.366,2.382,-0.779,256755
0.289,-0.159,-1.103,-0.550,2.504,-0.901,260766
0.284,-0.157,-1.103,-1.084,2.656,-0.947,264777
0.279,-0.158,-1.113,-1.542,2.809,-0.931,268790
0.288,-0.156,-1.115,-1.863,2.931,-1.099,272801
0.291,-0.162,-1.109,-2.336,2.901,-1.145,276812
0.294,-0.160,-1.119,-2.931,3.145,-1.344,280823
0.294,-0.161,-1.118,-3.405,2.916,-1.496,284834
0.293,-0.165,-1.116,-3.847,2.656,-1.542,288845
0.295,-0.149,-1.118,-4.031,2.260,-1.908,292855
0.292,-0.145,-1.110,-3.893,2.046,-1.771,296867
0.292,-0.146,-1.122,-3.893,1.664,-1.924,300877
0.298,-0.147,-1.116,-3.695,1.298,-1.939,304888
0.294,-0.140,-1.111,-3.588,0.947,-1.969,308900
0.304,-0.142,-1.112,-3.359,0.718,-1.893,312913
0.290,-0.149,-1.112,-3.145,0.534,-1.695,316925
0.288,-0.145,-1.106,-2.870,0.458,-1.450,320936
0.287,-0.135,-1.113,-2.565,0.336,-1.374,324948
0.287,-0.138,-1.112,-2.092,0.275,-0.809,328959
0.290,-0.144,-1.112,-2.137,0.137,-0.656,332978
0.291,-0.147,-1.107,-2.000,0.351,-0.519,336989
0.288,-0.151,-1.111,-1.878,0.427,-0.382,341000
0.287,-0.151,-1.104,-1.893,0.733,-0.198,345011
0.286,-0.146,-1.110,-1.771,0.901,-0.153,349022
0.285,-0.150,-1.111,-1.664,1.344,-0.305,353043
0.294,-0.153,-1.117,-1.939,1.832,-0.305,357054
0.289,-0.156,-1.116,-2.153,1.847,-0.351,361065
0.290,-0.155,-1.115,-2.458,2.122,-0.626,365076
0.294,-0.155,-1.113,-2.733,2.427,-0.870,369087
0.298,-0.149,-1.117,-2.977,2.473,-1.206,373100
0.292,-0.157,-1.118,-3.160,2.580,-1.282,377112
0.294,-0.149,-1.113,-3.282,2.397,-1.389,381122
0.296,-0.154,-1.110,-3.695,2.031,-1.511,385133
0.298,-0.158,-1.114,-4.092,1.786,-1.695,389144
0.307,-0.158,-1.116,-4.733,1.695,-1.771,393157
0.299,-0.157,-1.118,-4.977,1.527,-1.740,397168
0.303,-0.155,-1.119,-5.466,1.237,-1.802,401179
0.299,-0.152,-1.126,-5.756,0.947,-1.908,405190
0.299,-0.151,-1.117,-5.588,0.641,-2.092,409201
0.298,-0.141,-1.118,-5.649,0.489,-2.046,413222
0.303,-0.136,-1.119,-5.359,0.183,-2.076,417233
0.301,-0.139,-1.109,-5.115,-0.153,-1.908,421245
0.298,-0.135,-1.117,-4.611,-0.427,-1.710,425256
0.297,-0.135,-1.102,-4.183,-0.382,-1.588,429267
0.293,-0.135,-1.119,-3.664,-0.519,-1.496,433288
0.286,-0.137,-1.113,-3.221,-0.321,-1.160,437300
0.289,-0.138,-1.120,-3.145,-0.275,-0.885,441311
