acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.294,0.047,-1.089,-8.397,8.000,3.679,0
0.303,0.043,-1.082,-8.351,7.817,3.481,4050
0.302,0.039,-1.080,-8.198,7.237,3.344,8062
0.305,0.037,-1.077,-8.061,6.794,3.084,12073
0.303,0.044,-1.077,-7.908,6.748,2.947,16084
0.296,0.048,-1.086,-8.168,6.321,2.580,20096
0.294,0.046,-1.082,-8.153,6.382,2.168,24107
0.295,0.043,-1.078,-8.382,6.061,2.031,28117
0.296,0.048,-1.079,-8.458,6.061,1.374,32128
0.293,0.046,-1.073,-8.550,6.122,1.038,36139
0.289,0.044,-1.081,-8.626,5.725,0.885,40150
0.286,0.050,-1.066,-8.656,5.924,0.656,44161
0.291,0.061,-1.071,-8.473,5.359,0.611,48172
0.284,0.069,-1.062,-7.985,5.481,0.656,52183
0.277,0.060,-1.058,-7.298,5.176,0.733,56194
0.274,0.076,-1.053,-6.366,5.221,1.191,60205
0.285,0.074,-1.067,-5.389,5.191,1.466,64216
0.286,0.069,-1.058,-4.824,5.267,1.313,68228
0.290,0.067,-1.056,-4.260,5.145,1.328,72239
0.291,0.067,-1.060,-3.710,4.611,1.191,76250
0.292,0.064,-1.062,-3.328,4.198,1.008,80261
0.293,0.061,-1.063,-3.099,3.893,0.962,84272
0.303,0.060,-1.067,-3.099,3.496,0.809,88284
0.303,0.051,-1.078,-3.450,2.855,0.198,92295
0.312,0.050,-1.078,-3.481,2.382,-0.275,96307
0.301,0.052,-1.086,-3.802,2.168,-0.885,100318
0.308,0.058,-1.083,-4.168,1.817,-1.374,104329
0.297,0.056,-1.082,-4.458,1.573,-1.634,108341
0.296,0.061,-1.085,-4.626,1.389,-1.908,112351
0.293,0.077,-1.084,-4.626,1.450,-2.107,116362
0.286,0.073,-1.080,-4.748,1.679,-1.954,120373
0.289,0.083,-1.074,-4.733,2.244,-2.000,124384
0.286,0.085,-1.070,-4.565,2.489,-2.046,128395
0.284,0.086,-1.067,-4.290,2.733,-1.863,132405
0.280,0.090,-1.059,-3.939,2.947,-1.802,136416
0.297,0.093,-1.051,-3.466,3.374,-1.740,140427
0.309,0.099,-1.043,-3.221,3.588,-2.168,144438
0.328,0.091,-1.047,-2.611,3.756,-2.641,148449
0.340,0.111,-1.039,-1.786,3.863,-3.084,152459
0.360,0.104,-1.030,-0.885,3.710,-4.290,156470
0.384,0.113,-1.019,0.275,3.206,-5.511,160482
0.389,0.114,-1.014,1.695,2.611,-7.450,164493
0.397,0.113,-1.010,3.115,1.832,-9.328,168503
0.409,0.113,-1.019,4.000,0.779,-11.191,172515
0.410,0.113,-1.026,4.947,-0.183,-13.328,176525
0.408,0.109,-1.038,6.107,-1.099,-15.313,180536
0.401,0.113,-1.037,7.069,-2.107,-17.099,184547
0.403,0.107,-1.047,7.908,-3.481,-19.069,188558
0.397,0.107,-1.050,8.595,-4.916,-20.595,192569
0.391,0.103,-1.073,8.779,-6.504,-21.847,196580
0.377,0.100,-1.083,8.550,-8.290,-22.748,200591
0.357,0.098,-1.096,8.031,-9.939,-23.542,204602
0.339,0.093,-1.115,7.863,-11.221,-24.015,208614
0.311,0.092,-1.113,7.237,-12.305,-24.443,212625
0.292,0.090,-1.114,6.397,-13.374,-24.504,216637
0.276,0.100,-1.129,5.267,-14.305,-24.611,220648
0.254,0.107,-1.140,4.382,-14.611,-24.321,224659
0.233,0.116,-1.146,3.878,-14.672,-23.160,228671
0.205,0.116,-1.151,3.374,-14.183,-21.817,232690
0.198,0.119,-1.156,2.809,-13.359,-20.107,236701
0.183,0.120,-1.148,2.260,-12.366,-17.878,240712
0.169,0.118,-1.153,1.832,-10.931,-15.710,244723
0.169,0.116,-1.155,1.466,-9.298,-13.710,248735
0.180,0.117,-1.154,1.252,-7.359,-11.618,252746
0.179,0.112,-1.164,1.038,-5.298,-9.740,256758
0.192,0.108,-1.166,0.824,-3.527,-8.092,260768
0.201,0.103,-1.163,0.473,-2.122,-6.748,264779
0.214,0.099,-1.174,-0.076,-0.244,-4.763,268792
0.227,0.098,-1.170,-0.489,1.115,-3.542,272803
0.240,0.088,-1.156,-0.901,2.366,-2.626,276814
0.259,0.083,-1.157,-1.176,3.557,-1.863,280825
0.266,0.078,-1.152,-2.000,4.626,-1.053,284836
0.273,0.072,-1.138,-2.076,5.344,-0.931,288847
0.286,0.066,-1.140,-3.191,6.107,-0.748,292857
0.298,0.074,-1.132,-3.969,6.214,-0.504,296869
0.309,0.066,-1.125,-4.107,6.168,-0.382,300880
0.323,0.058,-1.119,-4.595,5.924,-0.473,304891
0.337,0.060,-1.116,-4.718,5.466,-0.794,308903
0.340,0.066,-1.103,-4.595,4.809,-0.885,312915
0.347,0.064,-1.096,-4.458,3.282,-0.855,316926
0.344,0.066,-1.094,-3.985,2.000,-1.115,320937
0.348,0.070,-1.078,-3.328,0.641,-1.450,324948
0.349,0.059,-1.072,-2.992,-0.916,-1.679,328959
0.346,0.062,-1.072,-2.122,-2.305,-1.756,332979
0.347,0.060,-1.067,-0.977,-3.939,-1.710,336989
0.338,0.062,-1.062,0.092,-5.527,-1.740,341000
0.344,0.069,-1.068,1.115,-6.992,-2.214,345011
0.333,0.068,-1.076,2.137,-7.832,-2.580,349022
0.321,0.063,-1.079,2.580,-8.534,-3.176,353043
0.293,0.057,-1.074,2.611,-9.221,-3.374,357054
0.282,0.042,-1.082,2.244,-9.695,-3.542,361065
0.277,0.028,-1.084,1.893,-9.359,-4.321,365076
0.269,0.005,-1.082,0.244,-8.931,-5.115,369087
0.265,-0.001,-1.090,-1.893,-8.290,-6.672,373101
0.249,-0.005,-1.086,-4.870,-7.557,-8.015,377111
0.248,-0.007,-1.089,-7.267,-5.847,-9.221,381122
0.222,0.006,-1.081,-9.481,-3.710,-9.954,385133
0.202,0.021,-1.081,-11.985,-1.206,-10.519,389144
0.185,0.025,-1.089,-14.061,0.977,-10.672,393154
0.192,0.042,-1.091,-15.069,3.466,-10.550,397165
0.181,0.048,-1.081,-15.237,6.626,-9.710,401176
0.183,0.057,-1.089,-15.176,9.023,-8.153,405187
0.183,0.075,-1.076,-14.687,10.489,-6.198,409198
0.174,0.054,-1.073,-12.885,10.672,-2.244,413218
0.210,0.043,-1.108,-12.763,13.084,-1.313,417229
0.241,0.051,-1.086,-12.305,13.481,-2.107,421240
0.237,0.057,-1.083,-11.588,13.954,-2.412,425251
0.224,0.061,-1.087,-10.916,14.565,-1.878,429262
0.214,0.066,-1.092,-10.427,14.321,-0.962,433283
0.218,0.082,-1.098,-9.863,13.924,-0.015,437294
0.230,0.079,-1.097,-9.313,13.511,1.573,441305
0.245,0.070,-1.105,-8.916,12.931,2.656,445316
0.270,0.055,-1.106,-8.977,12.061,2.962,449327
0.290,0.038,-1.112,-9.069,11.267,2.641,453345
0.299,0.030,-1.119,-9.252,9.954,2.351,457356
0.293,0.022,-1.111,-9.603,8.595,2.198,461367
0.294,0.014,-1.114,-9.969,5.847,2.092,465378
0.301,0.009,-1.120,-10.260,3.389,1.802,469389
0.307,0.008,-1.125,-10.366,1.618,1.603,473401
0.308,0.018,-1.129,-10.122,0.641,1.374,477411
0.310,0.020,-1.147,-10.015,-0.550,1.374,481422
0.298,0.020,-1.136,-10.473,-1.527,1.649,485433
0.285,0.020,-1.126,-10.733,-1.969,2.015,489444
0.274,0.019,-1.132,-11.023,-1.924,1.878,493455
0.267,0.018,-1.133,-11.099,-1.542,1.985,497467
0.269,0.018,-1.124,-11.008,-0.672,1.740,501477
0.267,0.023,-1.132,-11.053,1.252,1.374,505488
0.263,0.027,-1.125,-11.191,2.855,1.313,509499
0.268,0.030,-1.123,-11.130,4.107,1.389,513510
0.271,0.034,-1.120,-11.481,5.160,1.267,517521
0.272,0.032,-1.119,-11.267,6.290,1.038,521532
0.277,0.034,-1.111,-11.344,7.359,0.931,525543
0.281,0.040,-1.105,-11.130,8.076,0.809,529554
0.281,0.040,-1.099,-10.977,9.069,0.443,533569
0.271,0.043,-1.099,-11.191,9.511,0.412,537580
0.285,0.044,-1.104,-11.115,10.473,0.473,541591
