acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.11,0.09,-1.10,-8.21,0.87,1.24
0.11,0.08,-1.10,-8.49,-0.37,0.90
0.11,0.09,-1.11,-8.93,-1.53,0.76
0.12,0.08,-1.11,-8.99,-2.52,0.99
0.11,0.08,-1.11,-8.79,-3.53,1.19
0.11,0.08,-1.12,-8.43,-4.43,1.66
0.10,0.08,-1.12,-7.97,-4.52,1.83
0.11,0.09,-1.11,-7.45,-4.12,1.68
0.10,0.09,-1.11,-6.87,-3.48,1.40
0.09,0.09,-1.11,-6.06,-2.52,1.02
0.09,0.09,-1.10,-4.98,-1.15,0.72
0.08,0.10,-1.10,-3.74,-0.34,0.85
0.08,0.09,-1.10,-2.27,1.15,0.75
0.09,0.09,-1.09,-1.13,1.95,0.72
0.09,0.09,-1.10,-0.38,2.93,0.32
0.08,0.07,-1.10,-0.24,3.45,0.29
0.10,0.07,-1.10,-0.31,3.62,-0.44
0.10,0.06,-1.10,-1.11,3.68,-0.47
0.11,0.06,-1.10,-2.05,2.75,-0.78
0.12,0.05,-1.11,-3.42,1.79,-1.10
0.12,0.05,-1.11,-4.70,0.81,-1.24
0.11,0.05,-1.12,-6.12,-0.11,-1.57
0.11,0.06,-1.11,-7.25,-0.95,-1.63
0.11,0.07,-1.12,-7.73,-1.97,-1.60
0.10,0.08,-1.10,-7.69,-2.34,-1.57
0.10,0.09,-1.11,-7.19,-2.47,-1.51
0.08,0.09,-1.10,-5.63,-2.24,-1.19
0.07,0.10,-1.11,-3.98,-1.98,-1.10
0.07,0.11,-1.11,-1.88,-0.81,-0.58
0.07,0.11,-1.12,-0.15,-0.03,-0.38
0.07,0.09,-1.12,1.22,1.18,-0.43
0.06,0.08,-1.12,1.62,2.02,-1.04
0.06,0.06,-1.12,1.24,2.69,-1.34
0.07,0.06,-1.12,0.55,3.36,-1.42
0.07,0.05,-1.13,-0.84,3.94,-1.42
0.08,0.05,-1.12,-2.29,4.00,-1.62
0.08,0.05,-1.13,-3.47,3.68,-1.16
0.08,0.06,-1.14,-4.73,2.70,-1.13
0.08,0.06,-1.15,-5.45,1.34,-0.56
0.08,0.07,-1.15,-5.79,0.08,-0.18
0.07,0.08,-1.14,-5.86,-1.19,0.20
0.07,0.08,-1.15,-5.77,-2.26,0.27
0.07,0.08,-1.14,-5.68,-2.90,0.49
0.06,0.08,-1.14,-5.19,-2.76,0.72
0.06,0.07,-1.14,-5.31,-2.46,0.61
0.06,0.07,-1.13,-5.40,-2.32,0.81
0.07,0.08,-1.13,-5.40,-1.59,1.15
0.07,0.08,-1.13,-4.66,-1.22,1.48
0.07,0.08,-1.11,-3.66,-0.73,1.45
0.07,0.09,-1.11,-2.76,-0.14,1.37
0.07,0.09,-1.11,-1.94,0.06,1.19
0.07,0.09,-1.12,-0.92,0.69,0.85
0.08,0.09,-1.11,-0.20,0.96,0.69
0.08,0.08,-1.12,0.26,1.21,0.31
0.08,0.07,-1.12,-0.41,1.37,0.06
0.08,0.06,-1.12,-1.33,1.25,0.23
0.08,0.06,-1.14,-2.70,1.22,0.00
0.09,0.06,-1.13,-3.66,0.50,-0.14
0.08,0.07,-1.14,-4.58,0.11,-0.44
0.08,0.07,-1.13,-5.34,-0.44,-0.53
0.08,0.08,-1.13,-5.79,-0.75,-0.44
0.07,0.08,-1.13,-5.45,-0.90,-0.34
0.07,0.08,-1.12,-4.93,-0.99,-0.37
0.08,0.09,-1.11,-4.63,-0.64,-0.27
0.07,0.09,-1.13,-4.17,-0.85,0.34
0.08,0.09,-1.12,-3.54,-0.87,0.85
0.09,0.10,-1.12,-3.01,-1.47,1.11
0.09,0.08,-1.12,-2.29,-1.89,0.69
0.08,0.08,-1.13,-1.88,-2.05,0.11
0.07,0.08,-1.13,-1.92,-1.89,-0.17
0.07,0.08,-1.12,-1.92,-1.95,-0.43
0.07,0.08,-1.13,-2.02,-1.51,-0.31
0.05,0.07,-1.12,-1.98,-0.85,-0.12
0.06,0.06,-1.13,-1.82,-0.26,0.29
0.06,0.06,-1.13,-1.76,0.52,0.72
0.07,0.07,-1.12,-1.63,1.10,1.27
0.08,0.07,-1.14,-1.77,1.40,1.28
0.08,0.06,-1.13,-2.46,1.91,1.08
0.09,0.06,-1.14,-3.50,1.86,0.76
0.09,0.06,-1.14,-4.93,1.68,0.18
0.10,0.07,-1.15,-6.43,1.79,-0.08
0.10,0.07,-1.14,-8.03,1.60,-0.38
0.10,0.08,-1.13,-8.87,1.73,-0.43
0.10,0.10,-1.13,-9.18,1.22,-0.52
0.10,0.12,-1.12,-8.81,0.76,-0.52
0.10,0.14,-1.12,-8.12,0.37,-0.76
0.10,0.15,-1.11,-7.47,0.14,-1.02
0.10,0.18,-1.12,-6.35,-0.24,-0.84
0.09,0.23,-1.12,-4.93,-0.61,-0.27
0.10,0.27,-1.12,-3.79,-0.61,0.38
0.11,0.29,-1.13,-2.23,-0.84,0.61
0.10,0.31,-1.12,-0.60,-1.42,1.18
0.11,0.32,-1.15,0.67,-1.97,1.37
0.10,0.34,-1.13,1.56,-3.36,1.79
0.11,0.35,-1.14,2.34,-4.38,1.77
0.12,0.36,-1.15,2.78,-5.97,1.47
0.11,0.38,-1.14,3.02,-7.40,1.37
0.10,0.39,-1.16,3.04,-9.01,1.37
0.09,0.40,-1.16,2.50,-10.79,1.21
0.07,0.43,-1.17,2.02,-11.53,1.36
0.07,0.46,-1.16,1.01,-11.79,1.56
0.05,0.48,-1.17,0.11,-11.13,1.79
0.04,0.49,-1.16,-0.89,-9.85,2.08
0.03,0.51,-1.17,-1.71,-8.12,2.02
0.02,0.50,-1.17,-2.02,-6.46,2.12
0.02,0.49,-1.17,-2.46,-5.16,2.46
0.02,0.48,-1.17,-2.31,-4.09,2.66
0.02,0.47,-1.17,-2.44,-3.37,2.89
0.03,0.47,-1.17,-2.20,-2.61,3.69
0.02,0.47,-1.18,-2.12,-2.63,4.08
0.02,0.48,-1.18,-0.56,-2.55,4.96
0.02,0.50,-1.17,1.42,-2.37,6.06
0.02,0.49,-1.19,3.31,-2.24,6.63
0.02,0.48,-1.19,4.99,-1.50,7.13
0.02,0.44,-1.21,6.18,-1.07,6.87
0.04,0.41,-1.21,6.47,-0.64,6.11
0.06,0.37,-1.23,4.90,-0.53,4.40
0.08,0.30,-1.23,2.35,-0.89,1.34
0.09,0.27,-1.24,-0.76,-1.79,-1.57
0.10,0.24,-1.25,-4.61,-3.97,-3.69
0.13,0.20,-1.26,-8.66,-6.64,-5.66
0.15,0.19,-1.25,-11.73,-9.94,-7.18
0.15,0.17,-1.25,-14.14,-13.73,-7.59
0.13,0.17,-1.22,-15.53,-17.83,-7.73
0.09,0.17,-1.21,-16.35,-21.88,-7.22
0.06,0.17,-1.18,-16.84,-25.05,-6.98
0.04,0.16,-1.17,-16.14,-26.56,-7.13
0.01,0.15,-1.13,-14.40,-26.53,-7.15
-0.02,0.12,-1.09,-11.95,-25.53,-6.66
-0.04,0.10,-1.06,-9.34,-23.34,-5.10
-0.06,0.08,-1.04,-6.47,-20.66,-2.47
-0.07,0.04,-1.02,-3.63,-17.40,0.11
-0.06,-0.00,-1.00,-0.26,-13.76,1.60
-0.05,-0.02,-0.97,2.95,-10.55,1.97
-0.03,-0.06,-0.97,4.37,-7.65,1.63
-0.01,-0.12,-0.97,4.82,-5.91,0.61
-0.02,-0.17,-0.97,4.53,-4.72,-0.69
-0.01,-0.22,-0.96,2.14,-3.65,-2.70
-0.02,-0.25,-0.98,-0.98,-2.40,-4.02
-0.04,-0.30,-0.97,-5.28,-0.98,-4.26
-0.05,-0.31,-0.95,-10.66,0.75,-3.19
-0.05,-0.32,-0.93,-15.37,3.50,-0.06
-0.06,-0.31,-0.92,-17.85,6.78,4.70
-0.08,-0.29,-0.92,-17.28,10.41,10.76
-0.09,-0.28,-0.90,-14.20,13.69,17.71
-0.09,-0.26,-0.90,-7.33,17.07,24.50
-0.06,-0.25,-0.90,2.89,19.50,30.56
-0.06,-0.24,-0.92,15.42,21.22,35.51
-0.04,-0.26,-0.93,27.50,23.05,38.98
-0.02,-0.27,-0.95,37.85,23.94,40.29
0.01,-0.28,-0.96,45.76,25.08,38.90
0.01,-0.31,-0.95,48.43,25.73,35.39
0.03,-0.33,-0.96,47.07,25.51,31.62
0.05,-0.36,-0.98,45.80,25.50,30.14
0.07,-0.36,-1.01,44.79,24.18,30.81
0.07,-0.36,-1.03,43.68,21.79,33.13
0.08,-0.35,-1.08,42.96,17.79,35.85
0.09,-0.34,-1.10,43.36,13.40,38.98
0.10,-0.32,-1.12,44.20,9.54,41.63
0.09,-0.28,-1.14,44.50,5.69,42.89
0.09,-0.27,-1.16,44.14,2.55,42.24
0.10,-0.24,-1.17,43.25,0.37,40.05
0.09,-0.23,-1.18,41.80,-0.79,36.66
0.10,-0.24,-1.17,40.21,-1.82,33.66
0.13,-0.24,-1.18,38.66,-2.61,31.31
0.14,-0.24,-1.19,37.54,-2.78,29.31
0.15,-0.24,-1.20,35.85,-3.91,27.45
0.16,-0.23,-1.21,34.09,-5.63,24.90
0.18,-0.22,-1.23,32.26,-8.14,20.99
0.18,-0.21,-1.25,30.11,-11.95,16.05
0.18,-0.20,-1.26,26.40,-15.95,10.29
0.16,-0.20,-1.27,21.21,-20.03,5.25
0.13,-0.22,-1.28,14.18,-23.37,1.54
0.08,-0.26,-1.26,5.16,-25.01,-0.03
0.06,-0.28,-1.25,-4.29,-25.08,-0.47
0.02,-0.29,-1.23,-12.95,-23.37,0.58
-0.01,-0.26,-1.20,-19.50,-19.74,2.03
-0.01,-0.21,-1.16,-24.02,-15.62,3.91
-0.01,-0.16,-1.14,-26.58,-10.58,4.61
-0.00,-0.12,-1.10,-27.42,-5.94,4.47
-0.00,-0.10,-1.08,-26.79,-1.65,4.29
0.01,-0.09,-1.05,-24.63,2.02,3.15
0.02,-0.07,-1.04,-21.89,4.21,1.85
0.04,-0.04,-1.03,-18.63,5.11,0.81
0.03,-0.03,-1.03,-15.76,4.46,-0.17
0.03,-0.00,-1.03,-11.91,2.87,-0.21
0.04,0.01,-1.04,-7.57,-0.15,0.29
0.04,0.02,-1.05,-3.33,-4.17,0.47
0.05,0.02,-1.07,0.78,-8.12,0.82
0.05,0.03,-1.10,4.73,-11.92,1.19
0.03,0.01,-1.11,7.25,-14.98,0.47
0.01,-0.01,-1.13,8.84,-16.87,-1.34
-0.01,-0.03,-1.15,9.31,-17.74,-2.96
-0.03,-0.04,-1.15,8.35,-17.33,-3.73
-0.04,-0.06,-1.16,6.53,-15.05,-3.01
-0.04,-0.07,-1.16,4.69,-11.80,-1.25
-0.04,-0.07,-1.17,2.55,-8.60,1.05
-0.04,-0.07,-1.16,1.04,-4.63,3.40
-0.03,-0.04,-1.16,0.58,-0.69,4.75
-0.02,-0.02,-1.16,0.23,2.32,4.89
0.01,-0.01,-1.17,0.61,3.91,3.69
0.05,0.00,-1.18,1.30,3.62,1.79
0.08,-0.00,-1.20,1.73,1.76,-0.12
0.09,-0.02,-1.19,1.60,-1.16,-1.36
0.11,-0.05,-1.20,0.61,-4.73,-1.91
0.11,-0.07,-1.20,-1.07,-8.26,-2.12
0.11,-0.08,-1.19,-2.53,-11.27,-1.56
0.08,-0.08,-1.19,-4.21,-12.23,-1.37
0.07,-0.07,-1.18,-5.15,-12.00,-1.79
0.05,-0.05,-1.18,-5.34,-10.89,-3.53
0.04,-0.03,-1.19,-5.66,-9.13,-5.88
0.04,-0.04,-1.19,-6.98,-7.53,-8.84
0.03,-0.05,-1.20,-8.78,-6.12,-10.56
0.02,-0.06,-1.20,-10.58,-5.60,-10.96
0.03,-0.07,-1.21,-12.26,-5.39,-10.21
0.02,-0.07,-1.19,-14.21,-5.33,-8.58
0.01,-0.07,-1.17,-16.29,-4.99,-6.84
0.00,-0.07,-1.17,-17.73,-4.50,-5.28
-0.00,-0.06,-1.14,-18.47,-2.82,-4.38
0.01,-0.04,-1.13,-18.34,-1.57,-4.12
0.02,-0.02,-1.11,-17.74,0.20,-4.41
0.03,-0.01,-1.11,-15.66,1.57,-5.42
0.03,0.01,-1.10,-13.07,2.20,-6.60
0.04,0.02,-1.12,-10.24,1.19,-7.77
0.06,0.01,-1.13,-7.97,-0.70,-8.73
0.05,-0.01,-1.13,-6.31,-3.42,-8.87
0.05,-0.01,-1.15,-5.47,-6.41,-8.43
0.04,-0.03,-1.14,-5.07,-8.99,-7.24
0.01,-0.05,-1.15,-5.77,-11.30,-5.54
-0.01,-0.05,-1.14,-6.73,-11.95,-4.06
-0.03,-0.07,-1.14,-8.09,-10.96,-2.21
-0.04,-0.07,-1.14,-9.47,-8.85,-0.32
-0.05,-0.06,-1.13,-10.44,-5.27,1.19
-0.05,-0.05,-1.12,-11.15,-1.40,2.31
-0.03,-0.03,-1.11,-10.63,2.81,3.42
-0.03,-0.01,-1.11,-8.87,6.06,3.34
-0.01,0.00,-1.12,-6.81,8.02,3.22
0.03,0.01,-1.11,-5.50,8.09,2.08
0.06,-0.01,-1.13,-3.89,6.34,1.11
0.07,-0.02,-1.14,-2.75,3.65,0.49
0.07,-0.04,-1.14,-2.23,-0.06,-0.09
0.08,-0.04,-1.13,-2.35,-3.15,-0.81
0.07,-0.05,-1.13,-2.82,-5.59,-0.93
0.04,-0.05,-1.15,-3.24,-6.98,-0.90
0.01,-0.05,-1.14,-3.30,-7.13,-0.82
-0.01,-0.05,-1.14,-4.26,-6.56,-0.46
-0.02,-0.07,-1.13,-5.89,-4.40,-0.35
-0.03,-0.06,-1.13,-7.13,-1.30,0.29
-0.03,-0.05,-1.13,-7.92,1.30,1.31
-0.02,-0.04,-1.13,-8.27,4.61,1.95
-0.01,-0.03,-1.13,-8.29,7.25,2.58
-0.00,-0.02,-1.13,-8.32,8.63,2.95
0.01,-0.01,-1.13,-7.71,10.09,2.82
0.02,-0.00,-1.13,-6.64,10.35,2.29
0.03,-0.00,-1.13,-5.88,9.98,1.62
0.03,0.00,-1.13,-5.42,8.81,1.08
0.03,-0.02,-1.12,-5.77,7.65,0.64
0.02,-0.03,-1.12,-5.97,6.81,0.56
0.01,-0.03,-1.13,-6.35,5.40,0.72
0.02,-0.03,-1.12,-6.58,4.64,0.43
0.01,-0.03,-1.12,-7.19,3.89,0.23
0.01,-0.03,-1.12,-7.57,3.77,0.52
0.01,-0.02,-1.12,-7.08,3.68,0.79
0.02,-0.03,-1.12,-7.24,3.60,0.46
0.02,-0.03,-1.11,-7.56,3.69,-0.03
0.02,-0.03,-1.12,-7.59,3.25,-1.24
0.03,-0.02,-1.12,-7.42,2.32,-1.94
0.02,-0.02,-1.12,-7.01,1.40,-2.69
0.02,-0.02,-1.12,-7.30,0.64,-3.59
0.01,-0.03,-1.12,-7.57,-0.15,-3.44
0.00,-0.03,-1.11,-7.79,-1.33,-3.27
-0.00,-0.04,-1.11,-8.00,-1.98,-2.49
-0.01,-0.03,-1.11,-7.82,-2.50,-1.85
-0.01,-0.02,-1.10,-7.18,-3.10,-1.31
-0.00,-0.00,-1.10,-6.31,-3.40,-1.33
-0.00,0.00,-1.11,-5.18,-3.62,-1.47
-0.00,-0.00,-1.11,-4.69,-4.24,-1.54
-0.01,-0.02,-1.11,-4.60,-4.56,-1.56
-0.01,-0.03,-1.11,-5.30,-4.84,-1.31
-0.01,-0.04,-1.12,-6.06,-5.40,-0.85
-0.01,-0.05,-1.13,-6.98,-5.79,0.09
-0.01,-0.06,-1.12,-7.94,-5.82,0.98
-0.01,-0.05,-1.12,-8.81,-5.37,1.80
-0.02,-0.05,-1.13,-9.51,-4.44,1.76
-0.01,-0.02,-1.12,-9.24,-2.95,1.10
-0.01,-0.01,-1.11,-8.81,-1.36,0.00
-0.01,-0.00,-1.11,-8.37,0.37,-0.93
-0.00,-0.01,-1.11,-7.68,1.53,-1.48
-0.00,-0.03,-1.11,-6.75,2.50,-1.71
0.00,-0.03,-1.10,-5.76,3.36,-1.59
0.00,-0.03,-1.10,-5.51,3.89,-1.40
0.00,-0.04,-1.09,-5.25,3.66,-0.90
0.01,-0.03,-1.09,-4.69,3.18,-0.23
0.01,-0.03,-1.10,-4.44,1.89,0.27
0.01,-0.03,-1.10,-4.06,0.26,0.35
0.02,-0.02,-1.11,-3.07,-0.81,0.40
0.01,-0.02,-1.11,-2.06,-2.34,0.73
0.00,-0.01,-1.12,-1.57,-3.40,0.61
-0.00,-0.02,-1.13,-1.56,-4.15,0.49
-0.01,-0.02,-1.14,-2.08,-4.44,0.49
-0.02,-0.03,-1.15,-2.61,-4.50,0.90
-0.02,-0.04,-1.15,-3.69,-4.11,1.69
-0.02,-0.05,-1.16,-4.84,-3.22,2.02
-0.03,-0.05,-1.16,-6.18,-2.09,2.32
-0.02,-0.04,-1.15,-7.02,-0.60,2.18
-0.02,-0.04,-1.14,-7.33,1.16,1.77
-0.01,-0.03,-1.13,-7.04,2.63,1.10
-0.00,-0.03,-1.13,-6.85,3.62,0.52
0.01,-0.03,-1.12,-6.35,4.69,0.03
0.01,-0.02,-1.12,-5.60,4.81,-0.41
0.02,-0.02,-1.12,-5.02,4.44,-0.44
0.03,-0.02,-1.12,-4.81,3.62,-0.76
0.03,-0.02,-1.13,-4.66,2.50,-0.98
0.02,-0.02,-1.14,-4.64,0.93,-0.69
0.01,-0.03,-1.14,-4.99,-0.02,-0.35
-0.01,-0.03,-1.13,-5.48,-0.43,-0.03
-0.02,-0.04,-1.13,-6.32,-0.09,0.53
-0.04,-0.04,-1.12,-6.47,0.93,1.33
-0.04,-0.03,-1.12,-6.70,2.15,2.02
-0.04,-0.02,-1.11,-6.49,3.89,2.67
-0.04,-0.02,-1.11,-6.09,5.01,3.27
-0.03,-0.02,-1.11,-5.69,6.06,3.54
-0.02,-0.02,-1.12,-5.27,6.58,3.65
-0.01,-0.03,-1.11,-5.01,6.50,3.73
0.01,-0.03,-1.12,-4.32,5.95,3.50
0.01,-0.03,-1.12,-4.18,5.74,3.19
0.02,-0.03,-1.11,-3.88,5.02,2.44
0.03,-0.04,-1.10,-3.85,4.63,1.42
0.02,-0.03,-1.11,-3.86,4.14,0.34
0.03,-0.03,-1.11,-3.33,3.68,-0.12
0.02,-0.02,-1.11,-3.36,3.28,-0.67
0.01,-0.02,-1.11,-2.67,2.56,-0.44
0.00,-0.02,-1.11,-2.32,1.92,-0.46
0.00,-0.02,-1.12,-2.11,1.77,-0.35
-0.01,-0.02,-1.13,-1.82,0.87,-0.11
-0.01,-0.03,-1.14,-2.15,0.23,-0.20
-0.01,-0.04,-1.14,-3.45,-0.34,0.12
-0.02,-0.04,-1.14,-3.97,-0.56,0.95
-0.01,-0.03,-1.14,-4.84,-0.69,1.63
-0.01,-0.02,-1.14,-5.21,-0.06,2.02
-0.01,-0.02,-1.13,-5.54,0.82,2.40
0.00,-0.02,-1.13,-5.37,1.74,2.24
0.02,-0.02,-1.12,-5.44,2.60,1.65
0.02,-0.02,-1.11,-5.28,3.24,0.76
0.02,-0.02,-1.12,-5.04,3.25,-0.03
0.02,-0.02,-1.12,-4.32,3.08,-0.90
0.03,-0.01,-1.12,-3.79,2.56,-1.62
0.03,-0.01,-1.12,-3.07,2.12,-2.05
0.03,-0.00,-1.14,-2.93,0.92,-2.29
0.02,-0.02,-1.15,-3.31,0.02,-2.64
0.02,-0.02,-1.15,-3.89,-1.15,-2.34
0.01,-0.02,-1.15,-4.37,-1.76,-1.86
-0.00,-0.03,-1.16,-5.33,-1.83,-0.98
-0.02,-0.03,-1.15,-6.29,-1.53,-0.34
-0.02,-0.03,-1.14,-7.15,-0.55,0.32
-0.03,-0.03,-1.13,-7.40,0.81,0.98
-0.03,-0.02,-1.13,-7.82,2.34,1.60
-0.02,-0.02,-1.14,-7.50,3.82,1.79
-0.01,-0.01,-1.14,-6.87,4.55,1.83
0.01,-0.01,-1.13,-6.53,4.11,1.59
0.02,-0.01,-1.13,-6.14,3.33,1.18
0.03,-0.01,-1.14,-6.23,2.15,0.84
0.04,-0.01,-1.14,-5.89,0.73,0.47
0.03,-0.01,-1.13,-5.71,-0.32,0.15
0.03,-0.01,-1.14,-5.24,-0.95,-0.15
0.02,-0.00,-1.15,-4.70,-0.78,-0.78
0.01,-0.01,-1.13,-4.53,-0.40,-1.31
-0.00,-0.02,-1.14,-4.69,0.64,-1.80
-0.01,-0.03,-1.15,-4.99,1.51,-1.98
-0.02,-0.03,-1.15,-5.54,2.32,-1.60
-0.01,-0.03,-1.15,-6.15,2.73,-0.79
-0.00,-0.03,-1.16,-7.02,3.31,0.27
-0.00,-0.02,-1.16,-7.59,3.34,1.18
0.00,-0.03,-1.15,-8.09,3.21,2.20
0.00,-0.01,-1.14,-8.63,3.02,2.37
0.00,-0.02,-1.15,-8.90,3.27,2.00
0.01,-0.02,-1.13,-9.13,3.71,1.79
-0.00,-0.02,-1.13,-9.15,4.11,1.54
0.01,-0.02,-1.13,-8.87,4.73,1.59
0.02,-0.01,-1.13,-8.40,5.31,1.50
0.02,-0.01,-1.12,-8.03,5.60,1.47
0.03,-0.02,-1.12,-7.33,5.65,1.08
0.03,-0.01,-1.12,-6.78,5.86,0.41
0.03,-0.02,-1.11,-6.46,5.79,-0.21
0.03,-0.02,-1.12,-6.31,5.31,-0.82
0.03,-0.02,-1.11,-6.43,4.93,-1.11
0.03,-0.03,-1.12,-6.35,4.40,-1.56
0.02,-0.03,-1.11,-6.55,3.68,-1.95
0.02,-0.03,-1.12,-6.67,3.30,-1.86
0.01,-0.02,-1.12,-6.79,3.40,-1.60
0.01,-0.03,-1.12,-6.70,3.51,-1.11
-0.00,-0.01,-1.12,-6.38,3.98,-0.82
0.00,-0.02,-1.13,-6.35,4.72,-0.47
0.00,-0.02,-1.13,-6.37,5.40,-0.52
0.01,-0.03,-1.12,-6.47,6.41,-0.18
0.01,-0.03,-1.12,-6.55,6.87,-0.31
0.02,-0.02,-1.12,-7.04,7.18,-0.69
0.03,-0.03,-1.12,-7.33,7.05,-0.75
0.03,-0.02,-1.11,-7.50,6.64,-1.05
0.03,-0.03,-1.11,-7.69,6.05,-1.01
0.03,-0.02,-1.11,-7.45,5.56,-0.99
0.03,-0.01,-1.11,-7.21,4.44,-1.40
0.02,-0.01,-1.11,-6.84,3.47,-1.57
0.02,-0.01,-1.11,-6.58,2.67,-1.65
0.02,-0.01,-1.11,-6.44,1.94,-1.45
-0.00,-0.01,-1.11,-6.49,1.79,-1.07
-0.01,-0.01,-1.10,-6.26,1.77,-0.96
-0.01,-0.02,-1.10,-6.24,1.83,-0.98
-0.03,-0.02,-1.11,-6.03,2.32,-0.61
-0.02,-0.03,-1.11,-6.21,2.98,-0.18
-0.01,-0.03,-1.10,-5.91,3.51,0.29
-0.00,-0.02,-1.09,-5.51,3.59,0.32
0.01,-0.01,-1.10,-4.73,3.71,0.21
0.01,0.01,-1.10,-3.73,3.73,0.14
0.03,0.00,-1.10,-2.96,3.31,-0.38
0.04,-0.01,-1.10,-2.56,2.53,-1.18
0.03,-0.02,-1.10,-2.09,1.92,-1.66
0.03,-0.02,-1.11,-1.88,1.42,-1.94
0.01,-0.02,-1.12,-1.94,1.02,-2.31
0.01,-0.02,-1.12,-2.49,0.55,-2.35
-0.01,-0.02,-1.13,-3.11,0.18,-2.05
-0.01,-0.03,-1.12,-3.80,0.08,-1.30
-0.02,-0.04,-1.12,-4.53,0.66,-0.43
-0.02,-0.04,-1.12,-4.93,0.85,0.12
-0.02,-0.02,-1.13,-4.81,1.54,0.56
-0.02,-0.00,-1.13,-4.44,2.43,1.07
-0.00,-0.00,-1.14,-4.08,3.36,1.37
0.00,-0.00,-1.14,-3.74,4.06,1.53
0.01,-0.01,-1.14,-3.47,4.76,1.66
0.01,-0.02,-1.13,-3.69,5.40,1.50
0.02,-0.04,-1.13,-3.60,5.63,1.65
0.03,-0.03,-1.13,-3.86,5.45,1.01
0.03,-0.02,-1.12,-4.34,5.19,0.63
0.04,-0.02,-1.13,-4.21,4.79,0.61
0.04,-0.01,-1.14,-3.88,3.56,0.20
0.04,-0.00,-1.13,-3.68,2.79,-0.17
0.03,-0.02,-1.14,-3.91,1.71,-0.47
0.04,-0.03,-1.13,-4.26,0.75,-0.82
0.03,-0.03,-1.14,-4.99,0.00,-1.18
