acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.310,0.142,-1.093,-3.863,1.160,0.046,0
0.315,0.136,-1.092,-4.321,1.313,0.015,4053
0.312,0.139,-1.095,-4.718,1.084,0.031,8068
0.313,0.148,-1.091,-4.702,0.916,0.290,12079
0.313,0.154,-1.085,-4.580,0.809,0.443,16091
0.314,0.154,-1.091,-4.427,1.282,0.366,20102
0.316,0.154,-1.075,-4.198,1.221,0.092,24113
0.309,0.164,-1.085,-3.969,1.313,0.305,28125
0.304,0.160,-1.080,-3.573,1.664,0.641,32136
0.296,0.154,-1.082,-3.496,2.214,0.504,36148
0.296,0.148,-1.080,-2.992,2.473,0.809,40159
0.296,0.147,-1.081,-3.069,3.374,0.992,44170
0.299,0.149,-1.077,-3.084,3.756,1.008,48181
0.302,0.142,-1.080,-3.649,4.046,0.870,52192
0.303,0.148,-1.063,-3.863,4.260,0.870,56203
0.316,0.138,-1.087,-4.473,4.183,0.565,60215
0.319,0.136,-1.080,-4.809,4.107,0.290,64226
0.318,0.141,-1.079,-5.252,3.542,0.260,68238
0.330,0.150,-1.085,-4.809,3.023,0.168,72248
0.324,0.157,-1.074,-4.748,2.290,0.672,76259
0.324,0.159,-1.080,-4.366,1.924,0.992,80270
0.313,0.160,-1.076,-3.985,1.496,1.237,84281
0.315,0.154,-1.079,-3.527,1.298,1.099,88292
0.311,0.154,-1.074,-3.115,1.237,0.870,92303
0.301,0.145,-1.080,-2.550,1.405,0.656,96314
0.312,0.150,-1.075,-2.489,1.389,0.702,100325
0.308,0.149,-1.073,-2.611,1.679,1.053,104336
0.308,0.145,-1.076,-2.412,2.397,1.313,108347
0.303,0.143,-1.076,-2.534,2.565,1.313,112359
0.309,0.148,-1.079,-2.779,2.366,1.527,116369
0.306,0.145,-1.079,-3.221,2.214,1.450,120380
0.314,0.134,-1.087,-3.847,1.817,1.221,124391
0.308,0.129,-1.079,-4.305,1.725,1.405,128402
0.310,0.130,-1.095,-5.206,1.496,1.099,132413
0.312,0.134,-1.093,-5.939,0.977,0.885,136424
0.318,0.126,-1.101,-6.840,0.947,0.672,140435
0.320,0.135,-1.094,-7.481,0.595,0.351,144446
0.309,0.139,-1.086,-7.695,0.534,0.244,148457
0.311,0.150,-1.096,-7.420,0.947,0.427,152468
0.309,0.151,-1.087,-6.840,1.115,0.443,156480
0.312,0.147,-1.083,-6.534,1.450,0.565,160490
0.306,0.151,-1.075,-6.382,1.603,0.443,164501
0.309,0.134,-1.083,-6.351,1.878,0.611,168512
0.308,0.140,-1.078,-6.534,1.802,0.427,172523
0.316,0.137,-1.074,-6.794,2.046,0.641,176535
0.318,0.138,-1.078,-6.687,1.863,0.489,180546
