acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.259,-0.138,-1.135,-1.969,1.267,-3.282,0
0.256,-0.137,-1.142,-2.000,1.237,-3.450,4051
0.255,-0.145,-1.141,-2.046,1.466,-3.664,8065
0.257,-0.137,-1.132,-2.031,1.435,-3.725,12076
0.256,-0.135,-1.127,-2.122,1.282,-3.786,16087
0.254,-0.138,-1.139,-2.198,1.221,-3.985,20098
0.250,-0.136,-1.135,-2.305,1.053,-4.107,24109
0.255,-0.134,-1.122,-2.382,0.992,-4.046,28120
0.251,-0.133,-1.134,-2.198,0.763,-3.863,32131
0.250,-0.131,-1.132,-2.290,0.473,-3.847,36142
0.253,-0.123,-1.135,-1.939,0.229,-3.603,40153
0.246,-0.124,-1.130,-1.740,0.031,-3.603,44164
0.247,-0.124,-1.133,-1.374,-0.321,-3.405,48173
0.245,-0.131,-1.131,-1.084,-0.336,-3.344,52184
0.237,-0.130,-1.145,-0.901,-0.458,-3.176,56196
0.238,-0.135,-1.131,-0.855,-0.550,-3.023,60207
0.233,-0.131,-1.133,-0.779,-0.504,-2.840,64218
0.239,-0.129,-1.143,-0.809,-0.366,-2.656,68230
0.234,-0.133,-1.136,-0.885,-0.366,-2.427,72242
0.229,-0.139,-1.146,-1.115,-0.122,-2.183,76252
0.241,-0.144,-1.145,-1.359,-0.397,-2.153,80263
0.246,-0.146,-1.137,-1.740,-0.382,-1.847,84274
0.244,-0.143,-1.142,-2.076,-0.626,-1.847,88286
0.251,-0.151,-1.148,-2.351,-0.931,-1.771,92297
0.247,-0.147,-1.139,-2.779,-1.115,-1.344,96308
0.256,-0.151,-1.162,-3.130,-1.237,-1.267,100319
0.249,-0.156,-1.148,-3.511,-1.267,-1.237,104330
0.253,-0.159,-1.143,-3.908,-1.466,-1.023,108342
0.249,-0.150,-1.141,-4.153,-1.359,-1.237,112353
0.241,-0.148,-1.150,-4.137,-1.160,-1.038,116364
0.242,-0.150,-1.156,-4.351,-1.053,-0.931,120375
0.247,-0.147,-1.136,-4.244,-0.779,-0.489,124387
0.240,-0.146,-1.135,-4.290,-0.412,-0.641,128397
0.236,-0.147,-1.130,-4.260,-0.046,-0.290,132408
0.243,-0.148,-1.136,-3.969,0.229,-0.092,136419
0.243,-0.144,-1.132,-3.908,0.809,-0.351,140431
0.234,-0.141,-1.137,-3.817,0.992,0.015,144442
0.247,-0.144,-1.134,-3.573,1.374,-0.076,148452
0.250,-0.149,-1.126,-3.573,1.450,-0.061,152463
0.244,-0.146,-1.131,-3.603,1.710,0.244,156474
0.243,-0.140,-1.128,-3.695,1.893,0.122,160485
0.250,-0.147,-1.124,-3.588,1.878,0.336,164496
0.247,-0.142,-1.117,-3.939,2.046,0.305,168507
0.252,-0.146,-1.122,-4.092,2.061,0.275,172518
0.247,-0.145,-1.122,-4.427,1.985,0.321,176530
0.251,-0.153,-1.119,-4.550,1.924,0.153,180540
0.252,-0.145,-1.125,-4.840,1.893,0.153,184551
0.261,-0.146,-1.126,-5.053,1.573,0.229,188562
0.255,-0.144,-1.123,-5.221,1.435,0.366,192573
0.261,-0.148,-1.116,-5.298,1.115,0.412,196585
0.258,-0.148,-1.120,-5.252,0.763,0.198,200596
0.258,-0.139,-1.118,-5.313,0.748,0.168,204607
0.256,-0.145,-1.117,-5.237,0.504,0.031,208619
0.264,-0.139,-1.118,-5.008,0.427,-0.122,212629
0.254,-0.137,-1.117,-4.947,0.321,0.031,216640
0.256,-0.139,-1.116,-4.763,0.244,-0.153,220652
0.250,-0.134,-1.108,-4.305,0.366,-0.351,224663
0.253,-0.136,-1.115,-4.076,0.382,-0.321,228674
0.252,-0.135,-1.110,-3.603,0.321,-0.427,232692
0.264,-0.128,-1.119,-3.115,0.214,-0.458,236703
0.262,-0.127,-1.111,-2.412,0.565,-0.550,240714
0.253,-0.134,-1.113,-2.000,0.702,-0.687,244725
0.258,-0.131,-1.106,-1.344,0.779,-0.702,248737
0.259,-0.135,-1.106,-0.809,0.931,-0.992,252748
0.256,-0.131,-1.110,-0.519,1.160,-1.053,256759
0.253,-0.134,-1.121,-0.076,1.450,-1.237,260770
0.259,-0.135,-1.129,0.015,1.450,-1.282,264781
0.254,-0.135,-1.119,0.137,1.420,-1.328,268794
0.256,-0.138,-1.125,-0.031,1.481,-1.481,272805
0.264,-0.150,-1.115,-0.198,1.313,-1.679,276816
0.257,-0.147,-1.125,-0.672,1.221,-1.771,280827
0.262,-0.149,-1.139,-1.069,0.962,-1.939,284838
0.258,-0.151,-1.131,-1.511,0.794,-2.107,288849
0.262,-0.147,-1.132,-1.802,0.336,-2.031,292859
0.263,-0.149,-1.135,-1.893,0.229,-2.076,296870
0.256,-0.140,-1.131,-1.832,0.351,-1.908,300881
0.260,-0.147,-1.126,-1.908,0.153,-1.924,304892
0.263,-0.143,-1.123,-1.756,-0.015,-1.725,308904
0.245,-0.137,-1.134,-1.695,0.076,-1.679,312915
0.250,-0.142,-1.140,-1.511,0.183,-1.573,316927
0.252,-0.139,-1.132,-1.328,0.260,-1.634,320938
0.257,-0.137,-1.141,-1.267,0.290,-1.573,324950
0.250,-0.138,-1.137,-1.008,0.366,-1.420,328961
0.251,-0.143,-1.144,-0.870,0.198,-1.405,332980
0.254,-0.139,-1.138,-0.824,0.305,-1.206,336991
0.251,-0.140,-1.138,-0.702,0.092,-1.191,341002
0.258,-0.142,-1.153,-0.809,-0.015,-1.115,345013
0.260,-0.150,-1.140,-1.023,-0.031,-1.252,349024
0.246,-0.146,-1.152,-1.267,-0.351,-1.328,353045
0.255,-0.145,-1.142,-1.252,-0.458,-1.282,357056
0.249,-0.144,-1.137,-1.450,-0.534,-1.282,361067
0.251,-0.143,-1.146,-1.664,-0.351,-1.206,365078
0.249,-0.146,-1.146,-1.573,-0.305,-0.794,369089
0.241,-0.141,-1.149,-1.511,0.046,-0.885,373102
0.241,-0.143,-1.147,-1.588,0.336,-0.748,377114
0.242,-0.145,-1.151,-1.817,0.611,-1.069,381124
0.252,-0.138,-1.146,-1.817,1.069,-1.267,385135
0.242,-0.141,-1.143,-2.000,1.511,-1.542,389146
0.244,-0.140,-1.145,-2.000,1.786,-1.176,393159
0.243,-0.141,-1.135,-2.336,2.092,-1.511,397170
0.240,-0.136,-1.144,-2.473,2.351,-1.557,401181
0.243,-0.141,-1.138,-2.733,2.718,-1.496,405192
0.246,-0.136,-1.144,-2.962,2.641,-1.359,409203
0.249,-0.133,-1.139,-2.992,2.626,-1.267,413224
0.246,-0.134,-1.137,-3.206,2.702,-1.466,417235
0.244,-0.129,-1.132,-3.359,2.427,-1.130,421247
0.245,-0.133,-1.143,-3.466,2.275,-1.160,425258
0.239,-0.131,-1.145,-3.420,1.786,-0.779,429269
0.244,-0.135,-1.136,-3.511,1.511,-0.427,433290
0.241,-0.123,-1.141,-3.679,1.099,-0.183,437302
0.244,-0.123,-1.139,-3.756,0.901,0.092,441313
0.243,-0.116,-1.137,-3.725,0.336,0.504,445324
0.240,-0.113,-1.136,-3.786,0.092,0.794,449336
0.236,-0.115,-1.138,-3.847,-0.122,0.840,453347
0.237,-0.114,-1.130,-3.832,-0.397,1.252,457358
0.234,-0.104,-1.127,-3.817,-0.656,1.176,461369
0.240,-0.113,-1.129,-4.000,-0.626,1.313,465380
0.236,-0.112,-1.125,-3.664,-0.580,1.725,469391
0.229,-0.110,-1.132,-3.618,-0.504,1.847,473402
0.239,-0.104,-1.135,-3.542,-0.504,2.214,477414
0.242,-0.101,-1.134,-3.389,-0.489,2.519,481424
0.246,-0.098,-1.141,-3.145,-0.672,2.397,485435
0.231,-0.090,-1.139,-3.191,-0.672,2.565,489446
0.239,-0.095,-1.137,-3.008,-0.626,2.305,493458
0.236,-0.097,-1.150,-2.870,-0.748,2.260,497468
0.236,-0.088,-1.150,-2.611,-0.473,2.214,501479
0.239,-0.079,-1.156,-2.550,-0.260,2.275,505490
0.239,-0.069,-1.169,-2.550,0.015,1.985,509501
0.229,-0.072,-1.167,-2.519,0.534,1.939,513511
0.233,-0.052,-1.170,-2.321,0.916,1.878,517522
0.229,-0.044,-1.184,-2.244,1.237,1.664,521533
0.229,-0.039,-1.185,-2.244,2.015,1.557,525544
0.229,-0.029,-1.193,-1.908,2.366,1.298,529555
0.235,-0.017,-1.202,-1.786,2.855,1.298,533566
0.237,-0.008,-1.218,-1.893,3.344,1.130,537577
0.245,-0.005,-1.214,-1.908,3.466,1.130,541588
0.254,0.011,-1.221,-2.076,3.908,1.023,545599
0.263,0.020,-1.238,-2.092,3.847,0.870,549610
0.267,0.033,-1.228,-1.939,3.863,1.053,553630
0.266,0.047,-1.242,-1.725,3.771,0.916,557641
0.275,0.052,-1.250,-1.496,3.603,0.656,561652
0.291,0.074,-1.251,-1.405,3.191,0.244,565663
0.301,0.083,-1.262,-1.145,2.626,0.153,569674
0.310,0.097,-1.271,-0.840,1.863,-0.275,573694
0.331,0.118,-1.278,-0.473,1.053,-0.611,577705
0.336,0.132,-1.280,0.137,0.107,-0.718,581716
0.352,0.144,-1.290,0.809,-0.840,-1.298,585727
0.359,0.164,-1.303,1.511,-1.985,-1.786,589738
0.360,0.180,-1.310,2.153,-2.733,-2.198,593750
0.381,0.187,-1.318,3.023,-4.000,-2.992,597760
0.395,0.205,-1.333,3.374,-4.794,-3.710,601772
0.400,0.218,-1.331,3.664,-6.473,-4.992,605782
0.393,0.229,-1.340,3.878,-6.702,-6.275,609793
0.398,0.241,-1.342,3.817,-7.771,-7.985,613805
0.396,0.257,-1.342,3.542,-8.260,-9.908,617816
0.396,0.281,-1.347,3.298,-8.702,-11.710,621827
0.381,0.297,-1.343,3.160,-8.931,-13.603,625839
0.366,0.312,-1.345,3.206,-8.962,-15.557,629850
0.352,0.334,-1.344,3.160,-8.840,-17.298,633870
0.339,0.360,-1.334,3.740,-8.275,-18.947,637881
0.322,0.374,-1.338,4.458,-7.664,-20.458,641893
0.308,0.384,-1.328,5.405,-6.794,-21.344,645904
0.299,0.395,-1.315,6.290,-6.015,-22.122,649918
0.293,0.413,-1.312,7.542,-5.053,-22.947,653929
0.286,0.419,-1.304,8.870,-4.748,-24.000,657940
0.289,0.443,-1.312,10.305,-4.229,-23.618,661951
0.297,0.442,-1.316,11.328,-4.260,-23.115,665962
0.318,0.439,-1.252,15.298,-4.702,-22.947,669973
0.326,0.444,-1.258,18.458,-5.130,-22.031,673984
0.312,0.435,-1.243,21.740,-5.084,-21.038,677996
0.317,0.421,-1.260,24.061,-9.206,-19.069,682007
0.374,0.440,-1.232,26.931,-11.878,-18.763,686018
0.378,0.442,-1.224,30.611,-14.779,-18.611,690029
0.381,0.433,-1.208,33.802,-18.626,-17.939,694040
0.385,0.426,-1.191,37.191,-22.901,-17.359,698051
0.381,0.422,-1.189,40.382,-26.870,-17.160,702062
0.359,0.416,-1.186,42.214,-30.153,-17.252,706073
0.321,0.401,-1.156,44.275,-32.656,-17.481,710085
0.297,0.397,-1.161,46.015,-34.122,-17.481,714096
0.260,0.396,-1.159,47.939,-33.664,-17.206,718107
0.229,0.394,-1.129,50.015,-32.321,-16.351,722119
0.200,0.380,-1.125,51.908,-30.168,-15.038,726129
0.173,0.377,-1.124,53.313,-27.435,-13.389,730140
0.169,0.356,-1.115,54.397,-24.412,-11.542,734151
0.176,0.347,-1.118,54.641,-22.626,-9.420,738158
0.186,0.338,-1.108,54.397,-21.267,-7.466,742169
0.194,0.331,-1.105,53.405,-19.786,-6.000,746180
0.184,0.306,-1.101,52.015,-18.656,-4.931,750191
0.185,0.279,-1.116,50.092,-18.168,-3.863,754202
0.207,0.250,-1.122,47.924,-18.290,-3.145,758214
0.224,0.220,-1.125,44.977,-18.794,-2.885,762225
0.222,0.183,-1.118,41.573,-19.237,-2.137,766237
0.227,0.158,-1.133,37.389,-19.725,-1.450,770248
0.225,0.148,-1.135,33.267,-19.985,-0.901,774259
0.221,0.124,-1.141,29.405,-20.015,-0.931,778271
0.243,0.103,-1.142,24.595,-19.725,-1.756,782282
0.225,0.070,-1.168,19.481,-19.756,-2.275,786293
0.194,0.042,-1.148,14.748,-19.069,-1.649,790304
