acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.199,0.057,-1.103,-5.206,1.328,0.244,0
0.196,0.059,-1.102,-5.069,1.664,-0.244,4050
0.192,0.054,-1.106,-4.855,2.153,-0.519,8061
0.188,0.052,-1.102,-4.382,2.382,-0.473,12071
0.198,0.052,-1.106,-4.458,2.962,-0.504,16081
0.201,0.056,-1.101,-4.962,3.099,-0.748,20091
0.200,0.049,-1.101,-5.328,3.084,-0.595,24101
0.204,0.047,-1.106,-5.817,2.733,-0.382,28113
0.196,0.049,-1.099,-6.183,3.282,-0.092,32123
0.203,0.046,-1.098,-6.122,3.847,0.198,36133
0.204,0.052,-1.102,-5.634,3.191,0.321,40143
0.213,0.054,-1.098,-5.374,1.908,-0.015,44153
0.212,0.046,-1.109,-5.298,1.221,0.290,48164
0.214,0.047,-1.100,-5.802,1.649,0.702,52174
0.201,0.052,-1.100,-5.924,1.237,1.206,56184
0.203,0.052,-1.094,-5.695,0.458,1.099,60194
0.203,0.057,-1.107,-5.160,-0.046,1.084,64205
0.196,0.055,-1.091,-4.580,-0.183,1.328,68217
0.204,0.059,-1.091,-4.168,-0.092,1.145,72227
0.198,0.062,-1.092,-3.328,-0.290,1.328,76237
0.201,0.060,-1.096,-3.573,-0.519,1.389,80247
0.194,0.058,-1.110,-3.771,-0.305,1.237,84257
0.196,0.062,-1.104,-3.374,-0.076,1.298,88268
0.195,0.057,-1.109,-2.931,0.565,1.023,92278
0.195,0.056,-1.101,-2.473,0.718,1.206,96288
0.195,0.061,-1.105,-2.168,1.328,0.992,100298
0.198,0.055,-1.101,-2.305,1.405,0.962,104308
0.201,0.051,-1.107,-2.702,1.573,0.718,108319
0.202,0.054,-1.103,-2.916,1.374,0.824,112329
0.204,0.051,-1.101,-3.069,1.389,0.504,116340
0.206,0.047,-1.110,-2.901,1.618,0.595,120350
0.198,0.043,-1.106,-2.992,1.649,0.412,124360
0.203,0.049,-1.113,-2.962,1.679,0.092,128366
0.201,0.041,-1.107,-3.252,1.893,-0.015,132376
0.209,0.045,-1.107,-3.740,1.924,0.046,136386
0.207,0.048,-1.108,-4.321,2.000,-0.153,140397
0.204,0.053,-1.109,-4.611,1.786,-0.031,144407
0.197,0.046,-1.116,-4.595,1.710,-0.031,148416
0.211,0.050,-1.113,-4.229,1.435,0.107,152426
0.209,0.047,-1.112,-3.802,1.573,0.031,156436
0.207,0.043,-1.109,-3.878,1.496,-0.031,160446
0.201,0.045,-1.118,-4.107,1.053,0.351,164456
0.204,0.046,-1.120,-4.397,1.069,0.183,168466
0.200,0.049,-1.106,-4.214,0.977,0.504,172476
0.199,0.050,-1.117,-4.061,0.534,0.290,176487
0.203,0.043,-1.116,-3.542,0.687,0.366,180497
0.199,0.047,-1.120,-3.374,0.672,0.489,184507
0.197,0.044,-1.121,-3.389,0.641,0.595,188517
0.193,0.046,-1.111,-3.756,0.748,0.427,192527
0.200,0.047,-1.118,-4.366,0.885,0.260,196537
0.205,0.045,-1.114,-4.718,0.718,-0.015,200547
0.197,0.047,-1.108,-4.626,0.840,-0.122,204557
0.194,0.037,-1.121,-4.321,0.824,-0.122,208567
0.197,0.040,-1.114,-4.122,1.191,-0.321,212577
0.193,0.041,-1.105,-4.198,1.023,-0.244,216587
0.195,0.041,-1.111,-4.519,1.206,-0.336,220598
0.204,0.042,-1.113,-4.931,1.359,-0.443,224608
0.192,0.041,-1.105,-5.435,1.374,-0.519,228618
0.198,0.042,-1.106,-5.328,1.618,-0.519,232629
0.209,0.039,-1.105,-5.206,1.634,-0.580,236639
0.202,0.043,-1.120,-4.779,1.969,-0.611,240650
0.205,0.043,-1.122,-4.626,1.817,-0.779,244660
0.201,0.033,-1.110,-5.008,2.198,-0.733,248670
0.205,0.042,-1.120,-5.542,1.924,-0.687,252689
0.198,0.040,-1.113,-5.756,2.137,-0.595,256699
0.195,0.045,-1.112,-5.679,1.985,-0.504,260709
0.190,0.044,-1.112,-5.313,2.137,-0.504,264720
0.193,0.045,-1.117,-5.053,2.214,-0.702,268730
0.198,0.048,-1.118,-4.977,2.260,-0.672,272740
0.199,0.048,-1.107,-5.252,2.031,-0.397,276750
0.202,0.044,-1.107,-5.496,1.924,-0.473,280760
0.201,0.043,-1.119,-6.015,2.229,-0.534,284771
0.198,0.049,-1.115,-6.183,1.832,-0.626,288782
0.205,0.048,-1.111,-5.863,1.740,-0.733,292792
0.191,0.049,-1.111,-5.099,1.634,-0.473,296802
0.194,0.045,-1.104,-4.947,1.710,-0.397,300812
0.197,0.046,-1.113,-4.626,1.206,-0.550,304822
0.199,0.055,-1.111,-5.267,1.191,-0.519,308832
0.194,0.052,-1.118,-5.603,0.977,-0.458,312842
0.201,0.051,-1.112,-5.603,0.992,-0.626,316853
0.201,0.060,-1.116,-5.221,0.702,-0.641,320863
0.204,0.057,-1.110,-4.809,0.351,-0.550,324873
0.199,0.052,-1.115,-4.473,0.611,-0.672,328884
0.194,0.052,-1.113,-4.855,0.641,-0.382,332895
0.191,0.056,-1.108,-4.916,0.366,-0.366,336905
0.194,0.046,-1.108,-5.603,0.565,-0.534,340915
0.199,0.054,-1.108,-5.924,0.473,-0.519,344925
0.200,0.058,-1.111,-5.359,0.748,-0.473,348935
0.199,0.054,-1.104,-5.023,0.672,-0.229,352955
0.194,0.056,-1.111,-4.840,0.901,-0.229,356965
0.196,0.059,-1.112,-4.977,0.779,-0.198,360975
0.200,0.053,-1.107,-5.511,0.794,-0.321,364985
0.200,0.053,-1.109,-5.893,0.885,-0.244,368995
0.200,0.060,-1.114,-5.832,0.473,-0.122,373015
0.199,0.053,-1.105,-5.695,0.443,-0.153,377025
0.208,0.053,-1.106,-4.992,0.519,-0.198,381035
0.196,0.057,-1.123,-4.366,0.168,-0.443,385046
0.197,0.053,-1.117,-4.519,0.565,-0.305,389056
0.189,0.049,-1.115,-4.672,0.534,-0.092,393073
0.195,0.050,-1.112,-4.901,0.611,-0.183,397083
0.194,0.054,-1.109,-5.069,0.718,-0.198,401094
0.192,0.048,-1.113,-4.885,1.069,-0.275,405104
0.198,0.051,-1.108,-4.336,0.962,-0.260,409114
0.199,0.055,-1.103,-4.031,1.008,-0.229,413126
0.199,0.049,-1.113,-4.275,0.809,-0.702,417136
0.206,0.048,-1.111,-4.473,0.534,-0.290,421146
0.203,0.047,-1.105,-4.794,0.427,-0.366,425156
0.209,0.056,-1.101,-4.809,0.122,-0.580,429166
0.197,0.053,-1.111,-4.840,-0.122,-0.580,433176
0.201,0.050,-1.100,-4.198,-0.137,-0.275,437187
0.206,0.051,-1.113,-4.137,-0.229,-0.489,441197
0.201,0.044,-1.111,-4.336,-0.336,-0.336,445208
0.202,0.053,-1.104,-4.656,-0.565,-0.489,449218
0.202,0.051,-1.108,-5.176,-0.595,-0.534,453238
0.195,0.049,-1.102,-5.053,-0.580,-0.489,457248
0.197,0.046,-1.101,-4.916,-0.550,-0.489,461258
