acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.249,-0.089,-1.111,-6.305,2.382,-0.473,0
0.244,-0.094,-1.099,-6.061,2.244,-0.107,4049
0.241,-0.088,-1.107,-6.137,2.214,0.061,8061
0.246,-0.093,-1.099,-6.092,1.954,0.076,12071
0.244,-0.085,-1.103,-6.183,1.695,0.229,16081
0.242,-0.078,-1.097,-6.229,1.695,0.168,20091
0.241,-0.077,-1.099,-6.198,1.771,0.137,24101
0.246,-0.078,-1.095,-5.954,1.267,0.168,28108
0.240,-0.076,-1.100,-5.481,1.344,0.244,32118
0.237,-0.075,-1.104,-5.145,1.420,0.061,36128
0.239,-0.083,-1.107,-5.084,1.893,-0.076,40138
0.235,-0.080,-1.092,-5.130,1.802,0.153,44148
0.241,-0.084,-1.097,-5.359,2.000,0.214,48159
0.239,-0.082,-1.101,-5.206,1.924,0.290,52169
0.248,-0.091,-1.104,-4.840,2.366,0.153,56179
0.238,-0.081,-1.104,-4.656,2.275,0.290,60189
0.237,-0.085,-1.106,-4.458,2.489,0.198,64199
0.239,-0.082,-1.100,-4.870,2.595,0.153,68210
0.241,-0.080,-1.099,-5.221,2.626,0.244,72220
0.243,-0.084,-1.098,-5.527,2.305,0.015,76230
0.242,-0.090,-1.101,-5.771,2.580,-0.046,80241
0.246,-0.084,-1.106,-5.771,2.992,-0.168,84251
0.239,-0.083,-1.095,-5.924,2.870,-0.321,88261
0.244,-0.087,-1.094,-6.031,2.947,-0.351,92271
0.236,-0.087,-1.104,-6.336,3.069,-0.321,96281
0.237,-0.086,-1.098,-6.855,3.435,-0.412,100291
0.240,-0.083,-1.093,-7.206,3.313,0.061,104301
0.235,-0.077,-1.091,-7.145,3.481,-0.031,108311
0.249,-0.085,-1.102,-6.977,3.710,-0.168,112321
0.239,-0.081,-1.090,-6.626,3.710,0.015,116331
0.239,-0.085,-1.094,-5.954,3.466,0.137,120341
0.241,-0.089,-1.100,-6.061,3.496,0.260,124351
0.250,-0.085,-1.097,-6.122,3.252,0.260,128358
0.252,-0.086,-1.098,-6.214,3.237,0.595,132368
