acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.216,-0.103,-1.105,-3.847,1.344,-0.366,0
0.216,-0.106,-1.110,-4.260,1.466,-0.290,4051
0.216,-0.097,-1.104,-4.595,1.710,-0.336,8063
0.216,-0.103,-1.095,-4.779,1.695,-0.397,12073
0.210,-0.104,-1.098,-4.718,1.649,-0.580,16083
0.218,-0.100,-1.103,-4.718,1.985,-0.534,20093
0.218,-0.105,-1.104,-4.611,2.076,-0.580,24103
0.219,-0.105,-1.105,-4.748,2.153,-0.718,28113
0.225,-0.106,-1.102,-5.527,1.954,-0.656,32123
0.228,-0.107,-1.110,-5.924,1.847,-0.840,36133
0.224,-0.100,-1.099,-6.290,1.618,-0.550,40143
0.228,-0.098,-1.099,-6.504,1.237,-0.244,44154
0.223,-0.098,-1.101,-6.489,1.282,-0.061,48165
0.221,-0.096,-1.097,-6.366,0.885,0.107,52175
0.218,-0.095,-1.097,-6.137,0.718,0.244,56185
0.214,-0.096,-1.094,-5.954,0.641,0.519,60195
0.223,-0.093,-1.101,-5.893,0.672,0.473,64205
0.214,-0.086,-1.094,-5.786,0.382,0.702,68217
0.222,-0.093,-1.096,-5.420,0.168,0.855,72228
0.212,-0.093,-1.087,-4.382,0.153,1.221,76238
0.220,-0.085,-1.101,-3.924,0.061,1.267,80248
0.214,-0.088,-1.098,-3.267,0.076,1.405,84258
0.218,-0.090,-1.095,-2.565,0.427,1.313,88268
0.210,-0.087,-1.090,-2.321,0.550,1.374,92278
0.218,-0.094,-1.092,-2.321,0.656,1.130,96288
0.210,-0.096,-1.098,-1.954,0.824,1.252,100298
0.212,-0.091,-1.103,-1.557,1.099,1.099,104308
0.220,-0.099,-1.101,-1.603,1.237,1.053,108318
0.223,-0.105,-1.103,-1.542,1.130,0.809,112328
0.226,-0.104,-1.107,-2.168,1.237,0.366,116338
0.217,-0.106,-1.101,-2.550,1.695,0.092,120348
0.218,-0.109,-1.104,-3.115,1.863,-0.046,124358
0.219,-0.115,-1.103,-3.618,1.924,-0.137,128365
0.217,-0.113,-1.107,-4.046,1.847,-0.397,132375
0.222,-0.109,-1.102,-4.137,1.756,-0.366,136385
0.226,-0.110,-1.115,-4.382,1.847,-0.229,140395
0.222,-0.109,-1.115,-4.443,1.924,-0.290,144406
0.229,-0.107,-1.112,-4.794,1.695,-0.290,148415
0.219,-0.104,-1.102,-5.252,1.573,-0.046,152425
0.215,-0.103,-1.108,-5.496,1.557,0.214,156435
0.226,-0.097,-1.109,-5.221,1.252,0.504,160445
0.227,-0.107,-1.117,-5.099,1.252,0.412,164455
0.222,-0.102,-1.109,-4.779,1.038,0.397,168464
0.221,-0.105,-1.109,-4.901,1.038,0.336,172475
0.223,-0.110,-1.112,-5.176,0.611,0.168,176485
0.224,-0.108,-1.106,-5.756,0.824,0.000,180495
0.218,-0.112,-1.114,-5.710,0.992,-0.015,184506
0.217,-0.113,-1.114,-5.496,1.023,0.046,188516
0.215,-0.112,-1.104,-5.420,0.733,0.107,192526
0.224,-0.114,-1.108,-5.023,1.008,-0.153,196537
0.217,-0.101,-1.103,-5.053,0.885,0.198,200547
0.213,-0.109,-1.101,-5.206,0.992,-0.260,204557
0.216,-0.100,-1.105,-5.466,0.885,0.153,208567
0.225,-0.108,-1.104,-5.374,0.916,-0.122,212577
0.221,-0.104,-1.110,-5.084,0.901,-0.061,216587
0.217,-0.107,-1.112,-4.763,0.931,-0.092,220597
0.222,-0.104,-1.112,-4.382,1.191,-0.153,224607
0.215,-0.107,-1.109,-3.985,1.328,-0.260,228618
0.211,-0.104,-1.105,-3.924,1.679,-0.168,232629
0.222,-0.097,-1.105,-4.168,1.695,0.000,236639
0.215,-0.099,-1.105,-4.733,1.710,-0.137,240649
0.219,-0.105,-1.101,-4.534,2.137,-0.489,244659
0.222,-0.106,-1.108,-4.626,2.550,-0.718,248669
0.218,-0.105,-1.111,-4.656,2.397,-0.763,252688
0.220,-0.107,-1.105,-4.947,2.550,-1.023,256698
0.215,-0.109,-1.101,-5.221,2.336,-1.053,260708
0.229,-0.106,-1.104,-5.679,2.198,-1.191,264718
0.219,-0.112,-1.105,-6.397,2.031,-1.053,268729
0.223,-0.108,-1.105,-6.840,1.908,-1.221,272740
0.219,-0.105,-1.109,-6.748,1.603,-1.084,276750
0.220,-0.102,-1.108,-6.580,1.527,-1.038,280760
0.221,-0.103,-1.114,-6.504,1.481,-1.084,284770
0.222,-0.102,-1.109,-6.382,1.466,-0.794,288780
0.216,-0.091,-1.107,-6.656,1.237,-0.916,292791
0.214,-0.096,-1.110,-6.763,1.191,-0.534,296801
0.217,-0.096,-1.105,-6.611,1.099,-0.580,300811
0.221,-0.097,-1.117,-6.519,1.359,-0.229,304822
0.219,-0.102,-1.103,-5.985,1.328,-0.015,308831
0.216,-0.105,-1.106,-5.740,1.038,0.061,312841
