acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.228,-0.131,-1.092,0.076,0.931,-8.275,1243943067
0.220,-0.125,-1.097,-0.198,1.695,-8.595,1243947096
0.224,-0.127,-1.094,-0.382,1.618,-9.191,1243951107
0.236,-0.122,-1.092,-0.183,1.893,-10.015,1243955116
0.235,-0.123,-1.096,-0.656,2.061,-10.351,1243959126
0.241,-0.123,-1.093,-0.763,1.802,-11.115,1243963136
0.245,-0.120,-1.092,-0.611,1.679,-11.527,1243967146
0.246,-0.127,-1.089,-0.626,1.191,-12.046,1243971157
0.249,-0.128,-1.085,-0.275,0.565,-12.244,1243975166
0.250,-0.118,-1.078,0.321,0.489,-13.115,1243979175
0.248,-0.121,-1.082,1.282,0.321,-13.481,1243983185
0.239,-0.107,-1.090,1.954,0.855,-13.878,1243987195
0.229,-0.100,-1.098,2.550,1.344,-14.168,1243991205
0.226,-0.097,-1.093,3.374,1.695,-13.954,1243995215
0.216,-0.100,-1.101,4.168,2.427,-14.000,1243999226
0.221,-0.100,-1.101,4.824,3.160,-13.954,1244003236
0.217,-0.102,-1.113,5.313,4.046,-13.832,1244007245
0.215,-0.103,-1.114,5.603,4.931,-13.863,1244011255
0.210,-0.112,-1.110,5.756,5.527,-14.153,1244015265
0.211,-0.108,-1.119,5.450,6.061,-14.076,1244019275
0.218,-0.117,-1.115,4.458,6.351,-14.427,1244023285
0.207,-0.114,-1.123,3.771,6.427,-14.580,1244027294
0.211,-0.120,-1.126,3.038,6.748,-14.794,1244031305
0.206,-0.114,-1.129,2.229,6.992,-15.023,1244035315
0.200,-0.115,-1.143,1.435,6.901,-15.145,1244039325
0.198,-0.112,-1.144,0.565,6.321,-15.069,1244043335
0.204,-0.111,-1.148,-0.260,6.443,-14.901,1244047345
0.202,-0.112,-1.150,-1.130,6.092,-14.824,1244051355
0.192,-0.119,-1.144,-1.847,6.366,-14.626,1244055365
0.188,-0.119,-1.152,-2.626,6.290,-14.382,1244059375
0.188,-0.121,-1.144,-3.237,6.153,-13.832,1244063385
0.176,-0.122,-1.138,-4.061,6.244,-13.618,1244067395
0.172,-0.119,-1.140,-4.489,6.351,-13.206,1244071405
0.172,-0.118,-1.140,-5.145,6.824,-12.489,1244075416
0.164,-0.110,-1.130,-5.710,6.901,-12.137,1244079426
0.162,-0.115,-1.132,-5.969,7.695,-11.893,1244083435
0.151,-0.105,-1.125,-6.015,8.137,-11.374,1244087445
0.151,-0.112,-1.124,-5.969,8.763,-11.038,1244091455
0.155,-0.107,-1.124,-5.985,9.176,-10.718,1244095464
0.158,-0.109,-1.121,-6.214,10.000,-10.275,1244099474
0.156,-0.103,-1.122,-6.198,10.458,-9.985,1244103484
0.159,-0.103,-1.116,-5.985,10.763,-9.618,1244107494
0.156,-0.106,-1.112,-5.878,11.328,-9.435,1244111503
0.157,-0.101,-1.109,-5.435,11.603,-9.359,1244115513
0.158,-0.104,-1.104,-4.977,12.168,-9.191,1244119523
0.161,-0.102,-1.101,-4.809,12.290,-8.947,1244123533
0.164,-0.109,-1.091,-4.779,12.137,-8.977,1244127543
0.169,-0.105,-1.094,-4.427,12.076,-8.855,1244131553
0.171,-0.111,-1.107,-4.458,11.969,-8.931,1244135563
0.175,-0.111,-1.108,-4.336,11.267,-8.748,1244139573
0.183,-0.118,-1.100,-4.137,10.137,-9.145,1244143584
0.181,-0.115,-1.110,-4.351,9.649,-9.252,1244147593
0.192,-0.126,-1.099,-4.504,8.565,-9.481,1244151599
0.183,-0.127,-1.098,-4.336,7.908,-9.634,1244155608
