acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.01,0.09,-1.19,10.34,-1.66,0.11
-0.00,0.07,-1.20,7.91,-0.85,0.66
-0.01,0.06,-1.21,5.47,-0.08,1.60
-0.01,0.05,-1.21,2.60,1.02,3.19
0.00,0.05,-1.20,-0.23,2.76,4.63
0.01,0.05,-1.19,-1.98,4.17,5.56
0.02,0.06,-1.20,-3.24,6.11,6.15
0.03,0.07,-1.18,-2.81,7.65,6.37
0.04,0.06,-1.18,-2.87,8.81,6.58
0.05,0.06,-1.16,-1.76,9.66,6.38
0.06,0.06,-1.14,-1.53,10.21,6.44
0.08,0.04,-1.14,0.03,10.37,6.34
0.08,0.03,-1.14,-0.21,10.79,6.43
0.08,0.03,-1.13,0.50,11.34,6.02
0.08,0.02,-1.13,-0.34,10.95,5.68
0.10,0.02,-1.12,-0.32,11.80,4.73
0.10,0.01,-1.12,-0.81,11.57,3.59
0.09,0.01,-1.12,-1.27,11.42,1.91
0.10,0.01,-1.13,-1.92,10.87,0.49
0.09,0.01,-1.12,-2.44,10.08,-0.56
0.10,-0.00,-1.13,-2.96,9.18,-1.80
0.10,-0.00,-1.13,-3.71,7.15,-2.99
0.10,0.00,-1.12,-4.31,5.54,-3.40
0.08,0.00,-1.13,-5.60,3.98,-3.08
0.07,-0.00,-1.12,-5.71,3.02,-2.87
0.06,-0.01,-1.11,-6.67,2.12,-2.81
0.06,-0.01,-1.12,-6.41,1.98,-2.73
0.05,0.01,-1.11,-7.39,2.47,-2.46
0.04,0.02,-1.11,-6.99,3.01,-2.29
0.04,0.02,-1.10,-7.47,3.59,-1.98
0.04,0.03,-1.11,-6.40,4.49,-2.53
0.04,0.04,-1.11,-6.81,5.19,-2.96
0.05,0.04,-1.12,-5.66,5.47,-3.34
0.05,0.03,-1.12,-6.49,5.62,-3.79
0.05,0.03,-1.13,-5.44,5.42,-3.86
0.04,0.04,-1.13,-6.08,5.21,-3.66
0.04,0.04,-1.14,-5.45,5.45,-3.22
0.03,0.03,-1.14,-6.32,5.73,-2.76
0.04,0.04,-1.15,-6.14,5.65,-2.31
0.03,0.04,-1.14,-6.76,5.97,-2.17
0.03,0.04,-1.13,-6.41,6.72,-2.53
0.04,0.05,-1.13,-7.01,7.15,-2.49
0.04,0.05,-1.13,-6.50,7.44,-2.63
0.04,0.04,-1.13,-7.19,7.50,-2.11
0.05,0.05,-1.14,-6.64,6.70,-1.45
0.06,0.04,-1.13,-6.93,5.88,-0.55
0.07,0.05,-1.14,-7.04,4.89,0.09
0.07,0.04,-1.14,-6.96,3.59,0.61
0.07,0.04,-1.13,-7.44,2.05,0.69
0.06,0.04,-1.14,-8.12,0.67,0.69
0.06,0.02,-1.13,-8.61,0.23,0.56
0.06,0.02,-1.12,-8.08,-0.09,-0.17
0.06,0.03,-1.11,-8.11,0.21,-0.78
0.05,0.04,-1.11,-7.37,0.37,-1.54
0.06,0.04,-1.11,-7.39,0.56,-1.91
0.05,0.05,-1.12,-6.09,0.52,-2.32
0.07,0.04,-1.12,-5.91,0.67,-2.53
0.07,0.04,-1.13,-4.72,0.34,-2.40
0.06,0.04,-1.13,-5.45,0.15,-1.63
0.05,0.04,-1.13,-4.79,-0.47,-0.50
0.05,0.03,-1.13,-4.96,-0.70,0.08
0.06,0.02,-1.14,-4.14,-0.96,0.43
0.06,0.01,-1.13,-4.37,-0.50,0.17
0.05,0.01,-1.13,-3.62,-0.23,-0.26
0.06,0.01,-1.14,-4.32,0.58,-1.36
0.06,0.01,-1.14,-3.66,1.21,-2.31
0.06,0.02,-1.14,-4.90,1.76,-3.31
0.06,0.02,-1.14,-4.69,2.00,-3.50
0.05,0.02,-1.15,-6.02,2.09,-3.19
0.06,0.01,-1.14,-5.91,2.14,-3.15
0.05,0.00,-1.15,-7.95,2.41,-3.30
0.05,0.00,-1.15,-8.46,2.70,-3.54
0.03,0.00,-1.14,-10.76,2.55,-3.25
0.03,0.01,-1.13,-11.34,2.21,-2.85
0.04,0.02,-1.13,-12.53,1.82,-2.12
0.04,0.03,-1.12,-11.56,1.25,-1.45
0.03,0.04,-1.12,-11.34,0.61,-0.55
0.03,0.04,-1.11,-8.99,-0.02,0.29
0.03,0.05,-1.09,-8.17,-0.52,0.92
0.04,0.05,-1.10,-5.65,-0.87,0.79
0.03,0.05,-1.11,-5.04,-1.08,0.32
0.02,0.03,-1.12,-3.73,-0.84,-0.17
0.03,0.02,-1.12,-4.66,-0.50,-0.85
0.02,0.02,-1.13,-4.24,-0.14,-1.07
0.01,0.02,-1.14,-5.97,0.24,-0.98
0.01,0.02,-1.14,-6.27,1.15,-0.24
0.01,0.02,-1.13,-8.00,1.94,0.58
0.01,0.02,-1.13,-7.69,2.46,0.87
0.02,0.03,-1.14,-8.49,3.05,1.18
0.03,0.04,-1.11,-7.45,3.08,1.21
0.03,0.04,-1.12,-7.74,3.45,1.27
0.05,0.04,-1.12,-6.52,3.57,1.63
0.05,0.03,-1.11,-6.49,3.02,2.15
0.05,0.03,-1.11,-5.56,2.93,2.89
0.07,0.03,-1.12,-5.40,2.08,3.34
0.08,0.03,-1.12,-5.02,0.47,3.42
0.08,0.02,-1.12,-5.77,-0.84,3.16
0.07,0.02,-1.12,-5.85,-1.66,2.90
0.06,0.02,-1.11,-6.53,-2.58,2.37
0.06,0.02,-1.12,-6.75,-3.01,1.51
0.05,0.03,-1.11,-7.05,-3.18,0.81
0.05,0.02,-1.10,-7.25,-2.89,0.32
0.05,0.03,-1.09,-7.37,-2.63,-0.31
0.05,0.03,-1.10,-7.54,-2.14,-1.01
0.04,0.03,-1.10,-7.39,-1.57,-1.50
0.05,0.03,-1.10,-7.66,-1.33,-1.86
0.05,0.04,-1.09,-7.53,-1.19,-2.32
0.05,0.04,-1.09,-7.47,-1.21,-2.35
0.04,0.04,-1.09,-7.07,-1.30,-1.95
0.04,0.04,-1.09,-7.62,-1.73,-1.37
