acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.175,0.110,-1.109,-5.389,1.084,-0.137,0
0.174,0.109,-1.110,-5.038,1.649,0.336,4049
0.177,0.106,-1.114,-4.870,2.229,0.458,8062
0.180,0.108,-1.102,-4.718,2.580,0.489,12073
0.191,0.106,-1.114,-4.870,2.550,0.412,16084
0.194,0.104,-1.109,-4.656,2.718,0.290,20095
0.189,0.111,-1.105,-4.870,2.580,0.168,24106
0.195,0.105,-1.110,-4.718,2.137,-0.015,28117
0.198,0.109,-1.106,-4.809,1.893,0.000,32129
0.185,0.107,-1.107,-4.779,1.542,-0.183,36139
0.192,0.108,-1.105,-4.794,1.176,-0.290,40150
0.196,0.105,-1.109,-5.282,0.763,-0.351,44161
0.185,0.106,-1.105,-5.176,0.672,-0.550,48170
0.181,0.115,-1.095,-5.389,0.550,-0.656,52181
0.183,0.110,-1.092,-5.359,0.824,-0.687,56192
0.185,0.106,-1.101,-5.298,0.504,-0.840,60203
0.173,0.110,-1.095,-5.099,0.840,-0.947,64214
0.177,0.112,-1.100,-5.145,0.977,-1.038,68226
0.183,0.116,-1.098,-5.511,0.962,-0.794,72237
0.183,0.112,-1.094,-5.359,1.069,-0.901,76248
0.179,0.110,-1.103,-5.389,1.328,-0.641,80259
0.178,0.117,-1.095,-5.374,1.298,-0.351,84270
0.179,0.120,-1.101,-5.008,1.618,-0.244,88282
0.181,0.109,-1.098,-4.763,1.756,-0.076,92293
0.186,0.107,-1.111,-4.611,1.786,0.260,96304
0.187,0.108,-1.104,-4.351,1.878,0.565,100315
0.178,0.109,-1.100,-3.985,1.878,0.840,104326
0.178,0.118,-1.103,-3.542,1.939,0.931,108338
0.176,0.111,-1.101,-2.885,2.336,1.099,112348
0.185,0.111,-1.105,-2.611,2.198,1.237,116359
0.182,0.107,-1.109,-2.351,2.198,1.008,120370
0.187,0.110,-1.110,-2.092,2.244,0.931,124381
0.190,0.112,-1.104,-1.954,2.397,0.656,128392
0.185,0.107,-1.113,-1.969,2.046,0.718,132403
0.183,0.114,-1.107,-2.046,2.061,0.458,136415
0.188,0.106,-1.111,-2.107,2.183,0.443,140425
0.190,0.104,-1.109,-2.458,1.878,0.382,144436
0.182,0.104,-1.105,-2.458,2.183,0.183,148447
0.180,0.110,-1.105,-2.702,2.290,0.122,152458
0.178,0.115,-1.116,-2.748,2.275,0.000,156469
0.184,0.107,-1.122,-2.809,2.595,-0.061,160480
0.190,0.105,-1.118,-3.252,3.099,-0.107,164491
0.188,0.102,-1.122,-3.527,2.855,-0.275,168501
0.191,0.104,-1.126,-4.015,2.947,-0.519,172512
0.198,0.093,-1.115,-4.702,2.260,-0.611,176523
0.201,0.093,-1.126,-5.115,1.710,-0.565,180534
0.202,0.109,-1.128,-5.405,1.145,-0.794,184545
0.203,0.104,-1.129,-5.695,0.397,-0.718,188555
0.201,0.097,-1.125,-6.122,-0.626,-0.779,192566
0.200,0.105,-1.120,-6.153,-1.023,-0.489,196577
0.194,0.104,-1.119,-5.756,-1.328,-0.595,200588
0.194,0.111,-1.116,-5.466,-1.405,-0.702,204599
0.184,0.120,-1.113,-5.130,-1.282,-0.595,208611
0.181,0.115,-1.115,-4.870,-0.885,-0.626,212622
0.177,0.121,-1.110,-4.183,-0.382,-0.824,216633
0.182,0.115,-1.104,-3.847,0.779,-0.687,220644
0.182,0.108,-1.110,-3.359,1.221,-0.397,224655
0.191,0.104,-1.116,-3.237,2.244,-0.321,228667
0.205,0.093,-1.127,-3.176,2.275,0.260,232687
0.205,0.094,-1.113,-3.450,2.550,0.183,236697
0.212,0.091,-1.112,-3.542,2.687,0.229,240708
0.223,0.089,-1.118,-3.695,2.382,-0.168,244719
0.222,0.090,-1.111,-3.985,2.580,-0.443,248731
0.236,0.085,-1.114,-4.321,2.702,-0.641,252743
0.245,0.094,-1.111,-4.718,2.672,-1.053,256754
0.261,0.093,-1.108,-4.809,2.397,-1.389,260765
0.266,0.096,-1.104,-5.252,2.153,-1.649,264776
0.271,0.104,-1.101,-5.313,1.954,-2.275,268789
0.279,0.118,-1.101,-5.130,1.832,-2.397,272800
0.290,0.118,-1.099,-5.008,1.481,-3.145,276812
0.292,0.116,-1.099,-4.962,1.023,-3.802,280822
0.305,0.111,-1.088,-4.733,1.023,-4.107,284833
0.308,0.112,-1.089,-4.656,0.641,-4.885,288844
0.315,0.112,-1.094,-4.107,0.198,-5.389,292854
0.317,0.122,-1.102,-3.924,-0.122,-6.015,296865
0.322,0.117,-1.091,-3.695,-0.321,-6.672,300876
0.335,0.117,-1.089,-3.466,-0.137,-7.466,304887
0.338,0.112,-1.092,-3.420,-0.275,-8.336,308899
0.343,0.118,-1.085,-3.679,-0.122,-9.099,312912
0.343,0.120,-1.082,-4.046,0.305,-9.618,316923
0.365,0.124,-1.069,-4.687,0.672,-10.427,320934
0.381,0.127,-1.063,-5.252,0.718,-11.038,324945
0.407,0.136,-1.050,-5.557,0.947,-11.466,328956
0.424,0.152,-1.046,-5.924,1.282,-12.000,332976
0.440,0.154,-1.032,-6.244,1.435,-12.214,336987
0.456,0.164,-1.022,-6.366,1.634,-12.519,340998
0.472,0.166,-1.022,-6.489,1.740,-13.038,345009
0.483,0.169,-1.017,-6.122,1.802,-13.221,349020
0.484,0.169,-1.015,-5.206,1.695,-14.000,353041
0.491,0.178,-1.015,-3.908,1.908,-14.916,357052
0.502,0.185,-1.018,-2.107,2.122,-16.168,361064
0.489,0.195,-1.017,-0.458,2.473,-17.466,365074
0.485,0.196,-1.019,1.282,2.748,-19.420,369085
0.477,0.193,-1.029,2.977,3.344,-21.450,373098
0.488,0.189,-1.019,4.382,4.290,-23.603,377109
0.494,0.187,-1.027,5.542,5.221,-25.069,381120
0.501,0.183,-1.041,6.718,6.458,-26.794,385131
0.513,0.182,-1.039,7.710,7.481,-27.786,389142
0.512,0.178,-1.046,7.893,8.626,-29.053,393152
0.520,0.179,-1.051,8.031,9.374,-29.756,397163
0.541,0.175,-1.047,7.908,10.107,-29.954,401174
0.562,0.173,-1.057,7.679,10.641,-29.099,405185
0.596,0.171,-1.058,7.771,10.656,-26.855,409196
0.613,0.164,-1.060,7.695,10.092,-25.191,413216
0.625,0.183,-1.058,8.092,8.519,-24.824,417227
0.618,0.198,-1.059,8.794,7.435,-24.275,421238
0.619,0.193,-1.053,9.832,6.214,-22.107,425249
0.621,0.179,-1.070,10.397,4.702,-19.756,429260
0.617,0.158,-1.082,11.466,3.069,-16.550,433280
0.630,0.156,-1.076,13.038,2.015,-12.809,437291
0.638,0.170,-1.082,14.840,0.992,-9.405,441302
0.622,0.200,-1.081,17.176,-0.427,-8.031,445313
0.605,0.202,-1.087,20.565,-1.573,-7.985,449324
0.584,0.222,-1.094,24.366,-2.244,-9.053,453342
0.570,0.229,-1.080,27.786,-1.969,-10.153,457353
0.552,0.243,-1.069,31.924,-1.374,-12.321,461365
0.541,0.254,-1.087,35.588,-0.168,-15.496,465375
0.530,0.253,-1.087,38.427,1.023,-18.748,469386
0.529,0.253,-1.077,40.366,3.435,-21.985,473397
0.532,0.232,-1.088,41.160,5.985,-26.000,477409
0.533,0.192,-1.086,40.656,8.947,-30.534,481420
0.536,0.146,-1.097,38.779,11.985,-36.015,485432
0.533,0.129,-1.097,35.588,14.992,-40.947,489443
0.519,0.113,-1.086,31.160,18.489,-46.366,493454
0.517,0.096,-1.079,26.916,22.046,-51.160,497465
0.527,0.071,-1.075,21.511,25.099,-55.542,501477
0.536,0.052,-1.079,15.863,27.221,-59.863,505487
0.552,0.029,-1.066,10.122,29.145,-63.802,509498
0.575,0.024,-1.065,4.733,29.786,-66.809,513508
0.585,0.013,-1.070,0.687,29.206,-69.328,517520
0.587,-0.001,-1.066,-1.832,28.565,-72.015,521531
0.594,-0.002,-1.070,-4.748,26.458,-74.382,525542
0.575,0.021,-1.075,-7.267,24.061,-75.756,529553
0.559,0.036,-1.084,-7.618,21.160,-77.282,533563
0.544,0.047,-1.086,-6.855,18.092,-78.855,537575
0.512,0.061,-1.095,-5.924,15.878,-80.229,541585
0.493,0.087,-1.093,-3.618,13.634,-80.824,545596
0.460,0.096,-1.106,-0.458,11.924,-81.405,549607
0.432,0.103,-1.106,3.985,11.511,-81.176,553627
0.411,0.108,-1.119,9.939,12.198,-80.534,557639
0.405,0.105,-1.145,16.015,13.405,-79.344,561649
0.386,0.084,-1.155,21.649,14.382,-78.015,565661
0.387,0.062,-1.160,26.183,14.641,-77.191,569672
0.374,0.041,-1.170,30.672,16.458,-75.832,573691
0.365,0.024,-1.187,34.168,18.015,-74.382,577703
0.372,0.006,-1.172,36.611,19.450,-74.107,581714
0.370,-0.009,-1.185,37.435,20.260,-74.809,585725
0.385,-0.060,-1.182,38.229,20.702,-74.107,589737
0.393,-0.078,-1.181,34.901,22.275,-74.534,593748
0.378,-0.088,-1.178,32.855,22.046,-76.351,597759
0.337,-0.092,-1.186,27.069,22.321,-81.679,601770
0.295,-0.023,-1.176,23.206,22.885,-91.160,605781
0.281,-0.047,-1.166,17.832,24.748,-93.145,609792
0.315,-0.078,-1.164,12.198,26.137,-91.924,613803
0.350,-0.089,-1.162,6.244,26.489,-92.000,617813
0.336,-0.067,-1.169,1.786,24.901,-92.992,621824
0.302,-0.031,-1.158,-2.321,23.374,-95.435,625835
0.264,0.002,-1.160,-6.595,21.435,-97.099,629846
0.240,0.031,-1.157,-9.710,19.771,-97.664,633866
0.231,0.042,-1.157,-10.855,19.267,-97.985,637877
0.223,0.045,-1.155,-10.382,18.672,-97.954,641888
0.217,0.030,-1.148,-9.328,17.740,-98.290,645899
0.198,0.012,-1.164,-9.084,16.885,-98.031,649915
