acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.181,-0.034,-1.117,-4.366,1.221,1.053,289046747
0.183,-0.043,-1.113,-4.519,1.252,1.267,289050793
0.182,-0.039,-1.110,-4.550,1.359,1.328,289054806
0.189,-0.041,-1.114,-4.626,1.527,1.359,289058817
0.182,-0.040,-1.107,-4.687,1.573,1.298,289062828
0.185,-0.046,-1.115,-4.626,1.511,1.160,289066839
0.195,-0.039,-1.105,-5.115,1.725,1.115,289070850
0.189,-0.042,-1.099,-5.359,1.740,1.252,289074857
0.189,-0.040,-1.106,-5.802,1.863,1.359,289078867
0.188,-0.048,-1.106,-5.802,2.183,1.298,289082878
0.189,-0.046,-1.095,-5.802,2.198,1.435,289086889
0.199,-0.050,-1.105,-5.771,2.397,1.374,289090900
0.202,-0.051,-1.109,-5.664,2.076,1.053,289094909
0.210,-0.049,-1.107,-5.817,1.710,0.885,289098920
0.215,-0.057,-1.103,-5.878,1.267,1.084,289102931
0.212,-0.046,-1.113,-5.908,0.595,0.794,289106942
0.218,-0.044,-1.112,-5.924,-0.244,0.656,289110953
0.213,-0.056,-1.109,-5.908,-0.718,0.794,289114967
0.210,-0.050,-1.109,-5.450,-1.084,0.397,289118978
0.194,-0.042,-1.104,-5.344,-1.176,0.351,289122989
0.195,-0.037,-1.112,-5.176,-0.992,0.290,289127000
0.183,-0.037,-1.109,-5.115,-0.687,0.565,289131011
0.190,-0.034,-1.104,-4.809,-0.351,0.443,289135023
0.184,-0.031,-1.116,-4.672,0.382,0.305,289139034
0.187,-0.032,-1.110,-4.275,0.992,0.305,289143045
0.190,-0.039,-1.108,-3.847,1.389,0.122,289147056
0.188,-0.036,-1.118,-3.664,1.618,0.244,289151067
0.191,-0.043,-1.108,-3.771,1.771,0.107,289155080
0.190,-0.047,-1.105,-3.908,1.954,0.031,289159091
0.193,-0.041,-1.108,-4.000,1.924,0.046,289163102
0.187,-0.037,-1.115,-3.924,2.000,0.275,289167113
0.189,-0.035,-1.112,-3.771,2.153,0.168,289171124
0.191,-0.032,-1.108,-3.405,1.908,0.244,289175135
0.188,-0.041,-1.114,-3.191,2.000,0.427,289179146
0.187,-0.041,-1.110,-3.176,2.366,0.321,289183157
0.191,-0.039,-1.111,-3.084,2.366,0.321,289187168
0.193,-0.042,-1.106,-3.374,2.794,0.382,289191179
0.194,-0.041,-1.112,-3.542,2.611,0.443,289195190
0.196,-0.050,-1.106,-3.649,2.382,0.534,289199201
0.199,-0.047,-1.103,-3.756,1.954,0.580,289203213
0.206,-0.047,-1.109,-3.939,2.046,0.397,289207223
0.208,-0.044,-1.108,-4.031,1.634,0.305,289211234
0.208,-0.045,-1.102,-4.198,1.252,0.229,289215245
0.201,-0.040,-1.109,-4.580,0.748,0.107,289219256
0.209,-0.032,-1.105,-4.779,0.366,0.153,289223267
0.200,-0.038,-1.109,-4.672,0.656,0.290,289227278
0.201,-0.040,-1.113,-4.443,0.107,0.443,289231289
0.193,-0.042,-1.096,-4.107,0.122,0.473,289235297
0.195,-0.035,-1.107,-3.756,0.382,0.519,289239308
0.193,-0.044,-1.102,-3.695,0.550,0.489,289243319
0.188,-0.033,-1.116,-3.756,0.641,0.565,289247330
0.188,-0.031,-1.107,-3.939,0.916,0.733,289251341
0.190,-0.035,-1.109,-3.878,1.221,0.702,289255353
0.192,-0.031,-1.112,-3.679,1.298,0.702,289259363
0.194,-0.032,-1.117,-3.557,1.481,0.672,289263375
0.195,-0.035,-1.118,-3.679,1.939,0.336,289267385
0.188,-0.042,-1.119,-3.954,2.153,0.412,289271396
0.190,-0.037,-1.119,-4.397,2.412,0.122,289275407
0.189,-0.035,-1.124,-4.641,2.458,0.412,289279428
0.191,-0.034,-1.122,-4.641,2.702,0.443,289283439
0.187,-0.037,-1.115,-4.611,2.870,0.809,289287450
0.198,-0.034,-1.117,-4.611,3.099,0.656,289291461
0.186,-0.032,-1.116,-4.580,2.656,0.855,289295475
0.194,-0.035,-1.122,-4.641,2.519,1.053,289299490
0.194,-0.040,-1.115,-4.901,2.351,1.160,289303501
0.204,-0.044,-1.115,-5.099,1.985,1.160,289307512
0.206,-0.043,-1.114,-5.573,1.649,1.237,289311523
0.213,-0.043,-1.119,-5.634,0.947,1.145,289315534
0.207,-0.051,-1.121,-5.557,0.687,0.992,289319545
0.211,-0.050,-1.119,-5.878,0.489,0.794,289323556
0.209,-0.049,-1.128,-6.229,0.015,0.626,289327567
0.203,-0.046,-1.113,-6.489,-0.046,0.321,289331578
0.200,-0.047,-1.118,-6.611,-0.244,0.122,289335590
0.206,-0.043,-1.121,-6.733,-0.122,-0.244,289339600
0.200,-0.042,-1.123,-6.718,0.000,-0.198,289343611
0.209,-0.044,-1.119,-6.504,0.168,-0.489,289347622
0.196,-0.037,-1.123,-6.366,0.611,-0.641,289351633
0.191,-0.032,-1.121,-6.000,1.008,-0.672,289355644
0.191,-0.037,-1.122,-5.969,1.344,-0.656,289359655
0.194,-0.032,-1.125,-5.863,1.603,-0.412,289363666
0.192,-0.034,-1.127,-5.664,2.015,-0.427,289367678
0.193,-0.031,-1.119,-5.496,2.137,-0.473,289371688
0.191,-0.039,-1.113,-5.344,2.458,-0.504,289375699
0.192,-0.034,-1.120,-5.130,2.840,-0.473,289379719
0.194,-0.035,-1.115,-5.084,3.145,-0.336,289383730
0.189,-0.039,-1.114,-5.206,3.313,-0.275,289387741
0.190,-0.033,-1.124,-5.252,3.221,-0.305,289391752
0.190,-0.036,-1.124,-5.496,3.023,-0.351,289395763
0.196,-0.037,-1.121,-5.573,2.931,-0.198,289399784
0.195,-0.037,-1.123,-5.359,2.611,-0.183,289403795
0.190,-0.034,-1.110,-5.252,2.290,-0.122,289407806
0.194,-0.037,-1.119,-5.099,2.473,0.153,289411818
0.199,-0.034,-1.121,-5.053,2.198,0.305,289415829
0.204,-0.037,-1.107,-5.160,1.893,0.473,289419840
0.204,-0.038,-1.114,-5.405,1.756,0.427,289423852
0.202,-0.043,-1.106,-5.450,1.802,0.580,289427863
0.201,-0.044,-1.106,-5.588,1.695,0.702,289431874
0.192,-0.043,-1.116,-5.557,2.046,0.397,289435885
0.196,-0.045,-1.108,-5.634,1.771,0.565,289439895
0.197,-0.044,-1.103,-5.863,2.046,0.198,289443906
0.191,-0.042,-1.108,-6.137,2.366,0.260,289447917
0.193,-0.040,-1.105,-6.076,2.733,0.092,289451928
0.197,-0.034,-1.104,-6.015,2.901,-0.092,289455939
0.200,-0.034,-1.106,-5.878,2.992,-0.382,289459959
0.203,-0.035,-1.108,-5.771,3.191,-0.534,289463971
0.194,-0.039,-1.104,-5.527,3.389,-0.489,289467981
0.200,-0.042,-1.104,-5.588,3.160,-0.687,289471992
0.200,-0.040,-1.101,-5.618,3.084,-0.565,289476004
0.207,-0.040,-1.106,-5.634,2.962,-0.779,289480023
0.204,-0.036,-1.110,-5.740,2.779,-0.794,289484035
0.210,-0.037,-1.112,-5.725,2.260,-0.641,289488046
0.204,-0.036,-1.109,-5.496,1.863,-0.885,289492057
0.210,-0.042,-1.114,-5.557,1.237,-0.748,289496068
0.212,-0.040,-1.118,-5.557,0.534,-0.748,289500086
0.203,-0.036,-1.118,-5.634,0.137,-0.565,289504097
0.201,-0.042,-1.114,-5.771,-0.397,-0.519,289508108
0.203,-0.038,-1.115,-6.015,-1.023,-0.656,289512119
0.197,-0.038,-1.120,-5.740,-0.977,-0.763,289516130
0.189,-0.032,-1.117,-5.527,-1.099,-0.870,289520141
0.185,-0.036,-1.117,-5.557,-0.763,-0.748,289524152
0.182,-0.036,-1.117,-5.328,-0.534,-0.824,289528163
0.185,-0.032,-1.120,-5.344,-0.061,-0.641,289532174
0.182,-0.028,-1.122,-5.542,0.153,-0.550,289536185
0.177,-0.032,-1.125,-5.313,0.718,-0.947,289540196
0.182,-0.040,-1.123,-5.298,0.931,-0.763,289544207
0.176,-0.041,-1.119,-4.916,1.298,-0.580,289548218
0.180,-0.042,-1.115,-4.611,1.557,-0.641,289552229
0.188,-0.039,-1.121,-4.763,1.664,-0.443,289556240
0.192,-0.043,-1.119,-4.733,1.450,-0.443,289560250
0.194,-0.042,-1.120,-5.191,1.298,-0.137,289564261
0.189,-0.048,-1.125,-5.176,1.069,-0.244,289568272
0.194,-0.049,-1.123,-5.405,0.931,-0.168,289572283
0.195,-0.045,-1.119,-5.389,0.718,0.076,289576294
0.195,-0.041,-1.121,-5.649,0.366,-0.260,289580304
0.196,-0.048,-1.118,-5.893,0.443,-0.168,289584316
0.193,-0.041,-1.118,-6.305,0.336,-0.351,289588326
0.194,-0.043,-1.110,-6.595,0.626,-0.351,289592337
0.190,-0.039,-1.116,-6.885,0.550,-0.305,289596348
0.185,-0.036,-1.111,-7.008,0.779,-0.351,289600368
0.196,-0.040,-1.109,-6.855,0.885,-0.443,289604379
0.190,-0.040,-1.107,-6.794,1.420,-0.611,289608390
0.192,-0.041,-1.107,-6.504,1.725,-0.489,289612401
0.195,-0.037,-1.116,-6.672,1.893,-0.336,289616412
0.190,-0.031,-1.108,-6.427,1.466,-0.412,289620433
0.195,-0.039,-1.109,-6.244,1.557,-0.153,289624444
0.196,-0.039,-1.118,-6.275,1.588,0.015,289628455
0.195,-0.043,-1.116,-5.954,1.511,0.122,289632467
0.198,-0.034,-1.104,-6.031,1.313,0.305,289636478
0.204,-0.040,-1.110,-5.756,1.084,0.489,289640491
0.200,-0.041,-1.105,-5.969,1.130,0.565,289644502
0.193,-0.030,-1.106,-6.244,1.038,0.534,289648513
0.195,-0.039,-1.110,-6.229,0.855,0.611,289652525
0.199,-0.044,-1.107,-6.260,0.809,0.580,289656536
0.199,-0.043,-1.111,-6.092,0.809,0.565,289660548
0.190,-0.039,-1.102,-6.153,0.672,0.412,289664559
0.196,-0.044,-1.109,-6.198,0.550,0.382,289668570
0.198,-0.044,-1.107,-6.275,0.794,0.305,289672582
0.202,-0.034,-1.111,-6.229,0.763,0.107,289676593
0.200,-0.041,-1.098,-6.168,0.794,0.244,289680614
0.196,-0.039,-1.105,-6.168,1.206,0.214,289684625
0.199,-0.037,-1.110,-6.000,1.435,0.107,289688636
0.202,-0.042,-1.109,-6.061,1.298,-0.031,289692648
0.199,-0.042,-1.105,-6.015,1.328,-0.397,289696664
0.201,-0.042,-1.106,-6.076,1.496,-0.458,289700675
0.192,-0.046,-1.109,-6.321,1.771,-0.580,289704687
0.201,-0.032,-1.118,-6.351,1.740,-0.458,289708698
0.191,-0.041,-1.106,-6.534,1.924,-0.427,289712710
0.200,-0.044,-1.103,-6.244,1.847,-0.366,289716720
0.197,-0.042,-1.111,-6.183,2.137,-0.595,289720731
0.199,-0.042,-1.102,-6.198,2.092,-0.718,289724743
0.202,-0.037,-1.095,-6.290,2.046,-0.687,289728754
