acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.289,-0.110,-1.089,-4.382,-4.092,1.740,0
0.281,-0.105,-1.085,-4.076,-3.985,1.847,4047
0.282,-0.107,-1.087,-3.939,-3.985,1.954,8060
0.287,-0.102,-1.096,-3.786,-3.954,2.229,12072
0.288,-0.107,-1.094,-3.832,-3.481,2.351,16082
0.287,-0.114,-1.086,-3.878,-3.496,2.397,20093
0.282,-0.113,-1.095,-4.076,-3.511,2.550,24104
0.286,-0.121,-1.082,-4.305,-3.191,2.885,28115
0.285,-0.125,-1.091,-4.718,-3.389,2.931,32126
0.279,-0.117,-1.080,-4.962,-3.206,2.809,36137
0.288,-0.111,-1.089,-5.481,-3.130,2.611,40148
0.299,-0.113,-1.093,-5.817,-3.450,2.382,44159
0.297,-0.115,-1.092,-6.229,-3.756,2.107,48167
0.305,-0.116,-1.091,-6.611,-4.611,1.740,52178
0.307,-0.108,-1.080,-6.901,-5.710,1.359,56189
0.308,-0.116,-1.087,-6.992,-6.550,1.145,60200
0.304,-0.116,-1.088,-7.221,-8.031,0.855,64211
0.310,-0.121,-1.091,-8.061,-9.450,0.489,68223
0.302,-0.110,-1.088,-8.565,-10.992,0.290,72234
0.305,-0.116,-1.084,-8.580,-11.893,-0.046,76246
0.306,-0.115,-1.078,-8.763,-13.115,-0.290,80257
0.308,-0.113,-1.082,-8.687,-14.260,-0.244,84268
0.300,-0.108,-1.067,-8.534,-15.313,-0.519,88280
0.294,-0.098,-1.068,-8.168,-16.321,-0.443,92291
0.288,-0.096,-1.064,-7.511,-16.809,-0.718,96303
0.276,-0.093,-1.074,-6.733,-16.855,-0.580,100314
0.272,-0.096,-1.074,-5.954,-17.221,-0.656,104325
0.266,-0.097,-1.073,-5.435,-17.206,-0.718,108337
0.271,-0.091,-1.072,-4.992,-17.466,-0.824,112347
0.273,-0.100,-1.069,-4.855,-17.893,-1.099,116358
0.280,-0.105,-1.065,-4.748,-18.565,-1.328,120369
0.285,-0.096,-1.066,-4.626,-20.061,-1.618,124380
0.289,-0.104,-1.064,-4.397,-21.191,-1.847,128391
0.281,-0.095,-1.057,-3.954,-22.504,-1.756,132401
0.293,-0.091,-1.068,-3.374,-24.473,-1.939,136412
0.289,-0.086,-1.070,-2.702,-26.260,-2.107,140423
0.287,-0.089,-1.070,-1.924,-28.122,-2.427,144434
0.287,-0.076,-1.071,-1.527,-30.641,-2.550,148445
0.289,-0.079,-1.070,-0.794,-32.824,-3.053,152455
0.289,-0.069,-1.061,0.290,-35.237,-3.481,156466
0.283,-0.067,-1.060,1.328,-37.511,-3.634,160478
0.284,-0.068,-1.055,2.275,-40.076,-4.092,164489
0.277,-0.068,-1.053,3.344,-42.275,-4.550,168499
0.265,-0.060,-1.052,4.656,-44.397,-5.099,172511
0.252,-0.051,-1.043,5.802,-46.031,-5.664,176521
0.251,-0.042,-1.056,7.115,-48.290,-6.366,180532
