acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.148,0.041,-1.117,-4.794,2.901,-0.229,0
0.147,0.048,-1.124,-4.580,2.977,-0.076,4048
0.138,0.049,-1.126,-4.412,2.977,0.244,8060
0.135,0.043,-1.124,-3.832,2.855,0.031,12071
0.139,0.047,-1.120,-3.557,2.977,0.443,16082
0.142,0.041,-1.125,-3.130,2.870,0.473,20093
0.135,0.039,-1.114,-3.221,2.794,0.641,24104
0.143,0.035,-1.114,-2.947,2.916,0.763,28115
0.144,0.039,-1.122,-3.084,2.565,0.763,32125
0.145,0.040,-1.120,-3.176,2.641,0.931,36136
0.145,0.040,-1.124,-3.802,2.198,0.855,40147
0.145,0.036,-1.133,-3.771,2.260,0.855,44158
0.148,0.037,-1.121,-4.046,2.137,0.443,48169
0.146,0.044,-1.123,-4.153,2.046,0.122,52181
0.149,0.026,-1.127,-4.183,1.985,0.122,56192
0.145,0.035,-1.129,-3.939,2.000,-0.122,60204
0.144,0.040,-1.126,-3.863,1.969,0.061,64215
0.148,0.037,-1.124,-3.573,2.076,-0.046,68226
0.152,0.038,-1.133,-3.435,1.954,0.183,72238
0.148,0.029,-1.132,-3.450,2.137,0.351,76248
0.150,0.028,-1.125,-3.313,2.092,0.458,80259
0.146,0.031,-1.128,-3.618,2.183,0.550,84270
0.149,0.031,-1.126,-3.725,2.489,0.214,88282
0.155,0.032,-1.123,-3.817,2.519,0.275,92293
0.157,0.029,-1.125,-4.443,2.565,0.046,96304
0.150,0.028,-1.129,-4.656,2.809,-0.351,100315
0.152,0.030,-1.128,-5.221,2.718,-0.687,104326
0.156,0.029,-1.142,-5.496,2.397,-0.672,108338
0.158,0.030,-1.121,-5.939,2.382,-0.977,112349
0.154,0.033,-1.133,-6.015,2.366,-0.977,116360
0.153,0.045,-1.130,-5.939,2.321,-0.748,120371
0.155,0.041,-1.129,-5.527,2.351,-0.779,124382
0.143,0.040,-1.122,-5.389,2.122,-0.702,128393
0.149,0.048,-1.133,-5.176,2.580,-0.840,132404
0.139,0.044,-1.124,-4.977,2.794,-0.733,136415
0.140,0.044,-1.117,-4.733,3.206,-0.611,140426
