acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.390,-0.100,-1.071,-1.099,1.573,-2.901,0
0.388,-0.106,-1.072,-1.084,1.344,-2.962,4050
0.388,-0.105,-1.073,-0.962,1.252,-2.779,8063
0.387,-0.100,-1.075,-0.931,0.947,-2.763,12075
0.385,-0.110,-1.077,-0.794,0.611,-2.595,16085
0.389,-0.106,-1.072,-0.656,-0.229,-2.595,20096
0.390,-0.104,-1.091,-0.504,-0.534,-2.550,24108
0.389,-0.112,-1.081,-0.275,-0.733,-2.351,28118
0.386,-0.109,-1.094,0.076,-0.672,-2.275,32129
0.389,-0.107,-1.086,0.183,-0.931,-2.214,36140
0.391,-0.112,-1.080,0.305,-1.008,-2.153,40152
0.388,-0.117,-1.086,0.153,-1.359,-1.954,44163
0.384,-0.113,-1.078,0.061,-1.740,-1.863,48171
0.380,-0.116,-1.075,0.137,-1.679,-1.863,52182
0.378,-0.111,-1.087,0.336,-1.664,-1.740,56194
0.385,-0.110,-1.078,0.061,-1.603,-1.740,60205
0.389,-0.120,-1.089,0.122,-1.771,-1.893,64216
0.382,-0.119,-1.074,0.107,-1.389,-1.878,68228
0.383,-0.113,-1.080,0.107,-0.992,-1.817,72239
0.382,-0.115,-1.087,0.183,-0.947,-1.695,76251
0.380,-0.114,-1.087,0.290,-0.977,-1.649,80262
0.388,-0.116,-1.081,0.244,-0.901,-1.466,84273
0.384,-0.116,-1.087,0.351,-0.840,-1.191,88285
0.388,-0.115,-1.084,0.321,-0.901,-1.466,92296
0.385,-0.114,-1.085,0.687,-0.718,-1.542,96307
0.377,-0.124,-1.085,0.611,-0.550,-1.511,100318
0.387,-0.122,-1.093,0.672,-0.351,-1.618,104329
0.384,-0.125,-1.093,0.519,0.015,-1.481,108341
0.392,-0.125,-1.094,0.351,0.443,-1.664,112352
0.389,-0.125,-1.091,0.244,0.687,-1.679,116363
0.384,-0.120,-1.094,0.183,1.053,-1.603,120374
0.393,-0.121,-1.094,0.321,1.252,-1.679,124385
0.392,-0.124,-1.094,0.107,1.374,-1.649,128396
0.394,-0.122,-1.094,0.031,1.573,-1.466,132407
0.400,-0.119,-1.096,-0.046,1.344,-1.359,136418
0.400,-0.124,-1.092,-0.321,1.099,-1.511,140429
0.400,-0.116,-1.097,-0.351,0.321,-1.511,144440
0.388,-0.120,-1.084,-0.214,-0.229,-1.389,148450
0.396,-0.120,-1.087,-0.153,-0.718,-1.344,152461
0.396,-0.111,-1.086,0.107,-0.901,-1.328,156472
0.396,-0.117,-1.089,0.366,-1.008,-1.359,160483
0.391,-0.114,-1.070,0.290,-0.931,-1.328,164494
0.392,-0.116,-1.083,0.412,-1.038,-1.130,168505
0.381,-0.116,-1.084,0.473,-0.748,-1.130,172516
0.385,-0.115,-1.084,0.580,-0.550,-1.069,176527
0.391,-0.119,-1.088,0.687,-0.229,-0.962,180538
0.390,-0.119,-1.083,0.641,0.031,-0.870,184549
0.385,-0.121,-1.085,0.870,0.321,-0.824,188560
0.390,-0.120,-1.086,0.672,0.550,-0.931,192570
0.391,-0.118,-1.086,0.565,0.412,-0.748,196581
0.387,-0.132,-1.086,0.458,0.534,-0.824,200592
0.393,-0.118,-1.099,0.458,0.672,-0.962,204603
0.391,-0.126,-1.088,0.260,0.397,-1.038,208614
0.390,-0.126,-1.092,0.336,0.473,-1.130,212625
0.397,-0.122,-1.087,0.351,0.611,-1.450,216636
0.395,-0.129,-1.082,0.244,0.733,-1.618,220647
0.396,-0.132,-1.100,0.275,1.053,-1.634,224658
