acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.196,-0.007,-1.124,-6.000,1.481,0.031,0
0.194,-0.012,-1.119,-5.893,1.435,0.168,4050
0.194,-0.012,-1.110,-5.832,1.328,-0.015,8063
0.199,-0.008,-1.118,-5.573,1.221,-0.229,12074
0.206,-0.005,-1.114,-5.634,1.237,-0.260,16086
0.196,-0.006,-1.113,-5.435,1.084,-0.214,20097
0.195,-0.016,-1.111,-5.466,1.191,-0.305,24108
0.202,-0.013,-1.116,-5.420,0.931,-0.122,28119
0.195,-0.011,-1.116,-5.573,1.374,-0.275,32130
0.197,-0.009,-1.106,-5.405,1.649,-0.092,36141
0.196,-0.010,-1.118,-5.618,1.786,-0.397,40152
0.195,-0.012,-1.113,-5.527,1.954,0.015,44163
0.195,-0.006,-1.114,-5.344,2.198,-0.046,48172
0.198,-0.010,-1.117,-5.389,2.198,-0.183,52182
0.203,-0.011,-1.115,-5.420,2.107,0.031,56193
0.202,-0.008,-1.105,-5.740,1.878,0.122,60204
0.199,-0.009,-1.107,-5.969,1.466,-0.275,64215
0.203,-0.006,-1.110,-5.969,1.160,-0.382,68227
0.195,-0.011,-1.113,-6.244,1.008,-0.534,72237
0.201,-0.014,-1.109,-6.458,0.550,-0.565,76248
0.203,-0.007,-1.108,-6.672,0.977,-0.443,80259
0.198,-0.004,-1.108,-6.595,0.595,-0.504,84270
0.199,-0.009,-1.107,-6.748,0.870,-0.519,88281
0.191,-0.014,-1.109,-6.748,1.038,-0.244,92292
0.195,-0.009,-1.115,-6.458,0.840,-0.183,96303
0.187,-0.006,-1.112,-6.489,1.115,-0.305,100314
0.200,-0.005,-1.119,-6.489,0.992,-0.061,104325
0.202,-0.005,-1.118,-6.305,1.176,-0.092,108338
0.195,-0.006,-1.114,-6.122,1.344,-0.229,112349
0.193,-0.003,-1.123,-5.771,1.695,-0.244,116360
0.196,-0.002,-1.122,-5.679,1.588,-0.076,120371
0.201,-0.001,-1.119,-5.405,1.664,-0.122,124382
0.197,0.004,-1.118,-5.115,1.450,-0.061,128393
0.201,-0.004,-1.118,-4.718,1.832,-0.229,132404
0.203,0.000,-1.121,-4.595,1.878,-0.092,136416
