acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.118,-0.090,-1.122,-3.725,-0.366,-0.351,0
0.117,-0.090,-1.119,-3.664,-0.763,-0.687,4053
0.115,-0.090,-1.127,-3.710,-0.656,-0.885,8068
0.108,-0.084,-1.119,-3.664,-0.687,-0.794,12079
0.106,-0.086,-1.118,-3.450,-0.611,-0.718,16090
0.110,-0.077,-1.120,-3.344,-0.351,-0.901,20101
0.108,-0.088,-1.128,-3.145,-0.687,-0.840,24112
0.108,-0.081,-1.114,-3.008,-0.809,-0.779,28123
0.107,-0.091,-1.125,-3.053,-0.595,-0.427,32134
0.105,-0.088,-1.141,-3.099,-0.672,-0.412,36145
0.107,-0.086,-1.130,-3.237,-0.885,-0.336,40156
0.107,-0.087,-1.132,-3.206,-0.672,-0.183,44167
0.113,-0.086,-1.142,-3.481,-0.550,-0.443,48178
0.102,-0.090,-1.142,-3.649,-0.977,-0.519,52189
0.110,-0.089,-1.129,-3.802,-0.443,-0.611,56201
0.110,-0.092,-1.138,-4.122,-0.321,-0.489,60211
0.108,-0.095,-1.136,-4.443,-0.305,-0.427,64222
0.118,-0.088,-1.148,-4.611,-0.198,-0.565,68233
0.112,-0.089,-1.151,-4.855,-0.107,-0.382,72244
0.111,-0.090,-1.141,-5.191,0.305,0.000,76255
0.109,-0.089,-1.141,-5.008,-0.061,-0.092,80266
0.107,-0.083,-1.128,-5.481,0.382,0.397,84277
0.104,-0.091,-1.130,-5.527,0.931,0.443,88288
0.095,-0.088,-1.130,-5.893,1.145,0.611,92299
0.101,-0.088,-1.128,-6.336,1.618,0.718,96310
0.104,-0.085,-1.127,-6.702,1.618,0.794,100321
0.110,-0.088,-1.130,-7.069,1.191,0.412,104332
0.110,-0.090,-1.127,-7.344,1.145,0.336,108345
0.116,-0.087,-1.130,-7.267,0.809,0.427,112356
0.117,-0.079,-1.128,-7.023,0.794,0.336,116368
0.112,-0.073,-1.122,-7.008,0.824,0.244,120379
0.108,-0.078,-1.127,-6.611,0.901,0.458,124390
0.114,-0.080,-1.119,-6.061,1.008,0.351,128401
0.115,-0.079,-1.120,-5.664,0.885,0.366,132412
0.120,-0.074,-1.118,-5.435,0.794,0.443,136423
0.114,-0.078,-1.120,-5.206,0.794,0.321,140434
0.122,-0.081,-1.124,-5.038,0.595,0.458,144445
0.120,-0.086,-1.115,-5.099,0.504,0.015,148456
0.126,-0.090,-1.116,-5.252,-0.290,-0.061,152467
0.117,-0.080,-1.120,-5.160,-0.885,0.046,156478
0.110,-0.088,-1.123,-5.588,-1.038,-0.046,160489
