acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,time
0.077,0.038,-1.126,-3.542,0.656,-2.122,0
0.083,0.039,-1.117,-3.618,0.305,-2.107,4048
0.078,0.045,-1.123,-3.557,0.519,-2.534,8061
0.078,0.044,-1.127,-3.542,0.534,-2.794,12072
0.071,0.046,-1.122,-3.313,0.779,-2.931,16084
0.073,0.042,-1.113,-2.947,1.053,-3.008,20094
0.068,0.048,-1.120,-2.519,1.618,-3.099,24105
0.069,0.053,-1.127,-2.092,1.771,-3.496,28116
0.064,0.047,-1.125,-1.802,2.229,-3.542,32127
0.064,0.049,-1.125,-1.405,2.366,-3.634,36138
0.071,0.042,-1.123,-0.992,2.687,-3.664,40149
0.074,0.042,-1.130,-0.763,2.779,-3.573,44160
0.070,0.033,-1.131,-0.718,2.824,-3.618,48169
0.080,0.028,-1.127,-0.260,2.565,-3.282,52180
0.075,0.027,-1.136,-0.122,2.275,-3.115,56192
0.080,0.025,-1.145,-0.183,1.847,-2.687,60202
0.083,0.028,-1.128,-0.290,1.496,-2.321,64213
0.078,0.025,-1.130,-0.504,1.069,-1.908,68224
0.087,0.029,-1.138,-0.840,0.595,-1.527,72235
0.092,0.029,-1.138,-1.344,0.122,-1.176,76246
0.087,0.027,-1.137,-1.817,-0.275,-1.282,80257
0.087,0.023,-1.141,-2.519,-0.779,-1.145,84268
0.073,0.023,-1.140,-2.916,-1.008,-1.191,88279
0.077,0.028,-1.142,-3.466,-1.115,-1.206,92290
0.081,0.024,-1.143,-3.725,-1.038,-1.313,96301
0.078,0.026,-1.154,-4.076,-1.176,-1.573,100312
0.074,0.030,-1.153,-4.244,-0.977,-1.679,104323
0.077,0.028,-1.155,-4.611,-0.641,-1.985,108334
0.080,0.030,-1.163,-4.870,-0.366,-2.137,112346
0.083,0.027,-1.160,-4.916,-0.168,-2.427,116356
0.075,0.023,-1.161,-4.992,0.229,-2.366,120367
0.080,0.024,-1.155,-5.023,0.351,-2.595,124378
0.073,0.022,-1.158,-4.992,0.519,-2.702,128389
0.075,0.028,-1.158,-4.870,0.916,-3.023,132401
0.068,0.032,-1.160,-4.672,1.130,-3.145,136412
0.056,0.040,-1.162,-4.336,1.466,-3.145,140424
0.057,0.037,-1.156,-3.908,1.969,-3.221,144435
0.058,0.040,-1.160,-3.420,1.969,-3.328,148445
0.062,0.040,-1.152,-3.023,2.458,-3.160,152457
0.062,0.045,-1.159,-2.580,3.176,-3.420,156468
0.060,0.044,-1.161,-2.275,3.206,-3.359,160480
0.059,0.043,-1.161,-1.618,3.389,-3.099,164491
0.062,0.043,-1.153,-1.252,3.466,-2.687,168502
0.063,0.038,-1.162,-0.947,3.588,-2.565,172513
0.072,0.040,-1.160,-0.580,3.252,-2.351,176524
0.071,0.041,-1.164,-0.382,2.992,-2.137,180535
0.079,0.041,-1.164,0.168,2.626,-2.015,184546
0.069,0.041,-1.176,0.290,2.534,-1.756,188557
0.072,0.033,-1.169,0.519,2.641,-1.832,192568
0.073,0.034,-1.166,0.427,2.611,-1.695,196579
0.070,0.038,-1.163,0.397,2.947,-1.389,200590
0.064,0.033,-1.169,0.153,3.038,-1.206,204601
0.070,0.029,-1.173,-0.061,3.023,-1.008,208613
0.071,0.028,-1.172,-0.489,2.840,-0.977,212624
0.073,0.026,-1.168,-1.344,2.672,-0.794,216635
0.075,0.026,-1.171,-1.832,2.641,-0.763,220646
0.074,0.024,-1.171,-2.122,2.489,-0.748,224657
0.072,0.027,-1.154,-2.534,2.275,-0.840,228669
0.078,0.034,-1.160,-2.931,2.214,-0.779,232688
0.073,0.027,-1.157,-3.084,2.168,-0.885,236699
0.080,0.026,-1.169,-3.527,2.046,-0.809,240710
0.073,0.023,-1.169,-3.863,1.832,-0.595,244721
0.077,0.025,-1.165,-3.817,1.679,-0.580,248733
0.084,0.028,-1.155,-4.214,1.756,-0.198,252744
0.080,0.032,-1.150,-4.061,1.527,-0.244,256756
0.081,0.034,-1.156,-3.939,1.649,-0.244,260766
0.080,0.033,-1.151,-3.985,1.481,-0.260,264777
0.079,0.033,-1.156,-3.863,1.679,0.137,268790
0.081,0.031,-1.152,-3.756,1.771,0.046,272801
0.081,0.033,-1.156,-3.679,1.618,0.076,276812
0.073,0.026,-1.155,-3.542,1.740,0.168,280823
0.082,0.032,-1.153,-3.466,1.511,0.244,284834
0.084,0.031,-1.155,-3.618,1.710,0.046,288845
0.083,0.027,-1.147,-3.664,1.817,0.000,292855
0.071,0.031,-1.144,-3.405,1.847,-0.229,296867
0.082,0.029,-1.154,-3.328,2.168,-0.214,300878
0.081,0.031,-1.154,-3.679,2.534,-0.305,304889
0.084,0.028,-1.144,-3.573,2.855,-0.718,308901
0.077,0.030,-1.152,-3.557,3.053,-0.595,312911
0.074,0.030,-1.134,-3.969,3.328,-0.718,316922
0.083,0.032,-1.147,-3.878,3.221,-0.992,320933
0.090,0.031,-1.137,-4.336,3.771,-0.931,324944
0.089,0.030,-1.131,-4.244,3.740,-0.885,328955
0.088,0.033,-1.139,-4.260,3.573,-1.053,332975
0.083,0.037,-1.128,-4.351,3.328,-1.267,336987
0.090,0.033,-1.142,-4.473,3.191,-1.206,340998
0.092,0.032,-1.135,-4.229,2.809,-1.130,345009
0.095,0.026,-1.131,-4.092,2.458,-0.962,349020
0.087,0.030,-1.146,-4.107,2.122,-0.916,353041
0.089,0.034,-1.135,-4.244,2.046,-0.901,357052
0.088,0.031,-1.139,-4.321,1.618,-0.718,361063
0.096,0.036,-1.139,-4.244,1.450,-0.718,365075
0.082,0.040,-1.134,-4.244,1.573,-0.702,369086
0.084,0.035,-1.132,-4.168,1.527,-0.565,373099
0.091,0.039,-1.141,-4.183,1.405,-0.458,377111
0.090,0.043,-1.138,-4.198,1.466,-0.641,381121
0.088,0.041,-1.143,-4.305,1.420,-0.382,385132
0.094,0.045,-1.141,-4.550,1.405,-0.763,389144
0.088,0.039,-1.129,-4.702,1.267,-0.473,393156
0.087,0.048,-1.134,-4.611,1.084,-0.656,397166
0.090,0.043,-1.126,-4.672,0.962,-0.473,401177
0.087,0.050,-1.136,-4.656,0.779,-0.519,405188
0.089,0.039,-1.142,-4.641,0.626,-0.687,409199
0.088,0.042,-1.131,-4.687,0.565,-0.763,413220
0.086,0.044,-1.138,-4.641,0.412,-0.458,417231
0.082,0.038,-1.140,-4.519,0.244,-0.397,421242
0.080,0.035,-1.133,-4.687,0.107,-0.489,425253
0.083,0.033,-1.137,-4.489,0.427,-0.275,429264
0.081,0.033,-1.138,-4.641,0.366,-0.458,433285
0.076,0.038,-1.142,-4.763,0.656,-0.580,437296
